symbol,series,date,announcement_type,text_snippet
CIEINDIA,EQ,2026-04-22,DIVIDEND,Dividend - Rs 7 Per Share
CIPLA,EQ,2026-06-05,DIVIDEND,Dividend - Rs 13 Per Share
CLEAN,EQ,2026-02-06,DIVIDEND,Interim Dividend - Rs 2 Per Share
CMSINFO,EQ,2026-05-22,BUYBACK,Buy Back
CMSINFO,EQ,2026-02-18,DIVIDEND,Interim Dividend - Rs 2.75 Per Share
COALINDIA,EQ,2026-02-18,DIVIDEND,Interim Dividend - Rs 5.50 Per Share
COCHINSHIP,EQ,2026-02-03,DIVIDEND,Interim Dividend - Rs 3.50 Per Share
COFORGE,EQ,2026-01-31,DIVIDEND,Interim Dividend - Rs 4 Per Share
COLPAL,EQ,2026-06-01,DIVIDEND,Interim Dividend - Rs 24 Per Share
CONCOR,EQ,2026-02-09,DIVIDEND,Interim Dividend - Rs 3.40 Per Share
CONTROLPR,EQ,2026-02-06,DIVIDEND,Interim Dividend - Rs 4 Per Share
COROMANDEL,EQ,2026-02-04,DIVIDEND,Interim Dividend - Rs 9 Per Share
CORONA,EQ,2026-06-19,DIVIDEND,Dividend - Rs 10 Per Share
CRISIL,EQ,2026-04-23,DIVIDEND,Interim Dividend - Rs 9 Per Share
CRISIL,EQ,2026-04-03,DIVIDEND,Dividend - Rs 28 Per Share
CRIZAC,EQ,2026-02-04,DIVIDEND,Interim Dividend - Rs 8 Per Share
CUB,EQ,2026-06-12,BONUS,Bonus 1:3
CUMMINSIND,EQ,2026-02-11,DIVIDEND,Interim Dividend - Rs 20 Per Share
CUPID,EQ,2026-03-09,BONUS,Bonus 4:1
CYBERTECH,EQ,2026-05-29,BUYBACK,Buy Back
CYIENT,EQ,2026-06-17,BUYBACK,Buy Back
DALBHARAT,EQ,2026-06-23,DIVIDEND,Dividend - Rs 5 Per Share
DALMIASUG,EQ,2026-02-11,DIVIDEND,Interim Dividend - Rs 4.50 Per Share
DBCORP,EQ,2026-01-22,DIVIDEND,Interim Dividend - Rs 2 Per Share
DBEIL,EQ,2026-06-19,STOCK_SPLIT,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
DCBBANK,EQ,2026-06-12,DIVIDEND,Dividend - Rs 1.45 Per Share
DCMSHRIRAM,EQ,2026-01-24,DIVIDEND,Interim Dividend - Rs 3.60 Per Share
DCW,EQ,2026-02-20,DIVIDEND,Interim Dividend - Re 0.10 Per Share
DDEVPLSTIK,EQ,2026-02-20,DIVIDEND,Interim Dividend - Re 0.50 Per Share
DELPHIFX,EQ,2026-02-14,STOCK_SPLIT,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
DELPHIFX,EQ,2026-02-14,BONUS,Bonus 2:1
DHAMPURSUG,EQ,2026-05-26,DIVIDEND,Interim Dividend - Rs 2 Per Share
DHANUKA,EQ,2026-05-29,BUYBACK,Buy Back
DICIND,EQ,2026-03-16,DIVIDEND,Dividend - Rs 3 Per Share
DOLATALGO,EQ,2026-02-04,DIVIDEND,Interim Dividend - Re 0.10 Per Share
DVL,EQ,2026-02-27,DIVIDEND,Interim Dividend - Rs 3.50 Per Share
DYNAMATECH,EQ,2026-02-13,DIVIDEND,Interim Dividend - Rs 5 Per Share
E2E,EQ,2026-06-05,STOCK_SPLIT,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Re 1/- Per Share
ECLERX,EQ,2026-03-13,BONUS,Bonus 1:1
EFCIL,EQ,2026-05-07,FUNDRAISE,Rights 8:103 @ Premium Rs 148/-
EIMCOELECO,EQ,2026-06-12,DIVIDEND,Dividend - Rs 4 Per Share
ELANTAS,EQ,2026-05-05,DIVIDEND,Dividend - Rs. 7.50 Per Share
ELECON,EQ,2026-06-12,DIVIDEND,Dividend - Rs 1.5 Per Share
EMAMILTD,EQ,2026-02-10,DIVIDEND,Interim Dividend - Rs 6 Per Share
EMUDHRA,EQ,2026-06-18,DIVIDEND,Dividend - Rs1.25 Per Share
ENGINERSIN,EQ,2026-03-06,DIVIDEND,Interim Dividend - Rs 1.50 Per Share
ENRIN,EQ,2026-01-30,DIVIDEND,Dividend - Rs 4 Per Share
EPIGRAL,EQ,2026-06-01,DIVIDEND,Dividend - Rs 5 Per Share
ERIS,EQ,2026-05-29,DIVIDEND,Interim Dividend - Rs 7.21 Per Share
ESABINDIA,EQ,2026-02-14,DIVIDEND,Interim Dividend - Rs 25 Per Share
ESCORTS,EQ,2026-02-16,DIVIDEND,Special Dividend - Rs 18 Per Share
ESSENTIA,EQ,2026-05-20,FUNDRAISE,Rights 161:250 @ Premium Re 0.45 /-
EUROPRATIK,EQ,2026-03-27,DIVIDEND,Interim Dividend - Re 0.20 Per Share
FAIRCHEMOR,EQ,2026-01-05,BUYBACK,Buy Back
FDC,EQ,2026-02-11,DIVIDEND,Interim Dividend - Rs 5 Per Share
FLAIR,EQ,2026-02-04,DIVIDEND,Interim Dividend - Re 0.50 Per Share
FOSECOIND,EQ,2026-06-03,DIVIDEND,Dividend - Rs 25 Per Share
FSL,EQ,2026-02-20,DIVIDEND,Interim Dividend - Rs 5.50 Per Share
GAIL,EQ,2026-02-05,DIVIDEND,Interim Dividend - Rs 5 Per Share
GANDHAR,EQ,2026-01-30,DIVIDEND,Interim Dividend - Re 0.75 Per Share
GARFIBRES,EQ,2026-05-20,BUYBACK,Buy Back
GATEWAY,EQ,2026-02-12,DIVIDEND,Interim Dividend - Re 0.75 Per Share & Special Dividend Rs 1.25 Per Share
GENUSPOWER,EQ,2026-02-06,ACQUISITION,Demerger
GESHIP,EQ,2026-05-20,DIVIDEND,Interim Dividend - Rs 11.70 Per Share
GESHIP,EQ,2026-02-04,DIVIDEND,Interim Dividend - Rs 9 Per Share
GHCL,EQ,2026-06-18,DIVIDEND,Dividend - Rs 12 Per Share
GHCLTEXTIL,EQ,2026-06-20,DIVIDEND,Dividend - Re 0.60 Per Share
GICHSGFIN,EQ,2026-06-26,DIVIDEND,Dividend - Rs 4.50 Per Share
GILLETTE,EQ,2026-02-04,DIVIDEND,Interim Dividend - Rs 120 Per Share/Special Dividend - Rs 60 Per Share
GLAXO,EQ,2026-05-29,DIVIDEND,Dividend - Rs 57 Per Share
GMBREW,EQ,2026-05-21,DIVIDEND,Dividend - Rs 9 Per Share
GNA,EQ,2026-06-23,DIVIDEND,Dividend - Rs 3 Per Share
GOCOLORS,EQ,2026-02-09,BUYBACK,Buy Back
GODREJCP,EQ,2026-05-12,DIVIDEND,Interim Dividend - Rs 5 Per Share
GODREJCP,EQ,2026-01-30,DIVIDEND,Interim Dividend - Rs 5 Per Share
GOLDIAM,EQ,2026-02-12,DIVIDEND,Interim Dividend - Rs 2.75 Per Share
GOODLUCK,EQ,2026-02-19,DIVIDEND,Interim Dividend - Rs 3 Per Share
GOPAL,EQ,2026-05-16,DIVIDEND,Interim Dividend - Re 0.40 Per Share
GOPAL,EQ,2026-02-02,DIVIDEND,Interim Dividend - Re 0.35 Per Share
GPTINFRA,EQ,2026-05-26,DIVIDEND,Interim Dividend - Re 1 Per Share
GPTINFRA,EQ,2026-02-03,DIVIDEND,Interim Dividend - Re 0.75 Per Share
GRINFRA,EQ,2026-02-19,DIVIDEND,Interim Dividend - Rs 2.50 Per Share
GRSE,EQ,2026-02-03,DIVIDEND,Interim Dividend - Rs 7.15 Per Share
GULFOILLUB,EQ,2026-02-13,DIVIDEND,Interim Dividend - Rs 21 Per Share
HAL,EQ,2026-02-18,DIVIDEND,Interim Dividend - Rs 35 Per Share
HATSUN,EQ,2026-05-26,DIVIDEND,Interim Dividend - Rs  10 Per Share
HAVELLS,EQ,2026-05-24,DIVIDEND,Dividend - Rs 6 Per Share
HAVELLS,EQ,2026-01-23,DIVIDEND,Interim Dividend - Rs 4 Per Share
HBLENGINE,EQ,2026-02-13,DIVIDEND,Interim Dividend - Rs 2 Per Share
HCG,EQ,2026-03-02,FUNDRAISE,Rights 1:17 @ Premium Rs 502/-
HCLTECH,EQ,2026-04-25,DIVIDEND,Interim Dividend - Rs 24 Per Share
HCLTECH,EQ,2026-01-17,DIVIDEND,Interim Dividend - Rs 12 Per Share
HDBFS,EQ,2026-06-18,DIVIDEND,Dividend - Rs 2 Per Share
HDFCAMC,EQ,2026-06-05,DIVIDEND,Dividend - Rs 54 Per Share
HDFCBANK,EQ,2026-06-19,DIVIDEND,Dividend - Rs 13 Per Share
HDFCLIFE,EQ,2026-06-19,DIVIDEND,Dividend - Rs 2.10 Per Share
HEROMOTOCO,EQ,2026-02-11,DIVIDEND,Interim Dividend - Rs 110 Per Share
HEXT,EQ,2026-05-05,DIVIDEND,Interim Dividend - Rs 8.50 Per Share
HIKAL,EQ,2026-02-17,DIVIDEND,Interim Dividend - Re 0.20 Per Share
HILTON,EQ,2026-02-24,FUNDRAISE,Rights 29:60 @ Premium Rs 6.68/-
HINDCOPPER,EQ,2026-02-13,DIVIDEND,Interim Dividend - Re 1 Per Share
HINDUNILVR,EQ,2026-06-23,DIVIDEND,Dividend - Rs 22 Per Share
HINDZINC,EQ,2026-04-30,DIVIDEND,Interim Dividend - Rs 11 Per Share
HIRECT,EQ,2026-03-27,BONUS,Bonus 1:1
HOMEFIRST,EQ,2026-05-29,DIVIDEND,Dividend - Rs 5.20 Per Share
HONDAPOWER,EQ,2026-02-19,DIVIDEND,Intereim Dividend - Rs 3.50 Per Share
HSCL,EQ,2026-05-22,DIVIDEND,Dividend - Re 0.80 Per Share
HUDCO,EQ,2026-03-28,DIVIDEND,Interim Dividend - Rs 1.25 Per Share
HUDCO,EQ,2026-02-07,DIVIDEND,Interim Dividend - Rs 1.15 Per Share
HUHTAMAKI,EQ,2026-04-23,DIVIDEND,Dividend - Rs 2 Per Share
ICICIAMC,EQ,2026-06-12,DIVIDEND,Dividend - Rs 12.40 Per Share
ICICIAMC,EQ,2026-01-21,DIVIDEND,Interim Dividend - Rs 14.85 Per Share
ICICIGI,EQ,2026-05-29,DIVIDEND,Dividend - Rs 7 Per Share
ICICIPRULI,EQ,2026-06-05,DIVIDEND,Dividend - Rs 1.65 Per Share
IEX,EQ,2026-05-15,DIVIDEND,Dividend - Rs 2 Per Share
IEX,EQ,2026-02-04,DIVIDEND,Interim Dividend - Rs 1.50 Per Share
IGIL,EQ,2026-02-17,DIVIDEND,Interim Dividend - Rs 2.50 Per Share
IGL,EQ,2026-02-19,DIVIDEND,Interim Dividend - Rs  3.25 Per Share
IIFL,EQ,2026-01-29,DIVIDEND,Interim Dividend - Rs 4 Per Share
IIFLCAPS,EQ,2026-02-16,DIVIDEND,Interim Dividend - Rs 3 Per Share
IMPAL,EQ,2026-01-29,DIVIDEND,Interim Dividend - Rs 10 Per Share
INDHOTEL,EQ,2026-06-23,DIVIDEND,Dividend - Rs 3.25 Per Share
INDIAGLYCO,EQ,2026-03-23,DIVIDEND,Interim Dividend - Rs 7.50 Per Share
INDIAMART,EQ,2026-06-19,DIVIDEND,Dividend - Rs 30 Per Share/ Special Dividend - Rs 30 Per Share
INDIANB,EQ,2026-06-10,DIVIDEND,Dividend - Rs 18.25 Per Share
INDIASHLTR,EQ,2026-06-19,DIVIDEND,Dividend - Rs 10 Per Share
INDNIPPON,EQ,2026-02-20,DIVIDEND,Interim Dividend - Rs 15.50 Per Share
INDUSINDBK,EQ,2026-06-26,DIVIDEND,Dividend - Rs 1.50 Per Share
INFOBEAN,EQ,2026-02-27,BONUS,Bonus 3:1
INFY,EQ,2026-06-10,DIVIDEND,Dividend - Rs 25 Per Share
INNOVACAP,EQ,2026-01-30,DIVIDEND,Interim Dividend - Rs 2 Per Share
INOXINDIA,EQ,2026-06-09,DIVIDEND,Dividend - Rs 2 Per Share
INSECTICID,EQ,2026-02-06,DIVIDEND,Interim Dividend - Rs 2 Per Share
IOC,EQ,2026-03-12,DIVIDEND,Interim Dividend - Rs 2 Per Share
IOLCP,EQ,2026-02-17,DIVIDEND,Interim Dividend - Re 1 Per Share
IRB,EQ,2026-05-26,DIVIDEND,Interim Dividend - Re 0.05  Per Share
IRB,EQ,2026-04-01,BONUS,Bonus 1:1
IRB,EQ,2026-02-19,DIVIDEND,Interim Dividend - Re 0.07 Per Share
IRCON,EQ,2026-02-17,DIVIDEND,Interim Dividend - Rs 1.20 Per Share
IRCTC,EQ,2026-02-20,DIVIDEND,Interim Dividend - Rs 3.50 Per Share
IREDA,EQ,2026-04-02,DIVIDEND,Interim Dividend - Re 0.60 Per Share
IRFC,EQ,2026-03-13,DIVIDEND,Interim Dividend - Rs 1.05 Per Share
ITC,EQ,2026-05-27,DIVIDEND,Dividend - Rs 8 Per Share
ITC,EQ,2026-02-04,DIVIDEND,Interim Dividend - Rs 6.50 Per Share
ITCHOTELS,EQ,2026-05-21,DIVIDEND,Dividend - Re 1 Per Share
JAGRAN,EQ,2026-06-05,DIVIDEND,Interim Dividend - Rs 7 Per Share & Special Dividend Rs 3 Per Share
JAGSNPHARM,EQ,2026-05-04,BUYBACK,Buy Back
JARO,EQ,2026-01-16,DIVIDEND,Interim Dividend - Rs 2 Per Share
JASH,EQ,2026-04-10,DIVIDEND,Interim Dividend - Re 0.60 Per Share
JBCHEPHARM,EQ,2026-05-29,DIVIDEND,Dividend - Rs 9.30  Per Share
JBCHEPHARM,EQ,2026-02-11,DIVIDEND,Interim Dividend - Rs 12.70 Per Share
JINDALSAW,EQ,2026-05-22,DIVIDEND,Dividend - Rs 2 Per Share
JLHL,EQ,2026-05-22,DIVIDEND,Interim Dividend - Re 1 Per Share
JMFINANCIL,EQ,2026-06-12,DIVIDEND,Dividend - Rs 1.75 Per Share
JSL,EQ,2026-01-29,DIVIDEND,Interim Dividend - Re 1 Per Share
JSWENERGY,EQ,2026-06-05,DIVIDEND,Dividend - Rs 2 Per Share
JSWINFRA,EQ,2026-06-18,DIVIDEND,Dividend - Re 0.90 Per Share
JUBLINGREA,EQ,2026-02-10,DIVIDEND,Interim Dividend - Rs 2.50 Per Share
JYOTHYLAB,EQ,2026-06-29,DIVIDEND,Dividend - Rs 3.50 Per Share
KAJARIACER,EQ,2026-06-29,BUYBACK,Buy Back
KANSAINER,EQ,2026-06-29,DIVIDEND,Dividend - Rs 2.50 Per Share
KAPSTON,EQ,2026-03-06,BONUS,Bonus 1:2
KEI,EQ,2026-01-28,DIVIDEND,Interim Dividend - Rs 4.50 Per Share
KENNAMET,EQ,2026-05-15,DIVIDEND,Interim Dividend - Rs 40 Per Share
KILITCH,EQ,2026-03-24,BONUS,Bonus 1:1
KIRLOSENG,EQ,2026-02-20,DIVIDEND,Interim Dividend - Rs 2.50 Per Share
KIRLPNU,EQ,2026-01-30,DIVIDEND,Interim Dividend - Rs 3.50 Per Share
KKCL,EQ,2026-05-14,DIVIDEND,Interim Dividend - Rs 2 Per Share
KKCL,EQ,2026-02-16,DIVIDEND,Interim Dividend - Rs 2 Per Share
KOTAKBANK,EQ,2026-01-14,STOCK_SPLIT,Face Value Split (Sub-Division) - From Rs 5/- Per Share To Re 1/- Per Share
KOTHARIPET,EQ,2026-05-11,DIVIDEND,Interim Dividend - Re 1 Per Share
KOTYARK,EQ,2026-06-24,BONUS,Bonus 10:1
KPEL,EQ,2026-01-28,DIVIDEND,Interim Dividend - Re 0.20 Per Share
KPIGREEN,EQ,2026-01-28,DIVIDEND,Interim Dividend - Re 0.20 Per Share
KPIL,EQ,2026-06-29,DIVIDEND,Dividend - Rs 11 Per Share
KPITTECH,EQ,2026-02-04,DIVIDEND,Interim Dividend - Rs 2.25 Per Share
KPRMILL,EQ,2026-02-13,DIVIDEND,Interim Dividend - Rs 2.50 Per Share
KRISHANA,EQ,2026-06-17,DIVIDEND,Dividend - Re 0.50 Per Share
KSB,EQ,2026-05-08,DIVIDEND,Dividend - Rs 4.40 Per Share
KSOLVES,EQ,2026-01-27,DIVIDEND,Interim Dividend - Rs 5 Per Share
LALPATHLAB,EQ,2026-06-26,DIVIDEND,Dividend - Rs 4 Per Share
LALPATHLAB,EQ,2026-02-05,DIVIDEND,Interim Dividend - Rs 3.50 Per Share
LAURUSLABS,EQ,2026-05-08,DIVIDEND,Interim Dividend - Rs 1.20 Per Share
LEMERITE,EQ,2026-05-29,STOCK_SPLIT,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
LICI,EQ,2026-06-25,DIVIDEND,Dividend - Rs 10 Per Share
LICI,EQ,2026-05-29,BONUS,Bonus 1:1
LLOYDSME,EQ,2026-06-12,DIVIDEND,Dividend - Rs 1 Per Share
LT,EQ,2026-05-22,DIVIDEND,Dividend - Rs 38 Per Share
LTF,EQ,2026-05-22,DIVIDEND,Dividend - Rs 2.75 Per Share
LTFOODS,EQ,2026-02-02,DIVIDEND,Interim Dividend - Re 1 Per Share
LTM,EQ,2026-05-25,DIVIDEND,Dividend - Rs 53 Per Share
LTTS,EQ,2026-05-22,DIVIDEND,Dividend - Rs 40 Per Share
MAHABANK,EQ,2026-06-05,DIVIDEND,Dividend - Rs 1.20 Per Sh
MAHABANK,EQ,2026-01-20,DIVIDEND,Interim Dividend - Re 1 Per Share
MAHAPEXLTD,EQ,2026-03-20,FUNDRAISE,Rights 1:1 @ Premium Rs 0/-
MAHSCOOTER,EQ,2026-06-30,DIVIDEND,Dividend - Rs 60 Per Share
MAITHANALL,EQ,2026-05-22,DIVIDEND,Interim Dividend - Rs 11 Per Share
MANAPPURAM,EQ,2026-05-11,DIVIDEND,Interim Dividend - Re 0.50 Per Share
MANAPPURAM,EQ,2026-02-06,DIVIDEND,Interim Dividend - Re 0.50 Per Share
MANBA,EQ,2026-02-06,DIVIDEND,Interim Dividend - Re 0.25 Per Share
MANINFRA,EQ,2026-05-19,DIVIDEND,Interim Dividend - Rs 0.72 Per Share
MASFIN,EQ,2026-02-04,DIVIDEND,Interim Dividend - Rs 1.25 Per Share
MASTEK,EQ,2026-01-30,DIVIDEND,Interim Dividend - Rs 8 Per Share
MATRIMONY,EQ,2026-01-30,BUYBACK,Buy Back
MAWANASUG,EQ,2026-06-27,DIVIDEND,Dividend - Rs 4 Per Share
MAZDOCK,EQ,2026-02-13,DIVIDEND,Interim Dividend - Rs 7.50 Per Share
MBAPL,EQ,2026-06-17,DIVIDEND,Dividend - Re 0.50 Per Share
MCX,EQ,2026-01-02,STOCK_SPLIT,Face Value Split (Sub-Division) - From Rs 10/- Per Share To Rs 2/- Per Share
METROBRAND,EQ,2026-02-02,DIVIDEND,Interim Dividend - Rs 3 Per Share
METROPOLIS,EQ,2026-05-19,DIVIDEND,Interim Dividend - Re  1 Per Share
METROPOLIS,EQ,2026-03-20,BONUS,Bonus 3:1
MGL,EQ,2026-02-13,DIVIDEND,Interim Dividend - Rs 12 Per Share
MIDHANI,EQ,2026-03-19,DIVIDEND,Interim Dividend - Re 0.85 Per Share
MINDACORP,EQ,2026-02-13,DIVIDEND,Interim Dividend - Re 0.60 Per Share
MMFL,EQ,2026-06-12,DIVIDEND,Interim Dividend - Rs 4 Per Share
MOIL,EQ,2026-02-05,DIVIDEND,Interim Dividend - Rs 3.53 Per Share
MOLDTKPAC,EQ,2026-04-24,DIVIDEND,Interim Dividend - Rs 2 Per Share
