symbol,period,quarter_end_date,promoter_pct,fii_pct,dii_pct,public_pct,promoter_delta,fii_delta,dii_delta,conviction_signal,as_of_date,source,submission_date
3MINDIA,Q2FY25,30-SEP-2024,75.0,4.07,8.15,25.0,0.0,0.3,-0.15,STABLE,2026-07-08,nse_xbrl,17-OCT-2024
3MINDIA,Q3FY25,31-DEC-2024,75.0,4.01,8.15,25.0,0.0,-0.06,0.0,STABLE,2026-07-08,nse_xbrl,21-JAN-2025
3MINDIA,Q4FY25,31-MAR-2025,75.0,3.78,8.09,25.0,0.0,-0.23,-0.06,STABLE,2026-07-08,nse_xbrl,15-APR-2025
3MINDIA,Q1FY26,30-JUN-2025,75.0,3.84,8.11,25.0,0.0,0.06,0.02,STABLE,2026-07-08,nse_xbrl,21-JUL-2025
3MINDIA,Q2FY26,30-SEP-2025,75.0,3.43,8.12,25.0,0.0,-0.41,0.01,STABLE,2026-07-08,nse_xbrl,18-OCT-2025
3MINDIA,Q3FY26,31-DEC-2025,75.0,3.5000000000000004,8.39,25.0,0.0,0.07,0.27,STABLE,2026-07-08,nse_xbrl,15-JAN-2026
3MINDIA,Q4FY26,31-MAR-2026,75.0,3.52,8.33,25.0,0.0,0.02,-0.06,STABLE,2026-07-08,nse_xbrl,19-APR-2026
3PLAND,Q2FY23,30-SEP-2022,73.3,0.0,0.0,26.7,,,,STABLE,2026-07-08,nse_xbrl,20-OCT-2022
3PLAND,Q1FY25,30-JUN-2024,73.3,0.0,0.0,26.7,,,,STABLE,2026-07-08,nse_xbrl,15-JUL-2024
3PLAND,Q2FY25,30-SEP-2024,73.3,0.0,0.0,26.7,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,15-OCT-2024
3PLAND,Q3FY25,31-DEC-2024,73.3,0.0,0.0,26.7,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,18-JAN-2025
3PLAND,Q4FY25,31-MAR-2025,73.3,0.0,0.0,26.7,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,19-APR-2025
5PAISA,Q2FY25,30-SEP-2024,32.77,21.58,0.25,67.22,,,,STABLE,2026-07-08,nse_xbrl,21-OCT-2024
5PAISA,Q3FY25,31-DEC-2024,32.77,21.59,0.25,67.22,0.0,0.01,0.0,STABLE,2026-07-08,nse_xbrl,13-JAN-2025
5PAISA,Q4FY25,31-MAR-2025,32.75,21.57,0.25,67.24,-0.02,-0.02,0.0,STABLE,2026-07-08,nse_xbrl,11-APR-2025
5PAISA,Q1FY26,30-JUN-2025,32.75,21.62,0.26,67.24,0.0,0.05,0.01,STABLE,2026-07-08,nse_xbrl,21-JUL-2025
5PAISA,Q2FY26,30-SEP-2025,32.75,21.67,0.25,67.24,0.0,0.05,-0.01,STABLE,2026-07-08,nse_xbrl,17-OCT-2025
5PAISA,Q3FY26,31-DEC-2025,32.78,12.37,0.01,67.21000000000001,0.03,-9.3,-0.24,STABLE,2026-07-08,nse_xbrl,21-JAN-2026
5PAISA,Q4FY26,31-MAR-2026,32.77,12.41,0.01,67.22,-0.01,0.04,0.0,STABLE,2026-07-08,nse_xbrl,17-APR-2026
5PAISA,Q1FY27,13-APR-2026,36.5,15.07,0.01,63.49,3.73,2.66,0.0,STRONG_PROMOTER_FII_BUY,2026-07-08,nse_xbrl,20-APR-2026
63MOONS,Q1FY25,30-JUN-2024,45.63,4.12,0.09,54.37,,,,STABLE,2026-07-08,nse_xbrl,15-JUL-2024
63MOONS,Q2FY25,30-SEP-2024,45.63,3.05,0.01,54.37,0.0,-1.07,-0.08,STABLE,2026-07-08,nse_xbrl,18-OCT-2024
63MOONS,Q3FY25,31-DEC-2024,45.63,1.55,0.01,54.37,0.0,-1.5,0.0,STABLE,2026-07-08,nse_xbrl,20-JAN-2025
63MOONS,Q4FY25,31-MAR-2025,45.63,1.41,0.01,54.37,0.0,-0.14,0.0,STABLE,2026-07-08,nse_xbrl,17-APR-2025
63MOONS,Q1FY26,30-JUN-2025,45.63,2.2,0.01,54.37,0.0,0.79,0.0,FII_ACCUMULATION,2026-07-08,nse_xbrl,18-JUL-2025
63MOONS,Q2FY26,30-SEP-2025,45.63,1.17,0.01,54.37,0.0,-1.03,0.0,STABLE,2026-07-08,nse_xbrl,17-OCT-2025
63MOONS,Q3FY26,31-DEC-2025,45.63,1.08,0.01,54.37,0.0,-0.09,0.0,STABLE,2026-07-08,nse_xbrl,16-JAN-2026
63MOONS,Q4FY26,31-MAR-2026,45.63,1.3,0.01,54.37,0.0,0.22,0.0,STABLE,2026-07-08,nse_xbrl,15-APR-2026
A2ZINFRA,Q1FY25,30-JUN-2024,28.14,1.64,0.11,71.86,,,,STABLE,2026-07-08,nse_xbrl,18-JUL-2024
A2ZINFRA,Q2FY25,30-SEP-2024,28.14,1.62,0.11,71.86,0.0,-0.02,0.0,STABLE,2026-07-08,nse_xbrl,17-OCT-2024
A2ZINFRA,Q3FY25,31-DEC-2024,28.14,1.28,0.11,71.86,0.0,-0.34,0.0,STABLE,2026-07-08,nse_xbrl,21-JAN-2025
A2ZINFRA,Q4FY25,31-MAR-2025,28.14,1.03,0.1,71.86,0.0,-0.25,-0.01,STABLE,2026-07-08,nse_xbrl,21-APR-2025
A2ZINFRA,Q1FY26,30-JUN-2025,28.14,0.9,0.1,71.86,0.0,-0.13,0.0,STABLE,2026-07-08,nse_xbrl,21-JUL-2025
A2ZINFRA,Q2FY26,30-SEP-2025,28.14,0.8500000000000001,0.1,71.86,0.0,-0.05,0.0,STABLE,2026-07-08,nse_xbrl,18-OCT-2025
A2ZINFRA,Q3FY26,31-DEC-2025,28.14,0.8200000000000001,0.1,71.86,0.0,-0.03,0.0,STABLE,2026-07-08,nse_xbrl,19-JAN-2026
A2ZINFRA,Q4FY26,31-MAR-2026,28.14,0.86,0.1,71.86,0.0,0.04,0.0,STABLE,2026-07-08,nse_xbrl,21-APR-2026
AAATECH,Q1FY25,30-JUN-2024,71.51,0.0,0.0,28.49,,,,STABLE,2026-07-08,nse_xbrl,09-JUL-2024
AAATECH,Q2FY25,30-SEP-2024,71.51,0.03,0.0,28.49,0.0,0.03,0.0,STABLE,2026-07-08,nse_xbrl,17-OCT-2024
AAATECH,Q3FY25,31-DEC-2024,71.51,0.0,0.0,28.49,0.0,-0.03,0.0,STABLE,2026-07-08,nse_xbrl,13-JAN-2025
AAATECH,Q4FY25,31-MAR-2025,71.51,0.0,0.0,28.49,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,17-APR-2025
AAATECH,Q1FY26,30-JUN-2025,34.38,35.2,,28.49,-37.13,35.2,,FII_ACCUMULATION,2026-07-08,screener,18-JUL-2025
AAATECH,Q2FY26,30-SEP-2025,63.93,7.77,,36.07,29.55,-27.43,,STRONG_PROMOTER_BUY,2026-07-08,nse_xbrl,16-OCT-2025
AAATECH,Q3FY26,31-DEC-2025,34.38,34.09,,65.62,-29.55,26.32,,FII_ACCUMULATION,2026-07-08,nse_xbrl,20-JAN-2026
AAATECH,Q4FY26,31-MAR-2026,34.38,35.19,,65.62,0.0,1.1,,FII_ACCUMULATION,2026-07-08,nse_xbrl,17-APR-2026
AADHARHFC,Q1FY25,14-MAY-2024,76.48,4.47,7.18,23.52,,,,STABLE,2026-07-08,nse_xbrl,16-MAY-2024
AADHARHFC,Q2FY25,30-SEP-2024,75.89,4.33,9.46,24.11,-0.59,-0.14,2.28,DII_ACCUMULATION,2026-07-08,nse_xbrl,18-OCT-2024
AADHARHFC,Q3FY25,31-DEC-2024,75.74,4.3,9.27,24.26,-0.15,-0.03,-0.19,STABLE,2026-07-08,nse_xbrl,08-JAN-2025
AADHARHFC,Q4FY25,31-MAR-2025,75.61,5.32,8.57,24.39,-0.13,1.02,-0.7,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,17-APR-2025
AADHARHFC,Q1FY26,30-JUN-2025,75.5,5.58,8.44,24.5,-0.11,0.26,-0.13,STABLE,2026-07-08,nse_xbrl,17-JUL-2025
AADHARHFC,Q2FY26,30-SEP-2025,75.32,6.1,8.25,24.68,-0.18,0.52,-0.19,FII_ACCUMULATION,2026-07-08,nse_xbrl,14-OCT-2025
AADHARHFC,Q3FY26,31-DEC-2025,75.19,6.18,8.450000000000001,24.81,-0.13,0.08,0.2,STABLE,2026-07-08,nse_xbrl,16-JAN-2026
AADHARHFC,Q4FY26,31-MAR-2026,64.9,6.13,9.15,35.099999999999994,-10.29,-0.05,0.7,DII_ACCUMULATION,2026-07-08,nse_xbrl,13-APR-2026
AAKASH,Q2FY23,30-SEP-2022,66.67,0.0,0.0,33.33,,,,STABLE,2026-07-08,nse_xbrl,19-OCT-2022
AAKASH,Q1FY25,30-JUN-2024,66.67,0.0,0.0,33.33,,,,STABLE,2026-07-08,nse_xbrl,08-JUL-2024
AAKASH,Q2FY25,30-SEP-2024,66.67,0.0,0.0,33.33,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,15-OCT-2024
AAKASH,Q3FY25,31-DEC-2024,66.67,0.0,0.0,33.33,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,10-JAN-2025
AAKASH,Q4FY25,31-MAR-2025,66.54,0.0,0.0,33.46,-0.13,0.0,0.0,STABLE,2026-07-08,nse_xbrl,08-APR-2025
AAKASH,Q1FY26,30-JUN-2025,66.54,0.0,,33.46,0.0,0.0,,STABLE,2026-07-08,screener,17-JUL-2025
AARON,Q2FY23,30-SEP-2022,74.97,0.0,0.0,25.03,,,,STABLE,2026-07-08,nse_xbrl,19-OCT-2022
AARON,Q1FY25,30-JUN-2024,73.06,0.0,0.0,26.94,,,,STABLE,2026-07-08,nse_xbrl,09-JUL-2024
AARON,Q2FY25,30-SEP-2024,73.06,0.0,0.52,26.94,0.0,0.0,0.52,DII_ACCUMULATION,2026-07-08,nse_xbrl,11-OCT-2024
AARON,Q3FY25,31-DEC-2024,73.06,0.0,0.52,26.94,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,16-JAN-2025
AARON,Q4FY25,31-MAR-2025,73.06,0.0,0.52,26.94,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,14-APR-2025
AARON,Q1FY26,30-JUN-2025,73.06,0.0,0.43,26.94,0.0,0.0,-0.09,STABLE,2026-07-08,nse_xbrl,07-JUL-2025
AARTECH,Q1FY25,30-JUN-2024,52.68,0.0,1.39,47.32,,,,STABLE,2026-07-08,nse_xbrl,16-JUL-2024
AARTECH,Q2FY25,30-SEP-2024,52.68,0.02,1.39,47.32,0.0,0.02,0.0,STABLE,2026-07-08,nse_xbrl,17-OCT-2024
AARTECH,Q3FY25,31-DEC-2024,52.72,0.0,1.39,47.28,0.04,-0.02,0.0,STABLE,2026-07-08,nse_xbrl,17-JAN-2025
AARTECH,Q4FY25,31-MAR-2025,52.72,0.0,1.67,47.28,0.0,0.0,0.28,STABLE,2026-07-08,nse_xbrl,10-APR-2025
AARTECH,Q1FY26,30-JUN-2025,52.72,0.0,1.38,47.28,0.0,0.0,-0.29,STABLE,2026-07-08,nse_xbrl,17-JUL-2025
AARTIDRUGS,Q1FY25,30-JUN-2024,55.67,2.96,7.35,44.33,,,,STABLE,2026-07-08,nse_xbrl,18-JUL-2024
AARTIDRUGS,Q2FY25,30-SEP-2024,55.64,2.5,7.84,44.36,-0.03,-0.46,0.49,STABLE,2026-07-08,nse_xbrl,14-OCT-2024
AARTIDRUGS,Q3FY25,31-DEC-2024,55.38,2.28,8.77,44.62,-0.26,-0.22,0.93,DII_ACCUMULATION,2026-07-08,nse_xbrl,20-JAN-2025
AARTIDRUGS,Q4FY25,31-MAR-2025,55.48,2.25,9.7,44.52,0.1,-0.03,0.93,DII_ACCUMULATION,2026-07-08,nse_xbrl,18-APR-2025
AARTIDRUGS,Q1FY26,30-JUN-2025,55.22,2.26,9.94,44.78,-0.26,0.01,0.24,STABLE,2026-07-08,nse_xbrl,17-JUL-2025
AARTIDRUGS,Q2FY26,30-SEP-2025,54.72,2.69,9.9,45.28,-0.5,0.43,-0.04,STABLE,2026-07-08,nse_xbrl,18-OCT-2025
AARTIDRUGS,Q3FY26,31-DEC-2025,55.03,2.15,10.12,44.97,0.31,-0.54,0.22,STABLE,2026-07-08,nse_xbrl,21-JAN-2026
AARTIDRUGS,Q4FY26,31-MAR-2026,55.03,1.58,10.22,44.97,0.0,-0.57,0.1,STABLE,2026-07-08,nse_xbrl,20-APR-2026
AARTIIND,Q1FY25,30-JUN-2024,43.24,10.61,18.56,56.76,,,,STABLE,2026-07-08,nse_xbrl,18-JUL-2024
AARTIIND,Q2FY25,30-SEP-2024,42.61,9.68,18.13,57.39,-0.63,-0.93,-0.43,STABLE,2026-07-08,nse_xbrl,09-OCT-2024
AARTIIND,Q3FY25,31-DEC-2024,42.35,7.25,17.94,57.65,-0.26,-2.43,-0.19,STABLE,2026-07-08,nse_xbrl,17-JAN-2025
AARTIIND,Q4FY25,31-MAR-2025,42.24,6.29,19.97,57.76,-0.11,-0.96,2.03,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,16-APR-2025
AARTIIND,Q1FY26,30-JUN-2025,42.24,6.44,20.38,57.76,0.0,0.15,0.41,STABLE,2026-07-08,nse_xbrl,21-JUL-2025
AARTIIND,Q2FY26,30-SEP-2025,42.18,6.4,18.21,57.82000000000001,-0.06,-0.04,-2.17,STABLE,2026-07-08,nse_xbrl,15-OCT-2025
AARTIIND,Q3FY26,31-DEC-2025,42.14,6.69,18.22,57.86,-0.04,0.29,0.01,STABLE,2026-07-08,nse_xbrl,21-JAN-2026
AARTIIND,Q4FY26,31-MAR-2026,42.09,7.380000000000001,20.12,57.91,-0.05,0.69,1.9,FII_DII_ACCUMULATION,2026-07-08,nse_xbrl,17-APR-2026
AARTIPHARM,Q1FY25,30-JUN-2024,46.46,7.06,11.47,53.54,,,,STABLE,2026-07-08,nse_xbrl,17-JUL-2024
AARTIPHARM,Q2FY25,30-SEP-2024,46.1,7.38,11.35,53.9,-0.36,0.32,-0.12,STABLE,2026-07-08,nse_xbrl,11-OCT-2024
AARTIPHARM,Q3FY25,31-DEC-2024,44.66,8.64,10.36,55.34,-1.44,1.26,-0.99,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,14-JAN-2025
AARTIPHARM,Q4FY25,31-MAR-2025,44.29,7.36,7.53,55.71,-0.37,-1.28,-2.83,STABLE,2026-07-08,nse_xbrl,11-APR-2025
AARTIPHARM,Q1FY26,30-JUN-2025,43.72,7.35,7.79,56.28,-0.57,-0.01,0.26,STABLE,2026-07-08,nse_xbrl,18-JUL-2025
AARTIPHARM,Q2FY26,30-SEP-2025,42.88,8.02,6.959999999999999,57.120000000000005,-0.84,0.67,-0.83,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,16-OCT-2025
AARTIPHARM,Q3FY26,31-DEC-2025,43.1,7.68,7.66,56.89999999999999,0.22,-0.34,0.7,DII_ACCUMULATION,2026-07-08,nse_xbrl,16-JAN-2026
AARTIPHARM,Q4FY26,31-MAR-2026,43.08,8.39,7.41,56.92,-0.02,0.71,-0.25,FII_ACCUMULATION,2026-07-08,nse_xbrl,16-APR-2026
AARTISURF,Q1FY25,30-JUN-2024,49.81,0.04,0.0,50.19,,,,STABLE,2026-07-08,nse_xbrl,09-JUL-2024
AARTISURF,Q2FY25,30-SEP-2024,49.92,0.06,1.06,50.08,0.11,0.02,1.06,DII_ACCUMULATION,2026-07-08,nse_xbrl,18-OCT-2024
AARTISURF,Q3FY25,31-DEC-2024,49.92,0.0,0.8,50.08,0.0,-0.06,-0.26,STABLE,2026-07-08,nse_xbrl,10-JAN-2025
AARTISURF,Q4FY25,31-MAR-2025,49.92,0.14,0.8,50.08,0.0,0.14,0.0,STABLE,2026-07-08,nse_xbrl,17-APR-2025
AARTISURF,Q1FY26,30-JUN-2025,49.92,0.0,0.8,50.08,0.0,-0.14,0.0,STABLE,2026-07-08,nse_xbrl,21-JUL-2025
AARTISURF,Q2FY26,30-SEP-2025,49.92,0.0,0.8,50.080000000000005,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,21-OCT-2025
AARTISURF,Q3FY26,31-DEC-2025,49.88,0.0,0.3,50.12,-0.04,0.0,-0.5,STABLE,2026-07-08,nse_xbrl,14-JAN-2026
AARTISURF,Q4FY26,31-MAR-2026,49.87,0.1399999999999999,0.0,50.13,-0.01,0.14,-0.3,STABLE,2026-07-08,nse_xbrl,17-APR-2026
AARVI,Q2FY23,30-SEP-2022,73.47,0.0,0.0,26.53,,,,STABLE,2026-07-08,nse_xbrl,13-OCT-2022
AARVI,Q1FY25,30-JUN-2024,73.54,0.0,0.0,26.46,,,,STABLE,2026-07-08,nse_xbrl,12-JUL-2024
AARVI,Q2FY25,30-SEP-2024,73.58,0.0,0.0,26.42,0.04,0.0,0.0,STABLE,2026-07-08,nse_xbrl,10-OCT-2024
AARVI,Q3FY25,31-DEC-2024,73.58,0.0,0.0,26.42,0.0,0.0,0.0,STABLE,2026-07-08,nse_xbrl,09-JAN-2025
AARVI,Q4FY25,31-MAR-2025,73.47,0.0,0.0,26.53,-0.11,0.0,0.0,STABLE,2026-07-08,nse_xbrl,09-APR-2025
AARVI,Q1FY26,30-JUN-2025,73.53,0.0,,26.53,0.06,0.0,,STABLE,2026-07-08,screener,14-JUL-2025
AARVI,Q3FY26,31-DEC-2025,73.53,0.01,,26.47,,,,STABLE,2026-07-08,nse_xbrl,12-JAN-2026
AARVI,Q4FY26,31-MAR-2026,73.53,0.0,,26.47,0.0,-0.01,,STABLE,2026-07-08,nse_xbrl,15-APR-2026
AAVAS,Q1FY25,30-JUN-2024,26.47,35.88,24.4,73.53,,,,STABLE,2026-07-08,nse_xbrl,17-JUL-2024
AAVAS,Q2FY25,30-SEP-2024,26.47,35.5,25.56,73.53,0.0,-0.38,1.16,DII_ACCUMULATION,2026-07-08,nse_xbrl,10-OCT-2024
AAVAS,Q3FY25,31-DEC-2024,26.47,33.97,25.69,73.53,0.0,-1.53,0.13,STABLE,2026-07-08,nse_xbrl,18-JAN-2025
AAVAS,Q4FY25,31-MAR-2025,26.47,29.67,10.75,73.53,0.0,-4.3,-14.94,STABLE,2026-07-08,nse_xbrl,11-APR-2025
AAVAS,Q1FY26,30-JUN-2025,48.96,29.77,11.51,51.04,22.49,0.1,0.76,STRONG_PROMOTER_BUY,2026-07-08,nse_xbrl,21-JUL-2025
AAVAS,Q2FY26,30-SEP-2025,48.96,25.88,14.14,51.04,0.0,-3.89,2.63,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,17-OCT-2025
AAVAS,Q3FY26,31-DEC-2025,48.95,24.72,14.29,51.05,-0.01,-1.16,0.15,STABLE,2026-07-08,nse_xbrl,20-JAN-2026
AAVAS,Q4FY26,31-MAR-2026,48.88,16.74,22.14,51.12,-0.07,-7.98,7.85,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,17-APR-2026
ABB,Q1FY25,30-JUN-2024,75.0,12.06,5.64,25.0,,,,STABLE,2026-07-08,nse_xbrl,17-JUL-2024
ABB,Q2FY25,30-SEP-2024,75.0,12.28,5.42,25.0,0.0,0.22,-0.22,STABLE,2026-07-08,nse_xbrl,16-OCT-2024
ABB,Q3FY25,31-DEC-2024,75.0,11.85,5.69,25.0,0.0,-0.43,0.27,STABLE,2026-07-08,nse_xbrl,17-JAN-2025
ABB,Q4FY25,31-MAR-2025,75.0,10.28,7.02,25.0,0.0,-1.57,1.33,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,10-APR-2025
ABB,Q1FY26,30-JUN-2025,75.0,9.25,7.66,25.0,0.0,-1.03,0.64,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,15-JUL-2025
ABB,Q2FY26,30-SEP-2025,75.0,8.290000000000001,8.309999999999999,25.0,0.0,-0.96,0.65,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,14-OCT-2025
ABB,Q3FY26,31-DEC-2025,75.0,7.649999999999999,9.15,25.0,0.0,-0.64,0.84,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,13-JAN-2026
ABB,Q4FY26,31-MAR-2026,75.0,8.200000000000001,9.29,25.0,0.0,0.55,0.14,FII_ACCUMULATION,2026-07-08,nse_xbrl,17-APR-2026
ABCAPITAL,Q2FY25,30-SEP-2024,68.9,11.05,8.46,31.1,,,,STABLE,2026-07-08,nse_xbrl,21-OCT-2024
ABCAPITAL,Q3FY25,31-DEC-2024,68.86,9.22,9.52,31.14,-0.04,-1.83,1.06,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,17-JAN-2025
ABCAPITAL,Q4FY25,31-MAR-2025,68.85,8.8,9.78,31.15,-0.01,-0.42,0.26,STABLE,2026-07-08,nse_xbrl,21-APR-2025
ABCAPITAL,Q1FY26,30-JUN-2025,68.76,7.16,12.06,31.24,-0.09,-1.64,2.28,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,21-JUL-2025
ABCAPITAL,Q2FY26,30-SEP-2025,68.7,6.78,12.83,31.3,-0.06,-0.38,0.77,DII_ACCUMULATION,2026-07-08,nse_xbrl,20-OCT-2025
ABCAPITAL,Q3FY26,31-DEC-2025,68.58,5.83,14.67,31.42,-0.12,-0.95,1.84,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,05-JAN-2026
ABCAPITAL,Q4FY26,31-MAR-2026,68.51,7.7,13.82,31.49,-0.07,1.87,-0.85,FII_DII_DIVERGENCE,2026-07-08,nse_xbrl,05-APR-2026
ABCAPITAL,Q1FY27,23-JUN-2026,68.81,8.42,13.69,31.19,0.3,0.72,-0.13,FII_ACCUMULATION,2026-07-08,nse_xbrl,23-JUN-2026
ABCOTS,Q2FY23,30-SEP-2022,34.91,0.0,0.0,65.09,,,,STABLE,2026-07-08,nse_xbrl,10-OCT-2022
ABCOTS,Q2FY25,30-SEP-2024,34.91,0.0,0.0,65.09,,,,STABLE,2026-07-08,nse_xbrl,10-OCT-2024
ABCOTS,Q4FY25,05-MAR-2025,70.39,0.2,0.0,29.61,,,,STABLE,2026-07-08,nse_xbrl,13-MAR-2025
ABCOTS,Q1FY26,07-APR-2025,52.5,0.11,0.0,47.5,-17.89,-0.09,0.0,PROMOTER_SELLING,2026-07-08,nse_xbrl,16-APR-2025
ABCOTS,Q2FY26,30-SEP-2025,52.5,0.11,,47.5,0.0,0.0,,STABLE,2026-07-08,nse_xbrl,18-OCT-2025
ABCOTS,Q3FY26,31-DEC-2025,52.5,0.11,,47.5,0.0,0.0,,STABLE,2026-07-08,nse_xbrl,16-JAN-2026
