symbol,holding_signal,holding_score,announcement_score,ai_tone_score,management_score,management_label,announcement_types,as_of_date
AGARWALEYE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AGI,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AGIIL,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
AGROPHOS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AHCL,STABLE,50.0,60.0,,54.0,NEUTRAL,BONUS|STOCK_SPLIT,2026-08-18
AHLADA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AHLEAST,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AHLUCONT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AIAENG,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AIIL,STABLE,50.0,65.0,,56.0,POSITIVE,BONUS,2026-08-18
AIRAN,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AIROLAM,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AJANTPHARM,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AJAXENGG,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AJMERA,STABLE,50.0,55.0,,52.0,NEUTRAL,STOCK_SPLIT,2026-08-18
AJOONI,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AKASH,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AKG,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AKI,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AKSHAR,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AKSHARCHEM,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AKUMS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ALANKIT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ALBERTDAVD,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ALEMBICLTD,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ALGOQUANT,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
ALICON,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
ALIVUS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ALKEM,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
ALKYLAMINE,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
ALLCARGO,PROMOTER_SELLING,20.0,50.0,,32.0,WEAK,,2026-08-18
ALLDIGI,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
ALLTIME,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ALMONDZ,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ALOKINDS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ALPA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ALPHAGEO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AMAGI,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AMBER,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
AMBICAAGAR,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AMBIKCO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AMBUJACEM,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
AMDIND,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AMIRCHAND,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AMJLAND,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AMNPLST,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AMRUTANJAN,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
ANANDRATHI,STABLE,50.0,67.5,,57.0,POSITIVE,BONUS|DIVIDEND,2026-08-18
ANANTRAJ,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ANDHRAPAP,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
ANDHRSUGAR,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ANGELONE,DII_ACCUMULATION,55.0,65.0,,59.0,POSITIVE,DIVIDEND|STOCK_SPLIT|DIVIDEND,2026-08-18
ANMOL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ANTELOPUS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ANTGRAPHIC,STRONG_PROMOTER_FII_BUY,90.0,50.0,,74.0,POSITIVE,,2026-08-18
ANTHEM,DII_ACCUMULATION,55.0,70.0,,61.0,POSITIVE,DIVIDEND,2026-08-18
ANUHPHR,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ANUP,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ANURAS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
APARINDS,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
APCL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
APCOTEXIND,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND|DIVIDEND,2026-08-18
APEX,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
APLAPOLLO,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
APLLTD,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
APOLLO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
APOLLOHOSP,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
APOLLOPIPE,STRONG_PROMOTER_BUY,70.0,50.0,,62.0,POSITIVE,,2026-08-18
APOLLOTYRE,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
APOLSINHOT,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
APTECHT,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
APTUS,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
AQYLON,FII_DII_ACCUMULATION,75.0,55.0,,67.0,POSITIVE,STOCK_SPLIT,2026-08-18
ARCHIDPLY,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ARCHIES,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ARE&M,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ARENTERP,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ARFIN,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ARIES,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ARIHANTCAP,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ARIHANTSUP,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ARIS,FII_DII_ACCUMULATION,75.0,50.0,,65.0,POSITIVE,,2026-08-18
ARKADE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ARMANFIN,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
AROGRANITE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ARSSBL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
ARTEMISMED,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ARTNIRMAN,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ARVEE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ARVIND,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
ARVINDFASN,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
ARVSMART,STRONG_PROMOTER_BUY,70.0,50.0,,62.0,POSITIVE,,2026-08-18
ASAHIINDIA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ASAHISONG,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ASAL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ASALCBR,STRONG_PROMOTER_BUY,70.0,50.0,,62.0,POSITIVE,,2026-08-18
ASHAPURMIN,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ASHIANA,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
ASHIMASYN,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ASHOKA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ASHOKAMET,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ASHOKLEY,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
ASIANENE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ASIANHOTNR,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ASIANPAINT,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
ASIANTILES,STRONG_PROMOTER_BUY,70.0,50.0,,62.0,POSITIVE,,2026-08-18
ASKAUTOLTD,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
ASPINWALL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ASTEC,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ASTERDM,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
ASTRAL,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
ASTRAMICRO,FII_DII_ACCUMULATION,75.0,50.0,,65.0,POSITIVE,,2026-08-18
ASTRAZEN,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ATALREAL,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
ATAM,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ATGL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
ATHERENERG,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
ATL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ATLANTAA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ATLANTAELE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ATLASCYCLE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ATUL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
ATULAUTO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AUBANK,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
AURIGROW,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AURIONPRO,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AUROPHARMA,FII_DII_DIVERGENCE,40.0,80.0,,56.0,POSITIVE,BUYBACK,2026-08-18
AURUM,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AUTOAXLES,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
AVALON,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
AVANTEL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
AVANTIFEED,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
AVG,STABLE,50.0,45.0,,48.0,NEUTRAL,FUNDRAISE,2026-08-18
AVL,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
AVONMORE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AVROIND,STABLE,50.0,55.0,,52.0,NEUTRAL,STOCK_SPLIT,2026-08-18
AVTNPL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
AWFIS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AWHCL,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
AWL,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
AXISBANK,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
AXISCADES,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
AXITA,STABLE,50.0,65.0,,56.0,POSITIVE,BONUS,2026-08-18
AYE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AYMSYNTEX,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
AZAD,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
BAGFILMS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BAIDFIN,STRONG_PROMOTER_BUY,70.0,50.0,,62.0,POSITIVE,,2026-08-18
BAJAJ-AUTO,STABLE,50.0,75.0,,60.0,POSITIVE,BUYBACK|DIVIDEND,2026-08-18
BAJAJCON,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
BAJAJELEC,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BAJAJFINSV,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
BAJAJHCARE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BAJAJHFL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BAJAJHIND,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
BAJAJHLDNG,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
BAJAJINDEF,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BAJEL,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
BAJFINANCE,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
BALAJEE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BALAJITELE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BALAMINES,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BALKRISHNA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BALKRISIND,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
BALMLAWRIE,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
BALPHARMA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BALRAMCHIN,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BALUFORGE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BANARBEADS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BANARISUG,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BANCOINDIA,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
BANDHANBNK,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
BANG,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BANKBARODA,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
BANKINDIA,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
BANSALWIRE,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
BANSWRAS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BASF,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
BASML,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BATAINDIA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BBL,FII_ACCUMULATION,60.0,50.0,,56.0,POSITIVE,,2026-08-18
BBOX,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BBTC,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
BBTCL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BCG,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BCLIND,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BCONCEPTS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BCPL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
BDL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
BEARDSELL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BECTORFOOD,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
BEDMUTHA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BEL,FII_ACCUMULATION,60.0,70.0,,64.0,POSITIVE,DIVIDEND,2026-08-18
BELLACASA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BELRISE,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
BEML,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND|DIVIDEND,2026-08-18
BEPL,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
BERGEPAINT,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
BESTAGRO,STABLE,50.0,60.0,,54.0,NEUTRAL,BONUS|STOCK_SPLIT,2026-08-18
BETA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BFINVEST,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BFUTILITIE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BHAGCHEM,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BHANDARI,STABLE,50.0,45.0,,48.0,NEUTRAL,FUNDRAISE,2026-08-18
BHARATCOAL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BHARATFORG,FII_DII_DIVERGENCE,40.0,70.0,,52.0,NEUTRAL,DIVIDEND,2026-08-18
BHARATGEAR,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BHARATRAS,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BHARATSE,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BHARATWIRE,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
BHARTIARTL,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
BHARTIHEXA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BHEL,FII_DII_ACCUMULATION,75.0,50.0,,65.0,POSITIVE,,2026-08-18
BIGBLOC,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BIKAJI,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
BIL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BIOCON,PROMOTER_SELLING,20.0,50.0,,32.0,WEAK,,2026-08-18
BIOFILCHEM,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BIRLACORPN,DII_ACCUMULATION,55.0,50.0,,53.0,NEUTRAL,,2026-08-18
BIRLAMONEY,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BIRLANU,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BLACKBUCK,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
BLAL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BLBLIMITED,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BLISSGVS,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
BLKASHYAP,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BLS,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
BLSE,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
BLUEDART,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
BLUEJET,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BLUESTARCO,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
BLUESTONE,FII_DII_DIVERGENCE,40.0,50.0,,44.0,NEUTRAL,,2026-08-18
BLUSPRING,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BMWVENTLTD,STABLE,50.0,70.0,,58.0,POSITIVE,DIVIDEND,2026-08-18
BOHRAIND,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BOMDYEING,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BORANA,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BOROLTD,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BORORENEW,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BOROSCI,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
BOSCH-HCIL,STABLE,50.0,50.0,,50.0,NEUTRAL,,2026-08-18
