doc_id,domain,entity,text_len
stock_LLOYDSENGG,STOCK,LLOYDSENGG,447
stock_MANAPPURAM,STOCK,MANAPPURAM,508
stock_IRISDOREME,STOCK,IRISDOREME,437
stock_UJJIVANSFB,STOCK,UJJIVANSFB,435
stock_TRANSPEK,STOCK,TRANSPEK,441
stock_CRAFTSMAN,STOCK,CRAFTSMAN,477
stock_REDINGTON,STOCK,REDINGTON,473
stock_ATHERENERG,STOCK,ATHERENERG,429
stock_RITCO,STOCK,RITCO,424
stock_SSWL,STOCK,SSWL,462
stock_MOTHERSON,STOCK,MOTHERSON,495
stock_THEJO,STOCK,THEJO,432
stock_HAPPYFORGE,STOCK,HAPPYFORGE,498
stock_RANEHOLDIN,STOCK,RANEHOLDIN,508
stock_ARTEMISMED,STOCK,ARTEMISMED,492
stock_ALGOQUANT,STOCK,ALGOQUANT,454
stock_LASERPOWER,STOCK,LASERPOWER,430
stock_BUILDPRO,STOCK,BUILDPRO,478
stock_OPTIEMUS,STOCK,OPTIEMUS,429
stock_VADILALIND,STOCK,VADILALIND,480
stock_ATALREAL,STOCK,ATALREAL,427
stock_NITINSPIN,STOCK,NITINSPIN,434
stock_MEDANTA,STOCK,MEDANTA,432
stock_SAHYADRI,STOCK,SAHYADRI,433
stock_SHRIPISTON,STOCK,SHRIPISTON,480
stock_YASHO,STOCK,YASHO,475
stock_AMAGI,STOCK,AMAGI,410
stock_CYIENTDLM,STOCK,CYIENTDLM,444
stock_SANSERA,STOCK,SANSERA,471
stock_BAJFINANCE,STOCK,BAJFINANCE,508
stock_LLOYDSME,STOCK,LLOYDSME,476
stock_SAILIFE,STOCK,SAILIFE,430
stock_RRKABEL,STOCK,RRKABEL,489
stock_GSPCROP,STOCK,GSPCROP,430
stock_HMVL,STOCK,HMVL,413
stock_LOTUSDEV,STOCK,LOTUSDEV,427
stock_TBZ,STOCK,TBZ,459
stock_CONFIPET,STOCK,CONFIPET,478
stock_ASIANENE,STOCK,ASIANENE,478
stock_GRWRHITECH,STOCK,GRWRHITECH,498
stock_RKFORGE,STOCK,RKFORGE,471
stock_THELEELA,STOCK,THELEELA,437
stock_CENTENKA,STOCK,CENTENKA,431
stock_SGFIN,STOCK,SGFIN,442
stock_PRUDENT,STOCK,PRUDENT,499
stock_AEGISVOPAK,STOCK,AEGISVOPAK,484
stock_METROPOLIS,STOCK,METROPOLIS,492
stock_MAHASTEEL,STOCK,MAHASTEEL,428
stock_SUPRAJIT,STOCK,SUPRAJIT,474
stock_VARROC,STOCK,VARROC,417
stock_TATVA,STOCK,TATVA,475
stock_CHOLAFIN,STOCK,CHOLAFIN,502
stock_OMNI,STOCK,OMNI,429
stock_KARURVYSYA,STOCK,KARURVYSYA,486
stock_ZYDUSLIFE,STOCK,ZYDUSLIFE,481
stock_EMCURE,STOCK,EMCURE,421
stock_RADICO,STOCK,RADICO,468
stock_ADOR,STOCK,ADOR,480
stock_NILE,STOCK,NILE,413
stock_SHREEJISPG,STOCK,SHREEJISPG,490
stock_KDDL,STOCK,KDDL,462
stock_UTLSOLAR,STOCK,UTLSOLAR,441
stock_CMLL,STOCK,CMLL,412
stock_MMFL,STOCK,MMFL,462
stock_TAALTECH,STOCK,TAALTECH,431
stock_EICHERMOT,STOCK,EICHERMOT,477
stock_AETHER,STOCK,AETHER,427
stock_AARVI,STOCK,AARVI,416
stock_PPLPHARMA,STOCK,PPLPHARMA,430
stock_HIRECT,STOCK,HIRECT,486
stock_RATEGAIN,STOCK,RATEGAIN,419
stock_SOTL,STOCK,SOTL,466
stock_MANCREDIT,STOCK,MANCREDIT,505
stock_GLAND,STOCK,GLAND,469
stock_MINDACORP,STOCK,MINDACORP,477
stock_SHALPAINTS,STOCK,SHALPAINTS,439
stock_KNACK,STOCK,KNACK,415
stock_JGCHEM,STOCK,JGCHEM,427
stock_VISAKAIND,STOCK,VISAKAIND,485
stock_PICCADIL,STOCK,PICCADIL,423
stock_PGIL,STOCK,PGIL,470
stock_ELPROINTL,STOCK,ELPROINTL,430
stock_FERMENTA,STOCK,FERMENTA,478
stock_BLSE,STOCK,BLSE,458
stock_THYROCARE,STOCK,THYROCARE,489
stock_HEG,STOCK,HEG,477
stock_INDNIPPON,STOCK,INDNIPPON,495
stock_ACE,STOCK,ACE,408
stock_CHOICEIN,STOCK,CHOICEIN,443
stock_SAKAR,STOCK,SAKAR,418
stock_AMBALALSA,STOCK,AMBALALSA,430
stock_SGMART,STOCK,SGMART,419
stock_TORNTPHARM,STOCK,TORNTPHARM,484
stock_TFCILTD,STOCK,TFCILTD,499
stock_BALRAMCHIN,STOCK,BALRAMCHIN,480
stock_TITAN,STOCK,TITAN,465
stock_INDIANHUME,STOCK,INDIANHUME,498
stock_TBOTEK,STOCK,TBOTEK,431
stock_UNITDSPR,STOCK,UNITDSPR,474
stock_AJANTPHARM,STOCK,AJANTPHARM,484
stock_GODREJIND,STOCK,GODREJIND,430
stock_SHILPAMED,STOCK,SHILPAMED,481
stock_NELCO,STOCK,NELCO,461
stock_BAJAJFINSV,STOCK,BAJAJFINSV,508
stock_LODHA,STOCK,LODHA,418
stock_LLOYDSENT,STOCK,LLOYDSENT,495
stock_RAINBOW,STOCK,RAINBOW,483
stock_HNDFDS,STOCK,HNDFDS,417
stock_SHRIRAMFIN,STOCK,SHRIRAMFIN,508
stock_IIFL,STOCK,IIFL,490
stock_LENSKART,STOCK,LENSKART,427
stock_KTKBANK,STOCK,KTKBANK,477
stock_AEGISLOG,STOCK,AEGISLOG,478
stock_IGPL,STOCK,IGPL,472
stock_ARIHANT,STOCK,ARIHANT,424
stock_RBLBANK,STOCK,RBLBANK,477
stock_KMEW,STOCK,KMEW,482
stock_APCOTEXIND,STOCK,APCOTEXIND,508
stock_RSL,STOCK,RSL,410
stock_BHARATFORG,STOCK,BHARATFORG,480
stock_TMB,STOCK,TMB,463
stock_LTM,STOCK,LTM,455
stock_VERANDA,STOCK,VERANDA,432
stock_RAJRATAN,STOCK,RAJRATAN,474
stock_BEPL,STOCK,BEPL,480
stock_UNIMECH,STOCK,UNIMECH,426
stock_FLUOROCHEM,STOCK,FLUOROCHEM,490
stock_DALMIASUG,STOCK,DALMIASUG,477
stock_ABB,STOCK,ABB,477
stock_ALIVUS,STOCK,ALIVUS,472
stock_GARFIBRES,STOCK,GARFIBRES,485
stock_NEULANDLAB,STOCK,NEULANDLAB,484
stock_ADANIENSOL,STOCK,ADANIENSOL,431
stock_COFORGE,STOCK,COFORGE,467
stock_BELRISE,STOCK,BELRISE,438
stock_PGEL,STOCK,PGEL,480
stock_CNL,STOCK,CNL,463
stock_GRASIM,STOCK,GRASIM,472
stock_IDFCFIRSTB,STOCK,IDFCFIRSTB,486
stock_MONARCH,STOCK,MONARCH,499
stock_SIEMENS,STOCK,SIEMENS,489
stock_OAL,STOCK,OAL,469
stock_NAZARA,STOCK,NAZARA,464
stock_BLUESTONE,STOCK,BLUESTONE,426
stock_MUTHOOTMF,STOCK,MUTHOOTMF,454
stock_MEDICO,STOCK,MEDICO,421
stock_ASTERDM,STOCK,ASTERDM,483
stock_NESTLEIND,STOCK,NESTLEIND,477
stock_APOLLOPIPE,STOCK,APOLLOPIPE,498
stock_ROSSTECH,STOCK,ROSSTECH,480
stock_WSTCSTPAPR,STOCK,WSTCSTPAPR,439
stock_GHCLTEXTIL,STOCK,GHCLTEXTIL,488
stock_AMBIKCO,STOCK,AMBIKCO,479
stock_RHETAN,STOCK,RHETAN,419
stock_KALYANKJIL,STOCK,KALYANKJIL,480
stock_SANGAMIND,STOCK,SANGAMIND,485
stock_AZAD,STOCK,AZAD,429
stock_SOUTHBANK,STOCK,SOUTHBANK,432
stock_HUHTAMAKI,STOCK,HUHTAMAKI,487
stock_ASTRAMICRO,STOCK,ASTRAMICRO,486
stock_INDORAMA,STOCK,INDORAMA,431
stock_BALKRISIND,STOCK,BALKRISIND,480
stock_SHAREINDIA,STOCK,SHAREINDIA,508
stock_MUNJALSHOW,STOCK,MUNJALSHOW,480
stock_ALPHAGEO,STOCK,ALPHAGEO,478
stock_NOVARTIND,STOCK,NOVARTIND,430
stock_COMSYN,STOCK,COMSYN,468
stock_TATATECH,STOCK,TATATECH,474
stock_SHYAMMETL,STOCK,SHYAMMETL,479
stock_PVRINOX,STOCK,PVRINOX,422
stock_PAUSHAKLTD,STOCK,PAUSHAKLTD,490
stock_GPTHEALTH,STOCK,GPTHEALTH,489
stock_EXIDEIND,STOCK,EXIDEIND,474
stock_GOODYEAR,STOCK,GOODYEAR,474
stock_SMLMAH,STOCK,SMLMAH,468
stock_KSHINTL,STOCK,KSHINTL,438
stock_AKUMS,STOCK,AKUMS,469
stock_UFBL,STOCK,UFBL,425
stock_SHAILY,STOCK,SHAILY,486
stock_NAUKRI,STOCK,NAUKRI,472
stock_ADVAIT,STOCK,ADVAIT,435
stock_AUROPHARMA,STOCK,AUROPHARMA,484
stock_GCSL,STOCK,GCSL,490
stock_INDSWFTLAB,STOCK,INDSWFTLAB,433
stock_PRECOT,STOCK,PRECOT,425
stock_3IINFOLTD,STOCK,3IINFOLTD,474
stock_INDUSINDBK,STOCK,INDUSINDBK,486
stock_VAIBHAVGBL,STOCK,VAIBHAVGBL,480
stock_MMP,STOCK,MMP,461
stock_SAREGAMA,STOCK,SAREGAMA,476
stock_3MINDIA,STOCK,3MINDIA,485
stock_SUNPHARMA,STOCK,SUNPHARMA,481
stock_DECNGOLD,STOCK,DECNGOLD,425
stock_SBC,STOCK,SBC,416
stock_SFL,STOCK,SFL,463
stock_JSWSTEEL,STOCK,JSWSTEEL,476
stock_VOEPL,STOCK,VOEPL,416
stock_HESTERBIO,STOCK,HESTERBIO,481
stock_AARTISURF,STOCK,AARTISURF,487
stock_HSCL,STOCK,HSCL,472
stock_GNA,STOCK,GNA,459
stock_KAJARIACER,STOCK,KAJARIACER,498
stock_SILVERTUC,STOCK,SILVERTUC,473
stock_KIRANVYPAR,STOCK,KIRANVYPAR,457
stock_CREDITACC,STOCK,CREDITACC,454
stock_MUNJALAU,STOCK,MUNJALAU,423
stock_LAGNAM,STOCK,LAGNAM,425
stock_VSSL,STOCK,VSSL,464
stock_QMSMEDI,STOCK,QMSMEDI,422
stock_OFSS,STOCK,OFSS,490
stock_APOLLOHOSP,STOCK,APOLLOHOSP,492
stock_UEL,STOCK,UEL,461
stock_TEXINFRA,STOCK,TEXINFRA,492
stock_JUBLINGREA,STOCK,JUBLINGREA,490
stock_SHADOWFAX,STOCK,SHADOWFAX,436
stock_STARHEALTH,STOCK,STARHEALTH,457
stock_MUKANDLTD,STOCK,MUKANDLTD,427
stock_MARICO,STOCK,MARICO,468
stock_ICICIBANK,STOCK,ICICIBANK,483
stock_RISHABH,STOCK,RISHABH,489
stock_MANORAMA,STOCK,MANORAMA,423
stock_TECHM,STOCK,TECHM,461
stock_RUBICON,STOCK,RUBICON,475
stock_GOCLCORP,STOCK,GOCLCORP,433
stock_NRBBEARING,STOCK,NRBBEARING,480
stock_360ONE,STOCK,360ONE,496
stock_SUNDRMFAST,STOCK,SUNDRMFAST,480
stock_PNBHOUSING,STOCK,PNBHOUSING,508
stock_PIDILITIND,STOCK,PIDILITIND,489
stock_ANTHEM,STOCK,ANTHEM,472
stock_SANATHAN,STOCK,SANATHAN,431
stock_BUTTERFLY,STOCK,BUTTERFLY,426
stock_MUFIN,STOCK,MUFIN,442
stock_MAHLIFE,STOCK,MAHLIFE,475
stock_ECLERX,STOCK,ECLERX,463
stock_AVALON,STOCK,AVALON,435
stock_ITDC,STOCK,ITDC,480
stock_STEELCAS,STOCK,STEELCAS,492
stock_SIGIND,STOCK,SIGIND,470
stock_RPGLIFE,STOCK,RPGLIFE,475
stock_SBCL,STOCK,SBCL,464
stock_HALDER,STOCK,HALDER,431
stock_A2ZINFRA,STOCK,A2ZINFRA,443
stock_IMFA,STOCK,IMFA,464
stock_CORONA,STOCK,CORONA,472
stock_BETA,STOCK,BETA,415
stock_GATECH,STOCK,GATECH,445
stock_SALSTEEL,STOCK,SALSTEEL,424
stock_MENNPIS,STOCK,MENNPIS,471
stock_SENORES,STOCK,SENORES,424
stock_SGIL,STOCK,SGIL,479
stock_SONATSOFTW,STOCK,SONATSOFTW,476
stock_CAPLIPOINT,STOCK,CAPLIPOINT,483
stock_MARINE,STOCK,MARINE,486
stock_DENORA,STOCK,DENORA,435
stock_SENCO,STOCK,SENCO,465
stock_PARKHOSPS,STOCK,PARKHOSPS,438
stock_PTCIL,STOCK,PTCIL,416
stock_PANAMAPET,STOCK,PANAMAPET,481
stock_HTMEDIA,STOCK,HTMEDIA,422
stock_HAL,STOCK,HAL,465
stock_POLYPLEX,STOCK,POLYPLEX,484
stock_ZSARACOM,STOCK,ZSARACOM,451
stock_MACPOWER,STOCK,MACPOWER,492
stock_WEWORK,STOCK,WEWORK,420
stock_STYLAMIND,STOCK,STYLAMIND,430
stock_TRAVELFOOD,STOCK,TRAVELFOOD,443
stock_MODIS,STOCK,MODIS,418
stock_RAYMONDREL,STOCK,RAYMONDREL,484
stock_CENTUM,STOCK,CENTUM,486
stock_STYL,STOCK,STYL,439
stock_SHINDL,STOCK,SHINDL,435
stock_ETERNAL,STOCK,ETERNAL,424
stock_PERSISTENT,STOCK,PERSISTENT,476
stock_BHAGCHEM,STOCK,BHAGCHEM,484
stock_USHAMART,STOCK,USHAMART,476
stock_INDHOTEL,STOCK,INDHOTEL,488
stock_PAISALO,STOCK,PAISALO,499
stock_GLAXO,STOCK,GLAXO,469
stock_LTF,STOCK,LTF,487
stock_JAYAGROGN,STOCK,JAYAGROGN,436
stock_KINGFA,STOCK,KINGFA,435
stock_KIMS,STOCK,KIMS,423
stock_NAHARSPING,STOCK,NAHARSPING,481
stock_SMCGLOBAL,STOCK,SMCGLOBAL,504
stock_GOODLUCK,STOCK,GOODLUCK,476
stock_GRANULES,STOCK,GRANULES,478
stock_CINELINE,STOCK,CINELINE,424
stock_CARTRADE,STOCK,CARTRADE,427
stock_ALKEM,STOCK,ALKEM,469
stock_RICOAUTO,STOCK,RICOAUTO,474
stock_KHAITANLTD,STOCK,KHAITANLTD,430
stock_M&M,STOCK,M&M,473
stock_KCPSUGIND,STOCK,KCPSUGIND,477
stock_JAMNAAUTO,STOCK,JAMNAAUTO,477
stock_ANANTRAJ,STOCK,ANANTRAJ,478
stock_WOCKPHARMA,STOCK,WOCKPHARMA,433
stock_CONCOR,STOCK,CONCOR,477
stock_TPLPLASTEH,STOCK,TPLPLASTEH,490
stock_TINNARUBR,STOCK,TINNARUBR,481
stock_PRAVEG,STOCK,PRAVEG,431
stock_TARSONS,STOCK,TARSONS,431
stock_NETWEB,STOCK,NETWEB,417
stock_RML,STOCK,RML,459
stock_NIBL,STOCK,NIBL,429
stock_63MOONS,STOCK,63MOONS,467
stock_INDGN,STOCK,INDGN,476
stock_ASIANPAINT,STOCK,ASIANPAINT,490
stock_NIVABUPA,STOCK,NIVABUPA,451
stock_TTKHLTCARE,STOCK,TTKHLTCARE,493
stock_FSL,STOCK,FSL,455
stock_NILKAMAL,STOCK,NILKAMAL,474
stock_TAKE,STOCK,TAKE,412
stock_GRAVISSHO,STOCK,GRAVISSHO,440
stock_PNGJL,STOCK,PNGJL,414
stock_KROSS,STOCK,KROSS,414
stock_ENDURANCE,STOCK,ENDURANCE,477
stock_HEROMOTOCO,STOCK,HEROMOTOCO,480
stock_NITIRAJ,STOCK,NITIRAJ,488
stock_NEPHROPLUS,STOCK,NEPHROPLUS,441
stock_CANHLIFE,STOCK,CANHLIFE,452
stock_UNOMINDA,STOCK,UNOMINDA,475
stock_INOXINDIA,STOCK,INOXINDIA,495
stock_AARNAV,STOCK,AARNAV,426
stock_IKS,STOCK,IKS,404
stock_APLAPOLLO,STOCK,APLAPOLLO,428
stock_OBEROIRLTY,STOCK,OBEROIRLTY,485
stock_AVADHSUGAR,STOCK,AVADHSUGAR,483
stock_TATACAP,STOCK,TATACAP,500
stock_JSWINFRA,STOCK,JSWINFRA,495
stock_MAHLOG,STOCK,MAHLOG,479
stock_NAM-INDIA,STOCK,NAM-INDIA,475
stock_SUNFLAG,STOCK,SUNFLAG,474
stock_MANGLMCEM,STOCK,MANGLMCEM,482
stock_NATIONALUM,STOCK,NATIONALUM,483
stock_E2E,STOCK,E2E,455
stock_FIEMIND,STOCK,FIEMIND,472
stock_BALPHARMA,STOCK,BALPHARMA,481
stock_PYRAMID,STOCK,PYRAMID,482
stock_DIVGIITTS,STOCK,DIVGIITTS,484
stock_PARAS,STOCK,PARAS,421
stock_TIMEX,STOCK,TIMEX,415
stock_GULPOLY,STOCK,GULPOLY,486
stock_RAYMOND,STOCK,RAYMOND,424
stock_TALBROAUTO,STOCK,TALBROAUTO,480
stock_LUMAXIND,STOCK,LUMAXIND,475
stock_WELENT,STOCK,WELENT,470
stock_ORCHPHARMA,STOCK,ORCHPHARMA,434
stock_SARLAPOLY,STOCK,SARLAPOLY,485
stock_AUBANK,STOCK,AUBANK,474
stock_JINDRILL,STOCK,JINDRILL,427
stock_CARERATING,STOCK,CARERATING,508
stock_TIPSMUSIC,STOCK,TIPSMUSIC,479
stock_ARE&M,STOCK,ARE&M,465
stock_JKPAPER,STOCK,JKPAPER,431
stock_TVSHLTD,STOCK,TVSHLTD,499
stock_BHEL,STOCK,BHEL,463
stock_JETFREIGHT,STOCK,JETFREIGHT,440
stock_JUSTDIAL,STOCK,JUSTDIAL,427
stock_SUYOG,STOCK,SUYOG,420
stock_CREST,STOCK,CREST,493
stock_PAR,STOCK,PAR,412
stock_CORDELIA,STOCK,CORDELIA,426
stock_VIJAYA,STOCK,VIJAYA,429
stock_TCPLPACK,STOCK,TCPLPACK,485
stock_DPABHUSHAN,STOCK,DPABHUSHAN,429
stock_HFCL,STOCK,HFCL,469
stock_RPSGVENT,STOCK,RPSGVENT,420
stock_SBILIFE,STOCK,SBILIFE,500
stock_SOLARINDS,STOCK,SOLARINDS,487
stock_DIFFNKG,STOCK,DIFFNKG,438
stock_AEROPLANE,STOCK,AEROPLANE,428
stock_TIMETECHNO,STOCK,TIMETECHNO,498
stock_KUSUMGAR,STOCK,KUSUMGAR,425
stock_LMW,STOCK,LMW,477
stock_ONWARDTEC,STOCK,ONWARDTEC,486
stock_MERCURYEV,STOCK,MERCURYEV,428
stock_PNGSREVA,STOCK,PNGSREVA,424
stock_CCAVENUE,STOCK,CCAVENUE,451
stock_AFIL,STOCK,AFIL,413
stock_GODREJPROP,STOCK,GODREJPROP,485
stock_TIIL,STOCK,TIIL,464
stock_BHARTIARTL,STOCK,BHARTIARTL,486
stock_INDPRUD,STOCK,INDPRUD,420
stock_CSM,STOCK,CSM,411
stock_SUNDARMFIN,STOCK,SUNDARMFIN,509
stock_MANOMAY,STOCK,MANOMAY,429
stock_NDLVENTURE,STOCK,NDLVENTURE,457
stock_PONNIERODE,STOCK,PONNIERODE,481
stock_JYOTICNC,STOCK,JYOTICNC,441
stock_SUPREMEINF,STOCK,SUPREMEINF,449
stock_CARYSIL,STOCK,CARYSIL,472
stock_HONASA,STOCK,HONASA,418
stock_ANTELOPUS,STOCK,ANTELOPUS,431
stock_DIAMONDYD,STOCK,DIAMONDYD,426
stock_CPPLUS,STOCK,CPPLUS,487
stock_BORANA,STOCK,BORANA,425
stock_SPECIALITY,STOCK,SPECIALITY,444
stock_NEOGEN,STOCK,NEOGEN,479
stock_HEALTHX,STOCK,HEALTHX,432
stock_JAGSNPHARM,STOCK,JAGSNPHARM,484
stock_WELSPUNLIV,STOCK,WELSPUNLIV,488
stock_DREDGECORP,STOCK,DREDGECORP,450
stock_AVL,STOCK,AVL,412
stock_ULTRACEMCO,STOCK,ULTRACEMCO,484
stock_IKIO,STOCK,IKIO,422
stock_PLASTIBLEN,STOCK,PLASTIBLEN,440
stock_PGHL,STOCK,PGHL,466
stock_KICL,STOCK,KICL,440
stock_GATECHDVR,STOCK,GATECHDVR,455
stock_VIDHIING,STOCK,VIDHIING,484
stock_CLEANMAX,STOCK,CLEANMAX,426
stock_TASTYBITE,STOCK,TASTYBITE,477
stock_RECLTD,STOCK,RECLTD,496
stock_RELIABLE,STOCK,RELIABLE,503
stock_KECL,STOCK,KECL,413
stock_ICEMAKE,STOCK,ICEMAKE,489
stock_SANSTAR,STOCK,SANSTAR,435
stock_SANGHVIMOV,STOCK,SANGHVIMOV,498
stock_EQUITASBNK,STOCK,EQUITASBNK,435
stock_SUVEN,STOCK,SUVEN,427
stock_ASHOKLEY,STOCK,ASHOKLEY,475
stock_NEAGI,STOCK,NEAGI,415
stock_NAVINFLUOR,STOCK,NAVINFLUOR,490
stock_RIR,STOCK,RIR,410
stock_NIRLON,STOCK,NIRLON,421
stock_VENKEYS,STOCK,VENKEYS,421
stock_JINDALSAW,STOCK,JINDALSAW,479
stock_ANANDRATHI,STOCK,ANANDRATHI,508
stock_MANKIND,STOCK,MANKIND,425
stock_LUMAXTECH,STOCK,LUMAXTECH,478
stock_AUTOAXLES,STOCK,AUTOAXLES,477
stock_DIGJAMLMTD,STOCK,DIGJAMLMTD,438
stock_AUTOBEES,STOCK,AUTOBEES,426
stock_NRAIL,STOCK,NRAIL,475
stock_SHIVAUM,STOCK,SHIVAUM,422
stock_IPCALAB,STOCK,IPCALAB,424
stock_HCLTECH,STOCK,HCLTECH,467
stock_KIRLFER,STOCK,KIRLFER,473
stock_INDOBORAX,STOCK,INDOBORAX,488
stock_SIKKO,STOCK,SIKKO,475
stock_RELIGARE,STOCK,RELIGARE,427
stock_SIGMA,STOCK,SIGMA,462
stock_CPL,STOCK,CPL,410
stock_SYRMA,STOCK,SYRMA,483
stock_RPEL,STOCK,RPEL,480
stock_CUMMINSIND,STOCK,CUMMINSIND,498
stock_INDIAGLYCO,STOCK,INDIAGLYCO,480
stock_SEDEMAC,STOCK,SEDEMAC,420
deal_BIOCON,DEAL,BIOCON,235
deal_SUDEEPPHRM,DEAL,SUDEEPPHRM,238
deal_GODIGIT,DEAL,GODIGIT,235
deal_ETHOSLTD,DEAL,ETHOSLTD,236
deal_LASERPOWER,DEAL,LASERPOWER,237
deal_SUNTECK,DEAL,SUNTECK,234
deal_GANDHAR,DEAL,GANDHAR,234
deal_CMLL,DEAL,CMLL,231
deal_KNACK,DEAL,KNACK,232
deal_LANDMARK,DEAL,LANDMARK,235
deal_PINELABS,DEAL,PINELABS,234
deal_AARNAV,DEAL,AARNAV,232
deal_AARTECH,DEAL,AARTECH,233
deal_AASTHA,DEAL,AASTHA,232
deal_ABINFRA,DEAL,ABINFRA,233
deal_ACCENTMIC,DEAL,ACCENTMIC,235
deal_ACCORD,DEAL,ACCORD,232
deal_ADANIGREEN,DEAL,ADANIGREEN,236
deal_ADDICTIVE,DEAL,ADDICTIVE,235
deal_SVLL,DEAL,SVLL,230
deal_SWARAJ,DEAL,SWARAJ,232
deal_TANLA,DEAL,TANLA,231
deal_TARC,DEAL,TARC,230
deal_TARSONS,DEAL,TARSONS,233
deal_TBZ,DEAL,TBZ,229
deal_TEMBO,DEAL,TEMBO,231
deal_TGL,DEAL,TGL,229
deal_TIL,DEAL,TIL,229
deal_TINNARUBR,DEAL,TINNARUBR,235
deal_TIPSFILMS,DEAL,TIPSFILMS,235
deal_TIRUPATI,DEAL,TIRUPATI,234
deal_TTKPRESTIG,DEAL,TTKPRESTIG,236
deal_UDS,DEAL,UDS,229
deal_SURYODAY,DEAL,SURYODAY,234
deal_BANG,DEAL,BANG,230
deal_BAYERCROP,DEAL,BAYERCROP,235
deal_BCLIND,DEAL,BCLIND,232
deal_BECTORFOOD,DEAL,BECTORFOOD,236
deal_BEPL,DEAL,BEPL,230
deal_BESTAGRO,DEAL,BESTAGRO,234
deal_BFINVEST,DEAL,BFINVEST,234
deal_BGLOBAL,DEAL,BGLOBAL,233
deal_BHARATSE,DEAL,BHARATSE,234
deal_BHARATWIRE,DEAL,BHARATWIRE,236
deal_BIOPOL,DEAL,BIOPOL,232
