ISIN,COMPANY_NAME_NSE,COMPANY_NAME_BSE,NSE_SYMBOL,NSE_SERIES,BSE_CODE,BSE_SYMBOL,MATCH_METHOD,MATCH_CONFIDENCE,LISTED_NSE,LISTED_BSE,LAST_UPDATED
,Ace Integrated Solutions Limited,,ACEINTEG,EQ,,,UNMATCHED,0,True,False,2026-06-08
INE128X01021,Archean Chemical Industries Limited,Archean Chemical Industries Li,ACI,EQ,543657,ACI,SYMBOL,100,True,True,2026-06-08
INE666E01020,Andhra Cements Limited,ANDHRA CEMENTS LTD.,ACL,EQ,532141,ACL,SYMBOL,100,True,True,2026-06-08
INE622W01025,Acme Solar Holdings Limited,ACME Solar Holdings Limited,ACMESOLAR,EQ,544283,ACMESOLAR,SYMBOL,100,True,True,2026-06-08
INE366C01021,ACS Technologies Limited,ACS TECHNOLOGIES LIMITED,ACSTECH,EQ,530745,ACSTECH,SYMBOL,100,True,True,2026-06-08
INE00FF01025,Acutaas Chemicals Limited,ACUTAAS CHEMICALS LIMITED,ACUTAAS,EQ,543349,ACUTAAS,SYMBOL,100,True,True,2026-06-08
INE931S01010,Adani Energy Solutions Limited,Adani Energy Solutions Limited,ADANIENSOL,EQ,539254,ADANIENSOL,SYMBOL,100,True,True,2026-06-08
INE423A01024,Adani Enterprises Limited,ADANI ENTERPRISES LTD.,ADANIENT,EQ,512599,ADANIENT,SYMBOL,100,True,True,2026-06-08
INE364U01010,Adani Green Energy Limited,Adani Green Energy Limited,ADANIGREEN,EQ,541450,ADANIGREEN,SYMBOL,100,True,True,2026-06-08
INE742F01042,Adani Ports and Special Economic Zone Limited,ADANI PORTS AND SPECIAL ECONOM,ADANIPORTS,EQ,532921,ADANIPORTS,SYMBOL,100,True,True,2026-06-08
INE814H01029,Adani Power Limited,ADANI POWER LTD.,ADANIPOWER,EQ,533096,ADANIPOWER,SYMBOL,100,True,True,2026-06-08
INE982B01027,ADF Foods Limited,ADF FOODS LTD.,ADFFOODS,EQ,519183,ADFFOODS,SYMBOL,100,True,True,2026-06-08
,Archidply Decor Limited,,ADL,EQ,,,UNMATCHED,0,True,False,2026-06-08
INE045A01017,Ador Welding Limited,ADOR WELDING LTD.,ADOR,EQ,517041,ADOR,SYMBOL,100,True,True,2026-06-08
INE737B01033,Adroit Infotech Limited,Adroit Infotech Limited,ADROITINFO,EQ,532172,ADROITINFO,SYMBOL,100,True,True,2026-06-08
INE102I01027,Allied Digital Services Limited,ALLIED DIGITAL SERVICES LTD.,ADSL,EQ,532875,ADSL,SYMBOL,100,True,True,2026-06-08
INE0ALI01010,Advait Energy Transitions Limited,ADVAIT ENERGY TRANSITIONS LIMI,ADVAIT,EQ,543230,ADVAIT,SYMBOL,100,True,True,2026-06-08
INE1B0W01010,Advance Agrolife Limited,Advance Agrolife Limited,ADVANCE,EQ,544562,ADVANCE,SYMBOL,100,True,True,2026-06-08
INE199C01026,Advani Hotels & Resorts (India) Limited,ADVANI HOTELS & RESORTS (INDIA,ADVANIHOTR,EQ,523269,ADVANIHOTR,SYMBOL,100,True,True,2026-06-08
INE28GN01010,Advent Hotels International Limited,Advent Hotels International Li,ADVENTHTL,EQ,544446,ADVENTHTL,SYMBOL,100,True,True,2026-06-08
INE837H01020,Advanced Enzyme Technologies Limited,Advanced Enzyme Technologies L,ADVENZYMES,EQ,540025,ADVENZYMES,SYMBOL,100,True,True,2026-06-08
INE208C01025,Aegis Logistics Limited,AEGIS LOGISTICS LTD.,AEGISLOG,EQ,500003,AEGISLOG,SYMBOL,100,True,True,2026-06-08
INE0INX01018,Aegis Vopak Terminals Limited,AEGIS VOPAK TERMINALS LIMITED,AEGISVOPAK,EQ,544407,AEGISVOPAK,SYMBOL,100,True,True,2026-06-08
INE757T01025,Artemis Electricals and Projects Limited,Artemis Electricals and Projec,AEPL,EQ,542670,AEPL,SYMBOL,100,True,True,2026-06-08
INE947N01017,Aequs Limited,Aequs Limited,AEQUS,EQ,544634,AEQUS,SYMBOL,100,True,True,2026-06-08
INE065D01027,Aeroflex Enterprises Limited,AEROFLEX ENTERPRISES LIMITED,AEROENTER,EQ,511076,AEROENTER,SYMBOL,100,True,True,2026-06-08
INE024001021,Aeroflex Industries Limited,Aeroflex Industries Limited,AEROFLEX,EQ,543972,AEROFLEX,SYMBOL,100,True,True,2026-06-08
INE035801013,Aeroflex Neu Limited,Aeroflex Neu Limited,AERONEU,EQ,543743,AERONEU,SYMBOL,100,True,True,2026-06-08
INE0BWX01014,Aether Industries Limited,Aether Industries Limited,AETHER,EQ,543534,AETHER,SYMBOL,100,True,True,2026-06-08
INE101I01011,Afcons Infrastructure Limited,Afcons Infrastructure Limited,AFCONS,EQ,544280,AFCONS,SYMBOL,100,True,True,2026-06-08
INE00WC01027,Affle 3i Limited,AFFLE 3I LIMITED,AFFLE,EQ,542752,AFFLE,SYMBOL,100,True,True,2026-06-08
INE692Z01013,Affordable Robotic & Automation Limited,Affordable Robotic & Automatio,AFFORDABLE,BE,541402,AFFORDABLE,SYMBOL,100,True,True,2026-06-08
INE916Y01027,Akme Fintrade (India) Limited,Akme Fintrade (India) Limited,AFIL,BE,544200,AFIL,SYMBOL,100,True,True,2026-06-08
INE00ZE01026,Abans Financial Services Limited,ABANS FINANCIAL SERVICES LIMIT,AFSL,EQ,543712,AFSL,SYMBOL,100,True,True,2026-06-08
INE204E01012,Agarwal Industrial Corporation Limited,AGARWAL INDUSTRIAL CORPORATION,AGARIND,EQ,531921,AGARIND,SYMBOL,100,True,True,2026-06-08
INE943P01029,Dr. Agarwal's Health Care Limited,Dr. Agarwal's Health Care Limi,AGARWALEYE,EQ,544350,AGARWALEYE,SYMBOL,100,True,True,2026-06-08
INE415A01038,AGI Greenpac Limited,AGI GREENPAC LIMITED,AGI,EQ,500187,AGI,SYMBOL,100,True,True,2026-06-08
INE976R01033,Agi Infra Limited,AGI Infra Limited,AGIIL,EQ,539042,AGIIL,SYMBOL,100,True,True,2026-06-08
INE449G01018,Agri-Tech (India) Limited,AGRI- TECH (INDIA) LTD,AGRITECH,EQ,537292,AGRITECH,SYMBOL,100,True,True,2026-06-08
,Agro Phos India Limited,,AGROPHOS,EQ,,,UNMATCHED,0,True,False,2026-06-08
INE583L01014,AGS Transact Technologies Limited,AGS TRANSACT TECHNOLOGIES LIMI,AGSTRA,BZ,543451,AGSTRA,SYMBOL,100,True,True,2026-06-08
INE0Y8W01025,Anlon Healthcare Limited,ANLON HEALTHCARE LIMITED,AHCL,EQ,544497,AHCL,SYMBOL,100,True,True,2026-06-08
,Ahlada Engineers Limited,,AHLADA,EQ,,,UNMATCHED,0,True,False,2026-06-08
INE926K01017,Asian Hotels (East) Limited,ASIAN HOTELS (EAST) LTD.,AHLEAST,EQ,533227,AHLEAST,SYMBOL,100,True,True,2026-06-08
INE758C01029,Ahluwalia Contracts (India) Limited,AHLUWALIA CONTRACTS (INDIA) LT,AHLUCONT,EQ,532811,AHLUCONT,SYMBOL,100,True,True,2026-06-08
INE915K01010,Asian Hotels (West) Limited,ASIAN HOTELS (WEST) LTD.,AHLWEST,BE,533221,AHLWEST,SYMBOL,100,True,True,2026-06-08
INE212H01026,AIA Engineering Limited,AIA ENGINEERING LTD.,AIAENG,EQ,532683,AIAENG,SYMBOL,100,True,True,2026-06-08
INE206F01022,Authum Investment & Infrastructure Limited,Authum Investment & Infrastruc,AIIL,EQ,539177,AIIL,SYMBOL,100,True,True,2026-06-08
INE645W01026,Airan Limited,AIRAN LIMITED,AIRAN,EQ,543811,AIRAN,SYMBOL,100,True,True,2026-06-08
,Airo Lam limited,,AIROLAM,EQ,,,UNMATCHED,0,True,False,2026-06-08
INE031B01049,Ajanta Pharma Limited,AJANTA PHARMA LTD.,AJANTPHARM,EQ,532331,AJANTPHARM,SYMBOL,100,True,True,2026-06-08
INE274Y01021,Ajax Engineering Limited,AJAX Engineering Limited,AJAXENGG,EQ,544356,AJAXENGG,SYMBOL,100,True,True,2026-06-08
INE298G01035,Ajmera Realty & Infra India Limited,AJMERA REALTY & INFRA INDIA LT,AJMERA,EQ,513349,AJMERA,SYMBOL,100,True,True,2026-06-08
,Ajooni Biotech Limited,,AJOONI,EQ,,,UNMATCHED,0,True,False,2026-06-08
,Akash Infra-Projects Limited,,AKASH,EQ,,,UNMATCHED,0,True,False,2026-06-08
INE701G01012,AK Capital Services Limited,A.K.CAPITAL SERVICES LTD.,AKCAPIT,EQ,530499,AKCAPIT,SYMBOL,100,True,True,2026-06-08
,Akg Exim Limited,,AKG,EQ,,,UNMATCHED,0,True,False,2026-06-08
INE642Z01026,AKI India Limited,AKI India Limited,AKI,EQ,542020,AKI,SYMBOL,100,True,True,2026-06-08
INE256Z01025,Akshar Spintex Limited,Akshar Spintex Limited,AKSHAR,EQ,541303,AKSHAR,SYMBOL,100,True,True,2026-06-08
INE542B01011,AksharChem India Limited,AKSHARCHEM (INDIA) LTD.,AKSHARCHEM,EQ,524598,AKSHARCHEM,SYMBOL,100,True,True,2026-06-08
INE523B01011,Aksh Optifibre Limited,AKSH OPTIFIBRE LTD.,AKSHOPTFBR,BE,532351,AKSHOPTFBR,SYMBOL,100,True,True,2026-06-08
INE09XN01023,Akums Drugs and Pharmaceuticals Limited,Akums Drugs and Pharmaceutical,AKUMS,EQ,544222,AKUMS,SYMBOL,100,True,True,2026-06-08
INE914E01040,Alankit Limited,ALANKIT,ALANKIT,EQ,531082,ALANKIT,SYMBOL,100,True,True,2026-06-08
INE155C01010,Albert David Limited,ALBERT DAVID LTD.,ALBERTDAVD,EQ,524075,ALBERTDAVD,SYMBOL,100,True,True,2026-06-08
INE426A01027,Alembic Limited,ALEMBIC LTD.,ALEMBICLTD,EQ,506235,ALEMBICLTD,SYMBOL,100,True,True,2026-06-08
INE598D01035,Algoquant Fintech Limited,ALGOQUANT FINTECH LIMITED,ALGOQUANT,EQ,505725,ALGOQUANT,SYMBOL,100,True,True,2026-06-08
INE062D01024,Alicon Castalloy Limited,ALICON CASTALLOY LIMITED,ALICON,EQ,531147,ALICON,SYMBOL,100,True,True,2026-06-08
INE03Q201024,Alivus Life Sciences Limited,ALIVUS LIFE SCIENCES LIMITED,ALIVUS,EQ,543322,ALIVUS,SYMBOL,100,True,True,2026-06-08
INE773I01017,Alkali Metals Limited,ALKALI METALS LTD.,ALKALI,BE,533029,ALKALI,SYMBOL,100,True,True,2026-06-08
INE540L01014,Alkem Laboratories Limited,Alkem Laboratories Limited,ALKEM,EQ,539523,ALKEM,SYMBOL,100,True,True,2026-06-08
INE150B01039,Alkyl Amines Chemicals Limited,ALKYL AMINES CHEMICALS LTD.,ALKYLAMINE,EQ,506767,ALKYLAMINE,SYMBOL,100,True,True,2026-06-08
INE418H01029,Allcargo Logistics Limited,ALLCARGO LOGISTICS LTD.,ALLCARGO,EQ,532749,ALLCARGO,SYMBOL,100,True,True,2026-06-08
INE835G01018,Alldigi Tech Limited,Alldigi Tech Limited,ALLDIGI,EQ,532633,ALLDIGI,SYMBOL,100,True,True,2026-06-08
INE0GV601021,All Time Plastics Limited,ALL TIME PLASTICS LIMITED,ALLTIME,EQ,544479,ALLTIME,SYMBOL,100,True,True,2026-06-08
INE326B01035,Almondz Global Securities Limited,ALMONDZ GLOBAL SECURITIES LTD.,ALMONDZ,EQ,531400,ALMONDZ,SYMBOL,100,True,True,2026-06-08
INE270A01029,Alok Industries Limited,ALOK INDUSTRIES LTD.,ALOKINDS,EQ,521070,ALOKINDS,SYMBOL,100,True,True,2026-06-08
INE385I01010,Alpa Laboratories Limited,ALPA LABORATORIES LTD.,ALPA,EQ,532878,ALPA,SYMBOL,100,True,True,2026-06-08
INE137C01018,Alphageo (India) Limited,ALPHAGEO (INDIA) LTD.,ALPHAGEO,EQ,526397,ALPHAGEO,SYMBOL,100,True,True,2026-06-08
INE121R01077,Amagi Media Labs Limited,Amagi Media Labs Limited,AMAGI,EQ,544679,AMAGI,SYMBOL,100,True,True,2026-06-08
INE084K01015,Amanta Healthcare Limited,Amanta Healthcare Limited,AMANTA,EQ,544502,AMANTA,SYMBOL,100,True,True,2026-06-08
INE432A01017,Ambalal Sarabhai Enterprises Limited,AMBALAL SARABHAI ENTERPRISES L,AMBALALSA,EQ,500009,AMBALALSA,SYMBOL,100,True,True,2026-06-08
INE371P01015,Amber Enterprises India Limited,Amber Enterprises India Limite,AMBER,EQ,540902,AMBER,SYMBOL,100,True,True,2026-06-08
INE792B01012,Ambica Agarbathies & Aroma industries Limited,AMBICA AGARBATHIES & AROMA IND,AMBICAAGAR,EQ,532335,AMBICAAGAR,SYMBOL,100,True,True,2026-06-08
INE540G01014,Ambika Cotton Mills Limited,AMBIKA COTTON MILLS LTD.,AMBIKCO,EQ,531978,AMBIKCO,SYMBOL,100,True,True,2026-06-08
INE079A01024,Ambuja Cements Limited,AMBUJA CEMENTS LTD.,AMBUJACEM,EQ,500425,AMBUJACEM,SYMBOL,100,True,True,2026-06-08
INE005I01014,AMD Industries Limited,AMD INDUSTRIES LTD.,AMDIND,EQ,532828,AMDIND,SYMBOL,100,True,True,2026-06-08
INE05TO01019,Amir Chand Jagdish Kumar (Exports) Limited,Amir Chand Jagdish Kumar (Expo,AMIRCHAND,EQ,544743,AMIRCHAND,SYMBOL,100,True,True,2026-06-08
INE606A01024,Amj Land Holdings Limited,AMJ LAND HOLDINGS LIMITED,AMJLAND,EQ,500343,AMJLAND,SYMBOL,100,True,True,2026-06-08
INE275D01022,Amines & Plasticizers Limited,AMINES & PLASTICIZERS LTD.,AMNPLST,EQ,506248,AMNPLST,SYMBOL,100,True,True,2026-06-08
INE098F01031,Amrutanjan Health Care Limited,AMRUTANJAN HEALTH CARE LTD.,AMRUTANJAN,EQ,590006,AMRUTANJAN,SYMBOL,100,True,True,2026-06-08
INE463V01026,Anand Rathi Wealth Limited,Anand Rathi Wealth Limited,ANANDRATHI,EQ,543415,ANANDRATHI,SYMBOL,100,True,True,2026-06-08
INE242C01024,Anant Raj Limited,ANANT RAJ LIMITED,ANANTRAJ,EQ,515055,ANANTRAJ,SYMBOL,100,True,True,2026-06-08
INE435A01051,ANDHRA PAPER LIMITED,ANDHRA PAPER LIMITED,ANDHRAPAP,EQ,502330,ANDHRAPAP,SYMBOL,100,True,True,2026-06-08
INE715B01021,The Andhra Sugars Limited,ANDHRA SUGARS LTD.,ANDHRSUGAR,EQ,590062,ANDHRSUGAR,SYMBOL,100,True,True,2026-06-08
INE732I01021,Angel One Limited,ANGEL ONE LIMITED,ANGELONE,EQ,543235,ANGELONE,SYMBOL,100,True,True,2026-06-08
INE087B01017,Anik Industries Limited,ANIK INDUSTRIES LTD.,ANIKINDS,BE,519383,ANIKINDS,SYMBOL,100,True,True,2026-06-08
INE106I01010,Ankit Metal & Power Limited,ANKIT METAL & POWER LTD.,ANKITMETAL,BZ,532870,ANKITMETAL,SYMBOL,100,True,True,2026-06-08
INE02AR01019,Anmol India Limited,Anmol India Limited,ANMOL,EQ,542437,ANMOL,SYMBOL,100,True,True,2026-06-08
,Ansal Properties & Infrastructure Limited,,ANSALAPI,BZ,,,UNMATCHED,0,True,False,2026-06-08
INE818A01017,Antelopus Selan Energy Limited,Antelopus Selan Energy Limited,ANTELOPUS,EQ,530075,ANTELOPUS,SYMBOL,100,True,True,2026-06-08
,Antarctica Limited,,ANTGRAPHIC,EQ,,,UNMATCHED,0,True,False,2026-06-08
INE0CZ201020,Anthem Biosciences Limited,Anthem Biosciences Limited,ANTHEM,EQ,544449,ANTHEM,SYMBOL,100,True,True,2026-06-08
INE489G01022,Anuh Pharma Limited,ANUH PHARMA LTD.,ANUHPHR,EQ,506260,ANUHPHR,SYMBOL,100,True,True,2026-06-08
INE294Z01018,The Anup Engineering Limited,The Anup Engineering Ltd,ANUP,EQ,542460,ANUP,SYMBOL,100,True,True,2026-06-08
INE930P01018,Anupam Rasayan India Limited,Anupam Rasayan India Limited,ANURAS,EQ,543275,ANURAS,SYMBOL,100,True,True,2026-06-08
INE372A01015,Apar Industries Limited,APAR INDUSTRIES LTD.,APARINDS,EQ,532259,APARINDS,SYMBOL,100,True,True,2026-06-08
,Anjani Portland Cement Limited,,APCL,EQ,,,UNMATCHED,0,True,False,2026-06-08
INE116A01032,Apcotex Industries Limited,APCOTEX INDUSTRIES LTD.,APCOTEXIND,EQ,523694,APCOTEXIND,SYMBOL,100,True,True,2026-06-08
INE346W01013,Apex Frozen Foods Limited,Apex Frozen Foods Limited,APEX,EQ,540692,APEX,SYMBOL,100,True,True,2026-06-08
INE702C01027,APL Apollo Tubes Limited,APL APOLLO TUBES LTD.,APLAPOLLO,EQ,533758,APLAPOLLO,SYMBOL,100,True,True,2026-06-08
INE901L01018,Alembic Pharmaceuticals Limited,ALEMBIC PHARMACEUTICALS LTD.,APLLTD,EQ,533573,APLLTD,SYMBOL,100,True,True,2026-06-08
INE713T01028,Apollo Micro Systems Limited,Apollo Micro Systems Limited,APOLLO,EQ,540879,APOLLO,SYMBOL,100,True,True,2026-06-08
INE437A01024,Apollo Hospitals Enterprise Limited,APOLLO HOSPITALS ENTERPRISE LT,APOLLOHOSP,EQ,508869,APOLLOHOSP,SYMBOL,100,True,True,2026-06-08
INE126J01016,Apollo Pipes Limited,APOLLO PIPES LIMITED,APOLLOPIPE,EQ,531761,APOLLOPIPE,SYMBOL,100,True,True,2026-06-08
INE438A01022,Apollo Tyres Limited,APOLLO TYRES LTD.,APOLLOTYRE,EQ,500877,APOLLOTYRE,SYMBOL,100,True,True,2026-06-08
,Apollo Sindoori Hotels Limited,,APOLSINHOT,EQ,,,UNMATCHED,0,True,False,2026-06-08
INE266F01018,Aptech Limited,APTECH LTD.,APTECHT,EQ,532475,APTECHT,SYMBOL,100,True,True,2026-06-08
INE852O01025,Aptus Value Housing Finance India Limited,Aptus Value Housing Finance In,APTUS,EQ,543335,APTUS,SYMBOL,100,True,True,2026-06-08
INE416A01051,Aqylon Nexus Limited,Aqylon Nexus Limited,AQYLON,EQ,530943,AQYLON,SYMBOL,100,True,True,2026-06-08
INE877I01016,Archidply Industries Limited,ARCHIDPLY INDUSTRIES LTD.,ARCHIDPLY,EQ,532994,ARCHIDPLY,SYMBOL,100,True,True,2026-06-08
INE731A01020,Archies Limited,ARCHIES LTD.,ARCHIES,EQ,532212,ARCHIES,SYMBOL,100,True,True,2026-06-08
INE885A01032,Amara Raja Energy & Mobility Limited,Amara Raja Energy & Mobility L,ARE&M,EQ,500008,ARE&M,SYMBOL,100,True,True,2026-06-08
INE610C01014,Rajdarshan Industries Limited,RAJDARSHAN INDUSTRIES LTD.,ARENTERP,EQ,526662,ARENTERP,SYMBOL,100,True,True,2026-06-08
INE784R01023,Arfin India Limited,Arfin India Limited,ARFIN,EQ,539151,ARFIN,SYMBOL,100,True,True,2026-06-08
INE298I01015,Aries Agro Limited,ARIES AGRO LTD.,ARIES,EQ,532935,ARIES,SYMBOL,100,True,True,2026-06-08
INE413D01011,Arihant Foundations & Housing Limited,ARIHANT FOUNDATIONS & HOUSING,ARIHANT,EQ,531381,ARIHANT,SYMBOL,100,True,True,2026-06-08
INE420B01036,Arihant Capital Markets Limited,ARIHANT CAPITAL MARKETS LTD.,ARIHANTCAP,EQ,511605,ARIHANTCAP,SYMBOL,100,True,True,2026-06-08
INE643K01018,Arihant Superstructures Limited,ARIHANT SUPERSTRUCTURES LIMITE,ARIHANTSUP,EQ,506194,ARIHANTSUP,SYMBOL,100,True,True,2026-06-08
INE0H9P01028,Arisinfra Solutions Limited,ArisInfra Solutions Limited,ARIS,EQ,544419,ARIS,SYMBOL,100,True,True,2026-06-08
INE0QRL01017,Arkade Developers Limited,ARKADE DEVELOPERS LIMITED,ARKADE,EQ,544261,ARKADE,SYMBOL,100,True,True,2026-06-08
INE109C01017,Arman Financial Services Limited,ARMAN FINANCIAL SERVICES LTD.,ARMANFIN,EQ,531179,ARMANFIN,SYMBOL,100,True,True,2026-06-08
,Aro Granite Industries Limited,,AROGRANITE,EQ,,,UNMATCHED,0,True,False,2026-06-08
INE570D01018,Arrow Greentech Limited,Arrow Greentech Limited,ARROWGREEN,EQ,516064,ARROWGREEN,SYMBOL,100,True,True,2026-06-08
INE968D01022,Arshiya Limited,ARSHIYA LIMITED,ARSHIYA,BZ,506074,ARSHIYA,SYMBOL,100,True,True,2026-06-08
INE549H01021,Anand Rathi Share and Stock Brokers Limited,ANAND RATHI SHARE AND STOCK BR,ARSSBL,EQ,544530,ARSSBL,SYMBOL,100,True,True,2026-06-08
INE025R01021,Artemis Medicare Services Limited,Artemis Medicare Services Limi,ARTEMISMED,EQ,542919,ARTEMISMED,SYMBOL,100,True,True,2026-06-08
,Art Nirman Limited,,ARTNIRMAN,EQ,,,UNMATCHED,0,True,False,2026-06-08
,Arvee Laboratories (India) Limited,,ARVEE,EQ,,,UNMATCHED,0,True,False,2026-06-08
INE034A01011,Arvind Limited,ARVIND LTD.,ARVIND,EQ,500101,ARVIND,SYMBOL,100,True,True,2026-06-08
INE955V01021,Arvind Fashions Limited,Arvind Fashions Limited,ARVINDFASN,EQ,542484,ARVINDFASN,SYMBOL,100,True,True,2026-06-08
INE034S01021,Arvind SmartSpaces Limited,Arvind SmartSpaces Limited,ARVSMART,EQ,539301,ARVSMART,SYMBOL,100,True,True,2026-06-08
INE439A01020,Asahi India Glass Limited,ASAHI INDIA GLASS LTD.,ASAHIINDIA,EQ,515030,ASAHIINDIA,SYMBOL,100,True,True,2026-06-08
INE228I01012,Asahi Songwon Colors Limited,ASAHI SONGWON COLORS LTD.,ASAHISONG,EQ,532853,ASAHISONG,SYMBOL,100,True,True,2026-06-08
