ISIN,COMPANY_NAME_NSE,COMPANY_NAME_BSE,NSE_SYMBOL,NSE_SERIES,BSE_CODE,BSE_SYMBOL,LISTED_NSE,LISTED_BSE,SYMBOL_MATCH_FLAG,NAME_MATCH_FLAG,LAST_UPDATED
INE415A01038,AGI Greenpac Limited,AGI GREENPAC LIMITED,AGI,EQ,500187,AGI,True,True,EXACT,EXACT,2026-06-07
INE976R01033,Agi Infra Limited,AGI Infra Limited,AGIIL,EQ,539042,AGIIL,True,True,EXACT,EXACT,2026-06-07
INE449G01018,Agri-Tech (India) Limited,AGRI- TECH (INDIA) LTD,AGRITECH,EQ,537292,AGRITECH,True,True,EXACT,EXACT,2026-06-07
,Agro Phos India Limited,,AGROPHOS,EQ,,,True,False,MISSING,MISSING,2026-06-07
INE583L01014,AGS Transact Technologies Limited,AGS TRANSACT TECHNOLOGIES LIMI,AGSTRA,BZ,543451,AGSTRA,True,True,EXACT,HIGH,2026-06-07
INE0Y8W01025,Anlon Healthcare Limited,ANLON HEALTHCARE LIMITED,AHCL,EQ,544497,AHCL,True,True,EXACT,EXACT,2026-06-07
,Ahlada Engineers Limited,,AHLADA,EQ,,,True,False,MISSING,MISSING,2026-06-07
INE926K01017,Asian Hotels (East) Limited,ASIAN HOTELS (EAST) LTD.,AHLEAST,EQ,533227,AHLEAST,True,True,EXACT,EXACT,2026-06-07
INE758C01029,Ahluwalia Contracts (India) Limited,AHLUWALIA CONTRACTS (INDIA) LT,AHLUCONT,EQ,532811,AHLUCONT,True,True,EXACT,HIGH,2026-06-07
INE915K01010,Asian Hotels (West) Limited,ASIAN HOTELS (WEST) LTD.,AHLWEST,BE,533221,AHLWEST,True,True,EXACT,EXACT,2026-06-07
INE212H01026,AIA Engineering Limited,AIA ENGINEERING LTD.,AIAENG,EQ,532683,AIAENG,True,True,EXACT,EXACT,2026-06-07
INE206F01022,Authum Investment & Infrastructure Limited,Authum Investment & Infrastruc,AIIL,EQ,539177,AIIL,True,True,EXACT,HIGH,2026-06-07
INE645W01026,Airan Limited,AIRAN LIMITED,AIRAN,EQ,543811,AIRAN,True,True,EXACT,EXACT,2026-06-07
,Airo Lam limited,,AIROLAM,EQ,,,True,False,MISSING,MISSING,2026-06-07
INE031B01049,Ajanta Pharma Limited,AJANTA PHARMA LTD.,AJANTPHARM,EQ,532331,AJANTPHARM,True,True,EXACT,EXACT,2026-06-07
INE274Y01021,Ajax Engineering Limited,AJAX Engineering Limited,AJAXENGG,EQ,544356,AJAXENGG,True,True,EXACT,EXACT,2026-06-07
INE298G01035,Ajmera Realty & Infra India Limited,AJMERA REALTY & INFRA INDIA LT,AJMERA,EQ,513349,AJMERA,True,True,EXACT,HIGH,2026-06-07
,Ajooni Biotech Limited,,AJOONI,EQ,,,True,False,MISSING,MISSING,2026-06-07
,Akash Infra-Projects Limited,,AKASH,EQ,,,True,False,MISSING,MISSING,2026-06-07
INE701G01012,AK Capital Services Limited,A.K.CAPITAL SERVICES LTD.,AKCAPIT,EQ,530499,AKCAPIT,True,True,EXACT,HIGH,2026-06-07
,Akg Exim Limited,,AKG,EQ,,,True,False,MISSING,MISSING,2026-06-07
INE642Z01026,AKI India Limited,AKI India Limited,AKI,EQ,542020,AKI,True,True,EXACT,EXACT,2026-06-07
INE256Z01025,Akshar Spintex Limited,Akshar Spintex Limited,AKSHAR,EQ,541303,AKSHAR,True,True,EXACT,EXACT,2026-06-07
INE542B01011,AksharChem India Limited,AKSHARCHEM (INDIA) LTD.,AKSHARCHEM,EQ,524598,AKSHARCHEM,True,True,EXACT,EXACT,2026-06-07
INE523B01011,Aksh Optifibre Limited,AKSH OPTIFIBRE LTD.,AKSHOPTFBR,BE,532351,AKSHOPTFBR,True,True,EXACT,EXACT,2026-06-07
INE09XN01023,Akums Drugs and Pharmaceuticals Limited,Akums Drugs and Pharmaceutical,AKUMS,EQ,544222,AKUMS,True,True,EXACT,EXACT,2026-06-07
INE914E01040,Alankit Limited,ALANKIT,ALANKIT,EQ,531082,ALANKIT,True,True,EXACT,EXACT,2026-06-07
INE155C01010,Albert David Limited,ALBERT DAVID LTD.,ALBERTDAVD,EQ,524075,ALBERTDAVD,True,True,EXACT,EXACT,2026-06-07
INE426A01027,Alembic Limited,ALEMBIC LTD.,ALEMBICLTD,EQ,506235,ALEMBICLTD,True,True,EXACT,EXACT,2026-06-07
INE598D01035,Algoquant Fintech Limited,ALGOQUANT FINTECH LIMITED,ALGOQUANT,EQ,505725,ALGOQUANT,True,True,EXACT,EXACT,2026-06-07
INE062D01024,Alicon Castalloy Limited,ALICON CASTALLOY LIMITED,ALICON,EQ,531147,ALICON,True,True,EXACT,EXACT,2026-06-07
INE03Q201024,Alivus Life Sciences Limited,ALIVUS LIFE SCIENCES LIMITED,ALIVUS,EQ,543322,ALIVUS,True,True,EXACT,EXACT,2026-06-07
INE773I01017,Alkali Metals Limited,ALKALI METALS LTD.,ALKALI,BE,533029,ALKALI,True,True,EXACT,EXACT,2026-06-07
INE540L01014,Alkem Laboratories Limited,Alkem Laboratories Limited,ALKEM,EQ,539523,ALKEM,True,True,EXACT,EXACT,2026-06-07
INE150B01039,Alkyl Amines Chemicals Limited,ALKYL AMINES CHEMICALS LTD.,ALKYLAMINE,EQ,506767,ALKYLAMINE,True,True,EXACT,EXACT,2026-06-07
INE418H01029,Allcargo Logistics Limited,ALLCARGO LOGISTICS LTD.,ALLCARGO,EQ,532749,ALLCARGO,True,True,EXACT,EXACT,2026-06-07
INE835G01018,Alldigi Tech Limited,Alldigi Tech Limited,ALLDIGI,EQ,532633,ALLDIGI,True,True,EXACT,EXACT,2026-06-07
INE0GV601021,All Time Plastics Limited,ALL TIME PLASTICS LIMITED,ALLTIME,EQ,544479,ALLTIME,True,True,EXACT,EXACT,2026-06-07
INE326B01035,Almondz Global Securities Limited,ALMONDZ GLOBAL SECURITIES LTD.,ALMONDZ,EQ,531400,ALMONDZ,True,True,EXACT,EXACT,2026-06-07
INE270A01029,Alok Industries Limited,ALOK INDUSTRIES LTD.,ALOKINDS,EQ,521070,ALOKINDS,True,True,EXACT,EXACT,2026-06-07
INE385I01010,Alpa Laboratories Limited,ALPA LABORATORIES LTD.,ALPA,EQ,532878,ALPA,True,True,EXACT,EXACT,2026-06-07
INE137C01018,Alphageo (India) Limited,ALPHAGEO (INDIA) LTD.,ALPHAGEO,EQ,526397,ALPHAGEO,True,True,EXACT,EXACT,2026-06-07
INE121R01077,Amagi Media Labs Limited,Amagi Media Labs Limited,AMAGI,EQ,544679,AMAGI,True,True,EXACT,EXACT,2026-06-07
INE084K01015,Amanta Healthcare Limited,Amanta Healthcare Limited,AMANTA,EQ,544502,AMANTA,True,True,EXACT,EXACT,2026-06-07
INE432A01017,Ambalal Sarabhai Enterprises Limited,AMBALAL SARABHAI ENTERPRISES L,AMBALALSA,EQ,500009,AMBALALSA,True,True,EXACT,HIGH,2026-06-07
INE371P01015,Amber Enterprises India Limited,Amber Enterprises India Limite,AMBER,EQ,540902,AMBER,True,True,EXACT,PARTIAL,2026-06-07
INE792B01012,Ambica Agarbathies & Aroma industries Limited,AMBICA AGARBATHIES & AROMA IND,AMBICAAGAR,EQ,532335,AMBICAAGAR,True,True,EXACT,HIGH,2026-06-07
INE540G01014,Ambika Cotton Mills Limited,AMBIKA COTTON MILLS LTD.,AMBIKCO,EQ,531978,AMBIKCO,True,True,EXACT,EXACT,2026-06-07
INE079A01024,Ambuja Cements Limited,AMBUJA CEMENTS LTD.,AMBUJACEM,EQ,500425,AMBUJACEM,True,True,EXACT,EXACT,2026-06-07
INE005I01014,AMD Industries Limited,AMD INDUSTRIES LTD.,AMDIND,EQ,532828,AMDIND,True,True,EXACT,EXACT,2026-06-07
INE05TO01019,Amir Chand Jagdish Kumar (Exports) Limited,Amir Chand Jagdish Kumar (Expo,AMIRCHAND,EQ,544743,AMIRCHAND,True,True,EXACT,EXACT,2026-06-07
INE606A01024,Amj Land Holdings Limited,AMJ LAND HOLDINGS LIMITED,AMJLAND,EQ,500343,AMJLAND,True,True,EXACT,EXACT,2026-06-07
INE275D01022,Amines & Plasticizers Limited,AMINES & PLASTICIZERS LTD.,AMNPLST,EQ,506248,AMNPLST,True,True,EXACT,EXACT,2026-06-07
INE098F01031,Amrutanjan Health Care Limited,AMRUTANJAN HEALTH CARE LTD.,AMRUTANJAN,EQ,590006,AMRUTANJAN,True,True,EXACT,EXACT,2026-06-07
INE463V01026,Anand Rathi Wealth Limited,Anand Rathi Wealth Limited,ANANDRATHI,EQ,543415,ANANDRATHI,True,True,EXACT,EXACT,2026-06-07
INE242C01024,Anant Raj Limited,ANANT RAJ LIMITED,ANANTRAJ,EQ,515055,ANANTRAJ,True,True,EXACT,EXACT,2026-06-07
INE435A01051,ANDHRA PAPER LIMITED,ANDHRA PAPER LIMITED,ANDHRAPAP,EQ,502330,ANDHRAPAP,True,True,EXACT,EXACT,2026-06-07
INE715B01021,The Andhra Sugars Limited,ANDHRA SUGARS LTD.,ANDHRSUGAR,EQ,590062,ANDHRSUGAR,True,True,EXACT,HIGH,2026-06-07
INE732I01021,Angel One Limited,ANGEL ONE LIMITED,ANGELONE,EQ,543235,ANGELONE,True,True,EXACT,EXACT,2026-06-07
INE087B01017,Anik Industries Limited,ANIK INDUSTRIES LTD.,ANIKINDS,BE,519383,ANIKINDS,True,True,EXACT,EXACT,2026-06-07
INE106I01010,Ankit Metal & Power Limited,ANKIT METAL & POWER LTD.,ANKITMETAL,BZ,532870,ANKITMETAL,True,True,EXACT,EXACT,2026-06-07
INE02AR01019,Anmol India Limited,Anmol India Limited,ANMOL,EQ,542437,ANMOL,True,True,EXACT,EXACT,2026-06-07
,Ansal Properties & Infrastructure Limited,,ANSALAPI,BZ,,,True,False,MISSING,MISSING,2026-06-07
INE818A01017,Antelopus Selan Energy Limited,Antelopus Selan Energy Limited,ANTELOPUS,EQ,530075,ANTELOPUS,True,True,EXACT,EXACT,2026-06-07
,Antarctica Limited,,ANTGRAPHIC,EQ,,,True,False,MISSING,MISSING,2026-06-07
INE0CZ201020,Anthem Biosciences Limited,Anthem Biosciences Limited,ANTHEM,EQ,544449,ANTHEM,True,True,EXACT,EXACT,2026-06-07
INE489G01022,Anuh Pharma Limited,ANUH PHARMA LTD.,ANUHPHR,EQ,506260,ANUHPHR,True,True,EXACT,EXACT,2026-06-07
INE294Z01018,The Anup Engineering Limited,The Anup Engineering Ltd,ANUP,EQ,542460,ANUP,True,True,EXACT,EXACT,2026-06-07
INE930P01018,Anupam Rasayan India Limited,Anupam Rasayan India Limited,ANURAS,EQ,543275,ANURAS,True,True,EXACT,EXACT,2026-06-07
INE372A01015,Apar Industries Limited,APAR INDUSTRIES LTD.,APARINDS,EQ,532259,APARINDS,True,True,EXACT,EXACT,2026-06-07
,Anjani Portland Cement Limited,,APCL,EQ,,,True,False,MISSING,MISSING,2026-06-07
INE116A01032,Apcotex Industries Limited,APCOTEX INDUSTRIES LTD.,APCOTEXIND,EQ,523694,APCOTEXIND,True,True,EXACT,EXACT,2026-06-07
INE346W01013,Apex Frozen Foods Limited,Apex Frozen Foods Limited,APEX,EQ,540692,APEX,True,True,EXACT,EXACT,2026-06-07
INE702C01027,APL Apollo Tubes Limited,APL APOLLO TUBES LTD.,APLAPOLLO,EQ,533758,APLAPOLLO,True,True,EXACT,EXACT,2026-06-07
INE901L01018,Alembic Pharmaceuticals Limited,ALEMBIC PHARMACEUTICALS LTD.,APLLTD,EQ,533573,APLLTD,True,True,EXACT,EXACT,2026-06-07
INE713T01028,Apollo Micro Systems Limited,Apollo Micro Systems Limited,APOLLO,EQ,540879,APOLLO,True,True,EXACT,EXACT,2026-06-07
INE437A01024,Apollo Hospitals Enterprise Limited,APOLLO HOSPITALS ENTERPRISE LT,APOLLOHOSP,EQ,508869,APOLLOHOSP,True,True,EXACT,HIGH,2026-06-07
INE126J01016,Apollo Pipes Limited,APOLLO PIPES LIMITED,APOLLOPIPE,EQ,531761,APOLLOPIPE,True,True,EXACT,EXACT,2026-06-07
INE438A01022,Apollo Tyres Limited,APOLLO TYRES LTD.,APOLLOTYRE,EQ,500877,APOLLOTYRE,True,True,EXACT,EXACT,2026-06-07
,Apollo Sindoori Hotels Limited,,APOLSINHOT,EQ,,,True,False,MISSING,MISSING,2026-06-07
INE266F01018,Aptech Limited,APTECH LTD.,APTECHT,EQ,532475,APTECHT,True,True,EXACT,EXACT,2026-06-07
INE852O01025,Aptus Value Housing Finance India Limited,Aptus Value Housing Finance In,APTUS,EQ,543335,APTUS,True,True,EXACT,HIGH,2026-06-07
INE416A01051,Aqylon Nexus Limited,Aqylon Nexus Limited,AQYLON,EQ,530943,AQYLON,True,True,EXACT,EXACT,2026-06-07
INE877I01016,Archidply Industries Limited,ARCHIDPLY INDUSTRIES LTD.,ARCHIDPLY,EQ,532994,ARCHIDPLY,True,True,EXACT,EXACT,2026-06-07
INE731A01020,Archies Limited,ARCHIES LTD.,ARCHIES,EQ,532212,ARCHIES,True,True,EXACT,EXACT,2026-06-07
INE885A01032,Amara Raja Energy & Mobility Limited,Amara Raja Energy & Mobility L,ARE&M,EQ,500008,ARE&M,True,True,EXACT,EXACT,2026-06-07
INE610C01014,Rajdarshan Industries Limited,RAJDARSHAN INDUSTRIES LTD.,ARENTERP,EQ,526662,ARENTERP,True,True,EXACT,EXACT,2026-06-07
INE784R01023,Arfin India Limited,Arfin India Limited,ARFIN,EQ,539151,ARFIN,True,True,EXACT,EXACT,2026-06-07
INE298I01015,Aries Agro Limited,ARIES AGRO LTD.,ARIES,EQ,532935,ARIES,True,True,EXACT,EXACT,2026-06-07
INE413D01011,Arihant Foundations & Housing Limited,ARIHANT FOUNDATIONS & HOUSING,ARIHANT,EQ,531381,ARIHANT,True,True,EXACT,EXACT,2026-06-07
INE420B01036,Arihant Capital Markets Limited,ARIHANT CAPITAL MARKETS LTD.,ARIHANTCAP,EQ,511605,ARIHANTCAP,True,True,EXACT,EXACT,2026-06-07
INE643K01018,Arihant Superstructures Limited,ARIHANT SUPERSTRUCTURES LIMITE,ARIHANTSUP,EQ,506194,ARIHANTSUP,True,True,EXACT,HIGH,2026-06-07
INE0H9P01028,Arisinfra Solutions Limited,ArisInfra Solutions Limited,ARIS,EQ,544419,ARIS,True,True,EXACT,EXACT,2026-06-07
INE0QRL01017,Arkade Developers Limited,ARKADE DEVELOPERS LIMITED,ARKADE,EQ,544261,ARKADE,True,True,EXACT,EXACT,2026-06-07
INE109C01017,Arman Financial Services Limited,ARMAN FINANCIAL SERVICES LTD.,ARMANFIN,EQ,531179,ARMANFIN,True,True,EXACT,EXACT,2026-06-07
,Aro Granite Industries Limited,,AROGRANITE,EQ,,,True,False,MISSING,MISSING,2026-06-07
INE570D01018,Arrow Greentech Limited,Arrow Greentech Limited,ARROWGREEN,EQ,516064,ARROWGREEN,True,True,EXACT,EXACT,2026-06-07
INE968D01022,Arshiya Limited,ARSHIYA LIMITED,ARSHIYA,BZ,506074,ARSHIYA,True,True,EXACT,EXACT,2026-06-07
INE549H01021,Anand Rathi Share and Stock Brokers Limited,ANAND RATHI SHARE AND STOCK BR,ARSSBL,EQ,544530,ARSSBL,True,True,EXACT,HIGH,2026-06-07
INE025R01021,Artemis Medicare Services Limited,Artemis Medicare Services Limi,ARTEMISMED,EQ,542919,ARTEMISMED,True,True,EXACT,HIGH,2026-06-07
,Art Nirman Limited,,ARTNIRMAN,EQ,,,True,False,MISSING,MISSING,2026-06-07
,Arvee Laboratories (India) Limited,,ARVEE,EQ,,,True,False,MISSING,MISSING,2026-06-07
INE034A01011,Arvind Limited,ARVIND LTD.,ARVIND,EQ,500101,ARVIND,True,True,EXACT,EXACT,2026-06-07
INE955V01021,Arvind Fashions Limited,Arvind Fashions Limited,ARVINDFASN,EQ,542484,ARVINDFASN,True,True,EXACT,EXACT,2026-06-07
INE034S01021,Arvind SmartSpaces Limited,Arvind SmartSpaces Limited,ARVSMART,EQ,539301,ARVSMART,True,True,EXACT,EXACT,2026-06-07
