"TckrSymb","FinInstrmNm"
"SBIN","STATE BANK OF INDIA"
"SAIL","STEEL AUTHORITY OF INDIA LTD."
"TITAN","TITAN COMPANY LIMITED"
"IDBI","IDBI BANK LTD."
"DCW","DCW LTD."
"DHAMPURSUG","DHAMPUR SUGAR MILLS LTD."
"DIAMINESQ","DIAMINES & CHEMICALS LTD."
"ELANTAS","ELANTAS BECK INDIA LTD."
"DRREDDY","DR.REDDYS LABORATORIES LTD."
"EIDPARRY","E.I.D.-PARRY (INDIA) LTD."
"PGHL","PROCTER & GAMBLE HEALTH LIMITE"
"ELECTCAST","ELECTROSTEEL CASTINGS LTD."
"ESABINDIA","ESAB INDIA LTD."
"EPL","EPL LIMITED"
"ESTER","ESTER INDUSTRIES LTD."
"FGP","FGP LTD."
"PHCAP","PH CAPITAL LTD."
"FINCABLES","FINOLEX CABLES LTD."
"COCKERILL","JOHN COCKERILL INDIA LIMITED"
"UFLEX","UFLEX LTD."
"FOSECOIND","FOSECO INDIA LTD."
"GOLDENTOBC","GOLDEN TOBACCO LTD."
"GANESHBE","GANESH BENZOPLAST LTD."
"METROGLOBL","METROGLOBAL LIMITED"
"GTL","GTL LTD."
"GODFRYPHLP","GODFREY PHILLIPS INDIA LTD."
"GODREJIND","GODREJ INDUSTRIES LTD."
"KANSAINER","KANSAI NEROLAC PAINTS LTD."
"GOODRICKE","GOODRICKE GROUP LTD."
"GOODYEAR","GOODYEAR INDIA LTD."
"GTNINDS","GTN INDUSTRIES LTD."
"GHCL","GHCL LTD."
"GFLLIMITED","GFL LIMITED"
"HCL-INSYS","HCL INFOSYSTEMS LTD."
"HDFCBANK","HDFC BANK LTD."
"HEROMOTOCO","HERO MOTOCORP LTD."
"HFCL","HFCL LIMITED"
"HSCL","Himadri Speciality Chemical Lt"
"HCC","HINDUSTAN CONSTRUCTION CO.LTD."
"HINDOILEXP","HINDUSTAN OIL EXPLORATION CO.L"
"AGI","AGI GREENPAC LIMITED"
"HINDZINC","HINDUSTAN ZINC LTD."
"NDLVENTURE","NDL Ventures Limited"
"HMT","HMT LTD."
"PRAGBOS","PRAG BOSIMI SYNTHETICS LTD."
"HLVLTD","HLV LIMITED"
"IGPL","I G PETROCHEMICALS LTD."
"INDIAGLYCO","INDIA GLYCOLS LTD."
"INDLEASE","INDIA LEASE DEVELOPMENT LTD."
"MARGOFIN","MARGO FINANCE LIMITED"
"INDORAMA","INDO RAMA SYNTHETICS (INDIA) L"
"INFY","INFOSYS LTD."
"INGERRAND","INGERSOLL-RAND (INDIA) LTD."
"ITHL","INTERNATIONAL TRAVEL HOUSE LTD"
"IONEXCHANG","ION EXCHANGE (INDIA) LTD."
"SUNDROP","SUNDROP BRANDS LIMITED"
"JISLJALEQS","JAIN IRRIGATION SYSTEMS LTD."
"JASCH","JASCH INDUSTRIES LTD."
"JINDALPOLY","JINDAL POLY FILMS LTD."
"JSWSTEEL","JSW STEEL LTD."
"KAJARIACER","KAJARIA CERAMICS LTD."
"KAKATCEM","KAKATIYA CEMENT SUGAR & INDUST"
"KSL","KALYANI STEELS LTD."
"KANELIND","KANEL INDUSTRIES LIMITED"
"WHIRLPOOL","WHIRLPOOL OF INDIA LTD."
"KGDENIM","KG DENIM LTD."
"KINETICENG","KINETIC ENGINEERING LTD."
"KIRLOSBROS","KIRLOSKAR BROTHERS LTD."
"KIRLOSIND","KIRLOSKAR INDUSTRIES LTD"
"KIRLFER","KIRLOSKAR FERROUS INDUSTRIES L"
"ENVAIREL","ENVAIR ELECTRODYNE LTD."
"KOTAKBANK","KOTAK MAHINDRA BANK LTD."
"KSB","KSB LIMITED"
"LGBBROSLTD","L.G.BALAKRISHNAN & BROS.LTD."
"TRENT","TRENT LTD."
"LMW","LMW Limited"
"LICHSGFIN","LIC HOUSING FINANCE LTD."
"LUPIN","LUPIN LTD."
"LYKALABS","LYKA LABS LTD."
"RAMCOCEM","THE RAMCO CEMENTS LIMITED"
"HYBRIDFIN","HYBRID FINANCIAL SERVICES LIMI"
"MAFATIND","MAFATLAL INDUSTRIES LTD."
"MAHSEAMLES","MAHARASHTRA SEAMLESS LTD."
"MAHSCOOTER","MAHARASHTRA SCOOTERS LTD."
"MAJESAUT","MAJESTIC AUTO LTD."
"MANALIPETC","MANALI PETROCHEMICAL LTD."
"BARODARY","BARODA RAYON CORPORATION LTD."
"MFSL","Max Financial Services Limited"
"MIDINDIA","MID INDIA INDUSTRIES LTD."
"MIRCELECTR","MIRC ELECTRONICS LTD."
"CENTENKA","CENTURY ENKA LTD."
"LORDSCHLO","LORDS CHLORO ALKALI LTD."
"SPICEJET","SPICEJET LTD."
"MOREPENLAB","MOREPEN LABORATORIES LTD."
"MRF","MRF LTD."
"HEIDELBERG","HEIDELBERGCEMENT INDIA LTD."
"NCC","NCC LIMITED"
"VEDL","VEDANTA LIMITED"
"NAHARSPING","NAHAR SPINNING MILLS LTD."
"NAPEROL","Naperol Investments Limited"
"GRASIM","GRASIM INDUSTRIES LTD."
"NIITLTD","NIIT LTD."
"JAYKAY","Jaykay Enterprises Limited"
"NIRLON","NIRLON LTD."
"ONGC","OIL AND NATURAL GAS CORPORATIO"
"OILCOUNTUB","OIL COUNTRY TUBULAR LTD."
"ORIENTHOT","ORIENTAL HOTELS LTD."
"OSWALAGRO","OSWAL AGRO MILLS LTD."
"INDSUCR","INDIAN SUCROSE LTD."
"PANCM","PANYAM CEMENTS & MINERAL INDUS"
"RELIANCE","RELIANCE INDUSTRIES LTD."
"PILITA","Pil Italica Lifestyle Limited"
"RAYMOND","RAYMOND LTD."
"PIDILITIND","PIDILITE INDUSTRIES LTD."
"PIXTRANS","PIX TRANSMISSIONS LTD."
"BIRLACORPN","BIRLA CORPORATION LTD."
"SURYAROSNI","SURYA ROSHNI LTD."
"PRIMESECU","PRIME SECURITIES LTD."
"PRSMJOHNSN","PRISM JOHNSON LIMITED."
"RAIN","RAIN INDUSTRIES LIMITED"
"PRUDMOULI","PRUDENTIAL SUGAR CORPORATION L"
"AMJLAND","AMJ LAND HOLDINGS LIMITED"
"PUNJCOMMU","PUNJAB COMMUNICATIONS LTD."
"RSWM","RSWM LTD."
"RAJSREESUG","RAJSHREE SUGARS & CHEMICALS LT"
"RALLIS","RALLIS INDIA LTD."
"RAMANEWS","SHREE RAMA NEWSPRINT LTD."
"RAMAPPR-B","RAMA PAPER MILLS LTD."
"RAPICUT","RAPICUT CARBIDES LTD."
"WELSPLSOL","WELSPUN SPECIALTY SOLUTIONS LI"
"RUBFILA","RUBFILA INTERNATIONAL LTD."
"PATANJALI","Patanjali Foods Limited"
"SALORAINTL","SALORA INTERNATIONAL LTD."
"SAMTELIN","SAMTEL INDIA LTD."
"JINDALSAW","JINDAL SAW LTD."
"JKLAKSHMI","JK LAKSHMI CEMENT LTD."
"SHREECEM","SHREE CEMENT LTD."
"SKPMIL","SHREE KRISHNA PAPER MILLS & IN"
"RELINFRA","RELIANCE INFRASTRUCTURE LTD."
"STEELCO","STEELCO GUJARAT LTD."
"TATAPOWER","TATA POWER CO.LTD."
"SPMLINFRA","SPML INFRA LIMITED"
"SUNDRMFAST","SUNDRAM FASTENERS LTD."
"SUNFLAG","SUNFLAG IRON & STEEL CO.LTD."
"SPLPETRO","SUPREME PETROCHEM LTD."
"SWARAJENG","SWARAJ ENGINES LTD."
"TATAELXSI","TATA ELXSI LTD."
"ACC","ACC LTD."
"THERMAX","THERMAX LTD."
"TIRUMALCHM","THIRUMALAI CHEMICALS LTD."
"THOMASCOOK","THOMAS COOK (INDIA) LTD."
"TIMEX","TIMEX GROUP INDIA LTD."
"TOKYOPLAST","TOKYO PLAST INTERNATIONAL LTD."
"TORNTPHARM","TORRENT PHARMACEUTICALS LTD."
"TPINDIA","TPI INDIA LTD."
"TRANSCHEM","TRANSCHEM LTD."
"AMBUJACEM","AMBUJA CEMENTS LTD."
"UTLINDS","UTL INDUSTRIES LIMITED"
"UNIENTER","UNIPHOS ENTERPRISES LTD."
"HINDALCO","HINDALCO INDUSTRIES LTD."
"WSTCSTPAPR","West Coast Paper Mills Limited"
"HOCL","HINDUSTAN ORGANIC CHEMICALS LT"
"MPILCORPL","MPIL CORPORATION LTD."
"PASUPTAC","PASUPATI ACRYLON LTD."
"TEAM24","TEAM24 CONSUMER PRODUCTS LIMIT"
"PGHH","PROCTER & GAMBLE HYGIENE & HEA"
"MUKANDLTD","MUKAND LTD."
"BBOX","BLACK BOX LIMITED"
"UCAL","UCAL LIMITED"
"HARRMALAYA","HARRISONS MALAYALAM LTD."
"FEDERALBNK","FEDERAL BANK LTD."
"TATASTEEL","TATA STEEL LTD."
"SKFINDIA","SKF INDIA LTD."
"ASHOKLEY","ASHOK LEYLAND LTD."
"CUMMINSIND","CUMMINS INDIA LTD."
"TATACOMM","TATA COMMUNICATIONS LTD."
"ABBOTINDIA","ABBOTT INDIA LTD."
"BAJAJHLDNG","BAJAJ HOLDINGS & INVESTMENT LT"
"BHARATFORG","BHARAT FORGE LTD."
"ESCORTS","Escorts Kubota Limited"
"HINDMOTORS","HINDUSTAN MOTORS LTD."
"LT","LARSEN & TOUBRO LTD."
"M&M","MAHINDRA & MAHINDRA LTD."
"BOSCHLTD","BOSCH LTD."
"PREMIER","PREMIER LTD."
"BPCL","BHARAT PETROLEUM CORPORATION L"
"SIEMENS","SIEMENS LTD."
"TMPV","TATA MOTORS PASSENGER VEHICLES"
"VOLTAS","VOLTAS LTD."
"GESHIP","GREAT EASTERN SHIPPING CO.LTD."
"DEEPAKFERT","DEEPAK FERTILISERS & PETROCHEM"
"EXCELINDUS","EXCEL INDUSTRIES LTD."
"GRWRHITECH","GARWARE HI-TECH FILMS LIMITED"
"GLAXO","GLAXOSMITHKLINE PHARMACEUTICAL"
"GNFC","GUJARAT NARMADA VALLEY FERTILI"
"NOVARTIND","NOVARTIS INDIA LTD."
"SANOFI","SANOFI INDIA LTD"
"PFIZER","PFIZER LTD."
"GSFC","GUJARAT STATE FERTILIZERS & CH"
"HINDUNILVR","HINDUSTAN UNILEVER LTD."
"JSWDULUX","JSW Dulux Limited"
"NOCIL","NOCIL LTD."
"TATACHEM","TATA CHEMICALS LTD."
"TNPETRO","TAMILNADU PETROPRODUCTS LTD."
"ZUARIIND","Zuari Industries Limited"
"NESTLEIND","NESTLE INDIA LTD."
"TATACONSUM","TATA CONSUMER PRODUCTS LIMITED"
"ASIANPAINT","ASIAN PAINTS LTD."
"BRITANNIA","BRITANNIA INDUSTRIES LTD."
"COLPAL","COLGATE-PALMOLIVE (INDIA) LTD."
"EIHOTEL","EIH LTD."
"INDHOTEL","INDIAN HOTELS CO.LTD."
"CASTROLIND","CASTROL INDIA LTD."
"ITC","ITC LTD."
"APOLLOTYRE","APOLLO TYRES LTD."
"CEATLTD","CEAT LTD."
"FINPIPE","FINOLEX INDUSTRIES LTD."
"DSINVEST","DALAL STREET INVESTMENTS LTD."
"CENTRUM","CENTRUM CAPITAL LTD."
"KARTKIN","KARTIK INVESTMENTS TRUST LTD."
"TCIFINANCE","TCI FINANCE LTD."
"ANTARIKSH","ANTARIKSH INDUSTRIES LIMITED"
"IITL","INDUSTRIAL INVESTMENT TRUST LT"
"INDPRUD","INDUSTRIAL & PRUDENTIAL INVEST"
"TATAINVEST","TATA INVESTMENT CORPORATION LT"
"PRISMX","PRISMX GLOBAL VENTURES LIMITED"
"MOTOGENFIN","MOTOR & GENERAL FINANCE LTD."
"RAPIDIN","RAPID INVESTMENTS LTD."
"WALCHPF","WALCHAND PEOPLEFIRST LTD."
"WHBRADY","W.H.BRADY & CO.LTD."
"TECHNVISN","TechNVision Ventures Limited"
"SHAILY","SHAILY ENGINEERING PLASTICS LT"
"BBTC","The Bombay Burmah Trading Corp"
"BOMBCYC","BOMBAY CYCLE & MOTOR AGENCY LT"
"GREAVESCOT","GREAVES COTTON LTD."
"MULLER","MULLER & PHIPPS (INDIA) LTD."
"AMALGAM","AMALGAMATED ELECTRICITY CO.LTD"
"INDIANVSH","INDIANIVESH LTD."
"COASTCORP","COASTAL CORPORATION LTD."
"CHOWGULSTM","CHOWGULE STEAMSHIPS LTD."
"GARWAOFFS","GARWARE OFFSHORE SERVICES LIMI"
"DHENUBUILD","DHENU BUILDCON INFRA LTD."
"ASIIL","ASI INDUSTRIES LIMITED"
"SAGCEM","SAGAR CEMENTS LTD."
"DECCANCE","DECCAN CEMENTS LTD."
"MANGLMCEM","MANGALAM CEMENT LTD."
"NCLIND","NCL INDUSTRIES LTD."
"SAURASHCEM","SAURASHTRA CEMENT LTD."
"SHREDIGCEM","SHREE DIGVIJAY CEMENT CO.LTD."
"BORORENEW","BOROSIL RENEWABLES LIMITED"
"LERTHAI","LERTHAI FINANCE LIMITED"
"TRIVENIGQ","TRIVENI GLASS LTD."
"NILACHAL","NILACHAL REFRACTORIES LTD."
"ANDHRAPAP","ANDHRA PAPER LIMITED"
"BALKRISIND","BALKRISHNA INDUSTRIES LTD."
"ORIENTPPR","ORIENT PAPER & INDUSTRIES LTD."
"CITADEL","CITADEL REALTY AND DEVELOPERS"
"ROLLT","ROLLATAINERS LTD."
"SESHAPAPER","SESHASAYEE PAPER & BOARDS LTD."
"NATHIND","NATH INDUSTRIES LIMITED"
"VAPIENTER","VAPI ENTERPRISE LIMITED"
"DCM","DCM LTD."
"FORBESCO","FORBES & COMPANY LTD."
"HPCOTTON","H.P.COTTON TEXTILE MILLS LTD."
"UNITEDINT","UNITED INTERACTIVE LTD."
"JAMSHRI","JAMSHRI REALTY LIMITED"
"KATRSPG","KATARE SPINNING MILLS LTD."
"KESORAMIND","KESORAM INDUSTRIES LTD."
"LAKSHMIMIL","LAKSHMI MILLS COMPANY LTD."
"VTL","VARDHMAN TEXTILES LTD."
"PENINLAND","PENINSULA LAND LTD."
"PASUSPG","PASUPATI SPG.& WVG.MILLS LTD."
"PHOENIXLTD","THE PHOENIX MILLS LTD"
"MARATHON","MARATHON NEXTGEN REALTY LTD."
"RAJABAH","RAJA BAHADUR INTERNATIONAL LTD"
"RELCHEMQ","RELIANCE CHEMOTEX INDUSTRIES L"
"RUBYMILLS","RUBY MILLS LTD."
"SIMPLXREA","SIMPLEX REALTY LTD."
"SWANCORP","Swan Corp Limited"
"VICTMILL","VICTORIA MILLS LTD."
"ZSVARAJT","SVARAJ TRADING & AGENCIES LTD."
"SALSAIN","SHREE SALASAR INVESTMENT LTD."
"APOLLOIN","Apollo Ingredients Limited"
"ZODIACVEN","ZODIAC VENTURES LIMITED"
"VEERENRGY","VEER ENERGY & INFRASTRUCTURE L"
"TILAK","Tilak Ventures Limited"
"WAGEND","WAGEND INFRA VENTURE LIMITED"
"ELCIDIN","ELCID INVESTMENTS LTD."
"MEDIAONE","MEDIAONE GLOBAL ENTERTAINMENT"
"BANSWRAS","BANSWARA SYNTEX LTD."
"MODWOOL","MODELLA WOOLLENS LTD."
"MODIPON","MODIPON LTD."
"SHRIDINE","SHRI DINESH MILLS LTD."
"SRF","SRF LTD."
"SIYSIL","SIYARAM SILK MILLS LTD."
"SWADPOL","SWADESHI POLYTEX LTD."
"SHRAJSYNQ","SHREE RAJASTHAN SYNTEX LTD."
"BBL","BHARAT BIJLEE LTD."
"ELPROINTL","ELPRO INTERNATIONAL LTD."
"GEE","GEE LTD."
"HIRECT","HIND RECTIFIERS LTD."
"NIPPOBATRY","INDO-NATIONAL LTD."
"ZENSARTECH","ZENSAR TECHNOLOGIES LTD."
"JYOTI","JYOTI LTD."
"JSLINDL","JSL INDUSTRIES LTD."
"KAYCEEI","KAYCEE INDUSTRIES LTD."
"INDOKEM","INDOKEM LTD."
"PANAENERG","PANASONIC ENERGY INDIA COMPANY"
"NELCO","NELCO LTD."
"PERMAGN","PERMANENT MAGNETS LTD."
"HIGHENE","HIGH ENERGY BATTERIES (INDIA)"
"STDBAT","STANDARD BATTERIES LTD."
"UNIVCABLES","UNIVERSAL CABLES LTD."
"WSI","W.S.INDUSTRIES (INDIA) LTD."
"DLTNCBL","DELTON CABLES LTD."
"LAKSELEC","LAKSHMI ELECTRICAL CONTROL SYS"
"MODULEX","MODULEX CONSTRUCTION TECHNOLOG"
"DELTAMAGNT","DELTA MANUFACTURING LIMITED"
"LONGSPUR","Longspur International Venture"
"RELTD","RAVINDRA ENERGY LIMITED"
"EMPOWER","EMPOWER INDIA LTD."
"GRANDMA","GRANDMA TRADING & AGENCIES LTD"
"NYSSACORP","NYSSA CORPORATION LIMITED"
"FLOMIC","FLOMIC GLOBAL LOGISTICS LIMITE"
"KRISHNA","KRISHNA VENTURES LIMITED"
"UNIABEXAL","UNI ABEX ALLOY PRODUCTS LTD."
"SARDAEN","SARDA ENERGY & MINERALS LTD."
"BGWTATO","BHAGWATI AUTOCAST LTD."
"BOMBWIR","BOMBAY WIRE ROPES LTD."
"AZADIND","AZAD INDIA MOBILITY LIMITED"
"INDIANHUME","INDIAN HUME PIPE CO.LTD."
"INLCM","INDIAN LINK CHAIN MANUFACTURES"
"INVPRECQ","INVESTMENT & PRECISION CASTING"
"INFORTEC","INFORMED TECHNOLOGIES INDIA LT"
"KAIRA","KAIRA CAN CO.LTD."
"ORIENTCER","ORIENT CERATECH LIMITED"
"NATIONSTD","NATIONAL STANDARD (INDIA) LTD."
"RATHIST","RATHI STEEL & POWER LTD."
"DUNCANENG","Duncan Engineering Limited"
"SANDUMA","SANDUR MANGANESE & IRON ORES L"
"STOVACQ","STOVEC INDUSTRIES LTD."
"CHOLAHLDNG","CHOLAMANDALAM FINANCIAL HOLDIN"
"ZWELCAST","WELCAST STEELS LTD."
"AUTOAXLES","AUTOMOTIVE AXLES LTD."
"ATLASCYCLE","ATLAS CYCLES (HARYANA) LTD."
"ACGL","AUTOMOBILE CORPORATION OF GOA"
"SETCO","SETCO AUTOMOTIVE LTD."
"TALBROAUTO","TALBROS AUTOMOTIVE COMPONENTS"
"ZFSTEERING","Z.F.STEERING GEAR (INDIA) LTD."
"SMLMAH","SML Mahindra Limited"
"TIL","TIL LTD."
"EICHERMOT","EICHER MOTORS LTD."
"JAINEX","JAINEX AAMCOL LTD."
"ALFREDHE","ALFRED HERBERT (INDIA) LTD."
"VELJAN","VELJAN DENISON LIMITED"
"DYNAMATECH","DYNAMATIC TECHNOLOGIES LTD."
"GGDPROP","G. G. Dandekar Properties Limi"
"GMMPFAUDLR","GMM PFAUDLER LTD."
"KIRLPNU","KIRLOSKAR PNEUMATIC CO.LTD."
"TULIVE","TULIVE DEVELOPERS LIMITED"
"KPT","KPT INDUSTRIES LIMITED"
"LAKSHMIEW","LAKSHMI ENGINEERING AND WAREHO"
"MANUGRAPH","MANUGRAPH INDIA LTD."
"HARSHILAGR","HARSHIL AGROTECH LIMITED"
"MONOT","MONOTYPE INDIA LTD."
"NESCO","NESCO LTD."
"INTEGRAEN","INTEGRA ENGINEERING INDIA LTD."
"SEMAC","Semac Construction Limited"
"TEXINFRA","TEXMACO INFRASTRUCTURE & HOLDI"
"WENDT","WENDT (INDIA) LTD."
"PSITINFRA","PS IT INFRASTRUCTURE & SERVICE"
"GHVINFRA","GHV INFRA PROJECTS LIMITED"
"RESPONIND","RESPONSIVE INDUSTRIES LTD."
"SHYMINV","SHYAMKAMAL INVESTMENTS LTD."
"MAHACORP","MAHARASHTRA CORPORATION LTD."
"DOLATALGO","DOLAT ALGOTECH LIMITED"
"WESTLIFE","WESTLIFE FOODWORLD LIMITED"
"ZEEL","ZEE ENTERTAINMENT ENTERPRISES"
"SVPGLOB","SVP GLOBAL TEXTILES LIMITED"
"SKYLMILAR","SKYLINE MILLARS LTD."
"BIMETAL","BIMETAL BEARINGS LTD."
"BHARATGEAR","BHARAT GEARS LTD."
"BRADYM","BRADY & MORRIS ENGINEERING CO."
"LATIMMETAL","La Tim Metal & Industries Limi"
"ELECON","ELECON ENGINEERING CO.LTD."
"GRAUWEIL","GRAUER & WEIL (INDIA) LTD."
"HIMTEK","HIM TEKNOFORGE LIMITED"
"GABRIEL","GABRIEL INDIA LTD."
"HERCULES","Hercules Investments Limited"
"ALGOQUANT","ALGOQUANT FINTECH LIMITED"
"IFBIND","IFB INDUSTRIES LTD."
"SINGERIND","SINGER INDIA LTD."
"INTLCOMBQ","INTERNATIONAL COMBUSTION (INDI"
"FMGOETZE","FEDERAL-MOGUL GOETZE (INDIA) L"
"JOSTS","JOSTS ENGINEERING CO.LTD."
"SCHAEFFLER","Schaeffler India Limited"
"RANEHOLDIN","RANE HOLDINGS LTD."
"ROLCOEN","ROLCON ENGINEERING CO.LTD."
"SNL","SNL BEARINGS LTD."
"JAIPAN","JAIPAN INDUSTRIES LTD."
"MANCREDIT","MANGAL CREDIT AND FINCORP LTD."
"TRF","TRF LTD."
"WPIL","WPIL LTD."
"KENNAMET","KENNAMETAL INDIA LTD."
"HINDHARD","HINDUSTAN HARDY LIMITED"
"TRITONV","TRITON VALVES LTD."
"SUDAI","SUDAL INDUSTRIES LTD."
"PRAKASH","PRAKASH INDUSTRIES LTD."
"ARSHIYA","ARSHIYA LIMITED"
"GRINDWELL","GRINDWELL NORTON LTD."
"LAKPRE","LAKSHMI PRECISION SCREWS LTD."
"STANROS","STANROSE MAFATLAL INVESTMENTS"
"GENESYS","GENESYS INTERNATIONAL CORPORAT"
"VOLKAI","Kairosoft AI Solutions Limited"
"PARNAXLAB","PARNAX LAB LTD."
"GOURMET","GOURMET GATEWAY INDIA LIMITED"
"VIVIDHA","VISAGAR POLYTEX LTD."
"APIS","APIS INDIA LTD."
"EMERGENT","EMERGENT INDUSTRIAL SOLUTIONS"
"KANANIIND","KANANI INDUSTRIES LTD."
"GSLTD","GALAXY SUPERMARKET LIMITED"
"ARIHANTSUP","ARIHANT SUPERSTRUCTURES LIMITE"
"BLISSGVS","BLISS GVS PHARMA LTD."
"STYRENIX","Styrenix Performance Materials"
"ALEMBICLTD","ALEMBIC LTD."
"AMNPLST","AMINES & PLASTICIZERS LTD."
"ANUHPHR","ANUH PHARMA LTD."
"MODISONLTD","MODISON LIMITED"
"BAYERCROP","BAYER CROPSCIENCE LTD."
"STARSOURCE","STARSOURCE MULTITRADE LIMITED"
"SUDARCOLOR","Sudarshan Colorants India Limi"
"COROMANDEL","COROMANDEL INTERNATIONAL LTD."
"DEEPAKNTR","DEEPAK NITRITE LTD."
"DMCC","DMCC SPECIALITY CHEMICALS LIMI"
"FERMENTA","FERMENTA BIOTECH LIMITED"
"GOCLCORP","GOCL Corporation Limited"
"JAYCH","JAYSHREE CHEMICALS LTD."
"KANORICHEM","KANORIA CHEMICALS & INDUSTRIES"
"KELENRG","KELTECH ENERGIES LTD."
"KEMP","KEMP & COMPANY LTD."
"NITTAGELA","NITTA GELATIN INDIA LTD."
"MPAGI","M.P.AGRO INDUSTRIES LTD."
"AGVENTURES","AG VENTURES LIMITED"
"PCBL","PCBL Chemical Limited"
"AMAL","AMAL LTD."
"POLYCHEM","POLYCHEM LTD."
"PUNJABCHEM","PUNJAB CHEMICALS AND CROP PROT"
"ZR2","ZR2 BIOENERGY LIMITED"
"SADHNANIQ","SADHANA NITROCHEM LTD."
"SUDARSCHEM","SUDARSHAN CHEMICAL INDUSTRIES"
"TECILCHEM","TECIL CHEMICALS & HYDRO POWER"
"ULTRAMAR","ULTRAMARINE & PIGMENTS LTD."
"TRANSPEK","TRANSPEK INDUSTRY LTD."
"UNICHEMLAB","UNICHEM LABORATORIES LTD."
"MYSORPETRO","MYSORE PETRO CHEMICALS LTD."
"ALKYLAMINE","ALKYL AMINES CHEMICALS LTD."
"TUTIALKA","TUTICORIN ALKALI CHEMICALS AND"
"ASTRAZEN","ASTRAZENECA PHARMA INDIA LTD."
"PRIMO","Primo Chemicals Limited"
"TANFACIND","TANFAC INDUSTRIES LTD."
"GUJPETR","GUJARAT PETROSYNTHESE LTD."
"SWADEIN","SWADESHI INDUSTRIES LEASING CO"
"GUJTHEM","GUJARAT THEMIS BIOSYN LTD."
"SCBL","Saptak Chem And Business Limit"
"MAKERSL","MAKERS LABORATORIES LTD."
"CONTCHM","CONTINENTAL CHEMICALS LTD."
"JBCHEPHARM","J.B.CHEMICALS & PHARMACEUTICAL"
"ADVPETR-B","ADVANCE PETROCHEMICALS LTD."
"RAJSPTR","RAJASTHAN PETRO SYNTHETICS LTD"
"APTPACK","APT PACKAGING LTD."
"BLUECHIPT","BLUE CHIP TEX INDUSTRIES LTD."
"JAGAJITIND","JAGATJIT INDUSTRIES LTD."
"KESARENT","KESAR ENTERPRISES LTD."
"TI","TILAKNAGAR INDUSTRIES LTD."
"EMERALL","Emerald Leisures Limited"
"RAVALSUGAR","The Ravalgaon Sugar Farm Limit"
"SAKHTISUG","SAKTHI SUGARS LTD."
"WALCHANNAG","WALCHANDNAGAR INDUSTRIES LTD."
"IFBAGRO","IFB AGRO INDUSTRIES LTD."
"KFBL","KOTHARI FERMENTATION & BIOCHEM"
"CAPRO","CAPROLACTAM CHEMICALS LTD."
"GMBREW","G.M.BREWERIES LTD."
"RANASUG","RANA SUGARS LTD."
"PICCASUG","PICCADILY SUGAR & ALLIED INDUS"
"SDBL","SOM DISTILLERIES & BREWERIES L"
"CJGEL","C.J.GELATINE PRODUCTS LTD."
"ASALCBR","ASSOCIATED ALCOHOLS & BREWERIE"
