"ISIN","COMPANY_NAME","FACE_VALUE","NSE_SYMBOL","NSE_SERIES","NSE_LISTING_DATE","NSE_DATA_SOURCE","BSE_SYMBOL","BSE_CODE","SctySrs","BSE_LISTING_DATE","BSE_DATA_SOURCE","LISTED_NSE","LISTED_BSE","LAST_UPDATED"
"INE198H01019","AAREY DRUGS & PHARMACEUTICALS","10","AAREYDRUGS","BE","06-08-2021","","AAREYDRUGS","524412","T","","","True","True","09-06-2026"
"INE750R01016","AARNAV FASHIONS LIMITED","10","AARNAV","EQ","25-02-2026","","AARNAV","539562","B","","","True","True","09-06-2026"
"INE01C001026","Aartech Solonics Limited","5","AARTECH","EQ","10-07-2023","","AARTECH","542580","B","","","True","True","09-06-2026"
"INE767A01016","AARTI DRUGS LTD.","10","AARTIDRUGS","EQ","19-09-2003","","AARTIDRUGS","524348","B","","","True","True","09-06-2026"
"INE769A01020","AARTI INDUSTRIES LTD.","5","AARTIIND","EQ","08-02-1995","","AARTIIND","524208","A","","","True","True","09-06-2026"
"INE0LRU01027","Aarti Pharmalabs Limited","5","AARTIPHARM","EQ","30-01-2023","","AARTIPHARM","543748","A","","","True","True","09-06-2026"
"INE09EO01013","Aarti Surfactants Limited","10","AARTISURF","EQ","14-07-2020","","AARTISURF","543210","B","","","True","True","09-06-2026"
"INE0EAX01014","Aashka Hospitals Limited","","","","","","AASHKA","543346","M","","","False","True","09-06-2026"
"INE819K01014","Aastamangalam Finance Limited","","","","","","AASTAFIN","511764","X","","","False","True","09-06-2026"
"INE216P01012","AAVAS Financiers Limited","10","AAVAS","EQ","08-10-2018","","AAVAS","541988","A","","","True","True","09-06-2026"
"INE777X01017","AAYUSH ART AND BULLION LIMITED","","","","","","AAYUSHBULL","540718","M","","","False","True","09-06-2026"
"INE430R01023","AAYUSH WELLNESS LIMITED","","","","","","AAYUSH","539528","X","","","False","True","09-06-2026"
"INE365O01028","ABANS ENTERPRISES LTD","2","ABANSENT","BE","20-04-2026","","ABANSENT","512165","T","","","True","True","09-06-2026"
"INE00ZE01026","ABANS FINANCIAL SERVICES LIMIT","2","AFSL","EQ","23-12-2022","","AFSL","543712","B","","","True","True","09-06-2026"
"INE454E01013","ABATE AS INDUSTRIES LIMITED","","","","","","ABATEAS","531658","X","","","False","True","09-06-2026"
"INE117A01022","ABB INDIA LIMITED","2","ABB","EQ","08-02-1995","","ABB","500002","A","","","True","True","09-06-2026"
"INE358A01014","ABBOTT INDIA LTD.","10","ABBOTINDIA","EQ","08-01-2010","","ABBOTINDIA","500488","A","","","True","True","09-06-2026"
"INE125D01011","ABC INDIA LTD.","","","","","","ABCINDQ","520123","X","","","False","True","09-06-2026"
"INE516F01016","ABHINAV CAPITAL SERVICES LTD.","","","","","","ABHICAP","532057","X","","","False","True","09-06-2026"
"INE211D01027","Abhinav Leasing & Finance Limi","","","","","","ALFL","538952","X","","","False","True","09-06-2026"
"INE281P01016","Abhishek Infraventures Limited","","","","","","ABHIINFRA","539544","X","","","False","True","09-06-2026"
"INE195I01013","ABIRAMI FINANCIAL SERVICES (IN","","","","","","ABIRAFN","511756","Z","","","False","True","09-06-2026"
"INE850B01026","ABM KNOWLEDGEWARE LTD.","5","ABMKNO","EQ","20-04-2026","","ABMKNO","531161","B","","","True","True","09-06-2026"
"INE0ZDY01011","Abram Food Limited","","","","","","ABRFL","544422","M","","","False","True","09-06-2026"
"INE012A01025","ACC LTD.","10","ACC","EQ","20-11-1996","","ACC","500410","A","","","True","True","09-06-2026"
"INE578B01015","ACCEDERE LIMITED","","","","","","ACCEDERE","531533","X","","","False","True","09-06-2026"
"INE258C01038","ACCEL LIMITED","","","","","","ACCEL","517494","X","","","False","True","09-06-2026"
"INE793A01012","ACCELYA SOLUTIONS INDIA LIMITE","10","ACCELYA","EQ","01-12-1999","","ACCELYA","532268","B","","","True","True","09-06-2026"
"INE132201018","ACCORD TRANSFORMER & SWITCHGEA","","","","","","ACCORDTS","544710","M","","","False","True","09-06-2026"
"INE648Z01023","Accuracy Shipping Limited","1","ACCURACY","EQ","11-12-2020","","ACCURACY","544598","B","","","True","True","09-06-2026"
"INE0S9X01011","Ace Alpha Tech Limited","","","","","","ACEALPHA","544431","M","","","False","True","09-06-2026"
"INE023R01018","ACE MEN ENGG WORKS LIMITED","","","","","","ACEMEN","539661","X","","","False","True","09-06-2026"
"INE849B01010","ACE SOFTWARE EXPORTS LTD.","","","","","","ACESOFT","531525","X","","","False","True","09-06-2026"
"IN9849B01026","Ace Software Exports ltd.","","","","","","ACESEPP","890230","X","","","False","True","09-06-2026"
"INE0K1401020","Achyut Healthcare Limited","","","","","","ACHYUT","543499","B","","","False","True","09-06-2026"
"INE167B01025","ACI INFOCOM LTD.","","","","","","ACIIN","517356","X","","","False","True","09-06-2026"
"INE326C01017","ACKNIT INDUSTRIES LTD.","","","","","","ACKNIT","530043","X","","","False","True","09-06-2026"
"INE636B01011","Acme Resources Limited","","","","","","ACME","539391","Z","","","False","True","09-06-2026"
"INE622W01025","ACME Solar Holdings Limited","2","ACMESOLAR","EQ","13-11-2024","","ACMESOLAR","544283","A","","","True","True","09-06-2026"
"INE950D01012","ACROW INDIA LTD.","","","","","","ACROW","513149","X","","","False","True","09-06-2026"
"INE366C01021","ACS TECHNOLOGIES LIMITED","10","ACSTECH","EQ","20-04-2026","","ACSTECH","530745","B","","","True","True","09-06-2026"
"INE731H01025","ACTION CONSTRUCTION EQUIPMENT","2","ACE","EQ","26-09-2006","","ACE","532762","A","","","True","True","09-06-2026"
"INE380Z01015","Active Clothing Co  Limited","","","","","","ACTIVE","541144","B","","","False","True","09-06-2026"
"INE00FF01025","ACUTAAS CHEMICALS LIMITED","5","ACUTAAS","EQ","14-09-2021","","ACUTAAS","543349","A","","","True","True","09-06-2026"
"INE931S01010","Adani Energy Solutions Limited","10","ADANIENSOL","EQ","31-07-2015","","ADANIENSOL","539254","A","","","True","True","09-06-2026"
"INE423A01024","ADANI ENTERPRISES LTD.","1","ADANIENT","EQ","04-06-1997","","ADANIENT","512599","A","","","True","True","09-06-2026"
"INE364U01010","Adani Green Energy Limited","10","ADANIGREEN","EQ","18-06-2018","","ADANIGREEN","541450","A","","","True","True","09-06-2026"
"INE742F01042","ADANI PORTS AND SPECIAL ECONOM","2","ADANIPORTS","EQ","27-11-2007","","ADANIPORTS","532921","A","","","True","True","09-06-2026"
"INE814H01029","ADANI POWER LTD.","2","ADANIPOWER","EQ","20-08-2009","","ADANIPOWER","533096","A","","","True","True","09-06-2026"
"INE399L01023","ADANI TOTAL GAS LIMITED","1","ATGL","EQ","05-11-2018","","ATGL","542066","A","","","True","True","09-06-2026"
"INE627D01016","ADARSH PLANT PROTECT LTD.","","","","","","ADARSHPL","526711","X","","","False","True","09-06-2026"
"INE833A01016","ADC INDIA COMMUNICATIONS LIMIT","","","","","","ADCINDIA","523411","XT","","","False","True","09-06-2026"
"INE805Q01028","Adcon Capital Services Limited","","","","","","ADCON","539506","X","","","False","True","09-06-2026"
"INE0W1601012","ADCOUNTY MEDIA INDIA LIMITED","","","","","","ADCOUNTY","544435","M","","","False","True","09-06-2026"
"INE757C01021","ADDI INDUSTRIES LTD.","","","","","","ADDIND","507852","X","","","False","True","09-06-2026"
"INE01B501018","Add-Shop E-Retail Limited","","","","","","ASRL","541865","B","","","False","True","09-06-2026"
"INE982B01027","ADF FOODS LTD.","2","ADFFOODS","EQ","15-09-2010","","ADFFOODS","519183","B","","","True","True","09-06-2026"
"INE578L01014","Adhbhut Infrastructure Ltd.","","","","","","ADHBHUTIN","539189","X","","","False","True","09-06-2026"
"INE207C01019","ADINATH TEXTILES LTD.","","","","","","ADINATH","514113","XT","","","False","True","09-06-2026"
"INE674K01013","Aditya Birla Capital Ltd","10","ABCAPITAL","EQ","01-09-2017","","ABCAPITAL","540691","A","","","True","True","09-06-2026"
"INE647O01011","Aditya Birla Fashion and Retai","10","ABFRL","EQ","17-07-2013","","ABFRL","535755","A","","","True","True","09-06-2026"
"INE14LE01019","Aditya Birla Lifestyle Brands","10","ABLBL","EQ","23-06-2025","","ABLBL","544403","B","","","True","True","09-06-2026"
"INE865C01022","ADITYA BIRLA MONEY LTD.","1","BIRLAMONEY","EQ","07-02-2008","","BIRLAMONEY","532974","B","","","True","True","09-06-2026"
"INE055A01016","ADITYA BIRLA REAL ESTATE LIMIT","10","ABREL","EQ","27-06-2003","","ABREL","500040","A","","","True","True","09-06-2026"
"INE819V01029","Aditya Infotech Limited","1","CPPLUS","EQ","05-08-2025","","CPPLUS","544466","B","","","True","True","09-06-2026"
"INE570B01012","ADITYA ISPAT LTD.","","","","","","ADITYA","513513","X","","","False","True","09-06-2026"
"INE122D01026","ADITYA SPINNERS LTD.","","","","","","ADITYASP","521141","X","","","False","True","09-06-2026"
"INE679V01027","Aditya Vision Limited","1","AVL","EQ","06-11-2024","","AVL","540205","A","","","True","True","09-06-2026"
"INE0XLO01010","ADMACH SYSTEMS LIMITED","","","","","","ADMACH","544669","MT","","","False","True","09-06-2026"
"INE556D01017","AD-MANUM FINANCE LTD.","","","","","","ADMANUM","511359","X","","","False","True","09-06-2026"
"INE045A01017","ADOR WELDING LTD.","10","ADOR","EQ","10-05-1995","","ADOR","517041","B","","","True","True","09-06-2026"
"INE737B01033","Adroit Infotech Limited","10","ADROITINFO","EQ","13-08-1997","","ADROITINFO","532172","B","","","True","True","09-06-2026"
"INE257C01014","ADTECH SYSTEMS LIMITED","","","","","","ADTECH","544185","X","","","False","True","09-06-2026"
"INE0ALI01010","ADVAIT ENERGY TRANSITIONS LIMI","10","ADVAIT","EQ","20-01-2026","","ADVAIT","543230","B","","","True","True","09-06-2026"
"INE1B0W01010","Advance Agrolife Limited","10","ADVANCE","EQ","08-10-2025","","ADVANCE","544562","B","","","True","True","09-06-2026"
"INE900E01015","ADVANCE LIFESTYLES LTD.","","","","","","ADVLIFE","521048","X","","","False","True","09-06-2026"
"INE436N01029","ADVANCE METERING TECHNOLOGY LT","","","","","","AMTL","534612","X","","","False","True","09-06-2026"
"INE334N01018","ADVANCE PETROCHEMICALS LTD.","","","","","","ADVPETR-B","506947","XT","","","False","True","09-06-2026"
"INE837H01020","Advanced Enzyme Technologies L","2","ADVENZYMES","EQ","01-08-2016","","ADVENZYMES","540025","B","","","True","True","09-06-2026"
"INE199C01026","ADVANI HOTELS & RESORTS (INDIA","2","ADVANIHOTR","EQ","25-06-2007","","ADVANIHOTR","523269","B","","","True","True","09-06-2026"
"INE28GN01010","Advent Hotels International Li","10","ADVENTHTL","EQ","13-11-2025","","ADVENTHTL","544446","B","","","True","True","09-06-2026"
"INE178T01024","Advik Capital Limited","","","","","","ADVIKCA","539773","X","","","False","True","09-06-2026"
"INE208C01025","AEGIS LOGISTICS LTD.","1","AEGISLOG","EQ","03-04-1996","","AEGISLOG","500003","A","","","True","True","09-06-2026"
"INE0INX01018","AEGIS VOPAK TERMINALS LIMITED","10","AEGISVOPAK","EQ","02-06-2025","","AEGISVOPAK","544407","B","","","True","True","09-06-2026"
"INE0T3401029","AELEA COMMODITIES LIMITED","","","","","","ACLD","544213","M","","","False","True","09-06-2026"
"INE994D01010","Aeonx Digital Technology Limit","","","","","","AEONXDIGI","524594","X","","","False","True","09-06-2026"
"INE947N01017","Aequs Limited","10","AEQUS","EQ","10-12-2025","","AEQUS","544634","B","","","True","True","09-06-2026"
"INE065D01027","AEROFLEX ENTERPRISES LIMITED","2","AEROENTER","EQ","21-11-2022","","AEROENTER","511076","B","","","True","True","09-06-2026"
"INE024001021","Aeroflex Industries Limited","2","AEROFLEX","EQ","31-08-2023","","AEROFLEX","543972","B","","","True","True","09-06-2026"
"INE035801013","Aeroflex Neu Limited","10","AERONEU","EQ","12-01-2023","","AERONEU","543743","B","","","True","True","09-06-2026"
"INE175N01023","Aerpace Industries Limited","","","","","","AERPACE","534733","X","","","False","True","09-06-2026"
"INE0BWX01014","Aether Industries Limited","10","AETHER","EQ","03-06-2022","","AETHER","543534","A","","","True","True","09-06-2026"
"INE0OXY01013","Afcom Holdings Limited","","","","","","AFCOM","544224","M","","","False","True","09-06-2026"
"INE101I01011","Afcons Infrastructure Limited","10","AFCONS","EQ","04-11-2024","","AFCONS","544280","A","","","True","True","09-06-2026"
"INE00WC01027","AFFLE 3I LIMITED","2","AFFLE","EQ","08-08-2019","","AFFLE","542752","A","","","True","True","09-06-2026"
"INE692Z01013","Affordable Robotic & Automatio","10","AFFORDABLE","BE","23-10-2024","","AFFORDABLE","541402","T","","","True","True","09-06-2026"
"INE321D01016","AG VENTURES LIMITED","","","","","","AGVENTURES","506579","X","","","False","True","09-06-2026"
"INE204E01012","AGARWAL INDUSTRIAL CORPORATION","10","AGARIND","EQ","26-05-2014","","AGARIND","531921","B","","","True","True","09-06-2026"
"INE415A01038","AGI GREENPAC LIMITED","2","AGI","EQ","31-05-2000","","AGI","500187","A","","","True","True","09-06-2026"
"INE976R01033","AGI Infra Limited","1","AGIIL","EQ","15-07-2024","","AGIIL","539042","B","","","True","True","09-06-2026"
"INE112C01011","AGIO PAPER & INDUSTRIES LTD.","","","","","","AGIOPAPER","516020","X","","","False","True","09-06-2026"
"INE449G01018","AGRI- TECH (INDIA) LTD","10","AGRITECH","EQ","28-01-2014","","AGRITECH","537292","B","","","True","True","09-06-2026"
"INE679E01015","AGRIBIO SPIRITS LIMITED","","","","","","AGRIBIO","539546","X","","","False","True","09-06-2026"
"INE583L01014","AGS TRANSACT TECHNOLOGIES LIMI","10","AGSTRA","BZ","31-01-2022","","AGSTRA","543451","Z","","","True","True","09-06-2026"
"INE0NEV01011","AHASOLAR TECHNOLOGIES LIMITED","","","","","","AHASOLAR","543941","M","","","False","True","09-06-2026"
"INE758C01029","AHLUWALIA CONTRACTS (INDIA) LT","2","AHLUCONT","EQ","14-12-2009","","AHLUCONT","532811","B","","","True","True","09-06-2026"
"INE868C01018","AHMEDABAD STEELCRAFT LTD.","","","","","","AHMDSTE","522273","XT","","","False","True","09-06-2026"
"INE768E01024","AI CHAMPDANY INDUSTRIES LTD.","","","","","","AICHAMP","532806","X","","","False","True","09-06-2026"
"INE212H01026","AIA ENGINEERING LTD.","2","AIAENG","EQ","14-12-2005","","AIAENG","532683","A","","","True","True","09-06-2026"
"INE0QFT01015","AIK Pipes and Polymers Limited","","","","","","AIKPIPES","544072","MT","","","False","True","09-06-2026"
"INE008B01013","AIMCO PESTICIDES LTD.","","","","","","AIMCOPEST","524288","X","","","False","True","09-06-2026"
"INE805A01014","AION-TECH SOLUTIONS LIMITED","10","GOLDTECH","EQ","11-04-2001","","GOLDTECH","531439","B","","","True","True","09-06-2026"
"INE645W01026","AIRAN LIMITED","2","AIRAN","EQ","03-05-2019","","AIRAN","543811","B","","","True","True","09-06-2026"
"INE0XBS01012","AIRFLOA RAIL TECHNOLOGY LIMITE","","","","","","AIRFLOA","544516","M","","","False","True","09-06-2026"
"INE031B01049","AJANTA PHARMA LTD.","2","AJANTPHARM","EQ","29-05-2000","","AJANTPHARM","532331","A","","","True","True","09-06-2026"
"INE601B01023","AJANTA SOYA LTD.","","","","","","AJANTSOY","519216","X","","","False","True","09-06-2026"
"INE274Y01021","AJAX Engineering Limited","1","AJAXENGG","EQ","17-02-2025","","AJAXENGG","544356","B","","","True","True","09-06-2026"
"INE0XRR01010","AJC Jewel Manufacturers Limite","","","","","","AJCJEWEL","544425","M","","","False","True","09-06-2026"
"INE759C01027","AJCON GLOBAL SERVICES LTD.","","","","","","AJCON","511692","X","","","False","True","09-06-2026"
"INE298G01035","AJMERA REALTY & INFRA INDIA LT","2","AJMERA","EQ","16-06-2009","","AJMERA","513349","B","","","True","True","09-06-2026"
"INE864E01021","Akar Auto Industries Limited","","","","","","AAIL","530621","X","","","False","True","09-06-2026"
"INE642Z01026","AKI India Limited","2","AKI","EQ","06-04-2023","","AKI","542020","B","","","True","True","09-06-2026"
"INE916Y01027","Akme Fintrade (India) Limited","1","AFIL","BE","26-06-2024","","AFIL","544200","T","","","True","True","09-06-2026"
"INE523B01011","AKSH OPTIFIBRE LTD.","5","AKSHOPTFBR","BE","18-08-2000","","AKSHOPTFBR","532351","T","","","True","True","09-06-2026"
"INE256Z01025","Akshar Spintex Limited","1","AKSHAR","EQ","23-05-2022","","AKSHAR","541303","B","","","True","True","09-06-2026"
"INE542B01011","AKSHARCHEM (INDIA) LTD.","10","AKSHARCHEM","EQ","28-03-2017","","AKSHARCHEM","524598","B","","","True","True","09-06-2026"
"INE09XN01023","Akums Drugs and Pharmaceutical","2","AKUMS","EQ","06-08-2024","","AKUMS","544222","B","","","True","True","09-06-2026"
"INE030P01017","ALACRITY SECURITIES LTD","","","","","","ALSL","535916","B","","","False","True","09-06-2026"
"INE273F01022","ALAN SCOTT ENTERPRISES LIMITED","","","","","","ALANSCOTT","539115","X","","","False","True","09-06-2026"
"INE914E01040","ALANKIT","1","ALANKIT","EQ","30-06-2015","","ALANKIT","531082","B","","","True","True","09-06-2026"
"INE155C01010","ALBERT DAVID LTD.","10","ALBERTDAVD","EQ","14-06-2016","","ALBERTDAVD","524075","B","","","True","True","09-06-2026"
"INE426A01027","ALEMBIC LTD.","2","ALEMBICLTD","EQ","22-09-1999","","ALEMBICLTD","506235","B","","","True","True","09-06-2026"
"INE901L01018","ALEMBIC PHARMACEUTICALS LTD.","2","APLLTD","EQ","20-09-2011","","APLLTD","533573","A","","","True","True","09-06-2026"
"INE191N01012","Alexander Stamps And Coin Limi","","","","","","ALEXANDER","511463","X","","","False","True","09-06-2026"
"INE042C01010","ALFA ICA (INDIA) LTD.","","","","","","ALFAICA","530973","X","","","False","True","09-06-2026"
"INE209C01015","ALFA TRANSFORMERS LTD.","","","","","","ALFATRAN","517546","XT","","","False","True","09-06-2026"
"INE883B01027","ALFAVISION OVERSEAS (INDIA) LT","","","","","","ALFAVIO","531156","XT","","","False","True","09-06-2026"
"INE782D01027","ALFRED HERBERT (INDIA) LTD.","","","","","","ALFREDHE","505216","X","","","False","True","09-06-2026"
"INE598D01035","ALGOQUANT FINTECH LIMITED","1","ALGOQUANT","EQ","06-01-2026","","ALGOQUANT","505725","B","","","True","True","09-06-2026"
"INE062D01024","ALICON CASTALLOY LIMITED","5","ALICON","EQ","29-09-2006","","ALICON","531147","B","","","True","True","09-06-2026"
"INE03Q201024","ALIVUS LIFE SCIENCES LIMITED","2","ALIVUS","EQ","06-08-2021","","ALIVUS","543322","A","","","True","True","09-06-2026"
"INE773I01017","ALKALI METALS LTD.","10","ALKALI","BE","06-11-2008","","ALKALI","533029","T","","","True","True","09-06-2026"
"INE540L01014","Alkem Laboratories Limited","2","ALKEM","EQ","23-12-2015","","ALKEM","539523","A","","","True","True","09-06-2026"
"INE0KA601012","ALKOSIGN LIMITED","","","","","","ALKOSIGN","543453","M","","","False","True","09-06-2026"
"INE150B01039","ALKYL AMINES CHEMICALS LTD.","2","ALKYLAMINE","EQ","26-11-2007","","ALKYLAMINE","506767","A","","","True","True","09-06-2026"
"INE0GV601021","ALL TIME PLASTICS LIMITED","2","ALLTIME","EQ","14-08-2025","","ALLTIME","544479","B","","","True","True","09-06-2026"
"INE418H01029","ALLCARGO LOGISTICS LTD.","2","ALLCARGO","EQ","23-06-2006","","ALLCARGO","532749","B","","","True","True","09-06-2026"
"INE0NN701020","Allcargo Terminals Limited","2","ATL","EQ","10-08-2023","","ATL","543954","B","","","True","True","09-06-2026"
"IN90NN701011","Allcargo Terminals Limited","","","","","","ATLPP","890228","B","","","False","True","09-06-2026"
"INE835G01018","Alldigi Tech Limited","10","ALLDIGI","EQ","09-05-2005","","ALLDIGI","532633","B","","","True","True","09-06-2026"
"INE123D01024","ALLIANCE INTEGRATED METALIKS L","","","","","","AIML","534064","X","","","False","True","09-06-2026"
"INE552Z01027","Allied Blenders and Distillers","2","ABDL","EQ","02-07-2024","","ABDL","544203","A","","","True","True","09-06-2026"
"INE102I01027","ALLIED DIGITAL SERVICES LTD.","5","ADSL","EQ","25-07-2007","","ADSL","532875","B","","","True","True","09-06-2026"
"INE326B01035","ALMONDZ GLOBAL SECURITIES LTD.","1","ALMONDZ","EQ","16-06-2008","","ALMONDZ","531400","B","","","True","True","09-06-2026"
"INE270A01029","ALOK INDUSTRIES LTD.","1","ALOKINDS","EQ","19-02-2020","","ALOKINDS","521070","A","","","True","True","09-06-2026"
"INE385I01010","ALPA LABORATORIES LTD.","10","ALPA","EQ","06-08-2007","","ALPA","532878","B","","","True","True","09-06-2026"
"INE137C01018","ALPHAGEO (INDIA) LTD.","10","ALPHAGEO","EQ","11-05-2007","","ALPHAGEO","526397","B","","","True","True","09-06-2026"
"INE08E401029","Alphalogic Techsys Limited","","","","","","ALPHALOGIC","542770","T","","","False","True","09-06-2026"
"INE840D01015","ALPINE HOUSING DEVELOPMENT COR","","","","","","ALPINEHOU","526519","X","","","False","True","09-06-2026"
"INE0BWS23018","Altius Telecom Infrastructure","","","","","","ALTIUSINVIT","543225","IF","","","False","True","09-06-2026"
"INE058F01019","ALUFLUORIDE LTD.","","","","","","ALUFLUOR","524634","X","","","False","True","09-06-2026"
"INE121R01077","Amagi Media Labs Limited","5","AMAGI","EQ","21-01-2026","","AMAGI","544679","B","","","True","True","09-06-2026"
"INE841D01013","AMAL LTD.","","","","","","AMAL","506597","B","","","False","True","09-06-2026"
"INE492N01022","AMALGAMATED ELECTRICITY CO.LTD","","","","","","AMALGAM","501622","XT","","","False","True","09-06-2026"
"INE0G1V01016","AMANAYA VENTURES LIMITED","","","","","","AMANAYA","543804","M","","","False","True","09-06-2026"
"INE084K01015","Amanta Healthcare Limited","10","AMANTA","EQ","09-09-2025","","AMANTA","544502","B","","","True","True","09-06-2026"
"INE885A01032","Amara Raja Energy & Mobility L","1","ARE&M","EQ","05-09-2003","","ARE&M","500008","A","","","True","True","09-06-2026"
"INE484D01012","AMARJOTHI SPINNING MILLS LTD.","","","","","","AMARJOTHI","521097","X","","","False","True","09-06-2026"
"INE745P01010","AMARNATH SECURITIES LTD","","","","","","AMARSEC","538465","X","","","False","True","09-06-2026"
"INE829P01020","Amba Enterprises Ltd.","","","","","","AEL","539196","X","","","False","True","09-06-2026"
"INE432A01017","AMBALAL SARABHAI ENTERPRISES L","10","AMBALALSA","EQ","20-04-2026","","AMBALALSA","500009","B","","","True","True","09-06-2026"
"INE072V01017","Ambar Protein Industries Limit","","","","","","AMBARPIL","519471","X","","","False","True","09-06-2026"
"INE371P01015","Amber Enterprises India Limite","10","AMBER","EQ","30-01-2018","","AMBER","540902","A","","","True","True","09-06-2026"
"INE792B01012","AMBICA AGARBATHIES & AROMA IND","10","AMBICAAGAR","EQ","29-06-2004","","AMBICAAGAR","532335","B","","","True","True","09-06-2026"
"INE540G01014","AMBIKA COTTON MILLS LTD.","10","AMBIKCO","EQ","29-01-2008","","AMBIKCO","531978","B","","","True","True","09-06-2026"
"INE267C01013","AMBITIOUS PLASTOMAC COMPANY LT","","","","","","AMBIT","526439","X","","","False","True","09-06-2026"
"INE0N6V01016","AMBO AGRITEC LIMITED","","","","","","AMBOAGRI","543678","M","","","False","True","09-06-2026"
"INE079A01024","AMBUJA CEMENTS LTD.","2","AMBUJACEM","EQ","18-02-1998","","AMBUJACEM","500425","A","","","True","True","09-06-2026"
"INE924B01011","AMCO INDIA LTD.","","","","","","AMCOIND","530133","X","","","False","True","09-06-2026"
"INE005I01014","AMD INDUSTRIES LTD.","10","AMDIND","EQ","19-03-2007","","AMDIND","532828","B","","","True","True","09-06-2026"
"INE14QA01016","AMEENJI RUBBER LIMITED","","","","","","AMEENJI","544555","M","","","False","True","09-06-2026"
"INE673C01020","AMERISE BIOSCIENCES LIMITED","","","","","","AMERISE","531681","X","","","False","True","09-06-2026"
"INE991A01020","AMFORGE INDUSTRIES LTD.","","","","","","AMFORG","513117","X","","","False","True","09-06-2026"
"INE0P9J01013","Amic Forging Limited","","","","","","AMIC","544037","M","","","False","True","09-06-2026"
"INE572Z01017","AMIN TANNERY LIMITED","","","","","","AMINTAN","541771","XT","","","False","True","09-06-2026"
"INE275D01022","AMINES & PLASTICIZERS LTD.","2","AMNPLST","EQ","10-11-2023","","AMNPLST","506248","B","","","True","True","09-06-2026"
"INE05TO01019","Amir Chand Jagdish Kumar (Expo","10","AMIRCHAND","EQ","02-04-2026","","AMIRCHAND","544743","B","","","True","True","09-06-2026"
"INE137E01014","AMIT SECURITIES LTD.","","","","","","AMITSEC","531557","X","","","False","True","09-06-2026"
"INE606A01024","AMJ LAND HOLDINGS LIMITED","2","AMJLAND","EQ","08-02-1995","","AMJLAND","500343","B","","","True","True","09-06-2026"
"INE0QSB01016","Amkay Products Limited","","","","","","AMKAY","544169","M","","","False","True","09-06-2026"
"INE989J01017","AMPVOLTS LIMITED","","","","","","AMPVOLTS","535719","XT","","","False","True","09-06-2026"
