ISIN,SYMBOL,COMPANY_NAME_NSE,COMPANY_NAME_SCREENER,MATCH_SCORE,MATCH_STATUS,LAST_UPDATED
,ABSLAMC,Aditya Birla Sun Life AMC Limited,Aditya Bir. Fas.,66.67,UNMATCHED,2026-06-07
,ACC,ACC Limited,ACC,100.0,EXACT,2026-06-07
,ACCELYA,Accelya Solutions India Limited,Accelya Solution,82.05,REVIEW,2026-06-07
,ACCURACY,Accuracy Shipping Limited,Accuracy Shippi.,93.75,HIGH_CONFIDENCE,2026-06-07
,ACE,Action Construction Equipment Limited,Action Const.Eq.,68.18,UNMATCHED,2026-06-07
,ACEINTEG,Ace Integrated Solutions Limited,Ace Integrated,73.68,UNMATCHED,2026-06-07
,ACI,Archean Chemical Industries Limited,Archean Chemical,74.42,UNMATCHED,2026-06-07
,ACL,Andhra Cements Limited,Andhra Cements,100.0,EXACT,2026-06-07
,ACMESOLAR,Acme Solar Holdings Limited,ACME Solar Hold.,88.24,HIGH_CONFIDENCE,2026-06-07
,ACSTECH,ACS Technologies Limited,ASM Technologies,93.75,HIGH_CONFIDENCE,2026-06-07
,ACUTAAS,Acutaas Chemicals Limited,Acutaas Chemical,96.97,EXACT,2026-06-07
,ADANIENSOL,Adani Energy Solutions Limited,Adani Energy Sol,84.21,REVIEW,2026-06-07
,ADANIENT,Adani Enterprises Limited,ABans Enterprise,84.85,REVIEW,2026-06-07
,ADANIGREEN,Adani Green Energy Limited,Adani Energy Sol,76.47,REVIEW,2026-06-07
,ADANIPORTS,Adani Ports and Special Economic Zone Limited,Chemcon Special.,46.15,UNMATCHED,2026-06-07
,ADANIPOWER,Adani Power Limited,Adani Power,100.0,EXACT,2026-06-07
,ADFFOODS,ADF Foods Limited,ADF Foods,100.0,EXACT,2026-06-07
,ADL,Archidply Decor Limited,Archidply Decor,100.0,EXACT,2026-06-07
,ADOR,Ador Welding Limited,Ador Welding,100.0,EXACT,2026-06-07
,ADROITINFO,Adroit Infotech Limited,Aditya Infotech,86.67,HIGH_CONFIDENCE,2026-06-07
,ADSL,Allied Digital Services Limited,Allied Digital,75.68,REVIEW,2026-06-07
,ADVAIT,Advait Energy Transitions Limited,Advait Energy,68.42,UNMATCHED,2026-06-07
,ADVANCE,Advance Agrolife Limited,Advance Agrolife,100.0,EXACT,2026-06-07
,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,Advani Hotels.,65.0,UNMATCHED,2026-06-07
,ADVENTHTL,Advent Hotels International Limited,International Ge,69.77,UNMATCHED,2026-06-07
,ADVENZYMES,Advanced Enzyme Technologies Limited,Advanced Enzyme,69.77,UNMATCHED,2026-06-07
,AEGISLOG,Aegis Logistics Limited,Aegis Logistics,100.0,EXACT,2026-06-07
,AEGISVOPAK,Aegis Vopak Terminals Limited,Aegis Vopak Term,86.49,HIGH_CONFIDENCE,2026-06-07
,AEPL,Artemis Electricals and Projects Limited,Artemis Electri.,63.83,UNMATCHED,2026-06-07
,AEQUS,Aequs Limited,Aequs,100.0,EXACT,2026-06-07
,AEROENTER,Aeroflex Enterprises Limited,Aeroflex Enter.,82.35,REVIEW,2026-06-07
,AEROFLEX,Aeroflex Industries Limited,Arex Industries,88.24,HIGH_CONFIDENCE,2026-06-07
,AERONEU,Aeroflex Neu Limited,Aeroflex Neu,100.0,EXACT,2026-06-07
,AETHER,Aether Industries Limited,Aether Industri.,93.75,HIGH_CONFIDENCE,2026-06-07
,AFCONS,Afcons Infrastructure Limited,Afcons Infrastr.,83.33,REVIEW,2026-06-07
,AFFLE,Affle 3i Limited,Affle 3i,100.0,EXACT,2026-06-07
,AFFORDABLE,Affordable Robotic & Automation Limited,Affordable Robo.,68.18,UNMATCHED,2026-06-07
,AFIL,Akme Fintrade (India) Limited,Akme Fintrade,81.25,REVIEW,2026-06-07
,AFSL,Abans Financial Services Limited,Abans Financial,76.92,REVIEW,2026-06-07
,AGARIND,Agarwal Industrial Corporation Limited,Agarwal Indl.,80.0,REVIEW,2026-06-07
,AGARWALEYE,Dr. Agarwal's Health Care Limited,Dr Agarwal's Hea,80.0,REVIEW,2026-06-07
,AGI,AGI Greenpac Limited,AGI Greenpac,100.0,EXACT,2026-06-07
,AGIIL,Agi Infra Limited,AGI Infra,100.0,EXACT,2026-06-07
,AGRITECH,Agri-Tech (India) Limited,Agri-Tech India,100.0,EXACT,2026-06-07
,AGROPHOS,Agro Phos India Limited,Agro Phos India,100.0,EXACT,2026-06-07
,AGSTRA,AGS Transact Technologies Limited,ASM Technologies,73.17,UNMATCHED,2026-06-07
,AHCL,Anlon Healthcare Limited,Anlon Healthcare,100.0,EXACT,2026-06-07
,AHLADA,Ahlada Engineers Limited,Ahlada Engineers,100.0,EXACT,2026-06-07
,AHLEAST,Asian Hotels (East) Limited,Asian Hotels (E),90.32,HIGH_CONFIDENCE,2026-06-07
,AHLUCONT,Ahluwalia Contracts (India) Limited,Ahluwalia Contr.,75.0,REVIEW,2026-06-07
,AHLWEST,Asian Hotels (West) Limited,Asian Hotels (W),90.32,HIGH_CONFIDENCE,2026-06-07
,AIAENG,AIA Engineering Limited,AIA Engineering,100.0,EXACT,2026-06-07
,AIIL,Authum Investment & Infrastructure Limited,Hercules Investments,61.54,UNMATCHED,2026-06-07
,AIRAN,Airan Limited,Airan,100.0,EXACT,2026-06-07
,AIROLAM,Airo Lam limited,Airo Lam,100.0,EXACT,2026-06-07
,AJANTPHARM,Ajanta Pharma Limited,Ajanta Pharma,100.0,EXACT,2026-06-07
,AJAXENGG,Ajax Engineering Limited,Ajax Engineering,100.0,EXACT,2026-06-07
,AJMERA,Ajmera Realty & Infra India Limited,Dhanuka Infra Realty,71.11,UNMATCHED,2026-06-07
,AJOONI,Ajooni Biotech Limited,Ajooni Biotech,100.0,EXACT,2026-06-07
,AKASH,Akash Infra-Projects Limited,Akash InfraProj.,85.71,HIGH_CONFIDENCE,2026-06-07
,AKCAPIT,AK Capital Services Limited,A.K.Capital Serv,80.0,REVIEW,2026-06-07
,AKG,Akg Exim Limited,AKG Exim,100.0,EXACT,2026-06-07
,AKI,AKI India Limited,AKI India,100.0,EXACT,2026-06-07
,AKSHAR,Akshar Spintex Limited,Akshar Spintex,100.0,EXACT,2026-06-07
,AKSHARCHEM,AksharChem India Limited,AksharChem (I),85.71,HIGH_CONFIDENCE,2026-06-07
,AKSHOPTFBR,Aksh Optifibre Limited,Aksh Optifibre,100.0,EXACT,2026-06-07
,AKUMS,Akums Drugs and Pharmaceuticals Limited,Goldline Pharmaceutical,59.26,UNMATCHED,2026-06-07
,ALANKIT,Alankit Limited,Alankit,100.0,EXACT,2026-06-07
,ALBERTDAVD,Albert David Limited,Albert David,100.0,EXACT,2026-06-07
,ALEMBICLTD,Alembic Limited,Alembic,100.0,EXACT,2026-06-07
,ALGOQUANT,Algoquant Fintech Limited,Algoquant Fin,86.67,HIGH_CONFIDENCE,2026-06-07
,ALICON,Alicon Castalloy Limited,Alicon Cast.,81.48,REVIEW,2026-06-07
,ALIVUS,Alivus Life Sciences Limited,ERIS Lifescience,77.78,REVIEW,2026-06-07
,ALKALI,Alkali Metals Limited,Alkali Metals,100.0,EXACT,2026-06-07
,ALKEM,Alkem Laboratories Limited,Alpa Laboratorie,82.35,REVIEW,2026-06-07
,ALKYLAMINE,Alkyl Amines Chemicals Limited,Alkyl Amines,70.59,UNMATCHED,2026-06-07
,ALLCARGO,Allcargo Logistics Limited,Allcargo Logist.,90.91,HIGH_CONFIDENCE,2026-06-07
,ALLDIGI,Alldigi Tech Limited,Alldigi Tech,100.0,EXACT,2026-06-07
,ALLTIME,All Time Plastics Limited,All Time Plastic,96.97,EXACT,2026-06-07
,ALMONDZ,Almondz Global Securities Limited,NDA Securities,71.79,UNMATCHED,2026-06-07
,ALOKINDS,Alok Industries Limited,Alok Industries,100.0,EXACT,2026-06-07
,ALPA,Alpa Laboratories Limited,Alpa Laboratorie,96.97,EXACT,2026-06-07
,ALPHAGEO,Alphageo (India) Limited,Alphageo (India),100.0,EXACT,2026-06-07
,AMAGI,Amagi Media Labs Limited,Amagi Media Labs,100.0,EXACT,2026-06-07
,AMANTA,Amanta Healthcare Limited,Amanta Healthcar,96.97,EXACT,2026-06-07
,AMBALALSA,Ambalal Sarabhai Enterprises Limited,Ambalal Sarabhai,72.73,UNMATCHED,2026-06-07
,AMBER,Amber Enterprises India Limited,Amba Enterprises,76.92,REVIEW,2026-06-07
,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,Aarti Industries,62.75,UNMATCHED,2026-06-07
,AMBIKCO,Ambika Cotton Mills Limited,Ambika Cotton,81.25,REVIEW,2026-06-07
,AMBUJACEM,Ambuja Cements Limited,Ambuja Cements,100.0,EXACT,2026-06-07
,AMDIND,AMD Industries Limited,AMD Industries,100.0,EXACT,2026-06-07
,AMIRCHAND,Amir Chand Jagdish Kumar (Exports) Limited,A C J K Exports,63.83,UNMATCHED,2026-06-07
,AMJLAND,Amj Land Holdings Limited,AMJ Land Holdin.,93.75,HIGH_CONFIDENCE,2026-06-07
,AMNPLST,Amines & Plasticizers Limited,Amines & Plast.,77.42,REVIEW,2026-06-07
,AMRUTANJAN,Amrutanjan Health Care Limited,Amrutanjan Healt,84.21,REVIEW,2026-06-07
,ANANDRATHI,Anand Rathi Wealth Limited,Anand Rathi Wea.,90.91,HIGH_CONFIDENCE,2026-06-07
,ANANTRAJ,Anant Raj Limited,Anant Raj,100.0,EXACT,2026-06-07
,ANDHRAPAP,ANDHRA PAPER LIMITED,Andhra Paper,100.0,EXACT,2026-06-07
,ANDHRSUGAR,The Andhra Sugars Limited,Andhra Sugars,86.67,HIGH_CONFIDENCE,2026-06-07
,ANGELONE,Angel One Limited,Angel One,100.0,EXACT,2026-06-07
,ANIKINDS,Anik Industries Limited,Anik Industries,100.0,EXACT,2026-06-07
,ANKITMETAL,Ankit Metal & Power Limited,Ankit Met.Power,93.75,HIGH_CONFIDENCE,2026-06-07
,ANMOL,Anmol India Limited,Amco India,85.71,HIGH_CONFIDENCE,2026-06-07
,ANSALAPI,Ansal Properties & Infrastructure Limited,Ansal Properties,68.09,UNMATCHED,2026-06-07
,ANTELOPUS,Antelopus Selan Energy Limited,Antelopus Selan,81.08,REVIEW,2026-06-07
,ANTGRAPHIC,Antarctica Limited,Antarctica,100.0,EXACT,2026-06-07
,ANTHEM,Anthem Biosciences Limited,Anthem Bioscienc,94.12,HIGH_CONFIDENCE,2026-06-07
,ANUHPHR,Anuh Pharma Limited,Anuh Pharma,100.0,EXACT,2026-06-07
,ANUP,The Anup Engineering Limited,The Anup Enginee,88.89,HIGH_CONFIDENCE,2026-06-07
,ANURAS,Anupam Rasayan India Limited,Anupam Rasayan,82.35,REVIEW,2026-06-07
,APARINDS,Apar Industries Limited,Aarti Industries,90.32,HIGH_CONFIDENCE,2026-06-07
,APCL,Anjani Portland Cement Limited,Anjani Portland,81.08,REVIEW,2026-06-07
,APCOTEXIND,Apcotex Industries Limited,Apcotex Industri,94.12,HIGH_CONFIDENCE,2026-06-07
,APEX,Apex Frozen Foods Limited,Apex Frozen Food,96.97,EXACT,2026-06-07
,APLAPOLLO,APL Apollo Tubes Limited,APL Apollo Tubes,100.0,EXACT,2026-06-07
,APLLTD,Alembic Pharmaceuticals Limited,Alembic Pharma,75.68,REVIEW,2026-06-07
,APOLLO,Apollo Micro Systems Limited,Apollo Micro Sys,88.89,HIGH_CONFIDENCE,2026-06-07
,APOLLOHOSP,Apollo Hospitals Enterprise Limited,Apollo Hospitals,74.42,UNMATCHED,2026-06-07
,APOLLOPIPE,Apollo Pipes Limited,Apollo Pipes,100.0,EXACT,2026-06-07
,APOLLOTYRE,Apollo Tyres Limited,Apollo Tyres,100.0,EXACT,2026-06-07
,APOLSINHOT,Apollo Sindoori Hotels Limited,Apollo Sindoori,81.08,REVIEW,2026-06-07
,APTECHT,Aptech Limited,Aptech,100.0,EXACT,2026-06-07
,APTUS,Aptus Value Housing Finance India Limited,Aptus Value Hou.,62.5,UNMATCHED,2026-06-07
,AQYLON,Aqylon Nexus Limited,Aqylon Nexus,100.0,EXACT,2026-06-07
,ARCHIDPLY,Archidply Industries Limited,Archidply Inds.,82.35,REVIEW,2026-06-07
,ARCHIES,Archies Limited,Archies,100.0,EXACT,2026-06-07
,ARE&M,Amara Raja Energy & Mobility Limited,Amara Raja Ener.,73.17,UNMATCHED,2026-06-07
,ARENTERP,Rajdarshan Industries Limited,Rajdarshan Inds,83.33,REVIEW,2026-06-07
,ARFIN,Arfin India Limited,Arfin India,100.0,EXACT,2026-06-07
,ARIES,Aries Agro Limited,Aries Agro,100.0,EXACT,2026-06-07
,ARIHANT,Arihant Foundations & Housing Limited,Arih.Found.Hsg.,68.29,UNMATCHED,2026-06-07
,ARIHANTCAP,Arihant Capital Markets Limited,Arihant Capital,78.95,REVIEW,2026-06-07
,ARIHANTSUP,Arihant Superstructures Limited,Arihant Super.,72.22,UNMATCHED,2026-06-07
,ARIS,Arisinfra Solutions Limited,Arisinfra Solu.,84.85,REVIEW,2026-06-07
,ARKADE,Arkade Developers Limited,DEE Development,68.75,UNMATCHED,2026-06-07
,ARMANFIN,Arman Financial Services Limited,Arman Financial,76.92,REVIEW,2026-06-07
,AROGRANITE,Aro Granite Industries Limited,Aro Granite Inds,84.21,REVIEW,2026-06-07
,ARROWGREEN,Arrow Greentech Limited,Arrow Greentech,100.0,EXACT,2026-06-07
,ARSHIYA,Arshiya Limited,Arshiya,100.0,EXACT,2026-06-07
,ARSSBL,Anand Rathi Share and Stock Brokers Limited,Anand Rathi Shar,62.75,UNMATCHED,2026-06-07
,ARTEMISMED,Artemis Medicare Services Limited,Artemis Medicare,78.05,REVIEW,2026-06-07
,ARTNIRMAN,Art Nirman Limited,Art Nirman Ltd,100.0,EXACT,2026-06-07
,ARVEE,Arvee Laboratories (India) Limited,Arvee Laborat.,70.27,UNMATCHED,2026-06-07
,ARVIND,Arvind Limited,Arvind Ltd,100.0,EXACT,2026-06-07
,ARVINDFASN,Arvind Fashions Limited,Arvind Fashions.,100.0,EXACT,2026-06-07
,ARVSMART,Arvind SmartSpaces Limited,Arvind SmartSp.,87.5,HIGH_CONFIDENCE,2026-06-07
,ASAHIINDIA,Asahi India Glass Limited,Asahi India Glas,96.97,EXACT,2026-06-07
,ASAHISONG,Asahi Songwon Colors Limited,Asahi Songwon,78.79,REVIEW,2026-06-07
,ASAL,Automotive Stampings and Assemblies Limited,Automotive Stamp,62.75,UNMATCHED,2026-06-07
,ASALCBR,Associated Alcohols & Breweries Ltd.,Assoc.Alcohols,65.12,UNMATCHED,2026-06-07
,ASHAPURMIN,Ashapura Minechem Limited,Ashapura Minech.,93.75,HIGH_CONFIDENCE,2026-06-07
,ASHIANA,Ashiana Housing Limited,Ashiana Housing,100.0,EXACT,2026-06-07
,ASHIKA,Ashika Credit Capital Limited,Ashika Credit,76.47,REVIEW,2026-06-07
,ASHIMASYN,Ashima Limited,Ashima,100.0,EXACT,2026-06-07
,ASHOKA,Ashoka Buildcon Limited,Ashoka Buildcon,100.0,EXACT,2026-06-07
,ASHOKAMET,Ashoka Metcast Limited,Ashoka Metcast,100.0,EXACT,2026-06-07
,ASHOKLEY,Ashok Leyland Limited,Ashok Leyland,100.0,EXACT,2026-06-07
,ASIANENE,Asian Energy Services Limited,Asian Energy,72.73,UNMATCHED,2026-06-07
,ASIANHOTNR,Asian Hotels (North) Limited,Asian Hotels (N),87.5,HIGH_CONFIDENCE,2026-06-07
,ASIANPAINT,Asian Paints Limited,Asian Paints,100.0,EXACT,2026-06-07
,ASIANTILES,Asian Granito India Limited,Asian Granito,81.25,REVIEW,2026-06-07
,ASKAUTOLTD,ASK Automotive Limited,ASK Automotive,100.0,EXACT,2026-06-07
,ASMS,Bartronics India Limited,Bartronics India,100.0,EXACT,2026-06-07
,ASPINWALL,Aspinwall and Company Limited,Aspinwall & Co,72.0,UNMATCHED,2026-06-07
,ASTAR,Asian Star Company Limited,Asian Star Co.,86.96,HIGH_CONFIDENCE,2026-06-07
,ASTEC,Astec LifeSciences Limited,Astec Lifescienc,94.12,HIGH_CONFIDENCE,2026-06-07
,ASTERDM,Aster DM Healthcare Limited,Aster DM Health.,88.24,HIGH_CONFIDENCE,2026-06-07
,ASTRAL,Astral Limited,Astral,100.0,EXACT,2026-06-07
,ASTRAMICRO,Astra Microwave Products Limited,Astra Microwave,76.92,REVIEW,2026-06-07
,ASTRAZEN,AstraZeneca Pharma India Limited,Astrazeneca Phar,80.0,REVIEW,2026-06-07
,ASTRON,Astron Paper & Board Mill Limited,Astron Paper,68.57,UNMATCHED,2026-06-07
,ATALREAL,Atal Realtech Limited,Atal Realtech,100.0,EXACT,2026-06-07
,ATAM,Atam Valves Limited,Atam Valves,100.0,EXACT,2026-06-07
,ATGL,Adani Total Gas Limited,Adani Total Gas,100.0,EXACT,2026-06-07
,ATHERENERG,Ather Energy Limited,Ather Energy,100.0,EXACT,2026-06-07
,ATL,Allcargo Terminals Limited,Allcargo Termi,87.5,HIGH_CONFIDENCE,2026-06-07
,ATLANTAA,ATLANTAA LIMITED,Atlantaa,100.0,EXACT,2026-06-07
,ATLANTAELE,Atlanta Electricals Limited,Atlanta Electric,91.43,HIGH_CONFIDENCE,2026-06-07
,ATLASCYCLE,Atlas Cycles (Haryana) Limited,Kalyan Capitals,57.14,UNMATCHED,2026-06-07
,ATUL,Atul Limited,Atul,100.0,EXACT,2026-06-07
,ATULAUTO,Atul Auto Limited,Atul Auto,100.0,EXACT,2026-06-07
,AUBANK,AU Small Finance Bank Limited,AU Small Finance,86.49,HIGH_CONFIDENCE,2026-06-07
,AURIGROW,Auri Grow India Limited,Auri Grow India,100.0,EXACT,2026-06-07
,AURIONPRO,Aurionpro Solutions Limited,Aurionpro Sol.,81.25,REVIEW,2026-06-07
,AUROPHARMA,Aurobindo Pharma Limited,Aurobindo Pharma,100.0,EXACT,2026-06-07
,AURUM,Aurum PropTech Limited,Aurum Proptech,100.0,EXACT,2026-06-07
,AUSOMENT,Ausom Enterprise Limited,Ausom Enter.,81.48,REVIEW,2026-06-07
,AUTOAXLES,Automotive Axles Limited,Automotive Axles,100.0,EXACT,2026-06-07
,AUTOIND,Autoline Industries Limited,Autoline Industr,91.43,HIGH_CONFIDENCE,2026-06-07
,AVADHSUGAR,Avadh Sugar & Energy Limited,Avadh Sugar,75.86,REVIEW,2026-06-07
,AVALON,Avalon Technologies Limited,AAA Technologies,85.71,HIGH_CONFIDENCE,2026-06-07
,AVANTEL,Avantel Limited,Avantel,100.0,EXACT,2026-06-07
,AVANTIFEED,Avanti Feeds Limited,Avanti Feeds,100.0,EXACT,2026-06-07
,AVG,AVG Logistics Limited,AVG Logistics,100.0,EXACT,2026-06-07
,AVL,Aditya Vision Limited,Aditya Vision,100.0,EXACT,2026-06-07
,AVONMORE,Avonmore Capital & Management Services Limited,Avonmore Capital,61.54,UNMATCHED,2026-06-07
,AVROIND,AVRO INDIA LIMITED,Avro India,100.0,EXACT,2026-06-07
,AVTNPL,AVT Natural Products Limited,AVT Natural Prod,88.89,HIGH_CONFIDENCE,2026-06-07
,AWFIS,Awfis Space Solutions Limited,Axis Solution,70.59,UNMATCHED,2026-06-07
,AWHCL,Antony Waste Handling Cell Limited,Antony Waste han,76.19,REVIEW,2026-06-07
,AWL,AWL Agri Business Limited,AWL Agri Busine.,93.75,HIGH_CONFIDENCE,2026-06-07
,AXISBANK,Axis Bank Limited,Axis Bank,100.0,EXACT,2026-06-07
,AXISCADES,AXISCADES Technologies Limited,ASM Technologies,78.95,REVIEW,2026-06-07
,AXITA,Axita Cotton Limited,Axita Cotton,100.0,EXACT,2026-06-07
,AYE,Aye Finance Limited,Aye Finance,100.0,EXACT,2026-06-07
,AYMSYNTEX,AYM Syntex Limited,AYM Syntex,100.0,EXACT,2026-06-07
,AZAD,Azad Engineering Limited,Azad Engineering,100.0,EXACT,2026-06-07
,BAFNAPH,Bafna Pharmaceuticals Limited,Bafna Pharma.,72.73,UNMATCHED,2026-06-07
,BAGFILMS,B.A.G Films and Media Limited,Amagi Media Labs,59.46,UNMATCHED,2026-06-07
,BAIDFIN,Baid Finserv Limited,Baid Finserv,100.0,EXACT,2026-06-07
,BAJAJ-AUTO,Bajaj Auto Limited,Bajaj Auto,100.0,EXACT,2026-06-07
,BAJAJCON,Bajaj Consumer Care Limited,Bajaj Consumer,84.85,REVIEW,2026-06-07
,BAJAJELEC,Bajaj Electricals Limited,Bajaj Electrical,96.97,EXACT,2026-06-07
,BAJAJFINSV,Bajaj Finserv Limited,Bajaj Finserv,100.0,EXACT,2026-06-07
,BAJAJHCARE,Bajaj Healthcare Limited,Bajaj Healthcare,100.0,EXACT,2026-06-07
,BAJAJHFL,Bajaj Housing Finance Limited,Bajaj Housing,76.47,REVIEW,2026-06-07
,BAJAJHIND,Bajaj Hindusthan Sugar Limited,Bajaj Hindusthan,84.21,REVIEW,2026-06-07
,BAJAJHLDNG,Bajaj Holdings & Investment Limited,Bajaj Holdings,71.79,UNMATCHED,2026-06-07
,BAJAJINDEF,Indef Manufacturing Limited,Indef Manufactur,91.43,HIGH_CONFIDENCE,2026-06-07
,BAJAJST,Bajaj Steel Industries Limited,Bajaj Steel Inds,84.21,REVIEW,2026-06-07
,BAJEL,Bajel Projects Limited,Bajel Projects,100.0,EXACT,2026-06-07
,BAJFINANCE,Bajaj Finance Limited,Bajaj Finance,100.0,EXACT,2026-06-07
,BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,Shree TirupatiBa,58.82,UNMATCHED,2026-06-07
,BALAJITELE,Balaji Telefilms Limited,Balaji Telefilms,100.0,EXACT,2026-06-07
,BALAMINES,Balaji Amines Limited,Balaji Amines,100.0,EXACT,2026-06-07
,BALAXI,BALAXI PHARMACEUTICALS LIMITED,Goldline Pharmaceutical,75.56,REVIEW,2026-06-07
,BALKRISHNA,Balkrishna Paper Mills Limited,Balkrishna Paper,84.21,REVIEW,2026-06-07
,BALKRISIND,Balkrishna Industries Limited,Balkrishna Inds,83.33,REVIEW,2026-06-07
,BALMLAWRIE,Balmer Lawrie & Company Limited,Balmer Lawrie,100.0,EXACT,2026-06-07
,BALPHARMA,Bal Pharma Limited,Bal Pharma,100.0,EXACT,2026-06-07
,BALRAMCHIN,Balrampur Chini Mills Limited,Balrampur Chini,83.33,REVIEW,2026-06-07
,BALUFORGE,Balu Forge Industries Limited,Alok Industries,77.78,REVIEW,2026-06-07
,BANARBEADS,Banaras Beads Limited,Banaras Beads,100.0,EXACT,2026-06-07
,BANARISUG,Bannari Amman Sugars Limited,Bannari Amm.Sug.,85.71,HIGH_CONFIDENCE,2026-06-07
,BANCOINDIA,Banco Products (I) Limited,Banco Products,93.33,HIGH_CONFIDENCE,2026-06-07
,BANDHANBNK,Bandhan Bank Limited,Bandhan Bank,100.0,EXACT,2026-06-07
,BANG,Bang Overseas Limited,Bang Overseas,100.0,EXACT,2026-06-07
,BANKA,Banka BioLoo Limited,Banka Bioloo,100.0,EXACT,2026-06-07
,BANKBARODA,Bank of Baroda,Bank of Baroda,100.0,EXACT,2026-06-07
,BANKINDIA,Bank of India,Bank of India,100.0,EXACT,2026-06-07
,BANSALWIRE,Bansal Wire Industries Limited,Bansal Wire Inds,84.21,REVIEW,2026-06-07
,BANSWRAS,Banswara Syntex Limited,Banswara Syntex,100.0,EXACT,2026-06-07
,BASF,BASF India Limited,BASF India,100.0,EXACT,2026-06-07
,BASML,Bannari Amman Spinning Mills Limited,Bannari Amm Spg.,69.77,UNMATCHED,2026-06-07
,BATAINDIA,Bata India Limited,Bata India,100.0,EXACT,2026-06-07
,BATLIBOI,Batliboi Limited,Batliboi,100.0,EXACT,2026-06-07
,BAYERCROP,Bayer Cropscience Limited,Bayer Crop Sci.,83.87,REVIEW,2026-06-07
,BBL,Bharat Bijlee Limited,Bharat Bijlee,100.0,EXACT,2026-06-07
,BBOX,Black Box Limited,Black Box,100.0,EXACT,2026-06-07
,BBTC,The Bombay Burmah Trading Corporation Limited,The Bombay Burmah,80.95,REVIEW,2026-06-07
,BBTCL,B&B Triplewall Containers Limited,B&B Triplewall,71.79,UNMATCHED,2026-06-07
,BCG,Brightcom Group Limited,Brightcom Group,100.0,EXACT,2026-06-07
