symbol,sector,pe_ratio,pb_ratio,roe_pct,pe_score,roe_score,growth_score,valuation_score,valuation_label,revenue_ttm_cr,profit_ttm_cr,yoy_revenue_pct,yoy_profit_pct,as_of_date
ADANIGREEN,POWER,127.76,,20.04,0.0,80.16,100.0,52.06,MODERATE,2365.0,474.0,,,2024-12-31
ADANIPORTS,LOGISTICS,39.98,,34.14,64.33064192354017,100.0,100.0,85.73,CHEAP_QUALITY,7067.02,2412.54,,,2024-09-30
ADANIPOWER,POWER,6.88,,23.09,93.86180131150466,92.36,100.0,94.49,CHEAP_QUALITY,27010.06,6237.59,,,2024-12-31
ADFFOODS,FMCG,44.35,,12.44,60.43181514029532,49.76,100.0,64.08,FAIR_VALUE,308.88,38.43,,,2024-12-31
ADL,REALTY,62.82,,1.07,43.95324976580274,4.28,100.0,39.29,MODERATE,26.1,0.28,,,2024-12-31
ADORWELD,,33.53,,4.07,70.08520319400455,16.28,100.0,54.55,MODERATE,543.2,22.11,,,2024-12-31
ADROITINFO,CAPITAL_GOODS,13.92,,6.71,87.58085381630013,26.839999999999996,100.0,65.77,FAIR_VALUE,14.75,0.99,,,2024-12-31
ADSL,IT,12.98,,6.92,88.41950305571665,27.68,100.0,66.44,FAIR_VALUE,423.59,29.31,,,2024-12-31
ADVANIHOTR,HOSPITALITY,21.65,,21.89,80.6843020921622,87.56,100.0,87.3,CHEAP_QUALITY,51.84,11.35,,,2024-12-31
ADVENZYMES,PHARMA,26.15,,22.85,76.66949190346612,91.4,100.0,87.23,CHEAP_QUALITY,146.1,33.39,,,2024-09-30
AEGISLOG,ENERGY,84.9,,9.01,24.253914439933975,36.04,100.0,44.12,MODERATE,3457.41,311.54,,,2024-12-31
AEROFLEX,METAL,105.28,,14.82,6.071285185350406,59.28,100.0,46.14,MODERATE,194.79,28.87,,,2024-12-31
AETHER,CHEMICALS,115.32,,18.68,0.0,74.72,100.0,49.89,MODERATE,418.48,78.19,,,2024-12-31
AFCONS,INFRASTRUCTURE,20.18,,4.61,81.99580675380291,18.44,100.0,60.17,FAIR_VALUE,6170.79,284.28,,,2024-12-31
AFFLE,IT,51.76,,16.79,53.82076102957578,67.16,100.0,68.39,FAIR_VALUE,1144.55,192.21,,,2024-12-31
AFFORDABLE,,,,-4.82,50.0,0.0,100.0,40.0,MODERATE,34.42,-1.66,,,2024-12-31
AFIL,,0.93,,32.78,99.17027256100282,100.0,100.0,99.67,CHEAP_QUALITY,52.1,17.08,,,2024-12-31
AGARIND,CHEMICALS,8.67,,5.32,92.26479903644555,21.28,100.0,65.42,FAIR_VALUE,867.77,46.15,,,2024-12-31
AGARWALEYE,HEALTHCARE,164.02,,6.56,0.0,26.239999999999995,100.0,30.5,EXPENSIVE_OR_WEAK,430.72,28.24,,,2024-12-31
AGI,CHEMICALS,13.71,,12.93,87.76821162510595,51.72,100.0,75.8,CHEAP_QUALITY,1257.66,162.58,,,2024-12-31
AGIIL,REALTY,6.11,,21.61,94.54877994379267,86.44,100.0,92.4,CHEAP_QUALITY,168.97,36.52,,,2024-12-31
AGRITECH,,,,-500.0,50.0,0.0,100.0,40.0,MODERATE,0.04,-0.2,,,2024-12-31
AGROPHOS,CHEMICALS,10.71,,5.34,90.44475175090334,21.36,100.0,64.72,FAIR_VALUE,54.31,2.9,,,2024-12-31
AGSTRA,,,,-31.91,50.0,0.0,100.0,40.0,MODERATE,561.29,-179.09,,,2024-12-31
AHL,,8.98,,2.1,91.98822322344648,8.4,100.0,60.16,FAIR_VALUE,1280.14,26.92,,,2024-12-31
AHLADA,REALTY,29.15,,1.67,73.99295177766874,6.68,100.0,52.27,MODERATE,52.17,0.87,,,2024-12-31
AHLEAST,HOSPITALITY,15.95,,14.12,85.76972833117723,56.48,100.0,76.9,CHEAP_QUALITY,55.59,7.85,,,2024-12-31
AHLUCONT,INFRASTRUCTURE,37.08,,3.82,66.91796404514432,15.28,100.0,52.88,MODERATE,1011.48,38.67,,,2024-09-30
AHLWEST,,168.09,,0.46,0.0,1.8399999999999999,0.0,0.74,EXPENSIVE_OR_WEAK,404.76,1.87,4.83,-96.44,2024-12-31
AIAENG,CAPITAL_GOODS,45.73,,24.28,59.20060668242853,97.12,100.0,82.53,CHEAP_QUALITY,1066.23,258.89,,,2024-12-31
AIIL,CAPITAL_GOODS,2.64,,77.13,97.6446446892983,100.0,100.0,99.06,CHEAP_QUALITY,1092.65,842.76,,,2024-09-30
AIRAN,IT,,,-2.74,50.0,0.0,100.0,40.0,MODERATE,46.41,-1.27,,,2024-12-31
AIROLAM,REALTY,32.37,,2.02,71.1201320426462,8.08,100.0,51.68,MODERATE,53.99,1.09,,,2024-12-31
AJANTPHARM,PHARMA,49.55,,18.24,55.79247892224652,72.96,100.0,71.5,FAIR_VALUE,1186.64,216.48,,,2024-09-30
AJAXENGG,AUTO,22.76,,12.43,79.69398224561716,49.72,100.0,71.77,FAIR_VALUE,548.18,68.13,,,2024-12-31
AJMERA,REALTY,3.43,,17.68,96.93982245617165,70.72,100.0,87.06,CHEAP_QUALITY,392.84,69.45,,,2024-12-31
AJOONI,AGRICULTURE,22.23,,2.85,80.16683766784138,11.4,100.0,56.63,FAIR_VALUE,79.34,2.26,,,2024-12-31
AJRINFRA,,,,3419.46,50.0,100.0,100.0,80.0,CHEAP_QUALITY,19.63,671.24,,,2024-12-31
AKASH,INFRASTRUCTURE,219.75,,0.43,0.0,1.72,100.0,20.69,EXPENSIVE_OR_WEAK,13.87,0.06,,,2024-12-31
AKG,OTHER,54.55,,0.47,51.331578712584204,1.8799999999999997,100.0,41.28,MODERATE,63.36,0.3,,,2024-12-31
AKI,TEXTILES,17.11,,3.5,84.73479948253558,14.000000000000002,100.0,59.49,FAIR_VALUE,32.9,1.15,,,2024-12-31
AKSHAR,TEXTILES,,,-8.01,50.0,0.0,100.0,40.0,MODERATE,49.17,-3.94,,,2024-12-31
AKSHARCHEM,CHEMICALS,43.71,,1.31,61.002810367132085,5.24,100.0,46.5,MODERATE,169.62,2.23,,,2024-12-31
AKSHOPTFBR,,,,-16.35,50.0,0.0,100.0,40.0,MODERATE,28.99,-4.74,,,2024-12-31
AKUMS,PHARMA,52.1,,13.75,53.51741981531873,55.00000000000001,100.0,63.41,FAIR_VALUE,665.76,91.53,,,2024-12-31
AKZOINDIA,,32.93,,10.16,70.62051121916403,40.64,100.0,64.5,FAIR_VALUE,2032.75,206.44,,,2024-12-31
ALANKIT,FINANCIAL_SERVICES,12.59,,6.47,88.76745327207031,25.88,100.0,65.86,FAIR_VALUE,137.11,8.87,,,2024-12-31
ALBERTDAVD,PHARMA,,,4.78,50.0,19.12,100.0,47.65,MODERATE,181.52,8.68,,,2024-12-31
ALEMBICLTD,REALTY,8.98,,112.9,91.98822322344648,100.0,100.0,96.8,CHEAP_QUALITY,57.92,65.39,,,2024-12-31
ALICON,AUTO,,,1.75,50.0,7.000000000000001,100.0,42.8,MODERATE,767.01,13.39,,,2024-12-31
ALIVUS,PHARMA,25.86,,21.34,76.92822411562655,85.36,100.0,84.92,CHEAP_QUALITY,641.84,136.96,,,2024-12-31
ALKALI,,,,-15.96,50.0,0.0,100.0,40.0,MODERATE,42.79,-6.83,,,2024-12-31
ALKEM,PHARMA,24.18,,20.56,78.42708658607307,82.24,100.0,84.27,CHEAP_QUALITY,3414.67,701.96,,,2024-09-30
ALKYLAMINE,CHEMICALS,48.01,,11.6,57.16643618682251,46.4,100.0,61.43,FAIR_VALUE,786.09,91.22,,,2024-12-31
ALLCARGO,LOGISTICS,8.68,,0.57,92.25587723602622,2.28,100.0,57.81,FAIR_VALUE,8406.83,48.05,,,2024-12-31
ALLDIGI,IT,15.28,,14.28,86.36748895927198,57.11999999999999,100.0,77.39,CHEAP_QUALITY,139.46,19.92,,,2024-12-31
ALMONDZ,FINANCIAL_SERVICES,20.57,,7.56,81.64785653744926,30.240000000000002,100.0,64.76,FAIR_VALUE,67.24,5.08,,,2024-12-31
ALOKINDS,TEXTILES,,,-30.58,50.0,0.0,100.0,40.0,MODERATE,1749.52,-535.09,,,2024-12-31
ALPA,PHARMA,4.28,,32.47,96.18146942052907,100.0,100.0,98.47,CHEAP_QUALITY,51.09,16.59,,,2024-12-31
ALPHAGEO,ENERGY,17.85,,8.94,84.07458625150555,35.76,100.0,67.93,FAIR_VALUE,18.69,1.67,,,2024-09-30
ALPSINDUS,,,,,50.0,100.0,100.0,80.0,CHEAP_QUALITY,,-16.06,,,2024-12-31
AMBER,CAPITAL_GOODS,177.43,,1.74,0.0,6.959999999999999,100.0,22.78,EXPENSIVE_OR_WEAK,2133.33,37.05,,,2024-12-31
AMBICAAGAR,FMCG,16.7,,1.88,85.10059329972789,7.519999999999999,100.0,57.05,FAIR_VALUE,69.56,1.31,,,2024-12-31
AMBIKCO,TEXTILES,17.76,,7.95,84.15488245527948,31.8,100.0,66.38,FAIR_VALUE,356.67,28.35,,,2024-12-31
AMBUJACEM,CEMENT,57.01,,6.29,49.136815809430345,25.16,100.0,49.72,MODERATE,7516.11,472.89,,,2024-09-30
AMDIND,CHEMICALS,,,-2.83,50.0,0.0,100.0,40.0,MODERATE,98.8,-2.8,,,2024-12-31
AMIORG,,28.37,,15.91,74.68885221037606,63.63999999999999,100.0,75.33,CHEAP_QUALITY,521.72,83.01,,,2024-12-31
AMJLAND,CHEMICALS,12.77,,23.89,88.60686086452246,95.56,100.0,93.67,CHEAP_QUALITY,26.46,6.32,,,2024-12-31
AMNPLST,CHEMICALS,26.46,,5.87,76.39291609046705,23.48,100.0,59.95,FAIR_VALUE,166.64,9.78,,,2024-09-30
AMRUTANJAN,PHARMA,25.51,,13.34,77.2404871303029,53.36,100.0,72.24,FAIR_VALUE,232.67,31.04,,,2024-12-31
ANANDRATHI,FINANCIAL_SERVICES,27.28,,32.6,75.66132845608244,100.0,100.0,90.26,CHEAP_QUALITY,462.41,150.76,,,2024-12-31
ANANTRAJ,REALTY,41.23,,20.62,63.215416871124596,82.48,100.0,78.28,CHEAP_QUALITY,1047.49,216.02,,,2024-12-31
ANDHRAPAP,CHEMICALS,11.65,,6.52,89.60610251148682,26.08,100.0,66.27,FAIR_VALUE,817.98,53.37,,,2024-12-31
ANDHRSUGAR,CHEMICALS,,,0.44,50.0,1.76,100.0,40.7,MODERATE,1039.32,4.61,,,2024-12-31
ANGELONE,FINANCIAL_SERVICES,2.65,,22.3,97.63572288887897,89.2,100.0,94.73,CHEAP_QUALITY,1262.21,281.47,,,2024-12-31
ANIKINDS,,38.09,,2.79,66.01686220279252,11.16,100.0,50.87,MODERATE,57.02,1.59,,,2024-12-31
ANMOL,FINANCIAL_SERVICES,21.89,,0.32,80.47017888209841,1.28,100.0,52.7,MODERATE,439.1,1.39,,,2024-12-31
ANSALAPI,,,,-125.22,50.0,0.0,100.0,40.0,MODERATE,226.62,-283.77,,,2024-09-30
ANTGRAPHIC,CHEMICALS,,,-50.0,50.0,0.0,100.0,40.0,MODERATE,0.4,-0.2,,,2024-09-30
ANUHPHR,PHARMA,9.86,,6.48,91.20310478654594,25.920000000000005,100.0,66.85,FAIR_VALUE,159.51,10.34,,,2024-12-31
ANUP,CAPITAL_GOODS,37.14,,17.2,66.86443324262837,68.8,100.0,74.27,FAIR_VALUE,364.74,62.75,,,2024-12-31
ANURAS,CHEMICALS,209.65,,8.24,0.0,32.96,100.0,33.18,EXPENSIVE_OR_WEAK,402.76,33.17,,,2024-12-31
APARINDS,CHEMICALS,85.46,,3.94,23.754293616451815,15.76,100.0,35.81,MODERATE,9360.93,368.79,,,2024-12-31
APCL,CEMENT,,,-19.62,50.0,0.0,100.0,40.0,MODERATE,105.31,-20.66,,,2024-12-31
APCOTEXIND,FINANCIAL_SERVICES,58.48,,3.19,47.82531114778963,12.76,100.0,44.23,MODERATE,706.33,22.51,,,2024-12-31
APEX,FMCG,,,0.31,50.0,1.24,100.0,40.5,MODERATE,616.24,1.91,,,2024-12-31
APLAPOLLO,METAL,230.5,,1.13,0.0,4.52,100.0,21.81,EXPENSIVE_OR_WEAK,4773.91,53.81,,,2024-09-30
APLLTD,PHARMA,26.4,,9.29,76.446446892983,37.16,100.0,65.44,FAIR_VALUE,1647.98,153.15,,,2024-09-30
APOLLO,DEFENCE,187.06,,11.1,0.0,44.4,100.0,37.76,MODERATE,309.1,34.32,,,2024-12-31
APOLLOHOSP,HEALTHCARE,82.07,,6.97,26.778783958602858,27.88,100.0,41.86,MODERATE,11116.2,775.1,,,2024-12-31
APOLLOPIPE,CAPITAL_GOODS,104.4,,1.85,6.856403622250973,7.400000000000001,100.0,25.7,EXPENSIVE_OR_WEAK,558.36,10.34,,,2024-12-31
APOLLOTYRE,AUTO,22.98,,4.62,79.49770263639202,18.48,100.0,59.19,FAIR_VALUE,6437.02,297.46,,,2024-09-30
APOLSINHOT,HOSPITALITY,40.26,,1.48,64.08083151179909,5.92,100.0,48.0,MODERATE,276.03,4.08,,,2024-12-31
APTECHT,,38.07,,3.84,66.03470580363118,15.36,100.0,52.56,MODERATE,236.71,9.08,,,2024-12-31
APTUS,FINANCIAL_SERVICES,18.25,,42.33,83.71771423473258,100.0,100.0,93.49,CHEAP_QUALITY,450.05,190.5,,,2024-12-31
ARCHIDPLY,REALTY,,,-1.16,50.0,0.0,100.0,40.0,MODERATE,150.76,-1.75,,,2024-12-31
ARCHIES,FMCG,32.43,,1.74,71.06660124013027,6.959999999999999,100.0,51.21,MODERATE,37.94,0.66,,,2024-12-31
ARCOTECH,,,,,50.0,100.0,100.0,80.0,CHEAP_QUALITY,,-15.91,,,2024-12-31
ARE&M,AUTO,14.43,,8.19,87.12584199491458,32.76,100.0,67.95,FAIR_VALUE,6523.2,533.98,,,2024-12-31
ARENTERP,METAL,,,,50.0,100.0,100.0,80.0,CHEAP_QUALITY,,-0.08,,,2024-12-31
ARIES,CHEMICALS,7.15,,8.4,93.6209127001829,33.6,100.0,70.89,FAIR_VALUE,360.05,30.24,,,2024-12-31
ARIHANTCAP,FINANCIAL_SERVICES,8.89,,26.11,92.06851942722041,100.0,100.0,96.83,CHEAP_QUALITY,76.38,19.94,,,2024-09-30
ARIHANTSUP,REALTY,23.24,,14.28,79.26573582548959,57.11999999999999,100.0,74.55,FAIR_VALUE,111.8,15.97,,,2024-09-30
ARKADE,CAPITAL_GOODS,12.4,,22.42,88.93696748003748,89.68,100.0,91.45,CHEAP_QUALITY,551.65,123.67,,,2024-12-31
ARMANFIN,FINANCIAL_SERVICES,,,2.31,50.0,9.24,100.0,43.7,MODERATE,346.26,8.0,,,2024-12-31
AROGRANITE,REALTY,,,-12.26,50.0,0.0,100.0,40.0,MODERATE,58.72,-7.2,,,2024-12-31
ARROWGREEN,,16.81,,23.28,85.00245349511532,93.12,100.0,91.25,CHEAP_QUALITY,55.11,12.83,,,2024-12-31
ARSHIYA,,,,-7104.82,50.0,0.0,100.0,40.0,MODERATE,34.02,-2417.06,,,2024-03-31
ARSSINFRA,,,,1.24,50.0,4.96,100.0,41.98,MODERATE,139.99,1.73,,,2024-12-31
ARTEMISMED,HEALTHCARE,48.38,,9.02,56.83632957130749,36.08,100.0,57.17,FAIR_VALUE,473.81,42.73,,,2024-12-31
ARTNIRMAN,REALTY,65.73,,6.25,41.35700584377927,25.0,100.0,46.54,MODERATE,12.96,0.81,,,2024-12-31
ARVEE,CHEMICALS,77.8,,5.32,30.58839273765447,21.28,100.0,40.75,MODERATE,21.44,1.14,,,2024-12-31
ARVIND,TEXTILES,,,3.95,50.0,15.8,100.0,46.32,MODERATE,4277.52,169.01,,,2024-12-31
ARVINDFASN,RETAIL,,,15.61,50.0,62.44,100.0,64.98,FAIR_VALUE,379.27,59.22,,,2024-12-31
ARVSMART,REALTY,15.49,,19.5,86.18013115046617,78.0,100.0,85.67,CHEAP_QUALITY,475.74,92.79,,,2024-12-31
ASAHIINDIA,AUTO,51.43,,8.72,54.11518044341348,34.88,100.0,55.6,FAIR_VALUE,2281.98,199.08,,,2024-12-31
ASAHISONG,CHEMICALS,19.63,,2.03,82.48650577686577,8.12,100.0,56.24,FAIR_VALUE,275.33,5.6,,,2024-12-31
ASAL,AUTO,52.56,,1.99,53.1070169960298,7.960000000000001,100.0,44.43,MODERATE,395.26,7.85,,,2024-12-31
ASALCBR,FMCG,19.14,,6.99,82.92367399741268,27.96,100.0,64.35,FAIR_VALUE,592.59,41.4,,,2024-12-31
ASHAPURMIN,METAL,21.23,,10.22,81.05901770977384,40.88,100.0,68.78,FAIR_VALUE,1469.54,150.22,,,2024-12-31
ASHIANA,REALTY,581.53,,1.78,0.0,7.12,100.0,22.85,EXPENSIVE_OR_WEAK,187.71,3.34,,,2024-12-31
ASHIMASYN,TEXTILES,,,-315.03,50.0,0.0,100.0,40.0,MODERATE,7.45,-23.47,,,2024-12-31
ASHOKA,INFRASTRUCTURE,1.65,,23.05,98.52790293081144,92.2,100.0,96.29,CHEAP_QUALITY,4876.82,1123.96,,,2024-12-31
ASHOKAMET,METAL,3.5,,24.84,96.87736985323639,99.36,100.0,98.49,CHEAP_QUALITY,21.22,5.27,,,2024-12-31
ASHOKLEY,AUTO,15.73,,6.85,85.96600794040236,27.399999999999995,100.0,65.35,FAIR_VALUE,23142.79,1586.22,,,2024-12-31
ASIANENE,ENERGY,45.57,,9.27,59.343355489137714,37.08,100.0,58.57,FAIR_VALUE,189.41,17.55,,,2024-12-31
ASIANHOTNR,HOSPITALITY,7.36,,23.3,93.43355489137709,93.2,100.0,94.65,CHEAP_QUALITY,164.55,38.34,,,2024-12-31
ASIANPAINT,CHEMICALS,70.48,,10.99,37.11915064460008,43.96,100.0,52.43,MODERATE,16576.98,1822.09,,,2024-12-31
ASIANTILES,CAPITAL_GOODS,,,0.51,50.0,2.04,100.0,40.82,MODERATE,743.7,3.8,,,2024-12-31
ASIL,,,,-5.37,50.0,0.0,100.0,40.0,MODERATE,49.91,-2.68,,,2024-12-31
ASKAUTOLTD,AUTO,33.28,,7.05,70.30824820448767,28.199999999999996,100.0,59.4,FAIR_VALUE,1888.96,133.17,,,2024-12-31
ASMS,,,,-0.46,50.0,0.0,100.0,40.0,MODERATE,17.56,-0.08,,,2024-12-31
ASPINWALL,LOGISTICS,11.24,,5.25,89.97189632867912,21.0,100.0,64.39,FAIR_VALUE,163.77,8.6,,,2024-12-31
ASTEC,CHEMICALS,,,-39.12,50.0,0.0,100.0,40.0,MODERATE,98.55,-38.55,,,2024-09-30
ASTERDM,HEALTHCARE,172.03,,6.13,0.0,24.52,100.0,29.81,EXPENSIVE_OR_WEAK,1049.81,64.39,,,2024-12-31
ASTRAL,CAPITAL_GOODS,79.95,,8.0,28.67020564749967,32.0,100.0,44.27,MODERATE,2767.4,221.3,,,2024-12-31
ASTRAMICRO,DEFENCE,132.52,,12.99,0.0,51.96000000000001,100.0,40.78,MODERATE,485.5,63.07,,,2024-12-31
ASTRAZEN,PHARMA,148.43,,8.17,0.0,32.68,100.0,33.07,EXPENSIVE_OR_WEAK,848.28,69.28,,,2024-12-31
ASTRON,,,,-22.28,50.0,0.0,100.0,40.0,MODERATE,35.55,-7.92,,,2024-09-30
ATALREAL,REALTY,56.8,,5.85,49.324173618236166,23.4,100.0,49.09,MODERATE,48.54,2.84,,,2024-12-31
ATAM,CAPITAL_GOODS,12.11,,9.44,89.19569969219788,37.76,100.0,70.78,FAIR_VALUE,34.31,3.24,,,2024-12-31
ATCOM,,,,,50.0,100.0,100.0,80.0,CHEAP_QUALITY,,-0.06,,,2024-12-31
ATFL,,301.61,,0.76,0.0,3.04,100.0,21.22,EXPENSIVE_OR_WEAK,413.5,3.16,,,2024-12-31
ATGL,ENERGY,122.14,,12.06,0.0,48.24,100.0,39.3,MODERATE,2719.25,327.98,,,2024-12-31
ATL,INFRASTRUCTURE,12.65,,6.04,88.71392246955436,24.16,100.0,65.15,FAIR_VALUE,382.24,23.1,,,2024-12-31
ATLANTAA,INFRASTRUCTURE,8.55,,567.28,92.37186064147745,100.0,100.0,96.95,CHEAP_QUALITY,1.62,9.19,,,2024-12-31
ATLASCYCLE,FINANCIAL_SERVICES,3.64,,152.37,96.75246464736584,100.0,100.0,98.7,CHEAP_QUALITY,5.9,8.99,,,2024-12-31
ATNINTER,,,,,50.0,100.0,100.0,80.0,CHEAP_QUALITY,,-0.11,,,2024-12-31
ATUL,CHEMICALS,39.94,,9.13,64.36632912521748,36.52,100.0,60.35,FAIR_VALUE,2809.66,256.63,,,2024-12-31
ATULAUTO,AUTO,57.09,,3.1,49.06544140607575,12.4,100.0,44.59,MODERATE,376.64,11.69,,,2024-12-31
AURIONPRO,IT,24.92,,15.97,77.76687335504305,63.88,100.0,76.66,CHEAP_QUALITY,584.39,93.32,,,2024-12-31
AUROPHARMA,PHARMA,27.57,,10.54,75.40259624392203,42.16,100.0,67.03,FAIR_VALUE,15774.59,1662.52,,,2024-12-31
AURUM,IT,,,-19.0,50.0,0.0,100.0,40.0,MODERATE,63.96,-12.15,,,2024-09-30
AUSOMENT,,104.67,,216.22,6.615515010929207,100.0,100.0,62.65,FAIR_VALUE,0.37,0.8,,,2024-12-31
AUTOAXLES,AUTO,17.69,,7.37,84.21733505821474,29.48,100.0,65.48,FAIR_VALUE,1025.43,75.55,,,2024-12-31
AUTOIND,,17.26,,3.13,84.6009724762457,12.520000000000001,100.0,58.85,FAIR_VALUE,156.36,4.9,,,2024-09-30
AVADHSUGAR,,63.22,,0.61,43.596377749029756,2.44,100.0,38.41,MODERATE,1248.82,7.57,,,2024-12-31
AVALON,CAPITAL_GOODS,124.1,,8.54,0.0,34.16,100.0,33.66,EXPENSIVE_OR_WEAK,280.85,23.99,,,2024-12-31
