symbol,date_start,date_end,quarter_label,window_label,filing_date,revenue_cr,net_profit_cr,eps,rounding,standalone_or_consolidated,source
3MINDIA,2021-04-01,2021-06-30,First quarter,Q1FY22,12-Aug-202,743.872,30.0959,26.72,Lakhs,Consolidated,nselib_xbrl
3MINDIA,2021-07-01,2021-09-30,Half yearly,Q2FY22,12-Nov-202,776.8905,64.8842,57.6,Lakhs,Standalone,nselib_xbrl
3MINDIA,2021-10-01,2021-12-31,Third quarter,Q3FY22,03-Feb-202,826.2809,66.7444,59.25,Lakhs,Consolidated,nselib_xbrl
3MINDIA,2022-01-01,2022-03-31,Yearly,Q4FY22,28-May-202,925.5928,110.9151,98.46,Lakhs,Consolidated,nselib_xbrl
3MINDIA,2022-04-01,2022-06-30,First quarter,Q1FY23,10-Aug-202,943.5961,84.2593,74.8,Lakhs,Consolidated,nselib_xbrl
3MINDIA,2022-07-01,2022-09-30,Half yearly,Q2FY23,09-Nov-202,976.6981,106.2337,94.3,Lakhs,Consolidated,nselib_xbrl
3MINDIA,2022-10-01,2022-12-31,Third quarter,Q3FY23,09-Feb-202,993.0341,124.8069,110.79,Lakhs,Consolidated,nselib_xbrl
3MINDIA,2023-01-01,2023-03-31,Yearly,Q4FY23,31-May-202,1046.0394,135.7193,120.48,Lakhs,Consolidated,nselib_xbrl
3MINDIA,2023-04-01,2023-06-30,First quarter,Q1FY24,11-Aug-202,1049.6557,129.2118,114.7,Lakhs,Consolidated,nselib_xbrl
3MINDIA,2023-07-01,2023-09-30,Half yearly,Q2FY24,11-Nov-202,1039.5161,146.1149,129.71,Lakhs,Consolidated,nselib_xbrl
3MINDIA,2023-10-01,2023-12-31,Third quarter,Q3FY24,09-Feb-202,941.7734,124.5674,110.58,Lakhs,Standalone,nselib_xbrl
3MINDIA,2024-01-01,2024-03-31,Yearly,Q4FY24,29-May-202,1094.5463,172.8532,153.44,Lakhs,Consolidated,nselib_xbrl
3MINDIA,2024-04-01,2024-06-30,First quarter,Q1FY25,06-Aug-202,995.0398,146.4813,130.03,Lakhs,Standalone,nselib_xbrl
3MINDIA,2024-07-01,2024-09-30,Half yearly,Q2FY25,13-Nov-202,1110.803,133.7808,118.76,Lakhs,Standalone,nselib_xbrl
3MINDIA,2024-10-01,2024-12-31,Third quarter,Q3FY25,07-Feb-202,1089.9496,113.766,100.99,Lakhs,Standalone,nselib_xbrl
3PLAND,2020-10-01,2020-12-31,Third quarter,Q3FY21,29-Jan-202,0.3469,0.1657,0.09,Lakhs,Standalone,nselib_xbrl
3PLAND,2021-01-01,2021-03-31,Yearly,Q4FY21,25-May-202,0.3593,0.1331,0.07,Lakhs,Standalone,nselib_xbrl
3PLAND,2021-04-01,2021-06-30,First quarter,Q4FY21,24-Jul-202,0.3727,0.0862,0.05,Lakhs,Consolidated,nselib_xbrl
3PLAND,2021-07-01,2021-09-30,Half yearly,Q2FY22,28-Oct-202,0.9094,0.5916,0.33,Lakhs,Consolidated,nselib_xbrl
3PLAND,2021-10-01,2021-12-31,Third quarter,Q3FY22,24-Jan-202,0.4346,0.243,0.14,Lakhs,Consolidated,nselib_xbrl
3PLAND,2022-01-01,2022-03-31,Yearly,Q4FY22,14-May-202,0.4297,0.2339,0.13,Lakhs,Standalone,nselib_xbrl
3PLAND,2022-07-01,2022-09-30,Half yearly,Q2FY23,15-Oct-202,1.1478,0.7494,0.42,Lakhs,Consolidated,nselib_xbrl
3PLAND,2022-10-01,2022-12-31,Third quarter,Q3FY23,21-Jan-202,0.4763,0.2768,0.15,Lakhs,Consolidated,nselib_xbrl
3PLAND,2023-01-01,2023-03-31,Yearly,Q4FY23,13-May-202,0.4672,0.2697,0.15,Lakhs,Consolidated,nselib_xbrl
3PLAND,2023-04-01,2023-06-30,First quarter,Q4FY23,22-Jul-202,0.4702,0.2595,0.14,Lakhs,Consolidated,nselib_xbrl
3PLAND,2023-07-01,2023-09-30,Half yearly,Q2FY24,28-Oct-202,1.3121,0.8003,0.44,Lakhs,Consolidated,nselib_xbrl
3PLAND,2023-10-01,2023-12-31,Third quarter,Q3FY24,20-Jan-202,0.8894,0.3906,0.22,Lakhs,Standalone,nselib_xbrl
3PLAND,2024-01-01,2024-03-31,Yearly,Q4FY24,11-May-202,0.8859,0.3575,0.2,Lakhs,Consolidated,nselib_xbrl
3PLAND,2024-04-01,2024-06-30,First quarter,Q4FY24,27-Jul-202,0.8923,0.3769,0.21,Lakhs,Consolidated,nselib_xbrl
3PLAND,2024-07-01,2024-09-30,Half yearly,Q2FY25,26-Oct-202,1.737,0.955,0.53,Lakhs,Consolidated,nselib_xbrl
3PLAND,2024-10-01,2024-12-31,Third quarter,Q3FY25,18-Jan-202,0.9316,0.3849,0.21,Lakhs,Standalone,nselib_xbrl
4THDIM,2022-07-01,2022-09-30,Half yearly,Q2FY23,19-Oct-202,2.5079,1.751,0.54,Lakhs,Standalone,nselib_xbrl
4THDIM,2022-10-01,2022-12-31,Third quarter,Q3FY23,11-Jan-202,5.3111,1.6915,0.1,Lakhs,Standalone,nselib_xbrl
4THDIM,2023-01-01,2023-03-31,Yearly,Q4FY23,20-May-202,9.8482,1.3658,0.08,Lakhs,Standalone,nselib_xbrl
5PAISA,2020-10-01,2020-12-31,Third quarter,Q3FY21,13-Jan-202,49.5662,3.185,1.25,Lakhs,Consolidated,nselib_xbrl
5PAISA,2021-01-01,2021-03-31,Yearly,Q4FY21,21-Apr-202,49.5312,5.8596,2.44,Lakhs,Consolidated,nselib_xbrl
5PAISA,2021-04-01,2021-06-30,First quarter,Q4FY21,14-Jul-202,60.0182,7.4899,2.57,Lakhs,Standalone,nselib_xbrl
5PAISA,2021-07-01,2021-09-30,Half yearly,Q2FY22,19-Oct-202,67.9284,1.3938,0.48,Lakhs,Consolidated,nselib_xbrl
5PAISA,2021-10-01,2021-12-31,Third quarter,Q3FY22,10-Jan-202,80.0529,0.743,0.26,Lakhs,Consolidated,nselib_xbrl
5PAISA,2022-01-01,2022-03-31,Yearly,Q4FY22,28-Apr-202,88.1964,4.655,1.6,Lakhs,Standalone,nselib_xbrl
5PAISA,2022-07-01,2022-09-30,Half yearly,Q2FY23,19-Oct-202,79.5178,10.7969,3.51,Lakhs,Standalone,nselib_xbrl
5PAISA,2022-10-01,2022-12-31,Third quarter,Q3FY23,11-Jan-202,83.7391,11.1223,3.63,Lakhs,Standalone,nselib_xbrl
5PAISA,2023-01-01,2023-03-31,Yearly,Q4FY23,01-May-202,90.4752,13.8497,4.58,Lakhs,Standalone,nselib_xbrl
5PAISA,2023-04-01,2023-06-30,First quarter,Q4FY23,12-Jul-202,84.5456,14.5353,4.74,Lakhs,Consolidated,nselib_xbrl
5PAISA,2023-07-01,2023-09-30,Half yearly,Q2FY24,18-Oct-202,96.9048,19.0441,6.21,Lakhs,Consolidated,nselib_xbrl
5PAISA,2023-10-01,2023-12-31,Third quarter,Q3FY24,11-Jan-202,100.2516,15.0872,4.91,Lakhs,Standalone,nselib_xbrl
5PAISA,2024-01-01,2024-03-31,Yearly,Q4FY24,24-Apr-202,112.8489,3.1443,1.02,Lakhs,Standalone,nselib_xbrl
5PAISA,2024-04-01,2024-06-30,First quarter,Q4FY24,12-Jul-202,102.239,20.0742,6.42,Lakhs,Standalone,nselib_xbrl
5PAISA,2024-07-01,2024-09-30,Half yearly,Q2FY25,17-Oct-202,100.7942,21.9011,7.02,Lakhs,Consolidated,nselib_xbrl
5PAISA,2024-10-01,2024-12-31,Third quarter,Q3FY25,17-Jan-202,85.267,16.1191,5.17,Lakhs,Standalone,nselib_xbrl
63MOONS,2020-07-01,2020-09-30,Half yearly,Q2FY21,28-Oct-202,38.1867,-1.3208,-0.29,Lakhs,Standalone,nselib_xbrl
63MOONS,2020-10-01,2020-12-31,Third quarter,Q3FY21,10-Feb-202,42.0618,-0.0031,0.0,Lakhs,Consolidated,nselib_xbrl
63MOONS,2021-01-01,2021-03-31,Yearly,Q4FY21,28-May-202,39.6881,-59.0698,-12.82,Lakhs,Consolidated,nselib_xbrl
63MOONS,2021-04-01,2021-06-30,First quarter,Q1FY22,13-Aug-202,38.265,-9.9415,-2.16,Lakhs,Consolidated,nselib_xbrl
63MOONS,2021-07-01,2021-09-30,Half yearly,Q2FY22,22-Oct-202,39.1999,-34.0308,-7.39,Lakhs,Consolidated,nselib_xbrl
63MOONS,2021-10-01,2021-12-31,Third quarter,Q3FY22,12-Feb-202,40.4992,-13.6592,-2.96,Lakhs,Consolidated,nselib_xbrl
63MOONS,2022-01-01,2022-03-31,Yearly,Q4FY22,28-May-202,38.28,-5.7469,-1.25,Lakhs,Standalone,nselib_xbrl
63MOONS,2022-04-01,2022-06-30,First quarter,Q1FY23,10-Aug-202,36.7634,-8.7103,-1.89,Lakhs,Standalone,nselib_xbrl
63MOONS,2022-07-01,2022-09-30,Half yearly,Q2FY23,11-Nov-202,44.3184,-13.658,-2.314,Lakhs,Consolidated,nselib_xbrl
63MOONS,2022-10-01,2022-12-31,Third quarter,Q3FY23,04-Feb-202,93.2376,19.6175,4.77,Lakhs,Consolidated,nselib_xbrl
63MOONS,2023-01-01,2023-03-31,Yearly,Q4FY23,25-May-202,107.1705,5.0665,1.1,Lakhs,Standalone,nselib_xbrl
63MOONS,2023-04-01,2023-06-30,First quarter,Q1FY24,09-Aug-202,110.9486,51.4246,11.16,Lakhs,Standalone,nselib_xbrl
63MOONS,2023-07-01,2023-09-30,Half yearly,Q2FY24,09-Nov-202,158.7748,79.28,17.88,Lakhs,Consolidated,nselib_xbrl
63MOONS,2023-10-01,2023-12-31,Third quarter,Q3FY24,13-Feb-202,160.7301,89.4161,20.12,Lakhs,Consolidated,nselib_xbrl
63MOONS,2024-01-01,2024-03-31,Yearly,Q4FY24,24-May-202,37.528,3.8236,1.74,Lakhs,Consolidated,nselib_xbrl
63MOONS,2024-04-01,2024-06-30,First quarter,Q1FY25,13-Aug-202,38.7357,-11.1317,-1.86,Lakhs,Consolidated,nselib_xbrl
63MOONS,2024-07-01,2024-09-30,Half yearly,Q2FY25,13-Nov-202,38.452,-24.0747,-4.1,Lakhs,Consolidated,nselib_xbrl
63MOONS,2024-10-01,2024-12-31,Third quarter,Q3FY25,13-Feb-202,11.7761,-23.2023,-3.62,Lakhs,Consolidated,nselib_xbrl
8KMILES,2020-07-01,2020-09-30,Half yearly,Q2FY21,06-Nov-202,89.0367,3.9014,1.02,Lakhs,Consolidated,nselib_xbrl
A2ZINFRA,2020-07-01,2020-09-30,Half yearly,Q2FY21,11-Nov-202,50.8383,-14.1,-0.8,Lakhs,Standalone,nselib_xbrl
A2ZINFRA,2020-10-01,2020-12-31,Third quarter,Q3FY21,14-Feb-202,29.8074,-28.3985,-1.61,Lakhs,Standalone,nselib_xbrl
A2ZINFRA,2021-01-01,2021-03-31,Yearly,Q4FY21,22-Jul-202,138.8198,-35.325,-2.01,Lakhs,Consolidated,nselib_xbrl
A2ZINFRA,2021-04-01,2021-06-30,First quarter,Q1FY22,15-Aug-202,72.829,-4.133,-0.24,Lakhs,Consolidated,nselib_xbrl
A2ZINFRA,2021-07-01,2021-09-30,Half yearly,Q2FY22,13-Nov-202,100.9723,-158.8978,-9.07,Lakhs,Consolidated,nselib_xbrl
A2ZINFRA,2022-01-01,2022-03-31,Yearly,Q4FY22,19-May-202,40.4263,-1.2395,0.07,Lakhs,Standalone,nselib_xbrl
A2ZINFRA,2022-04-01,2022-06-30,First quarter,Q1FY23,10-Aug-202,78.6479,-2.7561,-0.16,Lakhs,Consolidated,nselib_xbrl
A2ZINFRA,2022-07-01,2022-09-30,Half yearly,Q2FY23,12-Nov-202,20.6601,-4.7962,-0.28,Lakhs,Standalone,nselib_xbrl
A2ZINFRA,2022-10-01,2022-12-31,Third quarter,Q3FY23,15-Feb-202,83.5482,-54.3536,-2.9,Lakhs,Consolidated,nselib_xbrl
A2ZINFRA,2023-01-01,2023-03-31,Yearly,Q4FY23,20-May-202,14.8012,-83.9482,-4.77,Lakhs,Standalone,nselib_xbrl
A2ZINFRA,2023-04-01,2023-06-30,First quarter,Q1FY24,12-Aug-202,18.6515,0.139,0.01,Lakhs,Standalone,nselib_xbrl
A2ZINFRA,2023-07-01,2023-09-30,Half yearly,Q2FY24,07-Nov-202,101.9609,-3.4823,-0.12,Lakhs,Consolidated,nselib_xbrl
A2ZINFRA,2023-10-01,2023-12-31,Third quarter,Q3FY24,13-Feb-202,94.4547,-1.8457,-0.08,Lakhs,Consolidated,nselib_xbrl
A2ZINFRA,2024-01-01,2024-03-31,Yearly,Q4FY24,16-May-202,28.0761,0.0445,0.01,Lakhs,Standalone,nselib_xbrl
A2ZINFRA,2024-04-01,2024-06-30,First quarter,Q1FY25,14-Aug-202,82.643,-0.6431,0.0,Lakhs,Consolidated,nselib_xbrl
A2ZINFRA,2024-07-01,2024-09-30,Half yearly,Q2FY25,15-Nov-202,78.4096,1.3405,0.31,Lakhs,Consolidated,nselib_xbrl
A2ZINFRA,2024-10-01,2024-12-31,Third quarter,Q3FY25,13-Feb-202,84.559,-0.9289,-0.03,Lakhs,Consolidated,nselib_xbrl
AAATECH,2022-10-01,2022-12-31,Third quarter,Q3FY23,06-Feb-202,4.3476,0.7564,0.59,Lakhs,Standalone,nselib_xbrl
AAATECH,2023-01-01,2023-03-31,Yearly,Q4FY23,19-May-202,11.9932,0.7996,0.62,Lakhs,Standalone,nselib_xbrl
AAATECH,2023-04-01,2023-06-30,First quarter,Q1FY24,11-Aug-202,3.3905,0.6176,0.48,Lakhs,Standalone,nselib_xbrl
AAATECH,2023-07-01,2023-09-30,Half yearly,Q2FY24,10-Nov-202,5.496,1.0254,0.8,Lakhs,Standalone,nselib_xbrl
AAATECH,2023-10-01,2023-12-31,Third quarter,Q3FY24,07-Feb-202,5.5089,1.4589,1.14,Lakhs,Standalone,nselib_xbrl
AAATECH,2024-01-01,2024-03-31,Yearly,Q4FY24,28-May-202,9.3992,0.1101,0.08,Lakhs,Standalone,nselib_xbrl
AAATECH,2024-04-01,2024-06-30,First quarter,Q1FY25,12-Aug-202,3.5718,0.8093,0.63,Lakhs,Standalone,nselib_xbrl
AAATECH,2024-07-01,2024-09-30,Half yearly,Q2FY25,11-Nov-202,4.3726,1.1499,0.9,Lakhs,Standalone,nselib_xbrl
AAATECH,2024-10-01,2024-12-31,Third quarter,Q3FY25,10-Feb-202,6.9374,0.5535,0.43,Lakhs,Standalone,nselib_xbrl
AADHARHFC,2024-01-01,2024-03-31,Yearly,Q4FY24,30-May-202,691.79,201.76,5.11,Lakhs,Consolidated,nselib_xbrl
AADHARHFC,2024-04-01,2024-06-30,First quarter,Q1FY25,08-Aug-202,696.78,200.08,4.86,Lakhs,Standalone,nselib_xbrl
AADHARHFC,2024-07-01,2024-09-30,Half yearly,Q2FY25,07-Nov-202,750.82,227.56,5.31,Lakhs,Standalone,nselib_xbrl
AADHARHFC,2024-10-01,2024-12-31,Third quarter,Q3FY25,06-Feb-202,797.61,239.34,5.56,Lakhs,Consolidated,nselib_xbrl
AAKASH,2020-07-01,2020-09-30,Half yearly,Q2FY21,05-Nov-202,16.2053,0.812,0.82,Lakhs,Standalone,nselib_xbrl
AAKASH,2020-10-01,2020-12-31,Third quarter,Q3FY21,05-Feb-202,13.2524,0.4868,0.58,Lakhs,Standalone,nselib_xbrl
AAKASH,2021-04-01,2021-06-30,First quarter,Q1FY22,12-Aug-202,15.5081,1.5692,1.55,Lakhs,Standalone,nselib_xbrl
AAKASH,2021-07-01,2021-09-30,Half yearly,Q2FY22,02-Nov-202,18.0358,1.358,1.34,Lakhs,Standalone,nselib_xbrl
AAKASH,2021-10-01,2021-12-31,Third quarter,Q3FY22,29-Jan-202,21.9661,1.2814,1.27,Lakhs,Standalone,nselib_xbrl
AAKASH,2022-01-01,2022-03-31,Yearly,Q4FY22,30-Apr-202,21.3666,1.9128,0.17,Lakhs,Standalone,nselib_xbrl
AAKASH,2022-04-01,2022-06-30,First quarter,Q1FY23,08-Aug-202,19.4691,1.2186,0.12,Lakhs,Standalone,nselib_xbrl
AAKASH,2022-07-01,2022-09-30,Half yearly,Q2FY23,12-Nov-202,26.5162,1.2925,0.13,Lakhs,Standalone,nselib_xbrl
AAKASH,2022-10-01,2022-12-31,Third quarter,Q3FY23,08-Feb-202,26.8778,0.9686,0.1,Lakhs,Standalone,nselib_xbrl
AAKASH,2023-01-01,2023-03-31,Yearly,Q4FY23,30-May-202,19.7138,1.0563,0.11,Lakhs,Standalone,nselib_xbrl
AAKASH,2023-04-01,2023-06-30,First quarter,Q1FY24,12-Aug-202,18.3017,1.0356,0.1,Lakhs,Standalone,nselib_xbrl
AAKASH,2023-07-01,2023-09-30,Half yearly,Q2FY24,07-Nov-202,21.2375,1.2564,0.12,Lakhs,Standalone,nselib_xbrl
AAKASH,2023-10-01,2023-12-31,Third quarter,Q3FY24,13-Feb-202,21.8012,0.4067,0.04,Lakhs,Standalone,nselib_xbrl
AAKASH,2024-01-01,2024-03-31,Yearly,Q4FY24,22-May-202,30.8922,3.5072,0.35,Lakhs,Standalone,nselib_xbrl
AAKASH,2024-04-01,2024-06-30,First quarter,Q1FY25,06-Aug-202,26.0062,1.1961,0.12,Lakhs,Consolidated,nselib_xbrl
AAKASH,2024-07-01,2024-09-30,Half yearly,Q2FY25,12-Nov-202,23.0538,0.1089,0.01,Lakhs,Consolidated,nselib_xbrl
AAKASH,2024-10-01,2024-12-31,Third quarter,Q3FY25,24-Jan-202,23.3545,0.2575,0.03,Lakhs,Consolidated,nselib_xbrl
AAREYDRUGS,2021-04-01,2021-06-30,First quarter,Q1FY22,11-Aug-202,97.5178,2.5086,1.07,Lakhs,Standalone,nselib_xbrl
AAREYDRUGS,2021-07-01,2021-09-30,Half yearly,Q2FY22,13-Nov-202,134.649,2.8437,1.22,Lakhs,Standalone,nselib_xbrl
