symbol,sector,as_of_date,bull_run_score,label,label_enc,price_score,sector_flow_score,deal_score,corporate_score,regime_multiplier,ret_30d,ret_90d,ret_365d,vol_ratio,sector_rel_30d,sector_combined_score,rotation_signal_enc,sec_FII_5d,sec_FII_20d,sec_FII_60d,sec_DII_5d,sec_DII_20d,sec_DII_60d,sec_smart_money,sec_retail_score,part_FII_flow,part_DII_flow,part_smart_money,regime_enc,mkt_cap_enc,fund_promoter_pct,fund_fii_pct,fund_dii_pct,shp_promoter_pct,shp_fii_pct,shp_dii_pct,index_count,div_count_12m,has_buyback_12m,has_bonus_12m,corp_confidence,deal_net_cr,ann_score_30d,high_signal_30d,distinct_types_30d,ann_velocity_30d,order_wins_6m,spurt_count_30d,distress_30d,theme_score_max,theme_purity_max,news_sentiment_7d,insider_score,concall_guidance_score,concall_sentiment_score,consensus_score,opm_pct,roce_pct,sales_growth_3y,pe_ratio_log,roe_pct,valuation_label_enc,yoy_revenue_pct,yoy_profit_pct,vs_dma_200,trend_signal_enc,fno_oi_signal_enc,rsi_14,rsi_zone_enc,macd_hist,macd_signal_enc,bb_pct_b,bb_squeeze,adx_14,adx_trending,forward_return_score,rvol,rs_30d_vs_nifty,delivery_5d_pct,promoter_delta,fii_delta,dii_delta,conviction_signal_enc,ai_tone_score,management_score,management_label_enc,astro_score,kundli_score,kundli_yoga_score,kundli_yoga_count,kundli_dasha_benefic
NRBBEARING,AUTO,2026-08-17,61.6,BULL_RUN,5,91.37,37.52,50.0,55.56,0.9,14.94,39.54,69.63,1.773,12.68,-15.39,2.0,182304.18,653156.26,1678870.35,-1608676.81,-5982697.23,-16373082.74,-5.88,66.43,37.62,-37.45,13.18,2,1.0,0.512,0.1469,0.1006,51.2,14.69,10.06,,4.0,0.0,0.0,2.0,,977.0,7.0,6.0,0.593,0.0,0.0,0.0,50.03,1.0,,,,,49.46,14.42,10.74,8.4,3.9406104622800586,7.93,1.0,,,51.73,1.0,,74.52,0.0,-2.1953,1.0,0.757,24.87,44.65,1.0,56.2,1.7,17.71,42.6,0.0,0.57,-0.25,4.0,,64.0,2.0,-24.8,46.0,49.0,4.0,1.0
RATNAVEER,METAL,2026-08-17,61.57,BULL_RUN,5,95.77,39.98,47.09,50.0,0.9,39.5,38.0,67.03,1.675,39.7,6.5,2.0,140554.13,415268.22,1165588.47,-1242030.87,-3767772.39,-11155019.38,-33.4,-3.85,37.62,-37.45,13.18,2,1.0,50.72,1.84,0.23,45.49,6.93,2.42,,,,,,0.0,365.0,1.0,3.0,0.533,0.0,0.0,0.0,45.05,1.0,,,0.0,0.0,47.51,8.28,9.38,66.94,3.015044584586364,4.87,2.0,,,50.89,1.0,,56.82,1.0,0.7346,1.0,0.6981,21.22,24.95,0.0,55.0,1.55,42.27,19.9,2.86,-1.24,-0.13,6.0,,50.0,1.0,-35.4,55.0,33.0,2.0,0.0
POONAWALLA,FINANCIAL_SERVICES,2026-08-17,61.4,BULL_RUN,5,75.24,38.17,96.95,50.0,0.9,5.36,20.35,9.89,0.689,6.7,-2.21,2.0,231953.0,937007.01,2703367.04,-2049541.97,-8677871.9,-26407866.45,-31.48,30.94,37.62,-37.45,13.18,2,2.0,0.6393,0.1021,0.1213,59.03,11.26,16.669999999999998,4.0,,,,,222.9593,780.0,6.0,5.0,0.255,0.0,0.0,0.0,46.22,1.0,,,,,,40.25,3.97,25.54,,-22.11,1.0,,,13.13,1.0,,65.51,1.0,5.2608,2.0,0.9325,20.03,24.23,0.0,39.4,0.8,8.13,51.0,-4.9,1.05,4.54,5.0,,50.0,1.0,,28.0,12.0,1.0,1.0
AVALON,CAPITAL_GOODS,2026-08-17,61.36,BULL_RUN,5,94.71,37.1,50.0,50.0,0.9,16.51,55.65,144.09,2.049,18.95,-28.11,2.0,208395.01,732362.33,2105067.02,-1844353.67,-6719730.36,-20521940.9,-22.9,44.55,37.62,-37.45,13.18,2,0.0,0.4442,0.0642,0.2618,44.42,6.419999999999999,26.18,,,,,,,550.0,6.0,3.0,0.7,0.0,0.0,0.0,49.88,1.0,,,,,,15.88,19.38,1.88,4.829113417472866,8.54,1.0,,,70.02,1.0,,71.1,0.0,-4.8461,1.0,0.8297,21.94,31.77,1.0,44.4,1.93,19.28,41.6,-0.01,-1.14,0.78,2.0,,44.0,1.0,-35.4,33.0,20.0,2.0,0.0
MOREPENLAB,PHARMA,2026-08-17,61.24,BULL_RUN,5,98.44,34.05,47.09,50.0,0.9,47.66,114.16,89.89,1.766,49.68,-1.01,2.0,147220.57,461968.55,1240426.68,-1300268.68,-4227889.96,-12102339.59,-2.2,68.44,37.62,-37.45,13.18,2,0.0,0.3565,0.0158,0.0125,35.65,1.58,1.25,,1.0,0.0,0.0,,0.0,535.0,2.0,5.0,0.667,1.0,0.0,0.0,49.83,1.0,,,,,49.46,9.16,10.11,7.24,3.4326960487215263,6.94,2.0,,,96.84,1.0,,76.04,0.0,0.6194,2.0,1.0978,31.23,34.9,1.0,36.4,1.64,50.43,28.0,0.0,-0.04,0.0,1.0,,50.0,1.0,-24.8,-15.0,10.0,2.0,0.0
KABRAEXTRU,CAPITAL_GOODS,2026-08-17,61.05,BULL_RUN,5,95.26,37.1,47.09,50.0,0.9,57.61,129.36,81.23,0.408,60.05,-28.11,2.0,208395.01,732362.33,2105067.02,-1844353.67,-6719730.36,-20521940.9,-22.9,44.55,37.62,-37.45,13.18,2,0.0,0.6049,0.0035,0.0002,60.49,0.35,0.02,,,,,,0.0,805.0,4.0,5.0,0.667,1.0,0.0,0.0,49.88,1.0,,,,,,13.62,10.18,14.13,3.2335673736111907,7.75,2.0,,,100.0,1.0,,73.25,0.0,2.8796,2.0,1.2989,15.03,21.58,0.0,38.8,0.39,60.38,41.2,-0.01,-0.04,-0.04,1.0,,50.0,1.0,-35.4,53.0,20.0,1.0,0.0
GANDHAR,ENERGY,2026-08-17,61.05,BULL_RUN,5,89.28,35.62,95.84,44.44,0.9,16.94,64.48,65.56,0.146,15.5,-32.84,2.0,61260.71,245728.83,893689.17,-542474.31,-2302391.11,-8600448.94,-46.17,-8.72,37.62,-37.45,13.18,2,1.0,0.6647,0.0014,0.0009,66.47,0.1399999999999999,0.09,,2.0,0.0,0.0,1.0,31.2535,980.0,7.0,8.0,0.679,0.0,0.0,2.0,45.05,1.0,,,0.0,0.0,48.06,4.23,7.87,0.34,3.2398542312533927,1.99,1.0,,,55.35,1.0,,67.31,1.0,1.4639,2.0,0.9165,24.91,42.33,1.0,48.5,0.14,19.71,43.3,0.29,-0.21,-0.34,1.0,,58.0,2.0,-14.2,5.0,-15.0,1.0,0.0
BI,HEALTHCARE,2026-08-17,60.99,BULL_RUN,5,88.41,40.84,50.0,50.0,0.9,46.26,42.85,,16.117,45.48,3.63,2.0,57701.01,133978.67,357991.56,-511071.14,-1235115.83,-3465063.98,-19.95,16.25,37.62,-37.45,13.18,2,0.0,,,,,,,,,,,,,,,,,,,,49.83,1.0,,,,,,,,,,,,,,,1.0,,56.28,1.0,0.083,2.0,0.6925,20.55,31.5,1.0,32.9,14.68,49.03,73.6,,,,,,,,-24.8,10.0,21.0,4.0,0.0
HAPPYFORGE,CAPITAL_GOODS,2026-08-17,60.81,BULL_RUN,5,97.96,37.1,50.0,38.89,0.9,36.62,58.52,141.51,1.815,39.06,-28.11,2.0,208395.01,732362.33,2105067.02,-1844353.67,-6719730.36,-20521940.9,-22.9,44.55,37.62,-37.45,13.18,2,2.0,0.7848,0.0173,0.1648,78.48,1.73,16.48,,1.0,0.0,0.0,0.5,,790.0,7.0,5.0,0.619,0.0,0.0,0.0,49.88,1.0,,,,,,30.5,16.35,3.6,3.994708372046754,19.0,2.0,,,68.21,1.0,,66.22,1.0,13.5186,1.0,0.8471,21.87,31.89,1.0,50.0,1.74,39.39,53.6,-0.02,-0.11,-0.25,1.0,,50.0,1.0,-35.4,47.0,35.0,4.0,0.0
MATRIMONY,RETAIL,2026-08-17,60.81,BULL_RUN,5,83.89,39.26,50.0,72.22,0.9,24.2,26.9,7.34,0.196,25.23,-15.36,2.0,91411.65,367381.64,963951.85,-807499.57,-3404793.37,-9519794.68,-19.88,38.82,37.62,-37.45,13.18,2,0.0,53.26,22.18,8.64,56.96,20.32,7.22,,1.0,1.0,0.0,3.5,,760.0,4.0,5.0,0.684,0.0,0.0,0.0,39.69,1.0,,,,,,18.59,21.97,4.27,2.9826470340053355,10.19,2.0,,,17.35,1.0,,41.82,1.0,1.3236,1.0,0.4017,8.94,17.44,0.0,40.7,0.18,26.97,60.2,2.35,-1.77,-0.13,6.0,100.0,83.0,3.0,23.8,71.0,49.0,5.0,0.0
INDIGOPNTS,CHEMICALS,2026-08-17,60.74,BULL_RUN,5,78.83,32.75,96.12,50.0,0.9,9.03,17.83,5.18,1.571,8.07,-25.97,2.0,112932.94,421201.68,1174400.06,-998765.3,-3983895.01,-11516255.21,-12.45,62.61,37.62,-37.45,13.18,2,1.0,0.5388,0.0741,0.23,53.88,7.41,23.0,,1.0,0.0,0.0,,68.1602,530.0,4.0,5.0,0.692,0.0,0.0,0.0,45.61,1.0,,,,,,18.4,14.69,13.07,3.7476199491365363,9.05,2.0,,,13.15,1.0,,56.72,1.0,-1.4082,0.0,0.6739,12.09,38.45,1.0,24.4,1.46,11.8,45.6,0.0,-3.8,1.87,2.0,,44.0,1.0,-35.4,10.0,5.0,2.0,0.0
UNIVCABLES,CAPITAL_GOODS,2026-08-17,60.72,BULL_RUN,5,98.06,37.1,50.0,44.44,0.9,44.08,71.82,135.5,1.204,46.52,-28.11,2.0,208395.01,732362.33,2105067.02,-1844353.67,-6719730.36,-20521940.9,-22.9,44.55,37.62,-37.45,13.18,2,1.0,0.6189,0.0068,0.0454,61.89,0.6799999999999999,4.54,,2.0,0.0,0.0,1.0,,410.0,2.0,4.0,0.471,0.0,0.0,0.0,49.88,1.0,,,,,,7.58,5.79,19.61,4.171459912439625,2.74,1.0,,,82.09,1.0,,56.25,1.0,-8.2482,0.0,0.6455,15.37,33.22,1.0,61.6,1.12,46.85,44.2,0.0,-0.13,0.03,1.0,,50.0,1.0,-35.4,5.0,0.0,0.0,0.0
CYIENTDLM,CAPITAL_GOODS,2026-08-17,60.7,BULL_RUN,5,93.62,37.1,47.09,50.0,0.9,25.65,77.17,72.18,0.505,28.09,-28.11,2.0,208395.01,732362.33,2105067.02,-1844353.67,-6719730.36,-20521940.9,-22.9,44.55,37.62,-37.45,13.18,2,1.0,0.5212,0.0079,0.2667,52.12,0.79,26.67,,,,,,0.0,895.0,8.0,5.0,0.722,0.0,0.0,0.0,49.88,1.0,,,,,,10.62,10.76,60.86,4.24592050167689,3.17,1.0,,,73.23,1.0,,56.04,1.0,-2.3259,0.0,0.5313,11.7,41.72,1.0,49.1,0.49,28.42,46.0,0.0,0.32,-2.14,1.0,,50.0,1.0,-35.4,5.0,18.0,1.0,1.0
AZAD,CAPITAL_GOODS,2026-08-17,60.68,BULL_RUN,5,94.66,37.1,50.0,50.0,0.9,20.42,38.21,88.97,4.101,22.86,-28.11,2.0,208395.01,732362.33,2105067.02,-1844353.67,-6719730.36,-20521940.9,-22.9,44.55,37.62,-37.45,13.18,2,0.0,0.5584,0.1475,0.1171,55.84,14.75,11.71,,,,,,,545.0,5.0,4.0,0.8,2.0,0.0,0.0,49.88,1.0,,,,,,39.75,8.53,34.95,4.9122871710784795,19.22,1.0,,,55.87,1.0,,48.36,1.0,-16.7686,1.0,0.3046,12.79,16.48,0.0,61.2,3.86,23.19,37.0,0.0,-0.58,0.97,2.0,,44.0,1.0,-35.4,27.0,20.0,4.0,1.0
NETWEB,FMCG,2026-08-17,60.65,BULL_RUN,5,93.73,34.44,50.0,50.0,0.9,21.1,35.72,127.51,1.072,21.11,-43.77,2.0,218965.73,796203.33,1991833.99,-1943438.48,-7434924.67,-19780951.04,3.73,82.18,37.62,-37.45,13.18,2,0.0,0.6698,0.0929,0.0468,66.97999999999999,9.29,4.68,4.0,1.0,0.0,0.0,,,985.0,7.0,5.0,0.762,0.0,0.0,0.0,39.69,1.0,,,,,,13.62,23.0,100.0,5.434551353871315,9.58,1.0,,,39.14,1.0,,48.87,1.0,-48.9784,0.0,0.3379,24.09,26.77,1.0,56.2,1.0,23.87,22.8,-4.02,-0.26,1.38,3.0,,53.0,1.0,-15.7,15.0,30.0,4.0,1.0
BAJAJ-AUTO,AUTO,2026-08-17,60.54,BULL_RUN,5,80.77,37.52,47.09,72.22,0.9,12.89,12.39,34.19,0.454,10.63,-15.39,2.0,182304.18,653156.26,1678870.35,-1608676.81,-5982697.23,-16373082.74,-5.88,66.43,37.62,-37.45,13.18,2,3.0,0.5501,0.0882,0.1447,55.010000000000005,8.82,14.47,6.0,1.0,1.0,0.0,3.5,0.0,1015.0,9.0,6.0,0.441,0.0,0.0,0.0,50.03,1.0,,,,,,22.76,19.46,9.49,3.9094196195580313,10.46,2.0,,,18.86,1.0,1.0,38.19,1.0,-50.0,1.0,0.0719,7.99,19.6,0.0,46.6,0.45,15.66,56.1,0.02,-0.02,0.4,1.0,,60.0,2.0,-24.8,30.0,28.0,2.0,0.0
PTCIL,POWER,2026-08-17,60.49,BULL_RUN,5,90.83,36.59,50.0,50.0,0.9,17.27,22.61,47.41,9.694,22.5,-25.01,2.0,51345.1,186449.76,715087.98,-455211.09,-1796458.89,-6988149.78,-49.04,-16.37,37.62,-37.45,13.18,2,1.0,0.5972,0.0396,0.092,59.72,3.96,9.2,3.0,,,,,,734.0,4.0,6.0,0.636,3.0,0.0,0.0,45.05,1.0,,,0.0,0.0,48.06,28.01,2.78,-12.04,5.5,13.47,1.0,,,17.67,1.0,,44.87,1.0,-50.0,0.0,0.1068,13.67,17.55,0.0,40.0,9.51,20.04,42.9,0.0,0.1,0.76,3.0,,53.0,1.0,-14.2,48.0,49.0,5.0,0.0
DOLPHIN,ENERGY,2026-08-17,60.45,BULL_RUN,5,94.89,35.62,47.09,50.0,0.9,50.46,39.71,30.86,3.095,49.02,-32.84,2.0,61260.71,245728.83,893689.17,-542474.31,-2302391.11,-8600448.94,-46.17,-8.72,37.62,-37.45,13.18,2,1.0,0.7499,0.0458,0.0031,74.99,4.58,0.31,,,,,,0.0,425.0,1.0,4.0,0.8,0.0,0.0,0.0,45.05,1.0,,,,,,59.05,12.04,100.0,3.298795448044074,62.97,3.0,,,42.01,1.0,,28.0,2.0,-1.5869,1.0,0.0404,9.13,19.22,0.0,23.2,2.83,53.23,60.9,0.0,0.01,0.0,1.0,,50.0,1.0,-14.2,42.0,32.0,2.0,0.0
EMIL,RETAIL,2026-08-17,60.4,BULL_RUN,5,92.89,39.26,47.09,50.0,0.9,45.97,60.5,50.42,0.238,47.0,-15.36,2.0,91411.65,367381.64,963951.85,-807499.57,-3404793.37,-9519794.68,-19.88,38.82,37.62,-37.45,13.18,2,1.0,0.6517,0.0519,0.2008,65.16999999999999,5.19,20.08,,,,,,0.0,762.0,8.0,4.0,0.625,0.0,0.0,0.0,45.05,1.0,,,,,,5.38,9.97,20.95,3.755135249891002,1.72,1.0,,,70.66,1.0,,59.7,1.0,0.8787,2.0,0.8241,22.06,22.65,0.0,35.5,0.22,48.74,20.6,0.0,-0.95,1.15,2.0,,44.0,1.0,23.8,86.0,38.0,4.0,1.0
TDPOWERSYS,CAPITAL_GOODS,2026-08-17,60.26,BULL_RUN,5,93.59,37.1,50.0,44.44,0.9,37.41,18.11,210.44,1.434,39.85,-28.11,2.0,208395.01,732362.33,2105067.02,-1844353.67,-6719730.36,-20521940.9,-22.9,44.55,37.62,-37.45,13.18,2,2.0,0.2687,0.2668,0.2224,26.87,26.68,22.24,,2.0,0.0,0.0,1.0,,952.0,8.0,6.0,0.615,1.0,0.0,0.0,49.88,1.0,,,,,,18.53,22.12,16.49,4.686658002834359,12.83,1.0,,,60.79,1.0,,49.7,1.0,-3.3052,0.0,0.4719,18.67,21.36,0.0,68.5,1.34,40.18,35.6,0.0,2.32,-0.95,2.0,,44.0,1.0,-35.4,56.0,38.0,4.0,0.0
SHANTIGOLD,CAPITAL_GOODS,2026-08-17,60.08,BULL_RUN,5,90.34,37.1,47.09,50.0,0.9,25.18,27.55,16.7,3.252,27.62,-28.11,2.0,208395.01,732362.33,2105067.02,-1844353.67,-6719730.36,-20521940.9,-22.9,44.55,37.62,-37.45,13.18,2,1.0,0.7489,0.0218,0.0213,74.89,2.18,2.13,,,,,,0.0,935.0,7.0,6.0,0.75,0.0,0.0,0.0,49.88,1.0,,,,,49.46,,,,,,,,,28.62,1.0,,53.31,1.0,-0.6572,1.0,0.5518,6.29,28.56,1.0,47.1,3.08,27.95,40.9,0.0,-0.03,-0.16,1.0,,50.0,1.0,-35.4,8.0,18.0,1.0,0.0
UTLSOLAR,CAPITAL_GOODS,2026-08-17,60.08,BULL_RUN,5,87.98,37.1,50.0,50.0,0.9,27.27,69.18,,3.825,29.71,-28.11,2.0,208395.01,732362.33,2105067.02,-1844353.67,-6719730.36,-20521940.9,-22.9,44.55,37.62,-37.45,13.18,2,2.0,0.8677,0.0193,0.056,86.77,1.93,5.6000000000000005,,,,,,,655.0,5.0,5.0,0.769,0.0,0.0,0.0,49.88,1.0,,,,,,,,,,,,,,,1.0,,58.71,1.0,-2.414,1.0,0.6467,21.42,20.05,0.0,60.6,3.77,30.04,43.4,0.0,-0.94,1.3,2.0,,44.0,1.0,-35.4,60.0,56.0,4.0,0.0
DIVGIITTS,DEFENCE,2026-08-17,59.95,EMERGING,4,97.59,37.11,50.0,38.89,0.9,36.35,93.44,92.05,1.528,33.32,-23.22,2.0,69991.17,221544.55,804146.31,-621971.75,-2066883.15,-7772782.5,-43.68,-4.77,37.62,-37.45,13.18,2,0.0,0.6056,0.0197,0.2597,60.56,1.97,25.97,,1.0,0.0,0.0,0.5,,570.0,5.0,5.0,0.562,0.0,0.0,0.0,64.29,1.0,,,0.0,0.0,47.51,25.82,4.49,-17.34,4.759435144999521,12.29,1.0,,,74.13,1.0,,77.04,0.0,7.9862,2.0,1.2823,23.58,28.48,1.0,61.9,1.41,39.12,36.7,0.0,0.25,0.04,1.0,,50.0,1.0,,55.0,23.0,3.0,1.0
KINGFA,CAPITAL_GOODS,2026-08-17,59.93,EMERGING,4,89.58,37.1,50.0,50.0,0.9,19.21,17.59,43.74,7.202,21.65,-28.11,2.0,208395.01,732362.33,2105067.02,-1844353.67,-6719730.36,-20521940.9,-22.9,44.55,37.62,-37.45,13.18,2,1.0,0.6702,0.0776,0.0885,67.02,7.76,8.85,,,,,,,410.0,2.0,5.0,0.727,0.0,0.0,0.0,49.88,1.0,,,,,,12.74,14.3,25.59,3.7954891891721947,8.37,2.0,,,,1.0,,51.85,1.0,-16.5898,1.0,0.5204,8.71,18.82,0.0,66.8,6.68,21.98,51.6,0.0,0.03,0.1,1.0,,50.0,1.0,-35.4,-9.0,-2.0,3.0,0.0
