"ISIN","SYMBOL","COMPANY_NAME_NSE","COMPANY_NAME_SCREENER","MATCH_SCORE","MATCH_STATUS","LAST_UPDATED"
"","PRUDENT","Prudent Corporate Advisory Services Limited","Garware Offshore Services","57.14","UNMATCHED","2026-06-07"
"","GSFC","Gujarat State Fertilizers & Chemicals Limited","Tata Chemicals","57.14","UNMATCHED","2026-06-07"
"","JUBLCPL","Jubilant Agri and Consumer Products Limited","Ganon Products","57.14","UNMATCHED","2026-06-07"
"","DPSCLTD","DPSC Limited","DCW","57.14","UNMATCHED","2026-06-07"
"","TNTELE","Tamilnadu Telecommunication Limited","Bhatia Communic.","57.14","UNMATCHED","2026-06-07"
"","KRISHNADEF","Krishna Defence And Allied Industries Limited","Krishna Defence","57.69","UNMATCHED","2026-06-07"
"","DEEPAKFERT","Deepak Fertilizers and Petrochemicals Corporation Limited","Deepak Fertilis.","57.69","UNMATCHED","2026-06-07"
"","NAHARCAP","Nahar Capital and Financial Services Limited","A.K.Capital Serv","57.69","UNMATCHED","2026-06-07"
"","KIMS","Krishna Institute of Medical Sciences Limited","Krishna Institu.","57.69","UNMATCHED","2026-06-07"
"","CROMPTON","Crompton Greaves Consumer Electricals Limited","Crompton Gr. Con","57.69","UNMATCHED","2026-06-07"
"","MEP","MEP Infrastructure Developers Limited","Tulive Developer","57.78","UNMATCHED","2026-06-07"
"","BECTORFOOD","Mrs. Bectors Food Specialities Limited","Essen Speciality","57.78","UNMATCHED","2026-06-07"
"","CAMS","Computer Age Management Services Limited","Safecure Service","58.33","UNMATCHED","2026-06-07"
"","MTNL","Mahanagar Telephone Nigam Limited","Mahasagar Travel","58.54","UNMATCHED","2026-06-07"
"","SKMEGGPROD","SKM Egg Products Export (India) Limited","SKM Egg Prod.","58.54","UNMATCHED","2026-06-07"
"","KAUSHALYA","Kaushalya Infrastructure Development Corporation Limited","Kaushalya Infra.","58.82","UNMATCHED","2026-06-07"
"","TARIL","Transformers And Rectifiers (India) Limited","Accord Transformer","58.82","UNMATCHED","2026-06-07"
"","KRN","KRN Heat Exchanger and Refrigeration Limited","KRN Heat Exchan","58.82","UNMATCHED","2026-06-07"
"","BALAJEE","Shree Tirupati Balajee Agro Trading Company Limited","Shree TirupatiBa","58.82","UNMATCHED","2026-06-07"
"","CHOLAFIN","Cholamandalam Investment and Finance Company Limited","Cholaman.Inv.&Fn","58.82","UNMATCHED","2026-06-07"
"","MOTHERSON","Samvardhana Motherson International Limited","KSH Internationa","58.82","UNMATCHED","2026-06-07"
"","CONSOFINVT","Consolidated Finvest & Holdings Limited","Arnold Holdings","59.09","UNMATCHED","2026-06-07"
"","CMPDI","Central Mine Planning & Design Institute Limited","Central Mine Pla","59.26","UNMATCHED","2026-06-07"
"","NPST","Network People Services Technologies Limited","Emiac Technologies","59.26","UNMATCHED","2026-06-07"
"","AKUMS","Akums Drugs and Pharmaceuticals Limited","Goldline Pharmaceutical","59.26","UNMATCHED","2026-06-07"
"","BAGFILMS","B.A.G Films and Media Limited","Amagi Media Labs","59.46","UNMATCHED","2026-06-07"
"","TAINWALCHM","Tainwala Chemical and Plastic (I) Limited","Khaitan Chemical","59.57","UNMATCHED","2026-06-07"
"","SRHHYPOLTD","Sree Rayalaseema Hi-Strength Hypo Limited","Sr.Rayala.Hypo","59.57","UNMATCHED","2026-06-07"
"","TINNARUBR","Tinna Rubber and Infrastructure Limited","Nila Infrastruct","59.57","UNMATCHED","2026-06-07"
"","MCX","Multi Commodity Exchange of India Limited","Multi Comm. Exc.","59.57","UNMATCHED","2026-06-07"
"","UMESLTD","Usha Martin Education & Solutions Limited","RNIT AI Solution","59.57","UNMATCHED","2026-06-07"
"","LOTUSDEV","Sri Lotus Developers and Realty Limited","Lodha Developers","59.57","UNMATCHED","2026-06-07"
"","SHREEPUSHK","Shree Pushkar Chemicals & Fertilisers Limited","Sh.Pushkar Chem.","60.0","UNMATCHED","2026-06-07"
"","HUDCO","Housing & Urban Development Corporation Limited","Gyan Developers","60.0","UNMATCHED","2026-06-07"
"","GRSE","Garden Reach Shipbuilders & Engineers Limited","Garden Reach Sh.","60.0","UNMATCHED","2026-06-07"
"","ITDC","India Tourism Development Corporation Limited","Pansari Develop.","60.0","UNMATCHED","2026-06-07"
"","HONDAPOWER","Honda India Power Products Limited","Banco Products","60.0","UNMATCHED","2026-06-07"
"","IL&FSENGG","IL&FS Engineering and Construction Company Limited","Conart Engineers","60.0","UNMATCHED","2026-06-07"
"","GESHIP","The Great Eastern Shipping Company Limited","Eastern Treads","60.0","UNMATCHED","2026-06-07"
"","SEIL","Shanti Educational Initiatives Limited","Shanti Educat.","60.47","UNMATCHED","2026-06-07"
"","CRAMC","Canara Robeco Asset Management Company Limited","Canara Robeco","60.47","UNMATCHED","2026-06-07"
"","CHAMBLFERT","Chambal Fertilizers & Chemicals Limited","Lime Chemicals","60.47","UNMATCHED","2026-06-07"
"","SBICARD","SBI Cards and Payment Services Limited","Cams Services","60.47","UNMATCHED","2026-06-07"
"","SPARC","Sun Pharma Advanced Research Company Limited","Advance Petroch.","60.47","UNMATCHED","2026-06-07"
"","HDFCAMC","HDFC Asset Management Company Limited","Vedant Asset","60.61","UNMATCHED","2026-06-07"
"","SELMC","SEL Manufacturing Company Limited","Indef Manufactur","60.61","UNMATCHED","2026-06-07"
"","RADIANTCMS","Radiant Cash Management Services Limited","NIS Management","60.87","UNMATCHED","2026-06-07"
"","21STCENMGM","21st Century Management Services Limited","21st Cent. Mgmt.","60.87","UNMATCHED","2026-06-07"
"","TMPV","Tata Motors Passenger Vehicles Limited","Tata Motors PVeh","60.87","UNMATCHED","2026-06-07"
"","TREEHOUSE","Tree House Education & Accessories Limited","Tree House Edu.","60.87","UNMATCHED","2026-06-07"
"","CDSL","Central Depository Services (India) Limited","Kapston Services","61.22","UNMATCHED","2026-06-07"
"","NAM-INDIA","Nippon Life India Asset Management Limited","Nippon Life Ind.","61.22","UNMATCHED","2026-06-07"
"","SPIC","Southern Petrochemicals Industries Corporation  Limited","Trom Industries","61.22","UNMATCHED","2026-06-07"
"","OFSS","Oracle Financial Services Software Limited","Oracle Fin.Serv.","61.22","UNMATCHED","2026-06-07"
"","SWANDEF","Swan Defence and Heavy Industries Limited","Ceeta Industries","61.22","UNMATCHED","2026-06-07"
"","SAIL","Steel Authority of India Limited","Agri-Tech India","61.54","UNMATCHED","2026-06-07"
"","TNPETRO","Tamilnadu PetroProducts Limited","Tarsons Products","61.54","UNMATCHED","2026-06-07"
"","AVONMORE","Avonmore Capital & Management Services Limited","Avonmore Capital","61.54","UNMATCHED","2026-06-07"
"","AIIL","Authum Investment & Infrastructure Limited","Hercules Investments","61.54","UNMATCHED","2026-06-07"
"","INVPRECQ","Investment & Precision Castings Limited","Inv.& Prec.Cast.","61.9","UNMATCHED","2026-06-07"
"","GENUSPOWER","Genus Power Infrastructures Limited","GVK Power Infra.","61.9","UNMATCHED","2026-06-07"
"","SOLARA","Solara Active Pharma Sciences Limited","Solara Active","61.9","UNMATCHED","2026-06-07"
"","TTML","Tata Teleservices (Maharashtra) Limited","Tata Tele. Mah.","61.9","UNMATCHED","2026-06-07"
"","KOVAI","Kovai Medical Center & Hospital Limited","Kovai Medical","61.9","UNMATCHED","2026-06-07"
"","LPDC","Landmark Property Development Company Limited","Landmark Prop.","61.9","UNMATCHED","2026-06-07"
"","JHS","JHS Svendgaard Laboratories Limited","Nidan Laborator.","61.9","UNMATCHED","2026-06-07"
"","PIGL","Power & Instrumentation (Gujarat) Limited","Power & Instrum.","61.9","UNMATCHED","2026-06-07"
