sector_raw,auc_equity_crore,net_inv_equity_crore,date,sector_normalized,source,fortnight_label
Forest                             Materials,612.0,26.0,2012-04-30,COMMODITIES,CDSL,"April 30, 2012"
Diversified,3241.0,-2.0,2012-04-30,DIVERSIFIED,CDSL,"April 30, 2012"
Others,15305.0,177.0,2012-04-30,DIVERSIFIED,CDSL,"April 30, 2012"
Coal,11197.0,163.0,2012-04-30,ENERGY,CDSL,"April 30, 2012"
Oil & Gas,55400.0,-1175.0,2012-04-30,ENERGY,CDSL,"April 30, 2012"
Total  Financial Services,255791.0,-284.0,2012-04-30,FINANCIAL_SERVICES,CDSL,"April 30, 2012"
"Food, Beverages                             & Tobacco",57313.0,744.0,2012-04-30,FMCG,CDSL,"April 30, 2012"
Household &                             Personal Products,30426.0,-110.0,2012-04-30,FMCG,CDSL,"April 30, 2012"
Healthcare                             Equipment & Supplies,1969.0,-40.0,2012-04-30,HEALTHCARE,CDSL,"April 30, 2012"
Healthcare                             Services,4127.0,-12.0,2012-04-30,HEALTHCARE,CDSL,"April 30, 2012"
Utilities,32152.0,-132.0,2012-04-30,INFRASTRUCTURE,CDSL,"April 30, 2012"
Hardware                             Technology & Equipment,293.0,-3.0,2012-04-30,IT,CDSL,"April 30, 2012"
Software &                             Services,101177.0,-2860.0,2012-04-30,IT,CDSL,"April 30, 2012"
Transportation,9580.0,-170.0,2012-04-30,LOGISTICS,CDSL,"April 30, 2012"
Media,7940.0,-231.0,2012-04-30,MEDIA,CDSL,"April 30, 2012"
Metals &                             Mining,38284.0,-458.0,2012-04-30,METAL,CDSL,"April 30, 2012"
Pharmaceuticals                             & Biotechnology,50003.0,928.0,2012-04-30,PHARMA,CDSL,"April 30, 2012"
Realty,15508.0,-136.0,2012-04-30,REALTY,CDSL,"April 30, 2012"
Commercial                             Services & Supplies,6981.0,-47.0,2012-04-30,SERVICES,CDSL,"April 30, 2012"
Diversified                             Consumer Services,843.0,52.0,2012-04-30,SERVICES,CDSL,"April 30, 2012"
"Hotels,                             Restaurants & Tourism",4833.0,42.0,2012-04-30,SERVICES,CDSL,"April 30, 2012"
Retailing,3250.0,127.0,2012-04-30,SERVICES,CDSL,"April 30, 2012"
Telecom                             Services,23184.0,-248.0,2012-04-30,TELECOM,CDSL,"April 30, 2012"
Telecommunications                             Equipment,168.0,14.0,2012-04-30,TELECOM,CDSL,"April 30, 2012"
"Textiles,                             Apparels & Accessories",15382.0,223.0,2012-04-30,TEXTILES,CDSL,"April 30, 2012"
Automobiles & Auto   Components,46368.0,47.0,2012-05-15,AUTO,NSDL,"May 15, 2012"
Capital Goods,62220.0,125.0,2012-05-15,CAPITAL_GOODS,NSDL,"May 15, 2012"
Consumer   Durables,8443.0,164.0,2012-05-15,CAPITAL_GOODS,NSDL,"May 15, 2012"
General   Industrials,5848.0,-139.0,2012-05-15,CAPITAL_GOODS,NSDL,"May 15, 2012"
Construction   Materials,18871.0,160.0,2012-05-15,CEMENT,NSDL,"May 15, 2012"
Chemicals &   Petrochemicals,7593.0,43.0,2012-05-15,CHEMICALS,NSDL,"May 15, 2012"
Forest   Materials,423.0,20.0,2012-05-15,COMMODITIES,NSDL,"May 15, 2012"
Diversified,2280.0,4.0,2012-05-15,DIVERSIFIED,NSDL,"May 15, 2012"
Others,11396.0,234.0,2012-05-15,DIVERSIFIED,NSDL,"May 15, 2012"
Coal,11419.0,91.0,2012-05-15,ENERGY,NSDL,"May 15, 2012"
Oil & Gas,59291.0,-836.0,2012-05-15,ENERGY,NSDL,"May 15, 2012"
Total  Financial Services,247078.0,-874.0,2012-05-15,FINANCIAL_SERVICES,NSDL,"May 15, 2012"
"Food, Beverages   & Tobacco",51838.0,740.0,2012-05-15,FMCG,NSDL,"May 15, 2012"
Household &   Personal Products,33883.0,37.0,2012-05-15,FMCG,NSDL,"May 15, 2012"
Healthcare   Equipment & Supplies,1573.0,-40.0,2012-05-15,HEALTHCARE,NSDL,"May 15, 2012"
Healthcare   Services,3468.0,9.0,2012-05-15,HEALTHCARE,NSDL,"May 15, 2012"
Utilities,31882.0,25.0,2012-05-15,INFRASTRUCTURE,NSDL,"May 15, 2012"
Hardware   Technology & Equipment,299.0,-4.0,2012-05-15,IT,NSDL,"May 15, 2012"
Software &   Services,113891.0,-368.0,2012-05-15,IT,NSDL,"May 15, 2012"
Transportation,8825.0,-236.0,2012-05-15,LOGISTICS,NSDL,"May 15, 2012"
Media,8720.0,-69.0,2012-05-15,MEDIA,NSDL,"May 15, 2012"
Metals &   Mining,37876.0,-353.0,2012-05-15,METAL,NSDL,"May 15, 2012"
Pharmaceuticals   & Biotechnology,48906.0,917.0,2012-05-15,PHARMA,NSDL,"May 15, 2012"
Realty,13649.0,-150.0,2012-05-15,REALTY,NSDL,"May 15, 2012"
Commercial   Services & Supplies,6123.0,11.0,2012-05-15,SERVICES,NSDL,"May 15, 2012"
Diversified   Consumer Services,534.0,38.0,2012-05-15,SERVICES,NSDL,"May 15, 2012"
"Hotels,   Restaurants & Tourism",4224.0,14.0,2012-05-15,SERVICES,NSDL,"May 15, 2012"
Retailing,2447.0,53.0,2012-05-15,SERVICES,NSDL,"May 15, 2012"
Telecom   Services,25392.0,-113.0,2012-05-15,TELECOM,NSDL,"May 15, 2012"
Telecommunications   Equipment,134.0,11.0,2012-05-15,TELECOM,NSDL,"May 15, 2012"
"Textiles,   Apparels & Accessories",13485.0,325.0,2012-05-15,TEXTILES,NSDL,"May 15, 2012"
Automobiles   & Auto Components,44420.0,-752.0,2012-05-31,AUTO,NSDL,"May 31, 2012"
Capital   Goods,56011.0,-1954.0,2012-05-31,CAPITAL_GOODS,NSDL,"May 31, 2012"
Consumer   Durables,8998.0,339.0,2012-05-31,CAPITAL_GOODS,NSDL,"May 31, 2012"
General   Industrials,5626.0,-57.0,2012-05-31,CAPITAL_GOODS,NSDL,"May 31, 2012"
Construction   Materials,18997.0,268.0,2012-05-31,CEMENT,NSDL,"May 31, 2012"
Chemicals   & Petrochemicals,7402.0,-28.0,2012-05-31,CHEMICALS,NSDL,"May 31, 2012"
Forest   Materials,431.0,8.0,2012-05-31,COMMODITIES,NSDL,"May 31, 2012"
Diversified,2121.0,-42.0,2012-05-31,DIVERSIFIED,NSDL,"May 31, 2012"
Others,11078.0,405.0,2012-05-31,DIVERSIFIED,NSDL,"May 31, 2012"
Coal,11706.0,-25.0,2012-05-31,ENERGY,NSDL,"May 31, 2012"
Oil   & Gas,60427.0,-1053.0,2012-05-31,ENERGY,NSDL,"May 31, 2012"
Total    Financial Services,249369.0,-1149.0,2012-05-31,FINANCIAL_SERVICES,NSDL,"May 31, 2012"
"Food,   Beverages & Tobacco",50863.0,131.0,2012-05-31,FMCG,NSDL,"May 31, 2012"
Household   & Personal Products,34639.0,914.0,2012-05-31,FMCG,NSDL,"May 31, 2012"
Healthcare   Equipment & Supplies,1451.0,-23.0,2012-05-31,HEALTHCARE,NSDL,"May 31, 2012"
Healthcare   Services,3684.0,30.0,2012-05-31,HEALTHCARE,NSDL,"May 31, 2012"
Utilities,32042.0,-4.0,2012-05-31,INFRASTRUCTURE,NSDL,"May 31, 2012"
Hardware   Technology & Equipment,301.0,-7.0,2012-05-31,IT,NSDL,"May 31, 2012"
Software   & Services,115437.0,1176.0,2012-05-31,IT,NSDL,"May 31, 2012"
Transportation,9111.0,-3.0,2012-05-31,LOGISTICS,NSDL,"May 31, 2012"
Media,8768.0,-11.0,2012-05-31,MEDIA,NSDL,"May 31, 2012"
Metals   & Mining,36614.0,-380.0,2012-05-31,METAL,NSDL,"May 31, 2012"
Pharmaceuticals   & Biotechnology,48127.0,-27.0,2012-05-31,PHARMA,NSDL,"May 31, 2012"
Realty,13714.0,-65.0,2012-05-31,REALTY,NSDL,"May 31, 2012"
Commercial   Services & Supplies,6474.0,67.0,2012-05-31,SERVICES,NSDL,"May 31, 2012"
Diversified   Consumer Services,474.0,-12.0,2012-05-31,SERVICES,NSDL,"May 31, 2012"
"Hotels,   Restaurants & Tourism",4543.0,38.0,2012-05-31,SERVICES,NSDL,"May 31, 2012"
Retailing,2455.0,12.0,2012-05-31,SERVICES,NSDL,"May 31, 2012"
Telecom   Services,25041.0,287.0,2012-05-31,TELECOM,NSDL,"May 31, 2012"
Telecommunications   Equipment,110.0,0.0,2012-05-31,TELECOM,NSDL,"May 31, 2012"
"Textiles,   Apparels & Accessories",13249.0,230.0,2012-05-31,TEXTILES,NSDL,"May 31, 2012"
Automobiles   & Auto Components,46102.0,-658.0,2012-06-15,AUTO,NSDL,"June 15, 2012"
Capital   Goods,57862.0,-1474.0,2012-06-15,CAPITAL_GOODS,NSDL,"June 15, 2012"
Consumer   Durables,8857.0,209.0,2012-06-15,CAPITAL_GOODS,NSDL,"June 15, 2012"
General   Industrials,5779.0,-15.0,2012-06-15,CAPITAL_GOODS,NSDL,"June 15, 2012"
Construction   Materials,20326.0,218.0,2012-06-15,CEMENT,NSDL,"June 15, 2012"
Chemicals   & Petrochemicals,7337.0,-39.0,2012-06-15,CHEMICALS,NSDL,"June 15, 2012"
Forest   Materials,416.0,1.0,2012-06-15,COMMODITIES,NSDL,"June 15, 2012"
Diversified,2136.0,-50.0,2012-06-15,DIVERSIFIED,NSDL,"June 15, 2012"
Others,11314.0,-67.0,2012-06-15,DIVERSIFIED,NSDL,"June 15, 2012"
Coal,12366.0,0.0,2012-06-15,ENERGY,NSDL,"June 15, 2012"
Oil   & Gas,62152.0,-395.0,2012-06-15,ENERGY,NSDL,"June 15, 2012"
Total    Financial Services,259548.0,682.0,2012-06-15,FINANCIAL_SERVICES,NSDL,"June 15, 2012"
"Food,   Beverages & Tobacco",54052.0,-116.0,2012-06-15,FMCG,NSDL,"June 15, 2012"
Household   & Personal Products,35655.0,687.0,2012-06-15,FMCG,NSDL,"June 15, 2012"
Healthcare   Equipment & Supplies,1304.0,-20.0,2012-06-15,HEALTHCARE,NSDL,"June 15, 2012"
Healthcare   Services,3510.0,1.0,2012-06-15,HEALTHCARE,NSDL,"June 15, 2012"
Utilities,33083.0,-25.0,2012-06-15,INFRASTRUCTURE,NSDL,"June 15, 2012"
Hardware   Technology & Equipment,277.0,-5.0,2012-06-15,IT,NSDL,"June 15, 2012"
Software   & Services,117209.0,-319.0,2012-06-15,IT,NSDL,"June 15, 2012"
Transportation,9104.0,175.0,2012-06-15,LOGISTICS,NSDL,"June 15, 2012"
Media,8926.0,-112.0,2012-06-15,MEDIA,NSDL,"June 15, 2012"
Metals   & Mining,37089.0,-191.0,2012-06-15,METAL,NSDL,"June 15, 2012"
Pharmaceuticals   & Biotechnology,48157.0,-108.0,2012-06-15,PHARMA,NSDL,"June 15, 2012"
Realty,14238.0,40.0,2012-06-15,REALTY,NSDL,"June 15, 2012"
Commercial   Services & Supplies,5721.0,-15.0,2012-06-15,SERVICES,NSDL,"June 15, 2012"
Diversified   Consumer Services,438.0,-28.0,2012-06-15,SERVICES,NSDL,"June 15, 2012"
"Hotels,   Restaurants & Tourism",4326.0,25.0,2012-06-15,SERVICES,NSDL,"June 15, 2012"
Retailing,2554.0,8.0,2012-06-15,SERVICES,NSDL,"June 15, 2012"
Telecom   Services,25632.0,-33.0,2012-06-15,TELECOM,NSDL,"June 15, 2012"
Telecommunications   Equipment,118.0,-2.0,2012-06-15,TELECOM,NSDL,"June 15, 2012"
"Textiles,   Apparels & Accessories",13448.0,97.0,2012-06-15,TEXTILES,NSDL,"June 15, 2012"
Automobiles   & Auto Components,47622.0,-567.0,2012-06-30,AUTO,NSDL,"June 30, 2012"
Capital   Goods,59501.0,-755.0,2012-06-30,CAPITAL_GOODS,NSDL,"June 30, 2012"
Consumer   Durables,8855.0,58.0,2012-06-30,CAPITAL_GOODS,NSDL,"June 30, 2012"
General   Industrials,5969.0,-2.0,2012-06-30,CAPITAL_GOODS,NSDL,"June 30, 2012"
Construction   Materials,21549.0,404.0,2012-06-30,CEMENT,NSDL,"June 30, 2012"
Chemicals   & Petrochemicals,7680.0,64.0,2012-06-30,CHEMICALS,NSDL,"June 30, 2012"
Forest   Materials,399.0,-2.0,2012-06-30,COMMODITIES,NSDL,"June 30, 2012"
Diversified,2259.0,-36.0,2012-06-30,DIVERSIFIED,NSDL,"June 30, 2012"
Others,11370.0,-226.0,2012-06-30,DIVERSIFIED,NSDL,"June 30, 2012"
Coal,12710.0,83.0,2012-06-30,ENERGY,NSDL,"June 30, 2012"
Oil   & Gas,63562.0,-3.0,2012-06-30,ENERGY,NSDL,"June 30, 2012"
Total    Financial Services,266795.0,-215.0,2012-06-30,FINANCIAL_SERVICES,NSDL,"June 30, 2012"
"Food,   Beverages & Tobacco",56280.0,89.0,2012-06-30,FMCG,NSDL,"June 30, 2012"
Household   & Personal Products,37152.0,690.0,2012-06-30,FMCG,NSDL,"June 30, 2012"
Healthcare   Equipment & Supplies,1363.0,-27.0,2012-06-30,HEALTHCARE,NSDL,"June 30, 2012"
Healthcare   Services,3420.0,-11.0,2012-06-30,HEALTHCARE,NSDL,"June 30, 2012"
Utilities,35636.0,222.0,2012-06-30,INFRASTRUCTURE,NSDL,"June 30, 2012"
Hardware   Technology & Equipment,280.0,-4.0,2012-06-30,IT,NSDL,"June 30, 2012"
Software   & Services,118264.0,-330.0,2012-06-30,IT,NSDL,"June 30, 2012"
Transportation,9478.0,96.0,2012-06-30,LOGISTICS,NSDL,"June 30, 2012"
Media,9658.0,-100.0,2012-06-30,MEDIA,NSDL,"June 30, 2012"
Metals   & Mining,38719.0,82.0,2012-06-30,METAL,NSDL,"June 30, 2012"
Pharmaceuticals   & Biotechnology,50622.0,406.0,2012-06-30,PHARMA,NSDL,"June 30, 2012"
Realty,14675.0,62.0,2012-06-30,REALTY,NSDL,"June 30, 2012"
Commercial   Services & Supplies,5682.0,-93.0,2012-06-30,SERVICES,NSDL,"June 30, 2012"
Diversified   Consumer Services,540.0,-19.0,2012-06-30,SERVICES,NSDL,"June 30, 2012"
"Hotels,   Restaurants & Tourism",4260.0,-8.0,2012-06-30,SERVICES,NSDL,"June 30, 2012"
Retailing,2430.0,-76.0,2012-06-30,SERVICES,NSDL,"June 30, 2012"
Telecom   Services,24987.0,-308.0,2012-06-30,TELECOM,NSDL,"June 30, 2012"
Telecommunications   Equipment,115.0,-4.0,2012-06-30,TELECOM,NSDL,"June 30, 2012"
"Textiles,   Apparels & Accessories",13951.0,28.0,2012-06-30,TEXTILES,NSDL,"June 30, 2012"
Automobiles   & Auto Components,47654.0,159.0,2012-07-15,AUTO,NSDL,"July 15, 2012"
Capital   Goods,59771.0,201.0,2012-07-15,CAPITAL_GOODS,NSDL,"July 15, 2012"
Consumer   Durables,8642.0,30.0,2012-07-15,CAPITAL_GOODS,NSDL,"July 15, 2012"
General   Industrials,6093.0,36.0,2012-07-15,CAPITAL_GOODS,NSDL,"July 15, 2012"
Construction   Materials,21728.0,434.0,2012-07-15,CEMENT,NSDL,"July 15, 2012"
Chemicals   & Petrochemicals,7730.0,190.0,2012-07-15,CHEMICALS,NSDL,"July 15, 2012"
Forest   Materials,393.0,-7.0,2012-07-15,COMMODITIES,NSDL,"July 15, 2012"
Diversified,2182.0,-16.0,2012-07-15,DIVERSIFIED,NSDL,"July 15, 2012"
Others,11662.0,43.0,2012-07-15,DIVERSIFIED,NSDL,"July 15, 2012"
Coal,13047.0,148.0,2012-07-15,ENERGY,NSDL,"July 15, 2012"
Oil   & Gas,62917.0,1383.0,2012-07-15,ENERGY,NSDL,"July 15, 2012"
Total    Financial Services,274094.0,545.0,2012-07-15,FINANCIAL_SERVICES,NSDL,"July 15, 2012"
"Food,   Beverages & Tobacco",56615.0,577.0,2012-07-15,FMCG,NSDL,"July 15, 2012"
Household   & Personal Products,36308.0,742.0,2012-07-15,FMCG,NSDL,"July 15, 2012"
Healthcare   Equipment & Supplies,1400.0,-13.0,2012-07-15,HEALTHCARE,NSDL,"July 15, 2012"
Healthcare   Services,3508.0,-2.0,2012-07-15,HEALTHCARE,NSDL,"July 15, 2012"
Utilities,35705.0,494.0,2012-07-15,INFRASTRUCTURE,NSDL,"July 15, 2012"
Hardware   Technology & Equipment,284.0,-3.0,2012-07-15,IT,NSDL,"July 15, 2012"
Software   & Services,110548.0,611.0,2012-07-15,IT,NSDL,"July 15, 2012"
Transportation,9542.0,130.0,2012-07-15,LOGISTICS,NSDL,"July 15, 2012"
Media,9699.0,-9.0,2012-07-15,MEDIA,NSDL,"July 15, 2012"
Metals   & Mining,38354.0,629.0,2012-07-15,METAL,NSDL,"July 15, 2012"
Pharmaceuticals   & Biotechnology,51211.0,727.0,2012-07-15,PHARMA,NSDL,"July 15, 2012"
Realty,15233.0,121.0,2012-07-15,REALTY,NSDL,"July 15, 2012"
Commercial   Services & Supplies,5615.0,-112.0,2012-07-15,SERVICES,NSDL,"July 15, 2012"
Diversified   Consumer Services,547.0,6.0,2012-07-15,SERVICES,NSDL,"July 15, 2012"
"Hotels,   Restaurants & Tourism",4526.0,30.0,2012-07-15,SERVICES,NSDL,"July 15, 2012"
Retailing,2559.0,-59.0,2012-07-15,SERVICES,NSDL,"July 15, 2012"
Telecom   Services,25679.0,-49.0,2012-07-15,TELECOM,NSDL,"July 15, 2012"
Telecommunications   Equipment,122.0,-3.0,2012-07-15,TELECOM,NSDL,"July 15, 2012"
"Textiles,   Apparels & Accessories",13970.0,78.0,2012-07-15,TEXTILES,NSDL,"July 15, 2012"
Automobiles   & Auto Components,46605.0,313.0,2012-07-31,AUTO,NSDL,"July 31, 2012"
Capital   Goods,56564.0,248.0,2012-07-31,CAPITAL_GOODS,NSDL,"July 31, 2012"
Consumer   Durables,8629.0,144.0,2012-07-31,CAPITAL_GOODS,NSDL,"July 31, 2012"
General   Industrials,5806.0,45.0,2012-07-31,CAPITAL_GOODS,NSDL,"July 31, 2012"
Construction   Materials,23229.0,552.0,2012-07-31,CEMENT,NSDL,"July 31, 2012"
Chemicals   & Petrochemicals,7863.0,394.0,2012-07-31,CHEMICALS,NSDL,"July 31, 2012"
Forest   Materials,374.0,-10.0,2012-07-31,COMMODITIES,NSDL,"July 31, 2012"
Diversified,2089.0,-97.0,2012-07-31,DIVERSIFIED,NSDL,"July 31, 2012"
Others,11996.0,182.0,2012-07-31,DIVERSIFIED,NSDL,"July 31, 2012"
Coal,13209.0,74.0,2012-07-31,ENERGY,NSDL,"July 31, 2012"
Oil   & Gas,66191.0,1913.0,2012-07-31,ENERGY,NSDL,"July 31, 2012"
Total    Financial Services,271422.0,2394.0,2012-07-31,FINANCIAL_SERVICES,NSDL,"July 31, 2012"
"Food,   Beverages & Tobacco",57515.0,585.0,2012-07-31,FMCG,NSDL,"July 31, 2012"
Household   & Personal Products,38864.0,596.0,2012-07-31,FMCG,NSDL,"July 31, 2012"
Healthcare   Equipment & Supplies,1361.0,-2.0,2012-07-31,HEALTHCARE,NSDL,"July 31, 2012"
Healthcare   Services,3477.0,5.0,2012-07-31,HEALTHCARE,NSDL,"July 31, 2012"
Utilities,34755.0,157.0,2012-07-31,INFRASTRUCTURE,NSDL,"July 31, 2012"
Hardware   Technology & Equipment,252.0,-2.0,2012-07-31,IT,NSDL,"July 31, 2012"
Software   & Services,110688.0,908.0,2012-07-31,IT,NSDL,"July 31, 2012"
Transportation,9657.0,135.0,2012-07-31,LOGISTICS,NSDL,"July 31, 2012"
Media,10439.0,168.0,2012-07-31,MEDIA,NSDL,"July 31, 2012"
Metals   & Mining,37111.0,564.0,2012-07-31,METAL,NSDL,"July 31, 2012"
Pharmaceuticals   & Biotechnology,52974.0,531.0,2012-07-31,PHARMA,NSDL,"July 31, 2012"
Realty,14619.0,87.0,2012-07-31,REALTY,NSDL,"July 31, 2012"
Commercial   Services & Supplies,4763.0,-71.0,2012-07-31,SERVICES,NSDL,"July 31, 2012"
Diversified   Consumer Services,527.0,7.0,2012-07-31,SERVICES,NSDL,"July 31, 2012"
"Hotels,   Restaurants & Tourism",4183.0,29.0,2012-07-31,SERVICES,NSDL,"July 31, 2012"
Retailing,2435.0,10.0,2012-07-31,SERVICES,NSDL,"July 31, 2012"
Telecom   Services,24939.0,287.0,2012-07-31,TELECOM,NSDL,"July 31, 2012"
Telecommunications   Equipment,115.0,-1.0,2012-07-31,TELECOM,NSDL,"July 31, 2012"
"Textiles,   Apparels & Accessories",14397.0,128.0,2012-07-31,TEXTILES,NSDL,"July 31, 2012"
Automobiles & Auto Components,47569.0,74.0,2012-08-15,AUTO,CDSL,"August 15, 2012"
Capital Goods,59624.0,202.0,2012-08-15,CAPITAL_GOODS,CDSL,"August 15, 2012"
Consumer Durables,8924.0,105.0,2012-08-15,CAPITAL_GOODS,CDSL,"August 15, 2012"
General Industrials,5961.0,-10.0,2012-08-15,CAPITAL_GOODS,CDSL,"August 15, 2012"
Construction Materials,24790.0,748.0,2012-08-15,CEMENT,CDSL,"August 15, 2012"
Chemicals & Petrochemicals,8045.0,294.0,2012-08-15,CHEMICALS,CDSL,"August 15, 2012"
Forest Materials,368.0,-4.0,2012-08-15,COMMODITIES,CDSL,"August 15, 2012"
Diversified,2084.0,-96.0,2012-08-15,DIVERSIFIED,CDSL,"August 15, 2012"
Others,12121.0,188.0,2012-08-15,DIVERSIFIED,CDSL,"August 15, 2012"
Coal,12963.0,-55.0,2012-08-15,ENERGY,CDSL,"August 15, 2012"
Oil & Gas,69510.0,926.0,2012-08-15,ENERGY,CDSL,"August 15, 2012"
Total  Financial Services,278715.0,2441.0,2012-08-15,FINANCIAL_SERVICES,CDSL,"August 15, 2012"
"Food, Beverages & Tobacco",60173.0,617.0,2012-08-15,FMCG,CDSL,"August 15, 2012"
Household & Personal Products,40443.0,406.0,2012-08-15,FMCG,CDSL,"August 15, 2012"
Healthcare Equipment & Supplies,1308.0,3.0,2012-08-15,HEALTHCARE,CDSL,"August 15, 2012"
Healthcare Services,3385.0,-8.0,2012-08-15,HEALTHCARE,CDSL,"August 15, 2012"
Utilities,36296.0,64.0,2012-08-15,INFRASTRUCTURE,CDSL,"August 15, 2012"
Hardware Technology & Equipment,267.0,-5.0,2012-08-15,IT,CDSL,"August 15, 2012"
Software & Services,116027.0,1001.0,2012-08-15,IT,CDSL,"August 15, 2012"
Transportation,9883.0,80.0,2012-08-15,LOGISTICS,CDSL,"August 15, 2012"
Media,10934.0,216.0,2012-08-15,MEDIA,CDSL,"August 15, 2012"
Metals & Mining,38501.0,375.0,2012-08-15,METAL,CDSL,"August 15, 2012"
Pharmaceuticals & Biotechnology,54355.0,523.0,2012-08-15,PHARMA,CDSL,"August 15, 2012"
Realty,14862.0,-12.0,2012-08-15,REALTY,CDSL,"August 15, 2012"
Commercial Services & Supplies,4936.0,-9.0,2012-08-15,SERVICES,CDSL,"August 15, 2012"
Diversified Consumer Services,557.0,25.0,2012-08-15,SERVICES,CDSL,"August 15, 2012"
"Hotels, Restaurants & Tourism",4418.0,-6.0,2012-08-15,SERVICES,CDSL,"August 15, 2012"
Retailing,2526.0,6.0,2012-08-15,SERVICES,CDSL,"August 15, 2012"
Telecom Services,22002.0,45.0,2012-08-15,TELECOM,CDSL,"August 15, 2012"
Telecommunications Equipment,115.0,-1.0,2012-08-15,TELECOM,CDSL,"August 15, 2012"
"Textiles, Apparels & Accessories",14838.0,59.0,2012-08-15,TEXTILES,CDSL,"August 15, 2012"
Automobiles & Auto Components,46854.0,256.0,2012-08-31,AUTO,CDSL,"August 31, 2012"
Capital Goods,56782.0,605.0,2012-08-31,CAPITAL_GOODS,CDSL,"August 31, 2012"
Consumer Durables,8504.0,-95.0,2012-08-31,CAPITAL_GOODS,CDSL,"August 31, 2012"
General Industrials,5315.0,-110.0,2012-08-31,CAPITAL_GOODS,CDSL,"August 31, 2012"
Construction Materials,24244.0,411.0,2012-08-31,CEMENT,CDSL,"August 31, 2012"
Chemicals & Petrochemicals,8107.0,-45.0,2012-08-31,CHEMICALS,CDSL,"August 31, 2012"
Forest Materials,355.0,0.0,2012-08-31,COMMODITIES,CDSL,"August 31, 2012"
Diversified,2045.0,-18.0,2012-08-31,DIVERSIFIED,CDSL,"August 31, 2012"
