bcEndDate,bcStartDate,caBroadcastDate,comp,exDate,faceVal,ind,isin,ndEndDate,ndStartDate,recDate,series,subject,symbol
-,-,,K.P. Energy Limited,28-Jan-2026,5,-,INE127T01021,-,-,28-Jan-2026,EQ,Interim Dividend - Re 0.20 Per Share,KPEL
-,-,,KEI Industries Limited,28-Jan-2026,2,-,INE878B01027,-,-,28-Jan-2026,EQ,Interim Dividend - Rs 4.50 Per Share,KEI
-,-,,IIFL Finance Limited,29-Jan-2026,2,-,INE530B01024,-,-,29-Jan-2026,EQ,Interim Dividend - Rs 4 Per Share,IIFL
-,-,,Shanthi Gears Limited,29-Jan-2026,1,-,INE631A01022,-,-,29-Jan-2026,EQ,Interim Dividend - Rs 3 Per Share,SHANTIGEAR
-,-,,India Motor Parts and Accessories Limited,29-Jan-2026,10,-,INE547E01014,-,-,29-Jan-2026,EQ,Interim Dividend - Rs 10 Per Share,IMPAL
-,-,,Orient Electric Limited,29-Jan-2026,1,-,INE142Z01019,-,-,29-Jan-2026,EQ,Interim Dividend - Re 0.75 Per Share,ORIENTELEC
-,-,,Jindal Stainless Limited,29-Jan-2026,2,-,INE220G01021,-,-,29-Jan-2026,EQ,Interim Dividend - Re 1 Per Share,JSL
-,-,,Zensar Technologies Limited,29-Jan-2026,2,-,INE520A01019,-,-,29-Jan-2026,EQ,Interim Dividend - Rs 2.40 Per Share,ZENSARTECH
-,-,,National Highways Infra Trust,30-Jan-2026,101,-,INE0H7R23014,-,-,30-Jan-2026,IV,Distribution - Rs 2.744 Per Unit Consists Of Rs 2.733 Per Unit As Interest & Re 0.011 Per Unit As Other Income,NHIT
-,-,,Innova Captab Limited,30-Jan-2026,10,-,INE0DUT01020,-,-,30-Jan-2026,EQ,Interim Dividend - Rs 2 Per Share,INNOVACAP
-,-,,Godrej Consumer Products Limited,30-Jan-2026,1,-,INE102D01028,-,-,30-Jan-2026,EQ,Interim Dividend - Rs 5 Per Share,GODREJCP
-,-,,Coforge Limited,30-Jan-2026,2,-,INE591G01017,-,-,31-Jan-2026,EQ,Interim Dividend - Rs 4 Per Share,COFORGE
-,-,,Advani Hotels & Resorts (India) Limited,30-Jan-2026,2,-,INE199C01026,-,-,30-Jan-2026,EQ,Interim Dividend - Re 1 Per Share,ADVANIHOTR
-,-,,Sona BLW Precision Forgings Limited,30-Jan-2026,10,-,INE073K01018,-,-,30-Jan-2026,EQ,Interim Dividend - Rs 1.60 Per Share,SONACOMS
-,-,,Gandhar Oil Refinery (India) Limited,30-Jan-2026,2,-,INE717W01049,-,-,30-Jan-2026,EQ,Interim Dividend - Re 0.75 Per Share,GANDHAR
-,-,,Siemens Energy India Limited,30-Jan-2026,2,-,INE1NPP01017,-,-,30-Jan-2026,EQ,Dividend - Rs 4 Per Share,ENRIN
-,-,,Kirloskar Pneumatic Company Limited,30-Jan-2026,2,-,INE811A01020,-,-,30-Jan-2026,EQ,Interim Dividend - Rs 3.50 Per Share,KIRLPNU
-,-,,Motilal Oswal Financial Services Limited,30-Jan-2026,1,-,INE338I01027,-,-,31-Jan-2026,EQ,Interim Dividend - Rs 6 Per Share,MOTILALOFS
-,-,,Mindspace Business Parks REIT,30-Jan-2026,275,-,INE0CCU25019,-,-,30-Jan-2026,RR,Distribution - Rs 5.83 Per Unit Consisting Of Dividend - Rs 3.12 Per Unit/ Interest - Re 0.05 Per Unit/ Repayment Of Spv Debt - Rs 2.66 Per Unit,MINDSPACE
-,-,,CG Power and Industrial Solutions Limited,30-Jan-2026,2,-,INE067A01029,-,-,01-Feb-2026,EQ,Interim Dividend - Rs 1.30 Per Share,CGPOWER
-,-,,Computer Age Management Services Limited,30-Jan-2026,2,-,INE596I01012,-,-,30-Jan-2026,EQ,Interim Dividend - Rs 3.50 Per Share,CAMS
-,-,,Matrimony.Com Limited,30-Jan-2026,5,-,INE866R01028,-,-,30-Jan-2026,EQ,Buy Back,MATRIMONY
-,-,,Mastek Limited,30-Jan-2026,5,-,INE759A01021,-,-,30-Jan-2026,EQ,Interim Dividend - Rs 8 Per Share,MASTEK
-,-,,Metro Brands Limited,02-Feb-2026,5,-,INE317I01021,-,-,02-Feb-2026,EQ,Interim Dividend - Rs 3 Per Share,METROBRAND
-,-,,Balkrishna Industries Limited,02-Feb-2026,2,-,INE787D01018,-,-,02-Feb-2026,EQ,Interim Dividend - Rs 4 Per Share,BALKRISIND
-,-,,Bharat Petroleum Corporation Limited,02-Feb-2026,10,-,INE029A01011,-,-,02-Feb-2026,EQ,Interim Dividend - Rs 10 Per Share,BPCL
-,-,,Siyaram Silk Mills Limited,02-Feb-2026,2,-,INE076B01010,-,-,02-Feb-2026,EQ,Interim Dividend - Rs 3 Per Share,SIYSIL
-,-,,LT Foods Limited,02-Feb-2026,1,-,INE818H01020,-,-,02-Feb-2026,EQ,Interim Dividend - Re 1 Per Share,LTFOODS
-,-,,Share India Securities Limited,02-Feb-2026,2,-,INE932X01018,-,-,02-Feb-2026,EQ,Interim Dividend - Re 0.40 Per Share,SHAREINDIA
-,-,,Gopal Snacks Limited,02-Feb-2026,1,-,INE0L9R01028,-,-,02-Feb-2026,EQ,Interim Dividend - Re 0.35 Per Share,GOPAL
-,-,,Anzen India Energy Yield Plus Trust,03-Feb-2026,100,-,INE0MIZ23019,-,-,03-Feb-2026,IV,Distribution - Rs 2.75 Per Unit Consist Of Rs 2.3176 Per Unit As Interest/Re 0.3904 Per Unit As Principal Repayment/Re 0.0420 Per Unit As Other Income,ANZEN
-,-,,GPT Infraprojects Limited,03-Feb-2026,10,-,INE390G01014,-,-,03-Feb-2026,EQ,Interim Dividend - Re 0.75 Per Share,GPTINFRA
-,-,,Garden Reach Shipbuilders & Engineers Limited,03-Feb-2026,10,-,INE382Z01011,-,-,03-Feb-2026,EQ,Interim Dividend - Rs 7.15 Per Share,GRSE
-,-,,Brookfield India Real Estate Trust,03-Feb-2026,275,-,INE0FDU25010,-,-,03-Feb-2026,RR,Distribution - Rs 5.40 Per Unit Consisting Of Interest - Rs 1.59 Per Unit/ Repayment Of Spv Debt - Rs 2.60 Per Unit/ Dividend - Re 0.94 Per Unit/ Interest On Fixed Deposit - Re 0.27 Per Unit,BIRET
-,-,,Vaibhav Global Limited,03-Feb-2026,2,-,INE884A01019,-,-,03-Feb-2026,EQ,Interim Dividend - Rs 1.50 Per Share,VAIBHAVGBL
-,-,,Symphony Limited,03-Feb-2026,2,-,INE225D01019,-,-,03-Feb-2026,EQ,Interim Dividend - Rs 2 Per Share,SYMPHONY
-,-,,Cochin Shipyard Limited,03-Feb-2026,5,-,INE704P01017,-,-,03-Feb-2026,EQ,Interim Dividend - Rs 3.50 Per Share,COCHINSHIP
-,-,,Alldigi Tech Limited,04-Feb-2026,10,-,INE835G01018,-,-,04-Feb-2026,EQ,Interim Dividend - Rs 30 Per Share,ALLDIGI
-,-,,Cube Highways Trust,04-Feb-2026,100,-,INE0NR623014,-,-,04-Feb-2026,IV,Distribution - Rs 4.10 Per Unit Consisting Of Rs 2 Per Unit As Interest/Re 0.77 Per Unit As Dividend/Rs 1.33 Per Unit As Return Of Capital,CUBEINVIT
-,-,,ITC Limited,04-Feb-2026,1,-,INE154A01025,-,-,04-Feb-2026,EQ,Interim Dividend - Rs 6.50 Per Share,ITC
-,-,,MAS Financial Services Limited,04-Feb-2026,10,-,INE348L01012,-,-,04-Feb-2026,EQ,Interim Dividend - Rs 1.25 Per Share,MASFIN
-,-,,KPIT Technologies Limited,04-Feb-2026,10,-,INE04I401011,-,-,04-Feb-2026,EQ,Interim Dividend - Rs 2.25 Per Share,KPITTECH
-,-,,The Great Eastern Shipping Company Limited,04-Feb-2026,10,-,INE017A01032,-,-,04-Feb-2026,EQ,Interim Dividend - Rs 9 Per Share,GESHIP
-,-,,Gillette India Limited,04-Feb-2026,10,-,INE322A01010,-,-,04-Feb-2026,EQ,Interim Dividend - Rs 120 Per Share/Special Dividend - Rs 60 Per Share,GILLETTE
-,-,,Indian Energy Exchange Limited,04-Feb-2026,1,-,INE022Q01012,-,-,04-Feb-2026,EQ,Interim Dividend - Rs 1.50 Per Share,IEX
-,-,,Carborundum Universal Limited,04-Feb-2026,1,-,INE120A01026,-,-,04-Feb-2026,EQ,Interim Dividend - Rs 1.50 Per Share,CARBORUNIV
-,-,,Dolat Algotech Limited,04-Feb-2026,1,-,INE966A01022,-,-,04-Feb-2026,EQ,Interim Dividend - Re 0.10 Per Share,DOLATALGO
-,-,,Coromandel International Limited,04-Feb-2026,1,-,INE169A01023,-,-,04-Feb-2026,EQ,Interim Dividend - Rs 9 Per Share,COROMANDEL
-,-,,Flair Writing Industries Limited,04-Feb-2026,5,-,INE00Y201027,-,-,04-Feb-2026,EQ,Interim Dividend - Re 0.50 Per Share,FLAIR
-,-,,Vertis Infrastructure Trust,04-Feb-2026,100,-,INE0KXY23015,-,-,04-Feb-2026,IV,Distribution - Rs 3 Per Unit Consisting Rs 1.6001 Per Unit - Interest/Rs 1.3008 Per Unit - Return Of Capital/Re 0.0991 Per Unit - Dividend,VERTIS
-,-,,Crizac Limited,04-Feb-2026,2,-,INE0S4R01014,-,-,04-Feb-2026,EQ,Interim Dividend - Rs 8 Per Share,CRIZAC
-,-,,Apcotex Industries Limited,04-Feb-2026,2,-,INE116A01016,-,-,04-Feb-2026,EQ,Interim Dividend - Rs 2.50 Per Sh,APCOTEXIND
-,-,,Nexus Select Trust,05-Feb-2026,100,-,INE0NDH25011,-,-,05-Feb-2026,RR,Distribution - Rs 2.367 Consisting Of Re 0.611 As Interest/ Rs 1.574 Per Unit As Dividend/ Re 0.014 Per Unit As Other Income/ Re 0.168 Per Unit As Repayment Of Spv Level Debt,NXST
-,-,,MOIL Limited,05-Feb-2026,10,-,INE490G01020,-,-,05-Feb-2026,EQ,Interim Dividend - Rs 3.53 Per Share,MOIL
-,-,,Procter & Gamble Hygiene and Health Care Limited,05-Feb-2026,10,-,INE179A01014,-,-,05-Feb-2026,EQ,Interim Dividend - Rs 170 Per Share/ Special Dividend - Rs 25 Per Share,PGHH
-,-,,Dr. Lal Path Labs Ltd.,05-Feb-2026,10,-,INE600L01024,-,-,05-Feb-2026,EQ,Interim Dividend - Rs 3.50 Per Share,LALPATHLAB
-,-,,GAIL (India) Limited,05-Feb-2026,10,-,INE129A01019,-,-,05-Feb-2026,EQ,Interim Dividend - Rs 5 Per Share,GAIL
-,-,,Styrenix Performance Materials Limited,05-Feb-2026,10,-,INE189B01011,-,-,05-Feb-2026,EQ,Interim Dividend - Rs 23 Per Share,STYRENIX
-,-,,Sun Pharmaceutical Industries Limited,05-Feb-2026,1,-,INE044A01028,-,-,05-Feb-2026,EQ,Interim Dividend - Rs 11 Per Share,SUNPHARMA
-,-,,Wheels India Limited,05-Feb-2026,10,-,INE715A01015,-,-,05-Feb-2026,EQ,Interim Dividend - Rs 5.30 Per Share,WHEELS
-,-,,Cholamandalam Investment and Finance Company Limited,05-Feb-2026,2,-,INE121A01016,-,-,05-Feb-2026,EQ,Interim Dividend - Rs 1.30 Per Share,CHOLAFIN
-,-,,Amrutanjan Health Care Limited,06-Feb-2026,1,-,INE098F01015,-,-,07-Feb-2026,EQ,Interim Dividend - Re 1 Per Share,AMRUTANJAN
-,-,,Housing & Urban Development Corporation Limited,06-Feb-2026,10,-,INE031A07873,-,-,07-Feb-2026,EQ,Interim Dividend - Rs 1.15 Per Share,HUDCO
-,-,,Manba Finance Limited,06-Feb-2026,10,-,INE939X01013,-,-,06-Feb-2026,EQ,Interim Dividend - Re 0.25 Per Share,MANBA
-,-,,National Aluminium Company Limited,06-Feb-2026,5,-,INE139A01026,-,-,06-Feb-2026,EQ,Interim Dividend - Rs 4.50 Per Share,NATIONALUM
-,-,,Quess Corp Limited,06-Feb-2026,10,-,INE615P01015,-,-,06-Feb-2026,EQ,Interim Dividend - Rs 5 Per Share,QUESS
-,-,,Accelya Solutions India Limited,06-Feb-2026,10,-,INE793A01012,-,-,06-Feb-2026,EQ,Interim Dividend - Rs 45 Per Share,ACCELYA
-,-,,Acme Solar Holdings Limited,06-Feb-2026,2,-,INE622W01025,-,-,06-Feb-2026,EQ,Interim Dividend - Re 0.20 Per Share,ACMESOLAR
-,-,,Clean Science and Technology Limited,06-Feb-2026,1,-,INE227W01023,-,-,06-Feb-2026,EQ,Interim Dividend - Rs 2 Per Share,CLEAN
-,-,,Control Print Limited,06-Feb-2026,10,-,INE663B01015,-,-,06-Feb-2026,EQ,Interim Dividend - Rs 4 Per Share,CONTROLPR
-,-,,Nestle India Limited,06-Feb-2026,1,-,INE239A01016,-,-,06-Feb-2026,EQ,Interim Dividend - Rs 7 Per Share,NESTLEIND
-,-,,REC Limited,06-Feb-2026,10,-,INE020B01018,-,-,06-Feb-2026,EQ,Interim Dividend - Rs 4.60 Per Share,RECLTD
-,-,,Indus Infra Trust,06-Feb-2026,100,-,INE0NHL23019,-,-,06-Feb-2026,IV,Distribution - Rs 3.40 Per Unit Consist Of Rs 1.44 Per Unit As Interest/ Rs 1.96 Per Unit As Return Of Capital,INDUSINVIT
-,-,,Insecticides (India) Limited,06-Feb-2026,10,-,INE070I01018,-,-,06-Feb-2026,EQ,Interim Dividend - Rs 2 Per Share,INSECTICID
-,-,,NTPC Limited,06-Feb-2026,10,-,INE733E01010,-,-,06-Feb-2026,EQ,Interim Dividend - Rs 2.75 Per Share,NTPC
-,-,,Steelcast Limited,06-Feb-2026,1,-,INE124E01020,-,-,06-Feb-2026,EQ,Interim Dividend - Re 0.45 Per Share,STEELCAS
-,-,,Sharda Cropchem Limited,06-Feb-2026,10,-,INE221J01015,-,-,06-Feb-2026,EQ,Interim Dividend - Rs 6 Per Share,SHARDACROP
-,-,,Sundaram Finance Limited,06-Feb-2026,10,-,INE660A01013,-,-,06-Feb-2026,EQ,Interim Dividend - Rs 16 Per Share,SUNDARMFIN
-,-,,Veedol Corporation Limited,06-Feb-2026,2,-,INE484C01030,-,-,06-Feb-2026,EQ,Interim Dividend - Rs 14 Per Share,VEEDOL
-,-,,Shriram Pistons & Rings Limited,06-Feb-2026,10,-,INE526E01018,-,-,06-Feb-2026,EQ,Interim Dividend - Rs 5 Per Share,SHRIPISTON
-,-,,TCI Express Limited,06-Feb-2026,2,-,INE586V01016,-,-,07-Feb-2026,EQ,Interim Dividend - Rs 7 Per Share,TCIEXP
-,-,,SIS LIMITED,06-Feb-2026,5,-,INE285J01010,-,-,06-Feb-2026,EQ,Interim Dividend - Rs 7 Per Share,SIS
-,-,,SMC Global Securities Limited,06-Feb-2026,2,-,INE103C01036,-,-,06-Feb-2026,EQ,Interim Dividend - Re 0.60 Per Share,SMCGLOBAL
-,-,,Triveni Engineering & Industries Limited,06-Feb-2026,1,-,INE256C01024,-,-,06-Feb-2026,EQ,Interim Dividend - Rs 1.50 Per Share,TRIVENI
-,-,,Genus Power Infrastructures Limited,06-Feb-2026,1,-,INE955D01011,-,-,06-Feb-2026,EQ,Demerger,GENUSPOWER
-,-,,Manappuram Finance Limited,06-Feb-2026,2,-,INE522D01027,-,-,06-Feb-2026,EQ,Interim Dividend - Re 0.50 Per Share,MANAPPURAM
-,-,,Power Grid Corporation of India Limited,09-Feb-2026,10,-,INE752E01010,-,-,09-Feb-2026,EQ,Interim Dividend - Rs 3.25 Per Share,POWERGRID
-,-,,Bharat Dynamics Limited,09-Feb-2026,5,-,INE171Z01018,-,-,09-Feb-2026,EQ,Interim Dividend - Rs 4.50 Per Share,BDL
-,-,,Aarti Drugs Limited,09-Feb-2026,10,-,INE767A01016,-,-,09-Feb-2026,EQ,Interim Dividend - Rs 2 Per Share,AARTIDRUGS
-,-,,Triveni Turbine Limited,09-Feb-2026,1,-,INE152M01016,-,-,09-Feb-2026,EQ,Interim Dividend - Rs 2.25 Per Share,TRITURBINE
-,-,,Container Corporation of India Limited,09-Feb-2026,5,-,INE111A01017,-,-,09-Feb-2026,EQ,Interim Dividend - Rs 3.40 Per Share,CONCOR
-,-,,Sustainable Energy Infra Trust,09-Feb-2026,100,-,INE0R8O23017,-,-,09-Feb-2026,IV,Distribution - Rs 2.39558 Per Unit Consist Of Rs 2.38941 Per Unit As Interest And Re 0.00617 Per Unit As Other Income,SEITINVIT
-,-,,Go Fashion (India) Limited,09-Feb-2026,10,-,INE0BJS01011,-,-,09-Feb-2026,EQ,Buy Back,GOCOLORS
-,-,,Apollo Tyres Limited,10-Feb-2026,1,-,INE438A01022,-,-,10-Feb-2026,EQ,Interim Dividend - Rs 3.50 Per Share,APOLLOTYRE
-,-,,TSF INVESTMENTS LIMITED,10-Feb-2026,5,-,INE202Z01029,-,-,10-Feb-2026,EQ,Interim Dividend - Rs 6.70 Per Share,TSFINV
-,-,,Knowledge Realty Trust,10-Feb-2026,100,-,INE1JAR25012,-,-,10-Feb-2026,RR,Distribution - Rs 1.568 Per Unit Consist Of Rs 1.081 Per Unit As Dividend/ Re 0.130 Per Unit As Interest/ Re 0.354 Per Unit As Repayment Of Debt/ Re 0.003 Per Unit As Other Income,KRT
-,-,,PTL Enterprises Limited,10-Feb-2026,1,-,INE034D01031,-,-,10-Feb-2026,EQ,Interim Dividend - Rs 1.50 Per Share,PTL
-,-,,BMW Ventures Limited,10-Feb-2026,10,-,INE965W01036,-,-,10-Feb-2026,EQ,Interim Dividend - Rs 1.50 Per Share,BMWVENTLTD
-,-,,Capital Infra Trust,10-Feb-2026,99,-,INE0Z8Z23013,-,-,10-Feb-2026,IV,Distribution - Rs 2.34 Per Unit Consist Of Re 0.41 Per Unit As Interest/ Rs 1.54 Per Unit As Dividend/ Re 0.38 Per Unit As Return Of Capital/ Re 0.01 Per Unit As Other Income,CAPINVIT
-,-,,CCL Products (India) Limited,10-Feb-2026,2,-,INE421D01014,-,-,10-Feb-2026,EQ,Interim Dividend - Rs 2.75 Per Share,CCL
-,-,,Emami Limited,10-Feb-2026,1,-,INE548C01024,-,-,10-Feb-2026,EQ,Interim Dividend - Rs 6 Per Share,EMAMILTD
-,-,,NHPC Limited,10-Feb-2026,10,-,INE848E01016,-,-,10-Feb-2026,EQ,Interim Dividend - Rs 1.40 Per Share,NHPC
-,-,,RITES Limited,10-Feb-2026,10,-,INE320J01015,-,-,10-Feb-2026,EQ,Interim Dividend - Rs 1.90 Per Share,RITES
-,-,,Wealth First Portfolio Managers Limited,10-Feb-2026,10,-,INE658T01017,-,-,10-Feb-2026,EQ,Interim Dividend - Rs 4 Per Share,WEALTH
-,-,,Shrem Invit,10-Feb-2026,100,-,INE0GTI23014,-,-,10-Feb-2026,IV,Distribution - Rs 5.418 Per Unit Consists Of Rs 1.109 Per Unit As Dividend/ Rs 2.738 Per Unit As Interest/ Rs 1.571 Per Unit As Return Of Capital,SHREMINVIT
-,-,,Transport Corporation of India Limited,10-Feb-2026,2,-,INE688A01022,-,-,10-Feb-2026,EQ,Interim Dividend - Rs 9 Per Share,TCI
-,-,,Tube Investments of India Limited,10-Feb-2026,1,-,INE974X01010,-,-,10-Feb-2026,EQ,Interim Dividend - Rs 2 Per Share,TIINDIA
-,-,,Jubilant Ingrevia Limited,10-Feb-2026,1,-,INE0BY001018,-,-,10-Feb-2026,EQ,Interim Dividend - Rs 2.50 Per Share,JUBLINGREA
-,-,,Page Industries Limited,11-Feb-2026,10,-,INE761H01022,-,-,11-Feb-2026,EQ,Interim Dividend - Rs 125 Per Share,PAGEIND
-,-,,JB Chemicals & Pharmaceuticals Limited,11-Feb-2026,1,-,INE572A01028,-,-,11-Feb-2026,EQ,Interim Dividend - Rs 12.70 Per Share,JBCHEPHARM
-,-,,Dalmia Bharat Sugar and Industries Limited,11-Feb-2026,2,-,INE495A01022,-,-,11-Feb-2026,EQ,Interim Dividend - Rs 4.50 Per Share,DALMIASUG
-,-,,Embassy Office Parks REIT,11-Feb-2026,300,-,INE041025011,-,-,11-Feb-2026,RR,Distribution - Rs 6.47 Per Unit Consisting Of Re 0.66 Per Unit As Interest/ Re 0.71 Per Unit As Dividend/ Rs 5.10 Per Unit As Repayment Of Spv Level Debt,EMBASSY
-,-,,FDC Limited,11-Feb-2026,1,-,INE258B01022,-,-,11-Feb-2026,EQ,Interim Dividend - Rs 5 Per Share,FDC
-,-,,Cummins India Limited,11-Feb-2026,2,-,INE298A01020,-,-,11-Feb-2026,EQ,Interim Dividend - Rs 20 Per Share,CUMMINSIND
-,-,,Rail Vikas Nigam Limited,11-Feb-2026,10,-,INE415G01027,-,-,11-Feb-2026,EQ,Interim Dividend - Re 1 Per Share,RVNL
-,-,,Stallion India Fluorochemicals Limited,11-Feb-2026,10,-,INE0RYC01010,-,-,11-Feb-2026,EQ,Rights 19:41 @ Premium Rs 89/-,STALLION
-,-,,UNO Minda Limited,11-Feb-2026,2,-,INE405E01023,-,-,11-Feb-2026,EQ,Interim Dividend - Re 0.90 Per Share,UNOMINDA
-,-,,TVS Infrastructure Trust,11-Feb-2026,100,-,INE1JNC23012,-,-,11-Feb-2026,IV,Distribution - Rs 1.51 Per Unit Consist Of Rs 1.13 Per Unit As Interest/ Re 0.38 Per Unit As Other Income,TVSINVIT
-,-,,Hero MotoCorp Limited,11-Feb-2026,2,-,INE158A01026,-,-,11-Feb-2026,EQ,Interim Dividend - Rs 110 Per Share,HEROMOTOCO
-,-,,Procter & Gamble Health Limited,12-Feb-2026,10,-,INE199A01012,-,-,12-Feb-2026,EQ,Interim Dividend - Rs 110 Per Share & Special Dividend Rs 50 Per Share,PGHL
