date,symbol,company,deal_type,client_name,participant,direction,qty,price,value_cr,seq_id
2026-01-13,BALAMINES,Balaji Amines Limited,BULK,HRTI PRIVATE LIMITED,RETAIL,SELL,329546.0,1214.79,40.0329,719
2026-01-13,BALAMINES,Balaji Amines Limited,BULK,HRTI PRIVATE LIMITED,RETAIL,BUY,332803.0,1212.0,40.3357,720
2026-01-13,BALAMINES,Balaji Amines Limited,BULK,JUNOMONETA FINSOL PRIVATE LIMITED,RETAIL,BUY,275134.0,1212.88,33.3705,721
2026-01-13,BALAMINES,Balaji Amines Limited,BULK,JUNOMONETA FINSOL PRIVATE LIMITED,RETAIL,SELL,275279.0,1213.64,33.409,722
2026-01-13,BALAMINES,Balaji Amines Limited,BULK,QE SECURITIES LLP,RETAIL,BUY,206054.0,1215.53,25.0465,723
2026-01-13,BALAMINES,Balaji Amines Limited,BULK,QE SECURITIES LLP,RETAIL,SELL,210510.0,1215.65,25.5906,724
2026-01-13,BALUFORGE,Balu Forge Industries Ltd,BULK,GRAVITON RESEARCH CAPITAL LLP,RETAIL,SELL,598882.0,482.28,28.8829,725
2026-01-13,BALUFORGE,Balu Forge Industries Ltd,BULK,GRAVITON RESEARCH CAPITAL LLP,RETAIL,BUY,600926.0,481.9,28.9586,726
2026-01-13,BALUFORGE,Balu Forge Industries Ltd,BULK,HRTI PRIVATE LIMITED,RETAIL,SELL,616296.0,480.9,29.6377,727
2026-01-13,BALUFORGE,Balu Forge Industries Ltd,BULK,HRTI PRIVATE LIMITED,RETAIL,BUY,622673.0,479.33,29.8466,728
2026-01-13,DAVANGERE,Davangere Sugar Company L,BULK,ARIHANT CAPITAL MARKETS LIMITED,RETAIL,SELL,11176614.0,4.73,5.2865,729
2026-01-13,DAVANGERE,Davangere Sugar Company L,BULK,ARIHANT CAPITAL MARKETS LIMITED,RETAIL,BUY,26087033.0,4.8,12.5218,730
2026-01-13,DREDGECORP,Dredging Corporation of I,BULK,HRTI PRIVATE LIMITED,RETAIL,BUY,141287.0,1077.46,15.2231,731
2026-01-13,DREDGECORP,Dredging Corporation of I,BULK,HRTI PRIVATE LIMITED,RETAIL,SELL,149447.0,1073.24,16.0392,732
2026-01-13,EEPL,Eppeltone Engineers Ltd,BULK,SRISHTI  SOMANI,RETAIL,SELL,65000.0,169.37,1.1009,733
2026-01-13,GARUDA,Garuda Construct N Eng L,BULK,ALPHAGREP SECURITIES PRIVATE LIMITED,RETAIL,BUY,833399.0,184.77,15.3987,734
2026-01-13,GARUDA,Garuda Construct N Eng L,BULK,ALPHAGREP SECURITIES PRIVATE LIMITED,RETAIL,SELL,833399.0,184.83,15.4037,735
2026-01-13,GARUDA,Garuda Construct N Eng L,BULK,IRAGE BROKING SERVICES LLP,RETAIL,SELL,501659.0,188.06,9.4342,736
2026-01-13,GARUDA,Garuda Construct N Eng L,BULK,IRAGE BROKING SERVICES LLP,RETAIL,BUY,660650.0,191.08,12.6237,737
2026-01-13,GARUDA,Garuda Construct N Eng L,BULK,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,RETAIL,BUY,938527.0,187.93,17.6377,738
2026-01-13,GARUDA,Garuda Construct N Eng L,BULK,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,RETAIL,SELL,938527.0,188.12,17.6556,739
2026-01-13,GARUDA,Garuda Construct N Eng L,BULK,JUNOMONETA FINSOL PRIVATE LIMITED,RETAIL,SELL,1014340.0,187.47,19.0158,740
2026-01-13,GARUDA,Garuda Construct N Eng L,BULK,JUNOMONETA FINSOL PRIVATE LIMITED,RETAIL,BUY,1015252.0,187.37,19.0228,741
2026-01-13,GARUDA,Garuda Construct N Eng L,BULK,MICROCURVES TRADING PRIVATE LIMITED,RETAIL,BUY,816841.0,190.2,15.5363,742
2026-01-13,GARUDA,Garuda Construct N Eng L,BULK,MICROCURVES TRADING PRIVATE LIMITED,RETAIL,SELL,816841.0,190.25,15.5404,743
2026-01-13,GARUDA,Garuda Construct N Eng L,BULK,MUSIGMA SECURITIES,RETAIL,SELL,563945.0,189.44,10.6834,744
2026-01-13,GARUDA,Garuda Construct N Eng L,BULK,MUSIGMA SECURITIES,RETAIL,BUY,563945.0,189.21,10.6704,745
2026-01-13,GARUDA,Garuda Construct N Eng L,BULK,NK SECURITIES RESEARCH PRIVATE LIMITED,RETAIL,SELL,1111913.0,187.56,20.855,746
2026-01-13,GARUDA,Garuda Construct N Eng L,BULK,NK SECURITIES RESEARCH PRIVATE LIMITED,RETAIL,BUY,1111913.0,187.49,20.8473,747
2026-01-13,GARUDA,Garuda Construct N Eng L,BULK,PUMA SECURITIES,RETAIL,BUY,586000.0,188.7,11.0578,748
2026-01-13,GARUDA,Garuda Construct N Eng L,BULK,PUMA SECURITIES,RETAIL,SELL,586000.0,188.9,11.0695,749
2026-01-13,GARUDA,Garuda Construct N Eng L,BULK,QE SECURITIES LLP,RETAIL,BUY,761527.0,186.4,14.1949,750
2026-01-13,GARUDA,Garuda Construct N Eng L,BULK,QE SECURITIES LLP,RETAIL,SELL,786837.0,185.3,14.5801,751
2026-01-13,GARUDA,Garuda Construct N Eng L,BULK,QICAP MARKETS LLP,RETAIL,SELL,471878.0,190.52,8.9902,752
2026-01-13,GARUDA,Garuda Construct N Eng L,BULK,QICAP MARKETS LLP,RETAIL,BUY,471878.0,190.45,8.9869,753
2026-01-13,JALAN,Jalan Transolu. India Ltd,BULK,DHARMISHTHA ABHAYBHAI SHAH,RETAIL,BUY,180000.0,3.88,0.0698,754
2026-01-13,JALAN,Jalan Transolu. India Ltd,BULK,MANISH JALAN,RETAIL,SELL,105000.0,3.9,0.041,755
2026-01-13,JTLIND,JTL INDUSTRIES LIMITED,BULK,JUNOMONETA FINSOL PRIVATE LIMITED,RETAIL,BUY,2599945.0,64.07,16.6578,756
2026-01-13,JTLIND,JTL INDUSTRIES LIMITED,BULK,JUNOMONETA FINSOL PRIVATE LIMITED,RETAIL,SELL,2604541.0,64.1,16.6951,757
2026-01-13,KHANDSE,Khandwala Sec. Ltd,BULK,ORION STOCKS LTD,RETAIL,BUY,19198.0,19.95,0.0383,758
2026-01-13,KHANDSE,Khandwala Sec. Ltd,BULK,ORION STOCKS LTD,RETAIL,SELL,108632.0,20.1,0.2184,759
2026-01-13,KIRIINDUS,Kiri Industries Limited,BULK,ALPHAGREP SECURITIES PRIVATE LIMITED,RETAIL,BUY,581314.0,532.42,30.9503,760
2026-01-13,KIRIINDUS,Kiri Industries Limited,BULK,ALPHAGREP SECURITIES PRIVATE LIMITED,RETAIL,SELL,581314.0,532.61,30.9614,761
2026-01-13,KIRIINDUS,Kiri Industries Limited,BULK,HRTI PRIVATE LIMITED,RETAIL,BUY,644996.0,530.28,34.2028,762
2026-01-13,KIRIINDUS,Kiri Industries Limited,BULK,HRTI PRIVATE LIMITED,RETAIL,SELL,683364.0,529.83,36.2067,763
2026-01-13,KIRIINDUS,Kiri Industries Limited,BULK,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,RETAIL,SELL,436031.0,533.25,23.2514,764
2026-01-13,KIRIINDUS,Kiri Industries Limited,BULK,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,RETAIL,BUY,436031.0,533.34,23.2553,765
2026-01-13,KIRIINDUS,Kiri Industries Limited,BULK,JUNOMONETA FINSOL PRIVATE LIMITED,RETAIL,SELL,485927.0,530.44,25.7755,766
2026-01-13,KIRIINDUS,Kiri Industries Limited,BULK,JUNOMONETA FINSOL PRIVATE LIMITED,RETAIL,BUY,487647.0,530.49,25.8692,767
2026-01-13,KIRIINDUS,Kiri Industries Limited,BULK,MATHISYS ADVISORS LLP,RETAIL,SELL,536715.0,529.3,28.4083,768
2026-01-13,KIRIINDUS,Kiri Industries Limited,BULK,MATHISYS ADVISORS LLP,RETAIL,BUY,537062.0,530.44,28.4879,769
2026-01-13,KIRIINDUS,Kiri Industries Limited,BULK,MICROCURVES TRADING PRIVATE LIMITED,RETAIL,SELL,475886.0,534.64,25.4428,770
2026-01-13,KIRIINDUS,Kiri Industries Limited,BULK,MICROCURVES TRADING PRIVATE LIMITED,RETAIL,BUY,475886.0,534.42,25.4323,771
2026-01-13,KIRIINDUS,Kiri Industries Limited,BULK,QE SECURITIES LLP,RETAIL,BUY,402912.0,530.08,21.3576,772
2026-01-13,KIRIINDUS,Kiri Industries Limited,BULK,QE SECURITIES LLP,RETAIL,SELL,424203.0,528.05,22.4,773
2026-01-13,KRYSTAL,Krystal Integrated Ser L,BULK,ANSHU SHRIVASTAVA,RETAIL,BUY,161000.0,620.0,9.982,774
2026-01-13,KRYSTAL,Krystal Integrated Ser L,BULK,L7 HITECH PRIVATE LIMITED,RETAIL,SELL,83009.0,617.77,5.128,775
2026-01-13,KRYSTAL,Krystal Integrated Ser L,BULK,MANDAKINIBEN PRADYUMANBHAI PATEL,RETAIL,BUY,56735.0,614.33,3.4854,776
2026-01-13,KRYSTAL,Krystal Integrated Ser L,BULK,MANDAKINIBEN PRADYUMANBHAI PATEL,RETAIL,SELL,151973.0,620.05,9.4231,777
2026-01-13,MANAKALUCO,Manak Aluminium Co. Ltd.,BULK,ANKITA VISHAL SHAH,RETAIL,SELL,396366.0,47.68,1.8899,778
2026-01-13,MANAKALUCO,Manak Aluminium Co. Ltd.,BULK,ANKITA VISHAL SHAH,RETAIL,BUY,616366.0,47.59,2.9333,779
2026-01-13,MANGALAM,Mangalam Drug & Chem Ltd.,BULK,JYOTIPRASAD TAPARIA,RETAIL,SELL,150000.0,42.64,0.6396,780
2026-01-13,MANGALAM,Mangalam Drug & Chem Ltd.,BULK,SANJAY KUMAR SAINI,RETAIL,SELL,95000.0,40.65,0.3862,781
2026-01-13,MCL,Madhav Copper Limited,BULK,NEO APEX VENTURE LLP,RETAIL,BUY,1.0,74.0,0.0,782
2026-01-13,MCL,Madhav Copper Limited,BULK,NEO APEX VENTURE LLP,RETAIL,SELL,158251.0,73.65,1.1655,783
2026-01-13,OMAXE,Omaxe Limited,BULK,NK SECURITIES RESEARCH PRIVATE LIMITED,RETAIL,SELL,1085550.0,83.97,9.1154,784
2026-01-13,OMAXE,Omaxe Limited,BULK,NK SECURITIES RESEARCH PRIVATE LIMITED,RETAIL,BUY,1085550.0,83.87,9.1045,785
2026-01-13,ORIENTTECH,Orient Technologies Ltd,BULK,HRTI PRIVATE LIMITED,RETAIL,SELL,402981.0,381.13,15.3588,786
2026-01-13,ORIENTTECH,Orient Technologies Ltd,BULK,HRTI PRIVATE LIMITED,RETAIL,BUY,430672.0,376.97,16.235,787
2026-01-13,ORIENTTECH,Orient Technologies Ltd,BULK,JUNOMONETA FINSOL PRIVATE LIMITED,RETAIL,BUY,296710.0,381.43,11.3174,788
2026-01-13,ORIENTTECH,Orient Technologies Ltd,BULK,JUNOMONETA FINSOL PRIVATE LIMITED,RETAIL,SELL,297100.0,381.37,11.3305,789
2026-01-13,RATNAVEER,Ratnaveer Precision Eng L,BULK,ARIHANT CAPITAL MARKETS LIMITED,RETAIL,SELL,2202870.0,155.18,34.1841,790
2026-01-13,RATNAVEER,Ratnaveer Precision Eng L,BULK,ARIHANT CAPITAL MARKETS LIMITED,RETAIL,BUY,2207011.0,154.71,34.1447,791
2026-01-13,RATNAVEER,Ratnaveer Precision Eng L,BULK,HRTI PRIVATE LIMITED,RETAIL,SELL,328795.0,154.52,5.0805,792
2026-01-13,RATNAVEER,Ratnaveer Precision Eng L,BULK,HRTI PRIVATE LIMITED,RETAIL,BUY,452517.0,154.76,7.0032,793
2026-01-13,RATNAVEER,Ratnaveer Precision Eng L,BULK,MATHISYS ADVISORS LLP,RETAIL,BUY,342417.0,155.4,5.3212,794
2026-01-13,RATNAVEER,Ratnaveer Precision Eng L,BULK,MATHISYS ADVISORS LLP,RETAIL,SELL,342956.0,154.84,5.3103,795
2026-01-13,RATNAVEER,Ratnaveer Precision Eng L,BULK,SW CAPITAL PRIVATE LIMITED,RETAIL,SELL,881347.0,154.54,13.6203,796
2026-01-13,RATNAVEER,Ratnaveer Precision Eng L,BULK,SW CAPITAL PRIVATE LIMITED,RETAIL,BUY,881347.0,154.95,13.6565,797
2026-01-13,TARMAT,Tarmat Limited,BULK,ARTON GLOBAL,RETAIL,BUY,246000.0,52.25,1.2853,798
2026-01-14,AAATECH,AAA Technologies Limited,BULK,AMAY VATSALYA,RETAIL,BUY,75514.0,116.03,0.8762,799
2026-01-14,AAVAS,Aavas Financiers Limited,BULK,HDFC MUTUAL FUND,MF,BUY,1950531.0,1440.0,280.8765,800
2026-01-14,AAVAS,Aavas Financiers Limited,BULK,SMALL CAP WORLD FUND INC,RETAIL,SELL,1964024.0,1440.0,282.8195,801
2026-01-14,ANTELOPUS,Antelopus Selan Enrgy Ltd,BULK,NK SECURITIES RESEARCH PRIVATE LIMITED,RETAIL,BUY,204615.0,424.46,8.6851,802
2026-01-14,ANTELOPUS,Antelopus Selan Enrgy Ltd,BULK,NK SECURITIES RESEARCH PRIVATE LIMITED,RETAIL,SELL,204919.0,424.87,8.7064,803
2026-01-14,ARISINFRA,Arisinfra Solutions Ltd,BULK,JALIYAN COMMODITY,RETAIL,SELL,963626.0,132.94,12.8104,804
2026-01-14,ARISINFRA,Arisinfra Solutions Ltd,BULK,JALIYAN COMMODITY,RETAIL,BUY,1308439.0,132.56,17.3447,805
2026-01-14,ARISINFRA,Arisinfra Solutions Ltd,BULK,NEO APEX VENTURE LLP,RETAIL,BUY,475017.0,134.65,6.3961,806
2026-01-14,ARISINFRA,Arisinfra Solutions Ltd,BULK,NEO APEX VENTURE LLP,RETAIL,SELL,475017.0,135.31,6.4275,807
2026-01-14,ATALREAL,Atal Realtech Limited,BULK,ALTIZEN VENTURES LLP,RETAIL,BUY,251849.0,26.78,0.6745,808
2026-01-14,ATALREAL,Atal Realtech Limited,BULK,ALTIZEN VENTURES LLP,RETAIL,SELL,608000.0,26.25,1.596,809
2026-01-14,AVROIND,AVRO INDIA LIMITED,BULK,NAUTILUS PRIVATE CAPITAL LTD,RETAIL,BUY,70000.0,145.13,1.0159,810
2026-01-14,BAGDIGITAL,B.A.G.Convergence Limited,BULK,ABUNDANTIA CAPITAL VCC - ABUNDANTIA CAPITAL III,RETAIL,SELL,400000.0,109.07,4.3628,811
2026-01-14,BAGDIGITAL,B.A.G.Convergence Limited,BULK,NIKUNJ SHAH,RETAIL,SELL,142400.0,109.6,1.5607,812
2026-01-14,BAGDIGITAL,B.A.G.Convergence Limited,BULK,NIKUNJ SHAH,RETAIL,BUY,142400.0,110.21,1.5694,813
2026-01-14,BAGDIGITAL,B.A.G.Convergence Limited,BULK,RAMAN  TALWAR,RETAIL,SELL,446400.0,110.9,4.9506,814
2026-01-14,BAGDIGITAL,B.A.G.Convergence Limited,BULK,RAMAN  TALWAR,RETAIL,BUY,851200.0,109.71,9.3385,815
2026-01-14,BALAMINES,Balaji Amines Limited,BULK,HRTI PRIVATE LIMITED,RETAIL,BUY,262509.0,1270.92,33.3628,816
2026-01-14,BALAMINES,Balaji Amines Limited,BULK,HRTI PRIVATE LIMITED,RETAIL,SELL,265315.0,1276.09,33.8566,817
2026-01-14,BALAMINES,Balaji Amines Limited,BULK,JUNOMONETA FINSOL PRIVATE LIMITED,RETAIL,BUY,214983.0,1267.79,27.2553,818
2026-01-14,BALAMINES,Balaji Amines Limited,BULK,JUNOMONETA FINSOL PRIVATE LIMITED,RETAIL,SELL,215674.0,1268.18,27.3513,819
2026-01-14,DAVANGERE,Davangere Sugar Company L,BULK,ARIHANT CAPITAL MARKETS LIMITED,RETAIL,BUY,15420562.0,5.02,7.7411,820
2026-01-14,DAVANGERE,Davangere Sugar Company L,BULK,ARIHANT CAPITAL MARKETS LIMITED,RETAIL,SELL,32110429.0,4.94,15.8626,821
2026-01-14,DAVANGERE,Davangere Sugar Company L,BULK,SW CAPITAL PRIVATE LIMITED,RETAIL,SELL,14000000.0,5.0,7.0,822
2026-01-14,DAVANGERE,Davangere Sugar Company L,BULK,SW CAPITAL PRIVATE LIMITED,RETAIL,BUY,21342835.0,4.97,10.6074,823
2026-01-14,DCMFINSERV,DCM Financial Ser Ltd,BULK,YOGANANDA  G,RETAIL,BUY,121947.0,5.71,0.0696,824
2026-01-14,DCMFINSERV,DCM Financial Ser Ltd,BULK,YOGANANDA  G,RETAIL,SELL,121947.0,4.95,0.0604,825
2026-01-14,INDOWIND,Indowind Energy Limited,BULK,SKA ASSET SOLUTIONS LLP,RETAIL,SELL,710630.0,16.83,1.196,826
2026-01-14,INDOWIND,Indowind Energy Limited,BULK,SKA ASSET SOLUTIONS LLP,RETAIL,BUY,871768.0,16.38,1.428,827
2026-01-14,JARO,Jaro Ins of Tec Mg N Re L,BULK,ALPHAGREP SECURITIES PRIVATE LIMITED,RETAIL,BUY,140373.0,461.14,6.4732,828
2026-01-14,JARO,Jaro Ins of Tec Mg N Re L,BULK,ALPHAGREP SECURITIES PRIVATE LIMITED,RETAIL,SELL,140373.0,461.46,6.4777,829
2026-01-14,JARO,Jaro Ins of Tec Mg N Re L,BULK,JUNOMONETA FINSOL PRIVATE LIMITED,RETAIL,BUY,115769.0,459.49,5.3195,830
2026-01-14,JARO,Jaro Ins of Tec Mg N Re L,BULK,JUNOMONETA FINSOL PRIVATE LIMITED,RETAIL,SELL,115769.0,459.67,5.3216,831
2026-01-14,JARO,Jaro Ins of Tec Mg N Re L,BULK,QE SECURITIES LLP,RETAIL,SELL,139588.0,458.11,6.3947,832
2026-01-14,JARO,Jaro Ins of Tec Mg N Re L,BULK,QE SECURITIES LLP,RETAIL,BUY,139996.0,460.29,6.4439,833
2026-01-14,JTLIND,JTL INDUSTRIES LIMITED,BULK,JUNOMONETA FINSOL PRIVATE LIMITED,RETAIL,SELL,2009052.0,67.7,13.6013,834
2026-01-14,JTLIND,JTL INDUSTRIES LIMITED,BULK,JUNOMONETA FINSOL PRIVATE LIMITED,RETAIL,BUY,2012570.0,67.66,13.617,835
2026-01-14,JWL,Jupiter Wagons Limited,BULK,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,RETAIL,BUY,2227815.0,326.51,72.7404,836
2026-01-14,JWL,Jupiter Wagons Limited,BULK,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,RETAIL,SELL,2227815.0,326.59,72.7582,837
2026-01-14,KIRIINDUS,Kiri Industries Limited,BULK,MATHISYS ADVISORS LLP,RETAIL,BUY,326612.0,535.34,17.4848,838
2026-01-14,KIRIINDUS,Kiri Industries Limited,BULK,MATHISYS ADVISORS LLP,RETAIL,SELL,329192.0,535.78,17.6374,839
2026-01-14,KRISHPP,KRISHIVAL Re.3.50 ppd up,BULK,TALISMAN SECURITIES PRIVATE LIMITED,RETAIL,BUY,35000.0,135.2,0.4732,840
2026-01-14,MANAKALUCO,Manak Aluminium Co. Ltd.,BULK,ANKITA VISHAL SHAH,RETAIL,SELL,159383.0,50.32,0.802,841
2026-01-14,MANAKALUCO,Manak Aluminium Co. Ltd.,BULK,ANKITA VISHAL SHAH,RETAIL,BUY,341383.0,53.83,1.8377,842
2026-01-14,POLYCAB,Polycab India Limited,BULK,MOTILAL OSWAL MUTUAL FUND,MF,SELL,761086.0,7350.02,559.3997,843
2026-01-14,PURVA,Puravankara Limited,BULK,NK SECURITIES RESEARCH PRIVATE LIMITED,RETAIL,SELL,1188158.0,255.11,30.3111,844
2026-01-14,PURVA,Puravankara Limited,BULK,NK SECURITIES RESEARCH PRIVATE LIMITED,RETAIL,BUY,1188158.0,254.98,30.2957,845
2026-01-14,QUADFUTURE,Quadrant Future Tek Ltd,BULK,HRTI PRIVATE LIMITED,RETAIL,SELL,229764.0,327.6,7.5271,846
2026-01-14,QUADFUTURE,Quadrant Future Tek Ltd,BULK,HRTI PRIVATE LIMITED,RETAIL,BUY,267933.0,330.59,8.8576,847
2026-01-14,QUADFUTURE,Quadrant Future Tek Ltd,BULK,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,RETAIL,BUY,224451.0,333.15,7.4776,848
2026-01-14,QUADFUTURE,Quadrant Future Tek Ltd,BULK,JUMP TRADING FINANCIAL INDIA PRIVATE LIMITED,RETAIL,SELL,224451.0,333.46,7.4845,849
2026-01-14,QUADFUTURE,Quadrant Future Tek Ltd,BULK,JUNOMONETA FINSOL PRIVATE LIMITED,RETAIL,SELL,371906.0,331.39,12.3246,850
2026-01-14,QUADFUTURE,Quadrant Future Tek Ltd,BULK,JUNOMONETA FINSOL PRIVATE LIMITED,RETAIL,BUY,372983.0,331.23,12.3543,851
2026-01-14,QUADFUTURE,Quadrant Future Tek Ltd,BULK,MATHISYS ADVISORS LLP,RETAIL,SELL,203536.0,326.24,6.6402,852
2026-01-14,QUADFUTURE,Quadrant Future Tek Ltd,BULK,MATHISYS ADVISORS LLP,RETAIL,BUY,203728.0,328.52,6.6929,853
2026-01-14,RATNAVEER,Ratnaveer Precision Eng L,BULK,ARIHANT CAPITAL MARKETS LIMITED,RETAIL,SELL,325809.0,151.16,4.9249,854
2026-01-14,RATNAVEER,Ratnaveer Precision Eng L,BULK,ARIHANT CAPITAL MARKETS LIMITED,RETAIL,BUY,395739.0,154.67,6.1209,855
2026-01-14,SOCL,Sundrex Oil Company Ltd,BULK,NEO APEX VENTURE LLP,RETAIL,SELL,1600.0,33.55,0.0054,856
