symbol,date,source,headline,sentiment,sent_score,themes,signal_type,link,article_id,processed_at
CONCOR,2026-07-02,MINT_MARKETS,ICICI Prudential Mutual Fund raises stake to 5.24% in Container Corporation of India,BULLISH,1.0,"FINANCIALISATION,CAPEX_CYCLE",COMPANY_SPECIFIC,https://www.livemint.com/market/stock-market-news/icici-prudential-mutual-fund-raises-stake-to-5-24-in-container-corporation-of-india-11782976943930.html,https://www.livemint.com/market/stock-market-news/icici-prudential-mutual-fund-raises-stake-to-5-24-in-container-corporation-of-india-11782976943930.html,2026-07-03 04:12
IFCI,2026-07-02,MINT_MARKETS,"Stocks to buy: Nagaraj Shetti recommends IFCI, Five-Star Business Finance shares to buy in the short-term",BULLISH,1.0,"FINANCIALISATION,EXPORT_GROWTH",COMPANY_SPECIFIC,https://www.livemint.com/market/stock-market-news/stocks-to-buy-nagaraj-shetti-recommends-ifci-five-star-business-finance-shares-to-buy-in-the-shortterm-11782974932260.html,https://www.livemint.com/market/stock-market-news/stocks-to-buy-nagaraj-shetti-recommends-ifci-five-star-business-finance-shares-to-buy-in-the-shortterm-11782974932260.html,2026-07-03 04:12
FSF,2026-07-02,MINT_MARKETS,"Stocks to buy: Nagaraj Shetti recommends IFCI, Five-Star Business Finance shares to buy in the short-term",BULLISH,1.0,"FINANCIALISATION,EXPORT_GROWTH",COMPANY_SPECIFIC,https://www.livemint.com/market/stock-market-news/stocks-to-buy-nagaraj-shetti-recommends-ifci-five-star-business-finance-shares-to-buy-in-the-shortterm-11782974932260.html,https://www.livemint.com/market/stock-market-news/stocks-to-buy-nagaraj-shetti-recommends-ifci-five-star-business-finance-shares-to-buy-in-the-shortterm-11782974932260.html,2026-07-03 04:12
IRCTC,2026-07-02,MINT_MARKETS,Can WeWork India's managed-office bet pay off?,BEARISH,-1.0,"DIGITAL_INDIA,FINANCIALISATION",COMPANY_SPECIFIC,https://www.livemint.com/market/mark-to-market/wework-india-stock-rally-managed-office-growth-11782971111171.html,https://www.livemint.com/market/mark-to-market/wework-india-stock-rally-managed-office-growth-11782971111171.html,2026-07-03 04:12
HDFC,2026-07-02,MINT_MARKETS,Can WeWork India's managed-office bet pay off?,BEARISH,-1.0,"DIGITAL_INDIA,FINANCIALISATION",COMPANY_SPECIFIC,https://www.livemint.com/market/mark-to-market/wework-india-stock-rally-managed-office-growth-11782971111171.html,https://www.livemint.com/market/mark-to-market/wework-india-stock-rally-managed-office-growth-11782971111171.html,2026-07-03 04:12
TCS,2026-07-02,MINT_MARKETS,Can WeWork India's managed-office bet pay off?,BULLISH,1.0,"DIGITAL_INDIA,FINANCIALISATION",COMPANY_SPECIFIC,https://www.livemint.com/market/mark-to-market/wework-india-stock-rally-managed-office-growth-11782971111171.html,https://www.livemint.com/market/mark-to-market/wework-india-stock-rally-managed-office-growth-11782971111171.html,2026-07-03 04:12
INFY,2026-07-02,MINT_MARKETS,Can WeWork India's managed-office bet pay off?,BULLISH,1.0,"DIGITAL_INDIA,FINANCIALISATION",COMPANY_SPECIFIC,https://www.livemint.com/market/mark-to-market/wework-india-stock-rally-managed-office-growth-11782971111171.html,https://www.livemint.com/market/mark-to-market/wework-india-stock-rally-managed-office-growth-11782971111171.html,2026-07-03 04:12
WTL,2026-07-02,MINT_MARKETS,Can WeWork India's managed-office bet pay off?,BEARISH,-1.0,"DIGITAL_INDIA,FINANCIALISATION",COMPANY_SPECIFIC,https://www.livemint.com/market/mark-to-market/wework-india-stock-rally-managed-office-growth-11782971111171.html,https://www.livemint.com/market/mark-to-market/wework-india-stock-rally-managed-office-growth-11782971111171.html,2026-07-03 04:12
INFY,2026-07-02,MINT_MARKETS,"Nifty IT jumps almost 5%; Infosys, TCS shares surge up to 6%. Should you buy IT stocks at this juncture?",BULLISH,1.0,"DIGITAL_INDIA,INFRASTRUCTURE_BUILD",COMPANY_SPECIFIC|SECTOR,https://www.livemint.com/market/stock-market-news/nifty-it-jumps-over-4-infosys-tcs-shares-surge-up-to-5-should-you-buy-it-stocks-at-this-juncture-11782969939148.html,https://www.livemint.com/market/stock-market-news/nifty-it-jumps-over-4-infosys-tcs-shares-surge-up-to-5-should-you-buy-it-stocks-at-this-juncture-11782969939148.html,2026-07-03 04:13
TCS,2026-07-02,MINT_MARKETS,"Nifty IT jumps almost 5%; Infosys, TCS shares surge up to 6%. Should you buy IT stocks at this juncture?",BULLISH,1.0,"DIGITAL_INDIA,INFRASTRUCTURE_BUILD",COMPANY_SPECIFIC|SECTOR,https://www.livemint.com/market/stock-market-news/nifty-it-jumps-over-4-infosys-tcs-shares-surge-up-to-5-should-you-buy-it-stocks-at-this-juncture-11782969939148.html,https://www.livemint.com/market/stock-market-news/nifty-it-jumps-over-4-infosys-tcs-shares-surge-up-to-5-should-you-buy-it-stocks-at-this-juncture-11782969939148.html,2026-07-03 04:13
CSM,2026-07-02,MINT_MARKETS,"CSM Technologies share price hits 5% lower circuit after flat listing. Should you buy, sell or hold?",BEARISH,-1.0,CAPEX_CYCLE,COMPANY_SPECIFIC,https://www.livemint.com/market/stock-market-news/csm-technologies-share-price-hits-5-lower-circuit-after-flat-listing-should-you-buy-sell-or-hold-11782970680043.html,https://www.livemint.com/market/stock-market-news/csm-technologies-share-price-hits-5-lower-circuit-after-flat-listing-should-you-buy-sell-or-hold-11782970680043.html,2026-07-03 04:13
NONE,2026-07-02,MINT_MARKETS,"Adon Agro Commodities IPO share allotment in focus today: GMP, 4 steps to check status online",NONE,0.0,,IRRELEVANT,https://www.livemint.com/market/ipo/adon-agro-commodities-ipo-share-allotment-in-focus-today-gmp-4-steps-to-check-status-online-11782965576360.html,https://www.livemint.com/market/ipo/adon-agro-commodities-ipo-share-allotment-in-focus-today-gmp-4-steps-to-check-status-online-11782965576360.html,2026-07-03 04:13
VEDL,2026-07-02,MINT_MARKETS,Multibagger Alert! Vedanta Iron and Steel share price soars 113% since listing - More upside ahead?,BULLISH,1.0,"CAPEX_CYCLE,INDIA_PLUS_ONE",COMPANY_SPECIFIC,https://www.livemint.com/market/stock-market-news/multibagger-alert-vedanta-iron-and-steel-share-price-soars-113-since-listing-more-upside-ahead-11782967910054.html,https://www.livemint.com/market/stock-market-news/multibagger-alert-vedanta-iron-and-steel-share-price-soars-113-since-listing-more-upside-ahead-11782967910054.html,2026-07-03 04:13
CSMTECH,2026-07-02,MINT_MARKETS,"CSM Technologies share price makes flat debut, lists at IPO price of  ₹113",NEUTRAL,0.0,SECTOR,COMPANY_SPECIFIC,https://www.livemint.com/market/stock-market-news/csm-technologies-share-price-makes-flat-debut-lists-at-ipo-price-of-113-11782966462910.html,https://www.livemint.com/market/stock-market-news/csm-technologies-share-price-makes-flat-debut-lists-at-ipo-price-of-113-11782966462910.html,2026-07-03 04:13
CDSSL,2026-07-02,MINT_MARKETS,"Stocks to buy or sell: Osho Krishan of Angel One suggests buying CDSL, Indian Hotels shares on 2 July",BULLISH,1.0,DIGITAL_INDIA,SECTOR,https://www.livemint.com/market/stocks-to-buy-or-sell-osho-krishan-of-angel-one-suggests-buying-cdsl-indian-hotels-shares-on-2-july-11782964575702.html,https://www.livemint.com/market/stocks-to-buy-or-sell-osho-krishan-of-angel-one-suggests-buying-cdsl-indian-hotels-shares-on-2-july-11782964575702.html,2026-07-03 04:13
INDHOTEL,2026-07-02,MINT_MARKETS,"Stocks to buy or sell: Osho Krishan of Angel One suggests buying CDSL, Indian Hotels shares on 2 July",BULLISH,1.0,DIGITAL_INDIA,SECTOR,https://www.livemint.com/market/stocks-to-buy-or-sell-osho-krishan-of-angel-one-suggests-buying-cdsl-indian-hotels-shares-on-2-july-11782964575702.html,https://www.livemint.com/market/stocks-to-buy-or-sell-osho-krishan-of-angel-one-suggests-buying-cdsl-indian-hotels-shares-on-2-july-11782964575702.html,2026-07-03 04:13
ADANIENT,2026-07-02,MINT_MARKETS,"Adani Energy Solutions approves  ₹10,000 crore fundraising via QIP; check Q1 results date for the Adani Group stock",BULLISH,1.0,"CAPITAL_RAISING,GREEN_ENERGY,INFRASTRUCTURE_BUILD",COMPANY_SPECIFIC,https://www.livemint.com/market/stock-market-news/adani-energy-solutions-approves-rs-10-000-crore-fundraising-via-qip-check-q1-results-date-for-the-adani-group-stock-11782963982557.html,https://www.livemint.com/market/stock-market-news/adani-energy-solutions-approves-rs-10-000-crore-fundraising-via-qip-check-q1-results-date-for-the-adani-group-stock-11782963982557.html,2026-07-03 04:13
WIPRO,2026-07-02,MINT_MARKETS,Wipro share price climbs 1% following a 17% drop in ADRs overnight amid growing AI concerns. Do you own?,NEUTRAL,0.0,"AI_ENABLERS,CAPITAL_MARKET",COMPANY_SPECIFIC,https://www.livemint.com/market/stock-market-news/wipro-share-price-climbs-1-following-a-17-drop-in-adrs-overnight-amid-growing-ai-concerns-do-you-own-11782961689819.html,https://www.livemint.com/market/stock-market-news/wipro-share-price-climbs-1-following-a-17-drop-in-adrs-overnight-amid-growing-ai-concerns-do-you-own-11782961689819.html,2026-07-03 04:14
BANKNIFTY,2026-07-02,MINT_MARKETS,Tight funding norms for prop traders may hit expiry day volumes,BULLISH/NEUTRAL/BULLISH,0.0,"INTEREST_RATE_CYCLE,CAPEX_CYCLE,EXPORT_GROWTH",SECTOR,https://www.livemint.com/market/stock-market-news/rbi-reserve-bank-of-india-proprietary-traders-prop-trading-weekly-options-nifty-sensex-options-collateral-11782959844426.html,https://www.livemint.com/market/stock-market-news/rbi-reserve-bank-of-india-proprietary-traders-prop-trading-weekly-options-nifty-sensex-options-collateral-11782959844426.html,2026-07-03 04:14
NIFTY,2026-07-02,MINT_MARKETS,Tight funding norms for prop traders may hit expiry day volumes,BULLISH/NEUTRAL/BULLISH,0.0,"INTEREST_RATE_CYCLE,CAPEX_CYCLE,EXPORT_GROWTH",SECTOR,https://www.livemint.com/market/stock-market-news/rbi-reserve-bank-of-india-proprietary-traders-prop-trading-weekly-options-nifty-sensex-options-collateral-11782959844426.html,https://www.livemint.com/market/stock-market-news/rbi-reserve-bank-of-india-proprietary-traders-prop-trading-weekly-options-nifty-sensex-options-collateral-11782959844426.html,2026-07-03 04:14
NIFTY50,2026-07-02,MINT_MARKETS,Tight funding norms for prop traders may hit expiry day volumes,BULLISH/NEUTRAL/BULLISH,0.0,"INTEREST_RATE_CYCLE,CAPEX_CYCLE,EXPORT_GROWTH",SECTOR,https://www.livemint.com/market/stock-market-news/rbi-reserve-bank-of-india-proprietary-traders-prop-trading-weekly-options-nifty-sensex-options-collateral-11782959844426.html,https://www.livemint.com/market/stock-market-news/rbi-reserve-bank-of-india-proprietary-traders-prop-trading-weekly-options-nifty-sensex-options-collateral-11782959844426.html,2026-07-03 04:14
ADOWS,2026-07-02,MINT_COMPANIES,"Adani Enterprises launches $1.05 billion share sale, begins second phase of  ₹16,600 crore fundraising",BULLISH,1.0,CAPITAL_RAISING,COMPANY_SPECIFIC,https://www.livemint.com/companies/gautam-adani-enterprises-stock-share-sale-fundraising-qip-rights-issue-11783001732983.html,https://www.livemint.com/companies/gautam-adani-enterprises-stock-share-sale-fundraising-qip-rights-issue-11783001732983.html,2026-07-03 04:14
ADANIENT,2026-07-02,MINT_COMPANIES,"Adani flagship seeks $1 billion via placement, terms show",NEUTRAL,0.0,"CAPEX_CYCLE,INDIA_PLUS_ONE",COMPANY_SPECIFIC,https://www.livemint.com/companies/news/adani-flagship-seeks-1-billion-via-placement-terms-show-11783006683194.html,https://www.livemint.com/companies/news/adani-flagship-seeks-1-billion-via-placement-terms-show-11783006683194.html,2026-07-03 04:14
RELIANCE,2026-07-02,MINT_COMPANIES,"Reliance Jio, Amazon Leo spar over proposed satellite network framework",BEARISH,-1.0,"CAPEX_CYCLE,LOGISTICS_MODERNISATION",COMPANY_SPECIFIC|SECTOR,https://www.livemint.com/companies/reliance-jio-amazon-leo-spar-over-proposed-satellite-network-framework-11782996344558.html,https://www.livemint.com/companies/reliance-jio-amazon-leo-spar-over-proposed-satellite-network-framework-11782996344558.html,2026-07-03 04:14
INFY,2026-07-02,MINT_COMPANIES,"Reliance Jio, Amazon Leo spar over proposed satellite network framework",NEUTRAL,0.0,"CAPEX_CYCLE,LOGISTICS_MODERNISATION",COMPANY_SPECIFIC|SECTOR,https://www.livemint.com/companies/reliance-jio-amazon-leo-spar-over-proposed-satellite-network-framework-11782996344558.html,https://www.livemint.com/companies/reliance-jio-amazon-leo-spar-over-proposed-satellite-network-framework-11782996344558.html,2026-07-03 04:14
MARICO,2026-07-02,MINT_COMPANIES,Marico expects strong operating profit growth in Q1 as copra prices fall 45% from peak,BULLISH,1.0,"CAPEX_CYCLE, DIVIDEND_YIELD, LARGECAP_VALUE",COMPANY_SPECIFIC,https://www.livemint.com/companies/news/marico-operating-profit-copra-prices-q1-results-parachute-coconut-oil-saffola-oils-quarterly-update-11782992275454.html,https://www.livemint.com/companies/news/marico-operating-profit-copra-prices-q1-results-parachute-coconut-oil-saffola-oils-quarterly-update-11782992275454.html,2026-07-03 04:15
TATASWY,2026-07-02,MINT_COMPANIES,Tata Steel pushes UK profitability target to FY29,BEARISH,-1.0,"INDUSTRY_CONTRACTIVITY,CAPITAL_MARKETS",COMPANY_SPECIFIC,https://www.livemint.com/companies/news/tata-steel-uk-profitability-target-delayed-eaf-port-talbot-fy29-11782988143358.html,https://www.livemint.com/companies/news/tata-steel-uk-profitability-target-delayed-eaf-port-talbot-fy29-11782988143358.html,2026-07-03 04:15
BAJFINANCE,2026-07-02,MINT_COMPANIES,"Adani takes on Birla, Vedanta with $11.5 billion aluminium bet",NEUTRAL,0.0,"CAPEX_CYCLE,SMART_CITIES",COMPANY_SPECIFIC,https://www.livemint.com/companies/news/adani-enterprises-aditya-birla-group-vedanta-group-aluminium-industry-india-11782979418211.html,https://www.livemint.com/companies/news/adani-enterprises-aditya-birla-group-vedanta-group-aluminium-industry-india-11782979418211.html,2026-07-03 04:15
VEDL,2026-07-02,MINT_COMPANIES,"Adani takes on Birla, Vedanta with $11.5 billion aluminium bet",BULLISH,1.0,"CAPEX_CYCLE,SMART_CITIES",COMPANY_SPECIFIC,https://www.livemint.com/companies/news/adani-enterprises-aditya-birla-group-vedanta-group-aluminium-industry-india-11782979418211.html,https://www.livemint.com/companies/news/adani-enterprises-aditya-birla-group-vedanta-group-aluminium-industry-india-11782979418211.html,2026-07-03 04:15
ADANIENT,2026-07-02,MINT_COMPANIES,"Adani takes on Birla, Vedanta with $11.5 billion aluminium bet",BULLISH,1.0,"CAPEX_CYCLE,SMART_CITIES",COMPANY_SPECIFIC,https://www.livemint.com/companies/news/adani-enterprises-aditya-birla-group-vedanta-group-aluminium-industry-india-11782979418211.html,https://www.livemint.com/companies/news/adani-enterprises-aditya-birla-group-vedanta-group-aluminium-industry-india-11782979418211.html,2026-07-03 04:15
TATASTEEL,2026-07-02,MINT_COMPANIES,"Adani takes on Birla, Vedanta with $11.5 billion aluminium bet",NEUTRAL,0.0,"CAPEX_CYCLE,SMART_CITIES",COMPANY_SPECIFIC,https://www.livemint.com/companies/news/adani-enterprises-aditya-birla-group-vedanta-group-aluminium-industry-india-11782979418211.html,https://www.livemint.com/companies/news/adani-enterprises-aditya-birla-group-vedanta-group-aluminium-industry-india-11782979418211.html,2026-07-03 04:15
NTPC,2026-07-02,MINT_COMPANIES,"Adani takes on Birla, Vedanta with $11.5 billion aluminium bet",NEUTRAL,0.0,"CAPEX_CYCLE,SMART_CITIES",COMPANY_SPECIFIC,https://www.livemint.com/companies/news/adani-enterprises-aditya-birla-group-vedanta-group-aluminium-industry-india-11782979418211.html,https://www.livemint.com/companies/news/adani-enterprises-aditya-birla-group-vedanta-group-aluminium-industry-india-11782979418211.html,2026-07-03 04:15
IRRELEVANT,2026-07-02,MINT_COMPANIES,Microsoft partners with Singapore's Lightstorm to build India-Southeast Asia undersea cable,NEUTRAL,0.0,"DIGITAL_INDIA,INFRASTRUCTURE_BUILD",MACRO,https://www.livemint.com/companies/news/microsoft-partners-with-singapores-lightstorm-to-build-india-southeast-asia-undersea-cable-11782978232921.html,https://www.livemint.com/companies/news/microsoft-partners-with-singapores-lightstorm-to-build-india-southeast-asia-undersea-cable-11782978232921.html,2026-07-03 04:15
VEDL,2026-07-02,MINT_COMPANIES,"Regulatory cloud lifts, Vedanta readies Bokaro capacity doubling",BULLISH,1.0,"INDUSTRIAL_PRODUCTION,INDIA_PLUS_ONE",COMPANY_SPECIFIC,https://www.livemint.com/companies/vedanta-iron-steel-vedanta-anil-agarwal-bokaro-steel-plant-steel-capacity-expansion-esl-steel-bokaro-11782919317947.html,https://www.livemint.com/companies/vedanta-iron-steel-vedanta-anil-agarwal-bokaro-steel-plant-steel-capacity-expansion-esl-steel-bokaro-11782919317947.html,2026-07-03 04:16
AXISBANK,2026-07-02,MINT_COMPANIES,New KPI on the block: Indian companies from banking to consulting start appraising leaders on AI implementation,BULLISH,1.0,"DIGITAL_INDIA,FINTECH_INFRASTR",SECTOR,https://www.livemint.com/companies/news/new-kpi-ai-adoption-performance-appraisals-pwc-india-axis-bank-bell-curve-model-top-management-11782895145276.html,https://www.livemint.com/companies/news/new-kpi-ai-adoption-performance-appraisals-pwc-india-axis-bank-bell-curve-model-top-management-11782895145276.html,2026-07-03 04:16
TVSMOTOR,2026-07-02,MINT_COMPANIES,"TVS's  ₹2,000-crore Norton gamble is set for the market test",NEUTRAL,0.0,,COMPANY_SPECIFIC,https://www.livemint.com/companies/news/tvs-norton-losses-2000-crore-premium-motorcycle-brand-revival-market-test-11782872699846.html,https://www.livemint.com/companies/news/tvs-norton-losses-2000-crore-premium-motorcycle-brand-revival-market-test-11782872699846.html,2026-07-03 04:16
HCLTECH,2026-07-01,MINT_COMPANIES,Prudential-HCL joint venture becomes India’s eighth standalone health insurer,NEUTRAL,0.0,"FINANCIALISATION,HEALTHTECH,WEALTH_MGMT",COMPANY_SPECIFIC,https://www.livemint.com/companies/news/prudential-hcl-health-irdai-approval-11782915502104.html,https://www.livemint.com/companies/news/prudential-hcl-health-irdai-approval-11782915502104.html,2026-07-03 04:16
PRUINVESCO,2026-07-01,MINT_COMPANIES,Prudential-HCL joint venture becomes India’s eighth standalone health insurer,NEUTRAL,0.0,"FINANCIALISATION,HEALTHTECH,WEALTH_MGMT",COMPANY_SPECIFIC,https://www.livemint.com/companies/news/prudential-hcl-health-irdai-approval-11782915502104.html,https://www.livemint.com/companies/news/prudential-hcl-health-irdai-approval-11782915502104.html,2026-07-03 04:16
