symbol,futures_oi,oi_1d,oi_5d,oi_signal,fut_close,expiry,as_of_date
NYKAA,44618750.0,837500.0,13571875.0,LONG_BUILDUP,334.65,2026-08-25,2026-07-31
HINDPETRO,44471025.0,1010475.0,10894500.0,LONG_BUILDUP,391.8,2026-08-25,2026-07-31
POWERGRID,44159800.0,860700.0,18587700.0,SHORT_BUILDUP,284.3,2026-08-25,2026-07-31
RECLTD,44029125.0,215775.0,20430900.0,LONG_BUILDUP,372.25,2026-08-25,2026-07-31
BPCL,40659325.0,580650.0,12981675.0,LONG_BUILDUP,321.15,2026-08-25,2026-07-31
JSWSTEEL,39651525.0,396225.0,8196525.0,SHORT_BUILDUP,1277.1,2026-08-25,2026-07-31
ABCAPITAL,35777100.0,1850700.0,11820300.0,LONG_BUILDUP,406.15,2026-08-25,2026-07-31
RVNL,34938750.0,34650.0,11447975.0,LONG_BUILDUP,225.95,2026-08-25,2026-07-31
INDUSINDBK,34045900.0,-142100.0,8364300.0,LONG_UNWINDING,1010.25,2026-08-25,2026-07-31
TCS,31698900.0,-378675.0,6164550.0,LONG_UNWINDING,2377.0,2026-08-25,2026-07-31
PETRONET,31650200.0,-157700.0,12300600.0,SHORT_COVERING,281.3,2026-08-25,2026-07-31
PATANJALI,31259925.0,459025.0,10380200.0,SHORT_BUILDUP,356.7,2026-08-25,2026-07-31
UPL,30651455.0,222220.0,10945690.0,LONG_BUILDUP,607.55,2026-08-25,2026-07-31
DABUR,29940000.0,187500.0,10947500.0,SHORT_BUILDUP,422.45,2026-08-25,2026-07-31
HINDZINC,29302000.0,278075.0,13983375.0,LONG_BUILDUP,541.3,2026-08-25,2026-07-31
LICHSGFIN,28468000.0,3695000.0,11526000.0,SHORT_BUILDUP,515.45,2026-08-25,2026-07-31
HCLTECH,27294400.0,-6800.0,6258800.0,LONG_UNWINDING,1347.5,2026-08-25,2026-07-31
ADANIGREEN,26787600.0,423000.0,11413800.0,LONG_BUILDUP,1389.9,2026-08-25,2026-07-31
DELHIVERY,26759200.0,3886475.0,13510325.0,LONG_BUILDUP,482.3,2026-08-25,2026-07-31
ANGELONE,26630000.0,162500.0,9190000.0,LONG_BUILDUP,298.85,2026-08-25,2026-07-31
SHRIRAMFIN,26435475.0,-623700.0,7186575.0,SHORT_COVERING,1050.0,2026-08-25,2026-07-31
JSWENERGY,25121675.0,-86000.0,9936225.0,SHORT_COVERING,557.45,2026-08-25,2026-07-31
KALYANKJIL,24123150.0,-793800.0,6957900.0,LONG_UNWINDING,613.8,2026-08-25,2026-07-31
SBICARD,22296800.0,232800.0,4346400.0,LONG_BUILDUP,661.4,2026-08-25,2026-07-31
CONCOR,21856250.0,148750.0,11282500.0,LONG_BUILDUP,525.3,2026-08-25,2026-07-31
AUBANK,21846000.0,205000.0,5399000.0,LONG_BUILDUP,1052.9,2026-08-25,2026-07-31
INDHOTEL,20888000.0,-200000.0,6104000.0,LONG_UNWINDING,741.5,2026-08-25,2026-07-31
ADANIPORTS,20723775.0,-670700.0,7134025.0,SHORT_COVERING,1703.8,2026-08-25,2026-07-31
CGPOWER,19852600.0,571200.0,6389450.0,LONG_BUILDUP,867.95,2026-08-25,2026-07-31
ADANIENSOL,19117350.0,68850.0,6762825.0,SHORT_BUILDUP,1649.2,2026-08-25,2026-07-31
ICICIPRULI,18608225.0,-153550.0,4965400.0,SHORT_COVERING,517.15,2026-08-25,2026-07-31
LICI,18580800.0,-301000.0,5786200.0,SHORT_COVERING,423.1,2026-08-25,2026-07-31
PAYTM,18525200.0,-814175.0,6964350.0,SHORT_COVERING,1344.4,2026-08-25,2026-07-31
TECHM,17945400.0,-273000.0,4272600.0,LONG_UNWINDING,1652.6,2026-08-25,2026-07-31
JUBLFOOD,17095000.0,-53750.0,4798750.0,LONG_UNWINDING,437.35,2026-08-25,2026-07-31
LAURUSLABS,16371850.0,-84150.0,3804600.0,SHORT_COVERING,1812.9,2026-08-25,2026-07-31
OIL,16004800.0,-331800.0,3162600.0,SHORT_COVERING,460.05,2026-08-25,2026-07-31
ADANIENT,15937911.0,124218.0,6392283.0,SHORT_BUILDUP,3025.5,2026-08-25,2026-07-31
TATACONSUM,15632650.0,56100.0,4903800.0,SHORT_BUILDUP,1088.7,2026-08-25,2026-07-31
MARICO,15562800.0,1086000.0,6157200.0,SHORT_BUILDUP,875.25,2026-08-25,2026-07-31
HINDUNILVR,15000900.0,-231600.0,4025100.0,LONG_UNWINDING,2106.1,2026-08-25,2026-07-31
NAUKRI,13982650.0,-438350.0,4160200.0,LONG_UNWINDING,1228.8,2026-08-25,2026-07-31
KPITTECH,13978675.0,-159650.0,3837025.0,SHORT_COVERING,593.9,2026-08-25,2026-07-31
DRREDDY,13827500.0,66250.0,4109375.0,SHORT_BUILDUP,1148.5,2026-08-25,2026-07-31
COFORGE,13796850.0,-111625.0,2302325.0,LONG_UNWINDING,1725.6,2026-08-25,2026-07-31
SUNPHARMA,13648950.0,-276150.0,3977750.0,LONG_UNWINDING,1993.6,2026-08-25,2026-07-31
CHOLAFIN,12776875.0,117500.0,4360625.0,LONG_BUILDUP,1857.0,2026-08-25,2026-07-31
JINDALSTEL,12756250.0,-8125.0,5596875.0,SHORT_COVERING,1106.6,2026-08-25,2026-07-31
M&M,12622600.0,-911200.0,2749400.0,SHORT_COVERING,3402.4,2026-08-25,2026-07-31
INDIANB,12255000.0,-137000.0,4108000.0,SHORT_COVERING,839.0,2026-08-25,2026-07-31
LODHA,12062500.0,-1528125.0,968750.0,SHORT_COVERING,1236.5,2026-08-25,2026-07-31
GRASIM,11763000.0,-189000.0,3101750.0,LONG_UNWINDING,3104.7,2026-08-25,2026-07-31
LT,11679850.0,-217700.0,4471600.0,SHORT_COVERING,3954.3,2026-08-25,2026-07-31
GLENMARK,11525250.0,-22500.0,5630250.0,SHORT_COVERING,2241.6,2026-08-25,2026-07-31
TRENT,10843650.0,-119700.0,1283625.0,SHORT_COVERING,3013.6,2026-08-25,2026-07-31
PGEL,10810050.0,85500.0,5233550.0,SHORT_BUILDUP,615.45,2026-08-25,2026-07-31
GODREJCP,10564500.0,161000.0,3795000.0,SHORT_BUILDUP,1069.3,2026-08-25,2026-07-31
SONACOMS,10315725.0,-306250.0,2170700.0,SHORT_COVERING,768.55,2026-08-25,2026-07-31
AUROPHARMA,9943450.0,89650.0,2728550.0,LONG_BUILDUP,1584.4,2026-08-25,2026-07-31
CDSL,9921800.0,292600.0,4160050.0,SHORT_BUILDUP,1335.1,2026-08-25,2026-07-31
ZYDUSLIFE,9813600.0,26100.0,2165400.0,LONG_BUILDUP,1132.7,2026-08-25,2026-07-31
MAXHEALTH,9688875.0,145425.0,2349375.0,SHORT_BUILDUP,1104.0,2026-08-25,2026-07-31
MFSL,9648000.0,43200.0,4498400.0,SHORT_BUILDUP,1507.1,2026-08-25,2026-07-31
TVSMOTOR,9580900.0,-569800.0,11025.0,SHORT_COVERING,4322.9,2026-08-25,2026-07-31
HAVELLS,9510000.0,23500.0,2938000.0,SHORT_BUILDUP,1263.4,2026-08-25,2026-07-31
CIPLA,9359775.0,-361250.0,1720825.0,SHORT_COVERING,1475.7,2026-08-25,2026-07-31
POLICYBZR,9173850.0,-90300.0,3006500.0,SHORT_COVERING,1605.5,2026-08-25,2026-07-31
FORTIS,9165150.0,154225.0,3082950.0,SHORT_BUILDUP,949.55,2026-08-25,2026-07-31
BAJAJFINSV,8682900.0,-79800.0,2731500.0,SHORT_COVERING,2036.2,2026-08-25,2026-07-31
NESTLEIND,8431000.0,-432500.0,1930000.0,LONG_UNWINDING,1511.8,2026-08-25,2026-07-31
BSE,8388000.0,203600.0,4027800.0,LONG_BUILDUP,3654.7,2026-08-25,2026-07-31
UNITDSPR,7915200.0,-62400.0,1922000.0,LONG_UNWINDING,1519.5,2026-08-25,2026-07-31
PIDILITIND,7637000.0,120000.0,3293500.0,SHORT_BUILDUP,1619.6,2026-08-25,2026-07-31
BHARATFORG,7622500.0,99000.0,2562500.0,LONG_BUILDUP,2211.5,2026-08-25,2026-07-31
WAAREEENER,7604450.0,-87150.0,2148475.0,SHORT_COVERING,2654.3,2026-08-25,2026-07-31
ASIANPAINT,7479000.0,-53250.0,2826250.0,LONG_UNWINDING,2751.6,2026-08-25,2026-07-31
PREMIERENE,7450300.0,-360100.0,2583100.0,SHORT_COVERING,1024.9,2026-08-25,2026-07-31
GODREJPROP,7403500.0,32175.0,2778100.0,SHORT_BUILDUP,2113.4,2026-08-25,2026-07-31
PNBHOUSING,7397650.0,367250.0,2986750.0,LONG_BUILDUP,1054.1,2026-08-25,2026-07-31
MUTHOOTFIN,7335900.0,157575.0,2552275.0,LONG_BUILDUP,3138.6,2026-08-25,2026-07-31
ASTRAL,7265375.0,87975.0,1453500.0,SHORT_BUILDUP,1425.0,2026-08-25,2026-07-31
BDL,7193975.0,-137275.0,2042550.0,SHORT_COVERING,1236.1,2026-08-25,2026-07-31
MCX,7189200.0,58725.0,2663325.0,LONG_BUILDUP,2703.1,2026-08-25,2026-07-31
NAM-INDIA,7064375.0,5000.0,1746875.0,LONG_BUILDUP,1159.0,2026-08-25,2026-07-31
VOLTAS,7044375.0,-216000.0,1334250.0,LONG_UNWINDING,1328.7,2026-08-25,2026-07-31
CAMS,6994350.0,284625.0,2341350.0,LONG_BUILDUP,798.25,2026-08-25,2026-07-31
MOTILALOFS,6780475.0,-117800.0,1927425.0,SHORT_COVERING,856.65,2026-08-25,2026-07-31
SBILIFE,6396375.0,-62250.0,965625.0,SHORT_COVERING,1885.9,2026-08-25,2026-07-31
LUPIN,6076650.0,259675.0,2643500.0,SHORT_BUILDUP,2428.8,2026-08-25,2026-07-31
HDFCAMC,5926200.0,-208200.0,1539300.0,SHORT_COVERING,2627.0,2026-08-25,2026-07-31
COCHINSHIP,5538000.0,-168800.0,1665600.0,SHORT_COVERING,1429.4,2026-08-25,2026-07-31
TITAN,5484675.0,-117075.0,1807925.0,SHORT_COVERING,4883.5,2026-08-25,2026-07-31
OBEROIRLTY,5415200.0,-61950.0,1091300.0,SHORT_COVERING,1836.2,2026-08-25,2026-07-31
INDIGO,5392350.0,-189900.0,859650.0,LONG_UNWINDING,5191.5,2026-08-25,2026-07-31
ICICIGI,5125250.0,47775.0,1263275.0,SHORT_BUILDUP,1632.7,2026-08-25,2026-07-31
HAL,5110650.0,48900.0,1964700.0,LONG_BUILDUP,4655.4,2026-08-25,2026-07-31
DMART,5048100.0,-40650.0,1541250.0,SHORT_COVERING,3923.6,2026-08-25,2026-07-31
PRESTIGE,5044500.0,87300.0,1678950.0,LONG_BUILDUP,1621.9,2026-08-25,2026-07-31
MAZDOCK,5031675.0,-74925.0,1532475.0,SHORT_COVERING,2387.4,2026-08-25,2026-07-31
COLPAL,4879600.0,81400.0,1924450.0,SHORT_BUILDUP,2078.8,2026-08-25,2026-07-31
APLAPOLLO,4689650.0,258300.0,2110850.0,SHORT_BUILDUP,1820.8,2026-08-25,2026-07-31
HEROMOTOCO,4608450.0,-137550.0,1180950.0,SHORT_COVERING,5401.2,2026-08-25,2026-07-31
SRF,4523000.0,71800.0,1272600.0,LONG_BUILDUP,2634.6,2026-08-25,2026-07-31
UNOMINDA,4457200.0,44550.0,819500.0,LONG_BUILDUP,1186.9,2026-08-25,2026-07-31
360ONE,4135000.0,500.0,888000.0,SHORT_BUILDUP,1140.0,2026-08-25,2026-07-31
HYUNDAI,4074950.0,25300.0,746625.0,LONG_BUILDUP,2164.2,2026-08-25,2026-07-31
EICHERMOT,3976300.0,-154600.0,919300.0,LONG_UNWINDING,7860.0,2026-08-25,2026-07-31
CUMMINSIND,3918200.0,-47600.0,1334800.0,SHORT_COVERING,5549.0,2026-08-25,2026-07-31
KAYNES,3893100.0,97350.0,1529550.0,LONG_BUILDUP,3821.4,2026-08-25,2026-07-31
MPHASIS,3887125.0,-65725.0,961950.0,LONG_UNWINDING,2341.3,2026-08-25,2026-07-31
DALBHARAT,3847025.0,50050.0,1878175.0,LONG_BUILDUP,1808.9,2026-08-25,2026-07-31
TORNTPHARM,3801375.0,-165375.0,67625.0,SHORT_COVERING,5145.4,2026-08-25,2026-07-31
KFINTECH,3722550.0,81650.0,780275.0,LONG_BUILDUP,931.95,2026-08-25,2026-07-31
PHOENIXLTD,3676750.0,148400.0,1175650.0,LONG_BUILDUP,1903.3,2026-08-25,2026-07-31
SIEMENS,3611825.0,-56700.0,952175.0,SHORT_COVERING,3728.0,2026-08-25,2026-07-31
PERSISTENT,3582500.0,-26125.0,571875.0,SHORT_COVERING,5569.0,2026-08-25,2026-07-31
DIVISLAB,3565700.0,44700.0,948300.0,LONG_BUILDUP,8085.0,2026-08-25,2026-07-31
MANKIND,3360250.0,495000.0,1513000.0,SHORT_BUILDUP,2465.7,2026-08-25,2026-07-31
BLUESTARCO,3117400.0,21775.0,635700.0,SHORT_BUILDUP,1678.5,2026-08-25,2026-07-31
GVT&D,2846750.0,-267000.0,1032000.0,SHORT_COVERING,4323.0,2026-08-25,2026-07-31
PIIND,2744000.0,-4375.0,483000.0,LONG_UNWINDING,2752.2,2026-08-25,2026-07-31
TATAELXSI,2532750.0,7125.0,14375.0,LONG_BUILDUP,3684.9,2026-08-25,2026-07-31
LTM,2498850.0,-258900.0,172650.0,LONG_UNWINDING,4380.6,2026-08-25,2026-07-31
DIXON,2473450.0,197350.0,936150.0,SHORT_BUILDUP,13816.0,2026-08-25,2026-07-31
SUPREMEIND,2288300.0,14350.0,722575.0,LONG_BUILDUP,3480.9,2026-08-25,2026-07-31
POLYCAB,2279625.0,-72750.0,725000.0,SHORT_COVERING,9153.5,2026-08-25,2026-07-31
TIINDIA,2192400.0,75200.0,860200.0,LONG_BUILDUP,2766.7,2026-08-25,2026-07-31
ABB,2185500.0,142625.0,644000.0,SHORT_BUILDUP,7283.5,2026-08-25,2026-07-31
MARUTI,2066200.0,-34750.0,701150.0,SHORT_COVERING,14126.0,2026-08-25,2026-07-31
BRITANNIA,1954125.0,-79000.0,467750.0,LONG_UNWINDING,5426.0,2026-08-25,2026-07-31
KEI,1930775.0,-64400.0,75425.0,SHORT_COVERING,5013.0,2026-08-25,2026-07-31
BAJAJ-AUTO,1929750.0,-10500.0,381600.0,SHORT_COVERING,11546.0,2026-08-25,2026-07-31
APOLLOHOSP,1909750.0,2125.0,381250.0,SHORT_BUILDUP,8992.5,2026-08-25,2026-07-31
GODFRYPHLP,1767700.0,-48125.0,537350.0,LONG_UNWINDING,2109.0,2026-08-25,2026-07-31
ULTRACEMCO,1633100.0,-73450.0,477300.0,SHORT_COVERING,11926.0,2026-08-25,2026-07-31
ALKEM,1389500.0,7625.0,626125.0,SHORT_BUILDUP,5764.5,2026-08-25,2026-07-31
OFSS,1316600.0,10300.0,237900.0,LONG_BUILDUP,11209.0,2026-08-25,2026-07-31
AMBER,1230400.0,-12800.0,313900.0,SHORT_COVERING,7476.0,2026-08-25,2026-07-31
SOLARINDS,801750.0,-350.0,334950.0,SHORT_COVERING,18496.0,2026-08-25,2026-07-31
RADICO,786150.0,30900.0,438450.0,SHORT_BUILDUP,4355.1,2026-08-25,2026-07-31
POWERINDIA,578800.0,25100.0,245325.0,LONG_BUILDUP,32350.0,2026-08-25,2026-07-31
SHREECEM,357700.0,31375.0,143575.0,SHORT_BUILDUP,25560.0,2026-08-25,2026-07-31
BAJAJHLDNG,340650.0,6900.0,102075.0,LONG_BUILDUP,11406.0,2026-08-25,2026-07-31
FORCEMOT,262475.0,-14850.0,86400.0,SHORT_COVERING,17990.0,2026-08-25,2026-07-31
PAGEIND,232740.0,-7200.0,49240.0,LONG_UNWINDING,40255.0,2026-08-25,2026-07-31
BOSCHLTD,209550.0,5050.0,33275.0,SHORT_BUILDUP,41030.0,2026-08-25,2026-07-31
