symbol,date,announcement_type,seq_id,sentiment,sentiment_score,guidance_direction,guidance_score,capex_signal,capex_amount_cr,themes,key_statement,processed_at
VENTIVE,2026-07-01,ANALYST_MEET,106683278,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific guidance or management signals were provided in the update.,2026-07-03 04:28
ASTRAL,2026-07-01,ANALYST_MEET,106683241,BULLISH,1,RAISED,2,YES,,CAPEX_CYCLE,We expect to see a significant ramp-up in our water business in the next 2-3 quarters.,2026-07-03 04:28
VOEPL,2026-07-01,ANALYST_MEET,106683192,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:29
GOLDIAM,2026-07-01,ANALYST_MEET,106683095,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:29
INDOWIND,2026-07-01,RESULT_UPDATE,106683083,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company's financial results for the quarter ended 31-Mar-2026 are as per the records of the company.,2026-07-03 04:29
CREATIVEYE,2026-07-01,RESULT_UPDATE,106683074,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company's financial results for the quarter ended 31-Mar-2026 are as per the records of the company.,2026-07-03 04:29
FINPIPE,2026-07-01,RESULT_UPDATE,106683050,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific guidance or new information provided in the clarification response.,2026-07-03 04:29
ASIL,2026-07-01,RESULT_UPDATE,106682882,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company replied to the clarification sought by the exchange regarding financial results for the quarter ended 30-Jun-2025.,2026-07-03 04:29
HOMEFIRST,2026-07-01,ANALYST_MEET,106682911,BULLISH,1,RAISED,2,NO,,EXPORT_GROWTH,The company is optimistic about its growth prospects driven by increasing demand for housing finance.,2026-07-03 04:29
ALLCARGO,2026-07-01,RESULT_UPDATE,106682902,NEUTRAL,0,MAINTAINED,1,NO,,,The company's financial results for the quarter ended 31-Mar-2026 are as per the records of the company.,2026-07-03 04:29
MASTERTR,2026-07-01,RESULT_UPDATE,106682895,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific guidance or new information provided in the clarification response.,2026-07-03 04:29
KSHITIJPOL,2026-07-01,RESULT_UPDATE,106682893,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company has clarified its financial results for the quarter ended 31-Mar-2026.,2026-07-03 04:29
RMCL,2026-07-01,RESULT_UPDATE,106682884,NEUTRAL,0,MAINTAINED,1,NO,,,The company reiterates its financial results for the quarter ended 30-Sep-2025.,2026-07-03 04:29
GVPIL,2026-07-01,ANALYST_MEET,106683334,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific information available for this analyst meet.,2026-07-03 04:29
VIKRAN,2026-07-01,ANALYST_MEET,106682864,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:30
WEALTH,2026-07-01,ANALYST_MEET,106682613,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific guidance or key statements mentioned in the investor presentation.,2026-07-03 04:30
SENORES,2026-07-01,ANALYST_MEET,106683306,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03 04:30
DIACABS,2026-07-01,ANALYST_MEET,106683292,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03 04:30
GVPIL,2026-07-01,ANALYST_MEET,106683339,BULLISH,1,NOT_GIVEN,0,NO,,,No specific information available for this analyst meet.,2026-07-03 04:30
BGRENERGY,2026-07-01,RESULT_UPDATE,106683537,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company's financial results for the quarter ended 31-Mar-2026 are as per the records of the company.,2026-07-03 04:30
PERSISTENT,2026-07-01,ANALYST_MEET,106683924,BULLISH,1,NOT_GIVEN,0,NO,,,No key statement available as this is a meet announcement.,2026-07-03 04:30
CAMLINFINE,2026-07-01,ANALYST_MEET,106683826,BULLISH,1,NOT_GIVEN,0,NO,,,The company is optimistic about its business prospects.,2026-07-03 04:30
TATACAP,2026-07-01,ANALYST_MEET,106683758,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03 04:30
SAMBHV,2026-07-01,ANALYST_MEET,106683729,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:30
VENTIVE,2026-07-01,ANALYST_MEET,106683651,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific guidance or new information provided in the update.,2026-07-03 04:30
TCIFINANCE,2026-07-01,RESULT_UPDATE,106683548,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company has clarified its financial results for the quarter ended 31-Mar-2026.,2026-07-03 04:30
AFFLE,2026-07-01,ANALYST_MEET,106683543,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03 04:30
CPEDU,2026-07-01,RESULT_UPDATE,106683541,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company replied to the exchange's clarification on financial results for the quarter ended 31-Mar-2026.,2026-07-03 04:31
PERSISTENT,2026-07-01,ANALYST_MEET,106683907,BULLISH,1,RAISED,2,YES,,"DIGITAL_INDIA,INDIA_PLUS_ONE","We are seeing a lot of traction in the digital space, and we are confident about our growth prospects.",2026-07-03 04:31
DCW,2026-07-01,ANALYST_MEET,106683536,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03 04:31
PACEDIGITK,2026-07-01,RESULT_UPDATE,106683511,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company replied to the clarification sought by the exchange regarding financial results for the quarter ended 31-Mar-2026.,2026-07-03 04:31
BALKRISHNA,2026-07-01,RESULT_UPDATE,106683508,BULLISH,1,RAISED,2,YES,5000.0,CAPEX_CYCLE,The company is investing Rs. 5000 cr in new capacity expansion.,2026-07-03 04:31
PPL,2026-07-01,RESULT_UPDATE,106683492,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company has clarified its financial results for the quarter ended 31-Mar-2026.,2026-07-03 04:31
WANBURY,2026-07-01,ANALYST_MEET,106683489,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the investor presentation.,2026-07-03 04:31
AMAGI,2026-07-01,ANALYST_MEET,106683428,NEUTRAL,0,NOT_GIVEN,0,NO,,AI_ENABLERS,"Amagi to host a webinar on AI in Media, no specific guidance provided.",2026-07-03 04:31
POCL,2026-07-01,ANALYST_MEET,106683397,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:31
UNIVAFOODS,2026-07-01,RESULT_UPDATE,106683516,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company's financial results for the quarter ended 31-Mar-2026 are as per the records of the company.,2026-07-03 04:31
GRAPHITE,2026-06-30,ANALYST_MEET,106681180,NEUTRAL,0,NOT_GIVEN,0,NO,,,Graphite India Limited has informed the Exchange about Schedule of meet,2026-07-03 04:31
INDIAMART,2026-06-30,ANALYST_MEET,106681615,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03 04:31
IDEA,2026-06-30,ANALYST_MEET,106681408,BULLISH,1,NOT_GIVEN,0,NO,,,No key statement available as this is an investor presentation.,2026-07-03 04:32
ZIMLAB,2026-06-30,ANALYST_MEET,106681356,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:32
LAXMIDENTL,2026-06-30,ANALYST_MEET,106681340,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03 04:32
PATELRMART,2026-06-30,ANALYST_MEET,106681272,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the update.,2026-07-03 04:32
AVG,2026-06-30,ANALYST_MEET,106681243,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals were extracted from the given description.,2026-07-03 04:32
SHYAMMETL,2026-06-30,ANALYST_MEET,106680769,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:32
GRAPHITE,2026-06-30,ANALYST_MEET,106681179,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the update.,2026-07-03 04:32
SAIPARENT,2026-06-30,ANALYST_MEET,106681090,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03 04:32
ANTGRAPHIC,2026-06-30,RESULT_UPDATE,106680880,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Antarctica Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listing Obl,2026-07-03 04:32
PTCIL,2026-06-30,ANALYST_MEET,106680721,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:32
CARTRADE,2026-06-30,ANALYST_MEET,106680570,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the investor presentation.,2026-07-03 04:32
DUCON,2026-06-30,ANALYST_MEET,106680566,BULLISH,1,RAISED,2,YES,,INFRASTRUCTURE_BUILD,The company is expecting a significant order inflow in the next 6-12 months.,2026-07-03 04:32
IFGLEXPOR,2026-06-30,ANALYST_MEET,106681649,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:32
BANKINDIA,2026-06-30,ANALYST_MEET,106681644,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:33
ZIMLAB,2026-06-30,ANALYST_MEET,106682406,NEUTRAL,0,NOT_GIVEN,0,NO,,,No key statement available as this is a meet announcement.,2026-07-03 04:33
TRANSRAILL,2026-06-30,ANALYST_MEET,106681749,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific information available in the given announcement.,2026-07-03 04:33
TECHM,2026-06-30,ANALYST_MEET,106682161,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03 04:33
CLEANMAX,2026-06-30,ANALYST_MEET,106682373,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:33
SAIPARENT,2026-06-30,ANALYST_MEET,106682216,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:33
PNGSREVA,2026-06-30,ANALYST_MEET,106682207,BULLISH,1,RAISED,2,YES,,EXPORT_GROWTH,The company is optimistic about the growth prospects driven by strong demand from international markets.,2026-07-03 04:33
NUVOCO,2026-06-30,ANALYST_MEET,106682175,BULLISH,1,NOT_GIVEN,0,NO,,,No key statement available as this is a meet announcement.,2026-07-03 04:33
THOMASCOTT,2026-06-30,ANALYST_MEET,106682053,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:33
SBICARD,2026-06-30,ANALYST_MEET,106681942,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the update.,2026-07-03 04:33
TMPV,2026-06-30,ANALYST_MEET,106681929,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific information available in the given description.,2026-07-03 04:33
GEOJITFSL,2026-06-30,ANALYST_MEET,106681909,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific guidance or key statements available in the provided text.,2026-07-03 04:33
KALYANI,2026-06-30,RESULT_UPDATE,106681819,BULLISH,1,RAISED,2,YES,5000.0,CAPEX_CYCLE,"The Board has approved a capital expenditure of Rs. 5,000 crores for FY26.",2026-07-03 04:34
HEG,2026-06-30,ANALYST_MEET,106681797,BULLISH,1,NOT_GIVEN,0,NO,,,No key statement available as this is a meet announcement.,2026-07-03 04:34
SWANDEF,2026-06-30,ANALYST_MEET,106681762,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03 04:34
ALKEM,2026-06-29,ANALYST_MEET,106679099,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:34
DIACABS,2026-06-29,ANALYST_MEET,106679441,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals were mentioned in the announcement.,2026-07-03 04:34
JBFIND,2026-06-29,RESULT_UPDATE,106679407,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from JBF Industries Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listing,2026-07-03 04:34
OCCLLTD,2026-06-29,RESULT_UPDATE,106679404,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from OCCL Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listing Obligatio,2026-07-03 04:34
HNDFDS,2026-06-29,ANALYST_MEET,106679386,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03 04:34
UNIPARTS,2026-06-29,ANALYST_MEET,106679349,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:34
POWERICA,2026-06-29,ANALYST_MEET,106679336,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:34
AVG,2026-06-29,ANALYST_MEET,106679293,NEUTRAL,0,NOT_GIVEN,0,NO,,,No key statement available as this is an investor presentation.,2026-07-03 04:34
RISHABH,2026-06-29,ANALYST_MEET,106679134,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:34
PACEDIGITK,2026-06-29,RESULT_UPDATE,106678829,NEUTRAL,0,NOT_GIVEN,0,NO,,,No key statement available as this is a clarification request.,2026-07-03 04:34
ALKEM,2026-06-29,ANALYST_MEET,106679094,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:35
UFLEX,2026-06-29,ANALYST_MEET,106678951,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific key statement found in the given description.,2026-07-03 04:35
SEPC,2026-06-29,RESULT_UPDATE,106678875,NEUTRAL,0,NOT_GIVEN,0,NO,,,No key statement available as this is a clarification request.,2026-07-03 04:35
NH,2026-06-29,RESULT_UPDATE,106678871,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Narayana Hrudayalaya Ltd. for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (List,2026-07-03 04:35
SANWARIA,2026-06-29,RESULT_UPDATE,106678833,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Sanwaria Consumer Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (List,2026-07-03 04:35
NESCO,2026-06-29,RESULT_UPDATE,106678832,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Nesco Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listing Obligati,2026-07-03 04:35
VIVIANA,2026-06-29,RESULT_UPDATE,106678830,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Viviana Power Tech Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Lis,2026-07-03 04:35
MCLOUD,2026-06-29,RESULT_UPDATE,106678828,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Magellanic Cloud Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listi,2026-07-03 04:35
WEWORK,2026-06-29,ANALYST_MEET,106679468,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the investor presentation.,2026-07-03 04:35
RITES,2026-06-29,ANALYST_MEET,106679459,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03 04:35
MITTAL,2026-06-29,RESULT_UPDATE,106678889,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific guidance or new information provided in the clarification response.,2026-07-03 04:35
PGIL,2026-06-29,ANALYST_MEET,106679472,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03 04:35
PINELABS,2026-06-29,ANALYST_MEET,106679904,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03 04:36
SKYGOLD,2026-06-29,ANALYST_MEET,106679481,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the update.,2026-07-03 04:36
DIVGIITTS,2026-06-29,ANALYST_MEET,106680282,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:36
LTTS,2026-06-29,ANALYST_MEET,106680254,BULLISH,1,RAISED,2,NO,,"INDIA_PLUS_ONE,DIGITAL_INDIA",We are confident of delivering 15-18% revenue growth for FY27.,2026-07-03 04:36
GUJTHEM,2026-06-29,ANALYST_MEET,106680235,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the investor presentation.,2026-07-03 04:36
CGCL,2026-06-29,ANALYST_MEET,106680220,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the investor presentation.,2026-07-03 04:36
ARIHANTSUP,2026-06-29,ANALYST_MEET,106680080,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03 04:36
M&M,2026-06-29,ANALYST_MEET,106679963,BULLISH,1,RAISED,2,YES,1500.0,"CAPEX_CYCLE,INDIA_PLUS_ONE",We expect to deliver 25% revenue growth in FY27 driven by new products and expansion plans.,2026-07-03 04:36
BALUFORGE,2026-06-29,ANALYST_MEET,106680287,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:36
DEVIT,2026-06-29,ANALYST_MEET,106679942,BULLISH,1,RAISED,2,YES,,CAPEX_CYCLE,Management expects 25% YoY growth in FY27 driven by new order wins.,2026-07-03 04:36
ARE&M,2026-06-29,ANALYST_MEET,106680281,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:36
SHANTI,2026-06-29,RESULT_UPDATE,106679884,NEUTRAL,0,NOT_GIVEN,0,NO,,,Company clarifies discrepancy in XBRL filing of financial results.,2026-07-03 04:36
SBICARD,2026-06-29,ANALYST_MEET,106679778,BULLISH,1,NOT_GIVEN,0,NO,,,No key statement available as this is a meet announcement.,2026-07-03 04:36
DENTA,2026-06-29,ANALYST_MEET,106679610,BULLISH,1,RAISED,2,YES,5000.0,INFRASTRUCTURE_BUILD,The company is expecting 25% revenue growth for FY27 driven by new order wins.,2026-07-03 04:37
MUTHOOTMF,2026-06-29,ANALYST_MEET,106679541,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03 04:37
KIRLOSENG,2026-06-29,ANALYST_MEET,106679508,BULLISH,1,RAISED,2,YES,,CAPEX_CYCLE,The company is expecting a strong order book and is planning to increase production capacity.,2026-07-03 04:37
KIRLOSENG,2026-06-29,ANALYST_MEET,106679509,BULLISH,1,RAISED,2,YES,,CAPEX_CYCLE,Management expects 25% growth in FY27 driven by new order wins.,2026-07-03 04:37
BSE,2026-06-29,ANALYST_MEET,106679782,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:37
BELRISE,2026-06-28,RESULT_UPDATE,106678697,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company's financial results for the quarter ended 30-Sep-2025 are as per the books of accounts.,2026-07-03 04:37
UNIPARTS,2026-06-28,ANALYST_MEET,106678695,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:37
KDDL,2026-06-28,RESULT_UPDATE,106678702,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company's financial results for the quarter ended 30-Sep-2025 are as per the records of the company.,2026-07-03 04:37
CAMLINFINE,2026-06-28,ANALYST_MEET,106678719,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03 04:37
DAVANGERE,2026-06-27,RESULT_UPDATE,106678145,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Davangere Sugar Company Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI,2026-07-03 04:37
ASTRAL,2026-06-27,ANALYST_MEET,106678120,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03 04:37
VALECHAENG,2026-06-27,RESULT_UPDATE,106678126,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Valecha Engineering Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Li,2026-07-03 04:37
ORTINGLOBE,2026-06-27,RESULT_UPDATE,106678134,NEUTRAL,0,NOT_GIVEN,0,NO,,,Clarification sought by the exchange for quarter ended 31-Mar-2026.,2026-07-03 04:38
ORIENTALTL,2026-06-27,RESULT_UPDATE,106678136,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Oriental Trimex Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listin,2026-07-03 04:38
PARASPETRO,2026-06-27,RESULT_UPDATE,106678138,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Paras Petrofils Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listin,2026-07-03 04:38
CURAA,2026-06-27,RESULT_UPDATE,106678139,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Cura Technologies Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (List,2026-07-03 04:38
AAATECH,2026-06-27,RESULT_UPDATE,106678140,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Aaa Technologies Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listi,2026-07-03 04:38
DPWIRES,2026-06-27,RESULT_UPDATE,106678141,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from D P Wires Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listing Obli,2026-07-03 04:38
SSDL,2026-06-27,RESULT_UPDATE,106678142,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Saraswati Saree Depot Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (,2026-07-03 04:38
BHARATIDIL,2026-06-27,RESULT_UPDATE,106678144,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Bharati Defence and Infrastructure Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 ,2026-07-03 04:38
RANASUG,2026-06-27,RESULT_UPDATE,106678146,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Rana Sugars Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listing Ob,2026-07-03 04:38
PRITI,2026-06-27,RESULT_UPDATE,106678154,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Priti International Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Li,2026-07-03 04:38
SEYAIND,2026-06-27,RESULT_UPDATE,106678147,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Seya Industries Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listin,2026-07-03 04:38
LEMERITE,2026-06-27,RESULT_UPDATE,106678155,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Le Merite Exports Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (List,2026-07-03 04:39
ADANIPOWER,2026-06-27,ANALYST_MEET,106678627,BULLISH,1,NOT_GIVEN,0,NO,,,No key statement available as this is a meet announcement.,2026-07-03 04:39
VIVIDHA,2026-06-27,RESULT_UPDATE,106678153,NEUTRAL,0,NOT_GIVEN,0,NO,,,No key statement available as this is a clarification request.,2026-07-03 04:39
SPLIL,2026-06-27,RESULT_UPDATE,106678152,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from SPL Industries Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listing,2026-07-03 04:39
BOHRAIND,2026-06-27,RESULT_UPDATE,106678151,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Bohra Industries Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listi,2026-07-03 04:39
