run_id,stage_id,label,status,started_at,finished_at,duration_s,error
"20260702_180000","6B_sector_flow_scores","Sector Flow Scores","DONE","2026-07-02 18:00:14 IST","2026-07-02 18:00:20 IST",5.8,""
"20260702_180000","6C_sector_rotation","Sector Rotation Intelligence","DONE","2026-07-02 18:00:20 IST","2026-07-02 18:00:23 IST",3.3,""
"20260702_180000","7A_block_bulk_deals","Block/Bulk Deals (NSE API)","DONE","2026-07-02 18:00:23 IST","2026-07-02 18:00:34 IST",10.3,""
"20260702_180000","7C_corp_action_intel","Corporate Action Intelligence","DONE","2026-07-02 18:00:34 IST","2026-07-02 18:01:16 IST",42.8,""
"20260702_180000","18A_announcements","Corporate Announcements (incremental)","DONE","2026-07-02 18:01:16 IST","2026-07-02 18:02:03 IST",47.1,""
"20260702_180000","16A_management_sentiment","Management Sentiment (Claude AI)","DONE","2026-07-02 18:02:03 IST","2026-07-02 18:03:30 IST",86.2,""
"20260702_180000","A1_technical_indicators","Technical Indicators","DONE","2026-07-02 18:03:30 IST","2026-07-02 18:03:41 IST",11.6,""
"20260702_180000","A2_fno_intelligence","F&O Intelligence (PCR + OI signals)","DONE","2026-07-02 18:03:41 IST","2026-07-02 18:03:44 IST",3.0,""
"20260702_180000","8A_price_momentum","Price Momentum","DONE","2026-07-02 18:03:44 IST","2026-07-02 18:03:47 IST",2.2,""
"20260702_180000","8B_bull_run_probability","Bull Run Probability","DONE","2026-07-02 18:03:47 IST","2026-07-02 18:03:48 IST",1.2,""
"20260702_180000","12_ml_scorer","ML Scorer (inference)","DONE","2026-07-02 18:03:48 IST","2026-07-02 18:03:57 IST",9.5,""
"20260702_180000","C1_trade_conviction","Trade Conviction Scores","DONE","2026-07-02 18:03:57 IST","2026-07-02 18:03:59 IST",2.0,""
"20260702_180000","13A_document_builder","RAG Document Builder","DONE","2026-07-02 18:03:59 IST","2026-07-02 18:04:01 IST",1.8,""
"20260704_133120","17_symbol_change","Symbol Change History","DONE","2026-07-04 13:31:20 IST","2026-07-04 13:31:23 IST",2.8,""
"20260704_133120","5A_participant_acquisition","Participant Acquisition (NSE API)","DONE","2026-07-04 13:31:23 IST","2026-07-04 13:31:37 IST",14.5,""
"20260704_133120","5B_participant_flow","Participant Flow Scores","DONE","2026-07-04 13:31:37 IST","2026-07-04 13:31:41 IST",3.2,""
"20260704_133120","5C_participant_intelligence","Participant Intelligence","DONE","2026-07-04 13:31:41 IST","2026-07-04 13:31:43 IST",2.1,""
"20260704_133120","6A_sector_capital_flow","Sector Capital Flow","DONE","2026-07-04 13:31:43 IST","2026-07-04 13:31:47 IST",4.1,""
"20260704_133120","6B_sector_flow_scores","Sector Flow Scores","DONE","2026-07-04 13:31:47 IST","2026-07-04 13:31:57 IST",9.7,""
"20260704_133120","6C_sector_rotation","Sector Rotation Intelligence","DONE","2026-07-04 13:31:57 IST","2026-07-04 13:32:01 IST",4.6,""
"20260704_133120","7A_block_bulk_deals","Block/Bulk Deals (NSE API)","DONE","2026-07-04 13:32:01 IST","2026-07-04 13:32:16 IST",14.5,""
"20260704_133120","7C_corp_action_intel","Corporate Action Intelligence","DONE","2026-07-04 13:32:16 IST","2026-07-04 13:33:24 IST",68.1,""
"20260704_133120","18A_announcements","Corporate Announcements (incremental)","DONE","2026-07-04 13:33:24 IST","2026-07-04 13:34:14 IST",49.7,""
"20260704_133120","16A_management_sentiment","Management Sentiment (Claude AI)","DONE","2026-07-04 13:34:14 IST","2026-07-04 13:36:06 IST",112.2,""
"20260704_133120","A1_technical_indicators","Technical Indicators","DONE","2026-07-04 13:36:06 IST","2026-07-04 13:36:17 IST",11.4,""
"20260704_133120","A2_fno_intelligence","F&O Intelligence (PCR + OI signals)","DONE","2026-07-04 13:36:17 IST","2026-07-04 13:36:21 IST",3.4,""
"20260704_133120","8A_price_momentum","Price Momentum","DONE","2026-07-04 13:36:21 IST","2026-07-04 13:36:23 IST",2.1,""
"20260704_133120","8B_bull_run_probability","Bull Run Probability","DONE","2026-07-04 13:36:23 IST","2026-07-04 13:36:24 IST",1.4,""
"20260704_133120","12_ml_scorer","ML Scorer (inference)","DONE","2026-07-04 13:36:24 IST","2026-07-04 13:36:42 IST",17.6,""
"20260704_133120","C1_trade_conviction","Trade Conviction Scores","DONE","2026-07-04 13:36:42 IST","2026-07-04 13:36:44 IST",1.7,""
"20260704_133120","13A_document_builder","RAG Document Builder","DONE","2026-07-04 13:36:44 IST","2026-07-04 13:36:45 IST",1.3,""
"20260704_133120","13B_faiss_indexer","FAISS Indexer (embedding)","DONE","2026-07-04 13:36:45 IST","2026-07-04 13:38:12 IST",87.2,""
"20260704_133120","13C_bm25_indexer","BM25 Indexer","DONE","2026-07-04 13:38:12 IST","2026-07-04 13:38:13 IST",0.5,""
"20260704_133120","20_portfolio","Portfolio Intelligence Rebuild","DONE","2026-07-04 13:38:13 IST","2026-07-04 13:38:14 IST",1.4,""
"20260704_133120","9_alert_engine","Alert Engine (Telegram push)","DONE","2026-07-04 13:38:14 IST","2026-07-04 13:38:17 IST",3.3,""
"20260704_154502","17_symbol_change","Symbol Change History","DONE","2026-07-04 15:45:02 IST","2026-07-04 15:45:05 IST",2.6,""
"20260704_154502","5A_participant_acquisition","Participant Acquisition (NSE API)","DONE","2026-07-04 15:45:05 IST","2026-07-04 15:45:10 IST",5.2,""
"20260704_154502","5B_participant_flow","Participant Flow Scores","DONE","2026-07-04 15:45:10 IST","2026-07-04 15:45:12 IST",1.8,""
"20260704_154502","5C_participant_intelligence","Participant Intelligence","DONE","2026-07-04 15:45:12 IST","2026-07-04 15:45:13 IST",1.2,""
"20260704_154502","6A_sector_capital_flow","Sector Capital Flow","DONE","2026-07-04 15:45:13 IST","2026-07-04 15:45:15 IST",1.5,""
"20260704_154502","6B_sector_flow_scores","Sector Flow Scores","DONE","2026-07-04 15:45:15 IST","2026-07-04 15:45:20 IST",5.7,""
"20260704_154502","6C_sector_rotation","Sector Rotation Intelligence","DONE","2026-07-04 15:45:20 IST","2026-07-04 15:45:24 IST",3.6,""
"20260704_154502","7A_block_bulk_deals","Block/Bulk Deals (NSE API)","DONE","2026-07-04 15:45:24 IST","2026-07-04 15:45:37 IST",13.1,""
"20260704_154502","7C_corp_action_intel","Corporate Action Intelligence","DONE","2026-07-04 15:45:37 IST","2026-07-04 15:46:30 IST",53.1,""
"20260704_154502","18A_announcements","Corporate Announcements (incremental)","DONE","2026-07-04 15:46:30 IST","2026-07-04 15:47:13 IST",42.7,""
"20260704_154502","16A_management_sentiment","Management Sentiment (Claude AI)","DONE","2026-07-04 15:47:13 IST","2026-07-04 15:48:56 IST",103.4,""
"20260704_154502","A1_technical_indicators","Technical Indicators","DONE","2026-07-04 15:48:56 IST","2026-07-04 15:49:07 IST",10.5,""
"20260704_154502","A2_fno_intelligence","F&O Intelligence (PCR + OI signals)","DONE","2026-07-04 15:49:07 IST","2026-07-04 15:49:11 IST",3.6,""
"20260704_154502","8A_price_momentum","Price Momentum","DONE","2026-07-04 15:49:11 IST","2026-07-04 15:49:13 IST",2.1,""
"20260704_154502","8B_bull_run_probability","Bull Run Probability","DONE","2026-07-04 15:49:13 IST","2026-07-04 15:49:15 IST",2.2,""
"20260704_154502","12_ml_scorer","ML Scorer (inference)","DONE","2026-07-04 15:49:15 IST","2026-07-04 15:49:24 IST",9.5,""
"20260704_154502","C1_trade_conviction","Trade Conviction Scores","DONE","2026-07-04 15:49:24 IST","2026-07-04 15:49:26 IST",1.7,""
"20260704_154502","13A_document_builder","RAG Document Builder","DONE","2026-07-04 15:49:26 IST","2026-07-04 15:49:28 IST",1.5,""
"20260704_154502","13B_faiss_indexer","FAISS Indexer (embedding)","DONE","2026-07-04 15:49:28 IST","2026-07-04 15:51:31 IST",123.1,""
"20260704_154502","13C_bm25_indexer","BM25 Indexer","DONE","2026-07-04 15:51:31 IST","2026-07-04 15:51:32 IST",1.0,""
"20260704_154502","20_portfolio","Portfolio Intelligence Rebuild","DONE","2026-07-04 15:51:32 IST","2026-07-04 15:51:34 IST",1.8,""
"20260704_154502","9_alert_engine","Alert Engine (Telegram push)","DONE","2026-07-04 15:51:34 IST","2026-07-04 15:51:39 IST",5.3,""
"20260704_174311","17_symbol_change","Symbol Change History","DONE","2026-07-04 17:43:11 IST","2026-07-04 17:43:13 IST",2.1,""
"20260704_174311","5A_participant_acquisition","Participant Acquisition (NSE API)","DONE","2026-07-04 17:43:13 IST","2026-07-04 17:43:19 IST",5.7,""
"20260704_174311","5B_participant_flow","Participant Flow Scores","DONE","2026-07-04 17:43:19 IST","2026-07-04 17:43:21 IST",1.7,""
"20260704_174311","5C_participant_intelligence","Participant Intelligence","DONE","2026-07-04 17:43:21 IST","2026-07-04 17:43:22 IST",1.6,""
"20260704_174311","6A_sector_capital_flow","Sector Capital Flow","DONE","2026-07-04 17:43:22 IST","2026-07-04 17:43:24 IST",1.7,""
"20260704_174311","6B_sector_flow_scores","Sector Flow Scores","DONE","2026-07-04 17:43:24 IST","2026-07-04 17:43:31 IST",7.1,""
"20260704_174311","6C_sector_rotation","Sector Rotation Intelligence","DONE","2026-07-04 17:43:31 IST","2026-07-04 17:43:35 IST",3.8,""
"20260704_174311","7A_block_bulk_deals","Block/Bulk Deals (NSE API)","DONE","2026-07-04 17:43:35 IST","2026-07-04 17:43:46 IST",11.4,""
"20260704_174311","7C_corp_action_intel","Corporate Action Intelligence","DONE","2026-07-04 17:43:46 IST","2026-07-04 17:45:00 IST",73.3,""
"20260704_174311","18A_announcements","Corporate Announcements (incremental)","DONE","2026-07-04 17:45:00 IST","2026-07-04 17:46:33 IST",93.5,""
"20260704_174311","16A_management_sentiment","Management Sentiment (Claude AI)","DONE","2026-07-04 17:46:33 IST","2026-07-04 17:48:46 IST",133.3,""
"20260704_174311","A1_technical_indicators","Technical Indicators","DONE","2026-07-04 17:48:46 IST","2026-07-04 17:48:59 IST",12.5,""
"20260704_174311","A2_fno_intelligence","F&O Intelligence (PCR + OI signals)","DONE","2026-07-04 17:48:59 IST","2026-07-04 17:49:02 IST",2.9,""
"20260704_174311","8A_price_momentum","Price Momentum","DONE","2026-07-04 17:49:02 IST","2026-07-04 17:49:04 IST",2.1,""
"20260704_174311","8B_bull_run_probability","Bull Run Probability","DONE","2026-07-04 17:49:04 IST","2026-07-04 17:49:05 IST",1.5,""
"20260704_174311","12_ml_scorer","ML Scorer (inference)","DONE","2026-07-04 17:49:05 IST","2026-07-04 17:49:14 IST",8.7,""
"20260704_174311","C1_trade_conviction","Trade Conviction Scores","DONE","2026-07-04 17:49:14 IST","2026-07-04 17:49:16 IST",2.1,""
"20260704_174311","13A_document_builder","RAG Document Builder","DONE","2026-07-04 17:49:16 IST","2026-07-04 17:49:18 IST",1.7,""
"20260704_174311","13B_faiss_indexer","FAISS Indexer (embedding)","DONE","2026-07-04 17:49:18 IST","2026-07-04 17:50:21 IST",62.6,""
"20260704_174311","13C_bm25_indexer","BM25 Indexer","DONE","2026-07-04 17:50:21 IST","2026-07-04 17:50:21 IST",0.6,""
"20260704_174311","20_portfolio","Portfolio Intelligence Rebuild","DONE","2026-07-04 17:50:21 IST","2026-07-04 17:50:23 IST",1.2,""
"20260704_174311","9_alert_engine","Alert Engine (Telegram push)","DONE","2026-07-04 17:50:23 IST","2026-07-04 17:50:26 IST",3.6,""
"20260704_224325","1A_bhavcopy_equity","NSE Equity Bhavcopy Download","DONE","2026-07-04 22:43:25 IST","2026-07-04 22:44:06 IST",41.3,""
"20260704_224325","1B_bhavcopy_fno","NSE F&O Bhavcopy Download","DONE","2026-07-04 22:44:06 IST","2026-07-04 22:46:06 IST",119.9,""
"20260704_224325","1C_corp_actions","Corporate Actions Update","DONE","2026-07-04 22:46:06 IST","2026-07-04 22:46:14 IST",8.0,""
"20260704_224325","1D_equity_master","Equity Master Refresh","DONE","2026-07-04 22:46:14 IST","2026-07-04 22:46:18 IST",3.7,""
"20260704_224325","1E_price_adjust","Price Adjustment (adjusted OHLCV)","DONE","2026-07-04 22:46:18 IST","2026-07-04 22:46:33 IST",15.3,""
"20260704_224325","1F_stock_history","Stock History Cache (incremental)","DONE","2026-07-04 22:46:33 IST","2026-07-04 22:47:04 IST",31.2,""
"20260704_224325","17_symbol_change","Symbol Change History","DONE","2026-07-04 22:47:04 IST","2026-07-04 22:47:06 IST",1.7,""
"20260704_224325","5A_participant_acquisition","Participant Acquisition (NSE API)","DONE","2026-07-04 22:47:06 IST","2026-07-04 22:47:11 IST",5.3,""
"20260704_224325","5B_participant_flow","Participant Flow Scores","DONE","2026-07-04 22:47:11 IST","2026-07-04 22:47:12 IST",1.5,""
"20260704_224325","5C_participant_intelligence","Participant Intelligence","DONE","2026-07-04 22:47:13 IST","2026-07-04 22:47:14 IST",1.5,""
"20260704_224325","6A_sector_capital_flow","Sector Capital Flow","DONE","2026-07-04 22:47:14 IST","2026-07-04 22:47:16 IST",1.7,""
"20260704_224325","6B_sector_flow_scores","Sector Flow Scores","DONE","2026-07-04 22:47:16 IST","2026-07-04 22:47:21 IST",5.5,""
"20260704_224325","6C_sector_rotation","Sector Rotation Intelligence","DONE","2026-07-04 22:47:21 IST","2026-07-04 22:47:24 IST",2.7,""
"20260704_224325","7A_block_bulk_deals","Block/Bulk Deals (NSE API)","DONE","2026-07-04 22:47:24 IST","2026-07-04 22:47:34 IST",10.5,""
"20260704_224325","7C_corp_action_intel","Corporate Action Intelligence","DONE","2026-07-04 22:47:34 IST","2026-07-04 22:48:11 IST",36.6,""
"20260704_224325","18A_announcements","Corporate Announcements (incremental)","DONE","2026-07-04 22:48:11 IST","2026-07-04 22:48:52 IST",40.9,""
"20260704_224325","16A_management_sentiment","Management Sentiment (Claude AI)","DONE","2026-07-04 22:48:52 IST","2026-07-04 22:50:35 IST",103.4,""
"20260704_224325","A1_technical_indicators","Technical Indicators","DONE","2026-07-04 22:50:35 IST","2026-07-04 22:50:45 IST",9.6,""
"20260704_224325","A2_fno_intelligence","F&O Intelligence (PCR + OI signals)","DONE","2026-07-04 22:50:45 IST","2026-07-04 22:50:48 IST",3.0,""
"20260704_224325","8A_price_momentum","Price Momentum","DONE","2026-07-04 22:50:48 IST","2026-07-04 22:50:50 IST",2.0,""
"20260704_224325","8B_bull_run_probability","Bull Run Probability","DONE","2026-07-04 22:50:50 IST","2026-07-04 22:50:51 IST",1.4,""
"20260704_224325","12_ml_scorer","ML Scorer (inference)","DONE","2026-07-04 22:50:51 IST","2026-07-04 22:51:01 IST",9.4,""
"20260704_224325","C1_trade_conviction","Trade Conviction Scores","DONE","2026-07-04 22:51:01 IST","2026-07-04 22:51:03 IST",1.9,""
"20260704_224325","13A_document_builder","RAG Document Builder","DONE","2026-07-04 22:51:03 IST","2026-07-04 22:51:04 IST",1.5,""
"20260704_224325","13B_faiss_indexer","FAISS Indexer (embedding)","DONE","2026-07-04 22:51:04 IST","2026-07-04 22:52:29 IST",84.7,""
"20260704_224325","13C_bm25_indexer","BM25 Indexer","DONE","2026-07-04 22:52:29 IST","2026-07-04 22:52:30 IST",0.9,""
"20260704_224325","20_portfolio","Portfolio Intelligence Rebuild","DONE","2026-07-04 22:52:30 IST","2026-07-04 22:52:31 IST",1.5,""
"20260704_224325","9_alert_engine","Alert Engine (Telegram push)","DONE","2026-07-04 22:52:31 IST","2026-07-04 22:52:36 IST",4.8,""
"20260709_002408","1A_bhavcopy_equity","NSE Equity Bhavcopy Download","DONE","2026-07-09 00:24:08 IST","2026-07-09 00:24:29 IST",21.0,""
"20260709_002408","1B_bhavcopy_fno","NSE F&O Bhavcopy Download","DONE","2026-07-09 00:24:29 IST","2026-07-09 00:26:17 IST",108.4,""
"20260709_002408","1C_corp_actions","Corporate Actions Update","DONE","2026-07-09 00:26:17 IST","2026-07-09 00:26:27 IST",9.6,""
"20260709_002408","1D_equity_master","Equity Master Refresh","DONE","2026-07-09 00:26:27 IST","2026-07-09 00:26:30 IST",3.3,""
"20260709_002408","1E_price_adjust","Price Adjustment (adjusted OHLCV)","DONE","2026-07-09 00:26:30 IST","2026-07-09 00:26:44 IST",13.4,""
"20260709_002408","1F_stock_history","Stock History Cache (incremental)","DONE","2026-07-09 00:26:44 IST","2026-07-09 00:28:32 IST",107.8,""
"20260709_002408","17_symbol_change","Symbol Change History","DONE","2026-07-09 00:28:32 IST","2026-07-09 00:28:34 IST",2.5,""
"20260709_002408","5A_participant_acquisition","Participant Acquisition (NSE API)","DONE","2026-07-09 00:28:34 IST","2026-07-09 00:28:53 IST",19.3,""
"20260709_002408","5B_participant_flow","Participant Flow Scores","DONE","2026-07-09 00:28:53 IST","2026-07-09 00:28:55 IST",1.7,""
"20260709_002408","5C_participant_intelligence","Participant Intelligence","DONE","2026-07-09 00:28:55 IST","2026-07-09 00:28:57 IST",1.5,""
"20260709_002408","6A_sector_capital_flow","Sector Capital Flow","DONE","2026-07-09 00:28:57 IST","2026-07-09 00:29:00 IST",3.1,""
"20260709_002408","6B_sector_flow_scores","Sector Flow Scores","DONE","2026-07-09 00:29:00 IST","2026-07-09 00:29:07 IST",6.8,""
"20260709_002408","FPI_A_sector_fpi_fetch","FPI Sector AUC Fetch (fortnightly)","DONE","2026-07-09 00:29:07 IST","2026-07-09 00:31:13 IST",126.7,""
"20260709_002408","FPI_B_sector_fpi_signals","FPI Sector Signals (Z-scores)","DONE","2026-07-09 00:31:13 IST","2026-07-09 00:31:15 IST",1.6,""
"20260709_002408","6C_sector_rotation","Sector Rotation Intelligence (3-factor)","DONE","2026-07-09 00:31:15 IST","2026-07-09 00:31:18 IST",2.8,""
"20260709_002408","7A_block_bulk_deals","Block/Bulk Deals (NSE API)","DONE","2026-07-09 00:31:18 IST","2026-07-09 00:31:27 IST",9.4,""
"20260709_002408","7C_corp_action_intel","Corporate Action Intelligence","DONE","2026-07-09 00:31:27 IST","2026-07-09 00:32:02 IST",35.1,""
"20260709_002408","18A_announcements","Corporate Announcements (incremental)","DONE","2026-07-09 00:32:02 IST","2026-07-09 00:32:41 IST",38.8,""
"20260709_002408","16A_management_sentiment","Management Sentiment (Claude AI)","DONE","2026-07-09 00:32:41 IST","2026-07-09 00:34:21 IST",99.8,""
"20260709_002408","A1_technical_indicators","Technical Indicators","DONE","2026-07-09 00:34:21 IST","2026-07-09 00:35:17 IST",56.3,""
"20260709_002408","A2_fno_intelligence","F&O Intelligence (PCR + OI signals)","DONE","2026-07-09 00:35:17 IST","2026-07-09 00:35:21 IST",3.5,""
"20260709_002408","8A_price_momentum","Price Momentum","DONE","2026-07-09 00:35:21 IST","2026-07-09 00:35:23 IST",2.6,""
"20260709_002408","8B_bull_run_probability","Bull Run Probability","DONE","2026-07-09 00:35:23 IST","2026-07-09 00:35:26 IST",2.2,""
"20260709_002408","12_ml_scorer","ML Scorer (inference)","DONE","2026-07-09 00:35:26 IST","2026-07-09 00:35:45 IST",19.8,""
"20260709_002408","C1_trade_conviction","Trade Conviction Scores","DONE","2026-07-09 00:35:45 IST","2026-07-09 00:35:48 IST",2.1,""
"20260709_002408","AF_astro_engine","AstroFinance Planetary Signals","DONE","2026-07-09 00:35:48 IST","2026-07-09 00:35:49 IST",1.4,""
"20260709_002408","KU_kundli_engine","Vedic Kundli Natal Charts","DONE","2026-07-09 00:35:49 IST","2026-07-09 00:35:49 IST",0.2,""
"20260709_002408","KU_gann_engine","Gann Square of 9 Price Levels","DONE","2026-07-09 00:35:49 IST","2026-07-09 00:35:49 IST",0.2,""
"20260709_002408","13A_document_builder","RAG Document Builder","DONE","2026-07-09 00:35:49 IST","2026-07-09 00:35:51 IST",1.7,""
"20260709_002408","13B_faiss_indexer","FAISS Indexer (embedding)","DONE","2026-07-09 00:35:51 IST","2026-07-09 00:37:31 IST",99.6,""
"20260709_002408","13C_bm25_indexer","BM25 Indexer","DONE","2026-07-09 00:37:31 IST","2026-07-09 00:37:31 IST",0.7,""
"20260709_002408","20_portfolio","Portfolio Intelligence Rebuild","DONE","2026-07-09 00:37:32 IST","2026-07-09 00:37:33 IST",1.4,""
"20260709_002408","9_alert_engine","Alert Engine (Telegram push)","DONE","2026-07-09 00:37:33 IST","2026-07-09 00:37:38 IST",5.0,""
"20260710_180000","1A_bhavcopy_equity","NSE Equity Bhavcopy Download","DONE","2026-07-10 18:00:00 IST","2026-07-10 18:01:08 IST",68.4,""
