rank,symbol,sector,close,conviction,tier,supporting_evidence,primary_risk,bull_run_score,ml_bull_run_score,prox_52w_high_pct,trend_signal,adv_20d_cr,regime,as_of_date
15,RKFORGE,AUTO,755.0,78.8,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.7,80.1,-1.1,STRONG_UPTREND,178.79,NEUTRAL,2026-08-18
16,ROLEXRINGS,AUTO,179.46,78.8,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; institutional buying (deals),none flagged -- normal market risk applies,67.0,64.1,-1.3,STRONG_UPTREND,131.89,NEUTRAL,2026-08-18
17,SHANTIGOLD,CAPITAL_GOODS,266.84,78.6,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,overbought (RSI 84),60.1,80.0,-0.4,STRONG_UPTREND,47.99,NEUTRAL,2026-08-18
18,UFLEX,CHEMICALS,586.05,78.5,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,overbought (RSI 83),58.2,80.2,-0.3,STRONG_UPTREND,58.09,NEUTRAL,2026-08-18
19,HAPPYFORGE,CAPITAL_GOODS,2198.1,78.5,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,overbought (RSI 88),60.8,80.1,-0.4,STRONG_UPTREND,27.91,NEUTRAL,2026-08-18
20,NETWEB,FMCG,5212.4,78.4,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 84,none flagged -- normal market risk applies,60.6,83.6,-1.1,STRONG_UPTREND,747.17,NEUTRAL,2026-08-18
21,UTLSOLAR,CAPITAL_GOODS,464.4,78.1,HIGH,within 5% of 52w high (strongest measured factor); ML bull score 80,none flagged -- normal market risk applies,60.1,79.9,-0.4,INSUFFICIENT_DATA,19.89,NEUTRAL,2026-08-18
22,DECNGOLD,METAL,239.9,78.1,HIGH,within 5% of 52w high (strongest measured factor); ML bull score 80,none flagged -- normal market risk applies,59.8,79.7,-1.6,INSUFFICIENT_DATA,68.75,NEUTRAL,2026-08-18
23,DALMIASUG,FMCG,459.6,78.0,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.9,79.5,-1.0,STRONG_UPTREND,47.62,NEUTRAL,2026-08-18
24,QUESS,OTHER,343.9,77.9,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,59.3,80.0,-1.6,STRONG_UPTREND,49.72,NEUTRAL,2026-08-18
25,WELCORP,METAL,1882.0,77.9,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.9,80.0,-0.7,STRONG_UPTREND,126.76,NEUTRAL,2026-08-18
26,AZAD,CAPITAL_GOODS,2899.9,77.8,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 82,none flagged -- normal market risk applies,60.7,82.0,-2.9,STRONG_UPTREND,204.21,NEUTRAL,2026-08-18
27,AVALON,CAPITAL_GOODS,2059.4,77.8,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,61.4,80.4,-1.0,STRONG_UPTREND,98.63,NEUTRAL,2026-08-18
28,AVTNPL,AGRICULTURE,88.1,77.8,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,overbought (RSI 87),59.7,80.0,-1.0,STRONG_UPTREND,2.63,NEUTRAL,2026-08-18
29,DEEPINDS,ENERGY,680.7,77.8,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 82,none flagged -- normal market risk applies,59.7,82.0,-2.6,STRONG_UPTREND,67.78,NEUTRAL,2026-08-18
30,SANSERA,AUTO,4002.0,77.8,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,59.8,80.2,-0.9,STRONG_UPTREND,123.81,NEUTRAL,2026-08-18
31,UJJIVANSFB,BANKING,72.21,77.6,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,59.2,79.9,-1.5,STRONG_UPTREND,184.76,NEUTRAL,2026-08-18
32,INDSWFTLAB,PHARMA,313.02,77.6,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,overbought (RSI 81),59.0,80.0,-2.3,STRONG_UPTREND,45.58,NEUTRAL,2026-08-18
33,CNL,RETAIL,1252.1,77.5,HIGH,within 5% of 52w high (strongest measured factor); ML bull score 79,none flagged -- normal market risk applies,57.5,78.8,-0.6,INSUFFICIENT_DATA,63.2,NEUTRAL,2026-08-18
34,ALPHAGEO,ENERGY,338.36,77.4,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,overbought (RSI 78),59.9,79.8,-1.3,STRONG_UPTREND,2.82,NEUTRAL,2026-08-18
35,DIVGIITTS,DEFENCE,1284.45,77.4,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,overbought (RSI 81),60.0,80.2,-2.6,STRONG_UPTREND,32.09,NEUTRAL,2026-08-18
36,FILATEX,TEXTILES,82.72,77.4,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,57.9,79.9,-3.5,STRONG_UPTREND,42.04,NEUTRAL,2026-08-18
37,UNIVCABLES,CAPITAL_GOODS,1724.6,77.3,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,60.7,80.0,-2.8,STRONG_UPTREND,46.69,NEUTRAL,2026-08-18
38,RUBICON,PHARMA,1798.7,77.3,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.0,80.0,-0.5,STRONG_UPTREND,71.35,NEUTRAL,2026-08-18
39,SHILPAMED,PHARMA,809.3,77.2,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,59.0,80.4,-2.0,STRONG_UPTREND,252.14,NEUTRAL,2026-08-18
40,NRBBEARING,AUTO,484.05,77.2,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,61.6,80.0,-0.6,STRONG_UPTREND,27.35,NEUTRAL,2026-08-18
41,MOTHERSON,CAPITAL_GOODS,168.06,77.2,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.8,80.0,-2.3,STRONG_UPTREND,370.17,NEUTRAL,2026-08-18
42,VARROC,AUTO,847.75,77.1,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,overbought (RSI 84),59.7,80.1,-3.1,STRONG_UPTREND,96.8,NEUTRAL,2026-08-18
43,HEG,CAPITAL_GOODS,698.3,77.0,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,56.8,79.7,-1.8,STRONG_UPTREND,193.23,NEUTRAL,2026-08-18
44,KWIL,FMCG,38.79,77.0,HIGH,within 5% of 52w high (strongest measured factor); ML bull score 80,none flagged -- normal market risk applies,58.6,79.8,-1.7,INSUFFICIENT_DATA,57.92,NEUTRAL,2026-08-18
45,RADICO,FMCG,4693.4,77.0,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.2,80.0,0.0,STRONG_UPTREND,221.39,NEUTRAL,2026-08-18
46,TVSMOTOR,AUTO,4385.9,77.0,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.1,80.0,-2.0,STRONG_UPTREND,651.57,NEUTRAL,2026-08-18
47,TARSONS,HEALTHCARE,361.5,76.8,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,59.8,80.0,-3.6,STRONG_UPTREND,41.99,NEUTRAL,2026-08-18
48,MANINDS,METAL,630.35,76.8,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,59.9,79.9,-1.3,STRONG_UPTREND,53.9,NEUTRAL,2026-08-18
49,DOLPHIN,ENERGY,576.85,76.8,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,overbought (RSI 87),60.4,80.2,-1.5,STRONG_UPTREND,5.61,NEUTRAL,2026-08-18
50,LUMAXTECH,AUTO,2049.0,76.8,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,overbought (RSI 79),58.4,80.2,-2.9,STRONG_UPTREND,98.89,NEUTRAL,2026-08-18
51,MARKSANS,PHARMA,331.45,76.7,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,57.9,80.0,-4.1,STRONG_UPTREND,187.82,NEUTRAL,2026-08-18
52,DYCL,CAPITAL_GOODS,465.35,76.6,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,56.9,79.6,-1.8,STRONG_UPTREND,54.56,NEUTRAL,2026-08-18
53,KRN,OTHER,1539.7,76.6,HIGH,within 5% of 52w high (strongest measured factor); ML bull score 75,none flagged -- normal market risk applies,57.3,75.3,-0.1,INSUFFICIENT_DATA,105.83,NEUTRAL,2026-08-18
54,LMW,CAPITAL_GOODS,20047.0,76.5,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,overbought (RSI 83),59.8,80.1,-0.5,STRONG_UPTREND,16.33,NEUTRAL,2026-08-18
55,FINCABLES,CAPITAL_GOODS,1320.85,76.5,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,57.9,80.4,-3.9,STRONG_UPTREND,251.62,NEUTRAL,2026-08-18
56,SUNDRMFAST,AUTO,1214.75,76.4,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,overbought (RSI 87),59.2,80.3,-2.3,STRONG_UPTREND,31.77,NEUTRAL,2026-08-18
57,KEI,CAPITAL_GOODS,5873.0,76.4,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.1,79.9,-0.1,STRONG_UPTREND,295.12,NEUTRAL,2026-08-18
58,SONACOMS,AUTO,805.1,76.4,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.9,80.2,-3.8,STRONG_UPTREND,246.07,NEUTRAL,2026-08-18
59,SHADOWFAX,LOGISTICS,258.6,76.4,HIGH,within 5% of 52w high (strongest measured factor); ML bull score 80,none flagged -- normal market risk applies,57.5,79.8,-1.9,INSUFFICIENT_DATA,458.33,NEUTRAL,2026-08-18
60,SETL,CAPITAL_GOODS,308.7,76.3,HIGH,within 5% of 52w high (strongest measured factor); ML bull score 79,none flagged -- normal market risk applies,57.9,79.1,-1.5,INSUFFICIENT_DATA,21.61,NEUTRAL,2026-08-18
61,ASIANENE,ENERGY,425.25,76.3,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.0,79.8,-1.6,STRONG_UPTREND,22.72,NEUTRAL,2026-08-18
62,THYROCARE,HEALTHCARE,618.6,76.3,HIGH,strong uptrend; ML bull score 77; institutional buying (deals),none flagged -- normal market risk applies,65.6,76.8,-6.6,STRONG_UPTREND,100.21,NEUTRAL,2026-08-18
63,PTCIL,POWER,20584.0,76.2,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 86,none flagged -- normal market risk applies,60.5,85.6,-0.8,STRONG_UPTREND,61.5,NEUTRAL,2026-08-18
64,SENORES,PHARMA,1545.7,76.2,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,59.4,80.0,-0.3,STRONG_UPTREND,45.77,NEUTRAL,2026-08-18
65,INDGN,HEALTHCARE,561.75,76.1,HIGH,strong uptrend; ML bull score 78; institutional buying (deals),none flagged -- normal market risk applies,62.5,77.8,-5.9,STRONG_UPTREND,39.82,NEUTRAL,2026-08-18
66,DHAMPURSUG,FMCG,170.87,76.0,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,57.6,80.4,-2.4,STRONG_UPTREND,9.39,NEUTRAL,2026-08-18
67,UGARSUGAR,FMCG,52.18,76.0,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,thin liquidity -- use TWAP slices,58.0,79.9,-3.2,STRONG_UPTREND,2.33,NEUTRAL,2026-08-18
68,TVSSRICHAK,AUTO,4868.9,76.0,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,overbought (RSI 82),59.3,79.9,-1.1,STRONG_UPTREND,29.03,NEUTRAL,2026-08-18
69,ANTHEM,PHARMA,898.0,76.0,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,56.6,79.8,-0.7,STRONG_UPTREND,74.03,NEUTRAL,2026-08-18
70,LAURUSLABS,PHARMA,1809.7,75.9,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.5,80.0,-3.3,STRONG_UPTREND,404.09,NEUTRAL,2026-08-18
71,SGMART,METAL,752.3,75.9,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 79,none flagged -- normal market risk applies,58.6,79.0,-0.7,STRONG_UPTREND,29.55,NEUTRAL,2026-08-18
72,ALIVUS,PHARMA,1394.4,75.8,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.3,80.0,-1.7,STRONG_UPTREND,23.43,NEUTRAL,2026-08-18
73,NELCO,IT,1081.5,75.8,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.4,80.0,-3.4,STRONG_UPTREND,58.0,NEUTRAL,2026-08-18
74,COMSYN,AUTO,281.69,75.8,HIGH,ML bull score 79,none flagged -- normal market risk applies,57.8,79.3,-5.5,INSUFFICIENT_DATA,45.35,NEUTRAL,2026-08-18
75,YASHO,CHEMICALS,4362.3,75.8,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,59.7,80.2,-2.8,STRONG_UPTREND,37.54,NEUTRAL,2026-08-18
76,KDDL,FMCG,4084.6,75.8,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,overbought (RSI 84),59.6,80.0,-1.7,STRONG_UPTREND,22.88,NEUTRAL,2026-08-18
77,LENSKART,RETAIL,607.6,75.7,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.1,79.9,-3.1,STRONG_UPTREND,383.45,NEUTRAL,2026-08-18
78,GKSL,HEALTHCARE,151.36,75.7,HIGH,within 5% of 52w high (strongest measured factor); ML bull score 78,overbought (RSI 83),58.4,78.4,-1.1,INSUFFICIENT_DATA,6.73,NEUTRAL,2026-08-18
79,DEEDEV,OTHER,650.55,75.6,HIGH,within 5% of 52w high (strongest measured factor); ML bull score 78,overbought (RSI 83),56.8,77.5,-2.0,INSUFFICIENT_DATA,31.62,NEUTRAL,2026-08-18
80,HAL,DEFENCE,5059.0,75.6,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,57.0,79.9,-1.8,STRONG_UPTREND,569.1,NEUTRAL,2026-08-18
81,ATHERENERG,AUTO,1485.2,75.5,HIGH,strong uptrend; ML bull score 80,none flagged -- normal market risk applies,59.0,80.0,-6.0,STRONG_UPTREND,683.36,NEUTRAL,2026-08-18
82,PREMIERPOL,OTHER,83.59,75.5,HIGH,within 5% of 52w high (strongest measured factor); ML bull score 78,none flagged -- normal market risk applies,55.8,78.4,-2.2,INSUFFICIENT_DATA,4.47,NEUTRAL,2026-08-18
83,CHENNPETRO,METAL,1382.4,75.5,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.6,79.8,-4.6,STRONG_UPTREND,393.2,NEUTRAL,2026-08-18
84,VSSL,METAL,361.55,75.5,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.7,80.1,-3.8,STRONG_UPTREND,12.3,NEUTRAL,2026-08-18
85,RISHABH,CAPITAL_GOODS,694.6,75.5,HIGH,within 5% of 52w high (strongest measured factor); ML bull score 80,none flagged -- normal market risk applies,58.0,79.7,-0.6,INSUFFICIENT_DATA,14.99,NEUTRAL,2026-08-18
86,DIVISLAB,PHARMA,8481.5,75.5,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,57.0,79.9,-2.2,STRONG_UPTREND,459.43,NEUTRAL,2026-08-18
87,PRECWIRE,METAL,457.75,75.5,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,59.9,79.8,-3.6,STRONG_UPTREND,35.1,NEUTRAL,2026-08-18
88,SEDEMAC,AUTO,3240.2,75.5,HIGH,within 5% of 52w high (strongest measured factor); ML bull score 80,none flagged -- normal market risk applies,59.0,79.7,-1.0,INSUFFICIENT_DATA,57.59,NEUTRAL,2026-08-18
89,BALRAMCHIN,FMCG,655.75,75.5,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,56.7,80.0,-1.5,STRONG_UPTREND,54.96,NEUTRAL,2026-08-18
90,ATALREAL,REALTY,35.85,75.4,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 74,none flagged -- normal market risk applies,57.7,74.2,-2.3,STRONG_UPTREND,36.86,NEUTRAL,2026-08-18
91,UNITDSPR,FMCG,1545.0,75.4,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 79,none flagged -- normal market risk applies,57.2,79.4,-0.2,STRONG_UPTREND,138.11,NEUTRAL,2026-08-18
92,RAYMOND,REALTY,647.85,75.3,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.9,79.7,-0.2,STRONG_UPTREND,33.73,NEUTRAL,2026-08-18
93,SJS,AUTO,2534.5,75.3,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,59.0,80.2,-2.1,STRONG_UPTREND,48.64,NEUTRAL,2026-08-18
94,PARAS,DEFENCE,1388.5,75.2,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,59.9,79.9,-3.8,STRONG_UPTREND,141.72,NEUTRAL,2026-08-18
95,KTKBANK,BANKING,306.5,75.2,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,57.3,80.0,-3.2,STRONG_UPTREND,106.08,NEUTRAL,2026-08-18
96,SHRIRAMFIN,FINANCIAL_SERVICES,1122.0,75.1,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,57.6,79.9,-2.8,STRONG_UPTREND,639.86,NEUTRAL,2026-08-18
97,MARINE,CAPITAL_GOODS,367.1,75.1,HIGH,strong uptrend; ML bull score 80,none flagged -- normal market risk applies,56.5,80.0,-5.4,STRONG_UPTREND,49.65,NEUTRAL,2026-08-18
98,ASKAUTOLTD,AUTO,649.2,75.1,HIGH,strong uptrend; ML bull score 80,none flagged -- normal market risk applies,56.8,80.4,-5.6,STRONG_UPTREND,116.92,NEUTRAL,2026-08-18
99,MACPOWER,CAPITAL_GOODS,1781.4,75.0,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,59.0,80.0,-3.7,STRONG_UPTREND,10.35,NEUTRAL,2026-08-18
100,SANGHVIMOV,CAPITAL_GOODS,506.95,74.9,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,57.9,80.0,-4.0,STRONG_UPTREND,30.22,NEUTRAL,2026-08-18
101,MMP,METAL,350.0,74.9,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.5,79.9,-3.2,STRONG_UPTREND,3.25,NEUTRAL,2026-08-18
102,RRKABEL,CAPITAL_GOODS,2748.6,74.9,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.6,80.0,-3.5,STRONG_UPTREND,202.03,NEUTRAL,2026-08-18
103,UNIMECH,DEFENCE,1511.3,74.9,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.2,79.9,-2.8,STRONG_UPTREND,37.1,NEUTRAL,2026-08-18
104,TITAN,FMCG,5068.5,74.8,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,56.4,79.9,-1.9,STRONG_UPTREND,499.42,NEUTRAL,2026-08-18
105,EXIDEIND,AUTO,475.7,74.8,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,56.5,79.9,-4.2,STRONG_UPTREND,311.1,NEUTRAL,2026-08-18
106,GLAND,PHARMA,2910.2,74.8,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,56.9,80.0,-4.3,STRONG_UPTREND,263.26,NEUTRAL,2026-08-18
107,KINGFA,CAPITAL_GOODS,6087.5,74.8,HIGH,within 5% of 52w high (strongest measured factor); ML bull score 80,none flagged -- normal market risk applies,59.9,80.5,-1.8,INSUFFICIENT_DATA,13.07,NEUTRAL,2026-08-18
108,MANORAMA,FMCG,1943.4,74.7,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.8,80.2,-4.9,STRONG_UPTREND,162.73,NEUTRAL,2026-08-18
109,SAHYADRI,CHEMICALS,388.15,74.7,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,overbought (RSI 78),59.6,80.5,-3.2,STRONG_UPTREND,1.42,NEUTRAL,2026-08-18
110,GNFC,CHEMICALS,600.65,74.7,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,56.5,79.9,-2.5,STRONG_UPTREND,33.32,NEUTRAL,2026-08-18
111,KANPRPLA,CHEMICALS,262.85,74.6,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,thin liquidity -- use TWAP slices,58.5,80.0,-3.4,STRONG_UPTREND,2.81,NEUTRAL,2026-08-18
112,TBOTEK,HOSPITALITY,1700.0,74.6,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,59.6,80.1,-3.7,STRONG_UPTREND,58.35,NEUTRAL,2026-08-18
113,SBCL,METAL,1024.6,74.5,HIGH,strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.2,80.0,-7.3,STRONG_UPTREND,119.67,NEUTRAL,2026-08-18
114,MMFL,AUTO,632.3,74.3,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,none flagged -- normal market risk applies,58.5,80.0,-4.8,STRONG_UPTREND,12.08,NEUTRAL,2026-08-18
115,SIGMAADV,OTHER,627.1,74.3,HIGH,within 5% of 52w high (strongest measured factor); ML bull score 77,overbought (RSI 88),55.5,76.6,-3.2,INSUFFICIENT_DATA,40.01,NEUTRAL,2026-08-18
116,KALYANKJIL,FMCG,610.0,74.3,HIGH,strong uptrend; ML bull score 80; volatility squeeze (breakout setup),none flagged -- normal market risk applies,55.0,79.9,-6.0,STRONG_UPTREND,1338.14,NEUTRAL,2026-08-18
117,NAUKRI,RETAIL,1355.8,74.2,HIGH,strong uptrend; ML bull score 79,none flagged -- normal market risk applies,57.4,79.4,-5.4,STRONG_UPTREND,320.18,NEUTRAL,2026-08-18
118,ARIES,CHEMICALS,434.65,74.2,HIGH,within 5% of 52w high (strongest measured factor); strong uptrend; ML bull score 80,overbought (RSI 82),56.7,79.9,-2.3,STRONG_UPTREND,2.56,NEUTRAL,2026-08-18
