date,sector,sector_turnover_cr,sector_weight,market_turnover_cr,symbol_count,FII_OI_Net_attr,DII_OI_Net_attr,PRO_OI_Net_attr,CLIENT_OI_Net_attr,FII_Volume_Net_attr,DII_Volume_Net_attr,PRO_Volume_Net_attr,CLIENT_Volume_Net_attr
2016-01-04,HOSPITALITY,183.2072,0.010743,17052.91,22,-2065.21,-3841.47,702.66,5204.02,-64.28,-12.55,-151.47,228.3
2016-01-04,INFRASTRUCTURE,722.5678,0.042372,17052.91,34,-8145.19,-15150.74,2771.31,20524.63,-253.51,-49.49,-597.4,900.41
2016-01-04,INSURANCE,0.0,0.0,17052.912362883002,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-04,IT,916.087,0.05372,17052.91,38,-10326.65,-19208.43,3513.52,26021.56,-321.41,-62.75,-757.4,1141.56
2016-01-04,LOGISTICS,274.6002,0.016103,17052.91,11,-3095.45,-5757.79,1053.19,7800.05,-96.34,-18.81,-227.03,342.19
2016-01-04,MEDIA,106.1439,0.006224,17052.91,32,-1196.51,-2225.62,407.1,3015.03,-37.24,-7.27,-87.76,132.27
2016-01-04,METAL,634.6579,0.037217,17052.91,54,-7154.22,-13307.45,2434.14,18027.53,-222.67,-43.47,-524.72,790.86
2016-01-04,OTHER,4858.2587,0.284893,17052.91,583,-54765.02,-101867.55,18633.15,137999.42,-1704.52,-332.76,-4016.71,6053.98
2016-01-04,PHARMA,1476.2008,0.086566,17052.91,50,-16640.56,-30952.85,5661.76,41931.66,-517.92,-101.11,-1220.49,1839.53
2016-01-04,POWER,395.246,0.023178,17052.91,18,-4455.43,-8287.48,1515.91,11227.01,-138.67,-27.07,-326.78,492.52
2016-01-04,REALTY,235.403,0.013804,17052.91,45,-2653.59,-4935.91,902.85,6686.65,-82.59,-16.12,-194.63,293.34
2016-01-04,RETAIL,62.4125,0.00366,17052.91,8,-703.55,-1308.66,239.37,1772.83,-21.9,-4.27,-51.6,77.77
2016-01-04,TELECOM,181.4178,0.010639,17052.91,7,-2045.04,-3803.95,695.8,5153.19,-63.65,-12.43,-149.99,226.07
2016-01-04,TEXTILES,122.9095,0.007208,17052.91,64,-1385.5,-2577.16,471.4,3491.26,-43.12,-8.42,-101.62,153.16
2016-01-05,AGRICULTURE,137.0548,0.007765,17650.52,9,-1514.73,-2775.32,466.91,3823.14,-22.08,1.13,-40.94,61.89
2016-01-05,AMC,0.0,0.0,17650.521811394996,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-05,AUTO,861.9105,0.048832,17650.52,60,-9525.86,-17453.44,2936.32,24042.98,-138.88,7.13,-257.49,389.24
2016-01-05,AVIATION,225.2656,0.012763,17650.52,2,-2489.64,-4561.56,767.42,6283.78,-36.3,1.86,-67.3,101.73
2016-01-05,BANKING,1522.1689,0.086239,17650.52,26,-16823.05,-30823.48,5185.66,42460.87,-245.26,12.59,-454.74,687.41
2016-01-05,CAPITAL_GOODS,582.7949,0.033019,17650.52,85,-6441.06,-11801.43,1985.44,16257.05,-93.9,4.82,-174.11,263.19
2016-01-05,CEMENT,226.179,0.012814,17650.52,17,-2499.74,-4580.06,770.54,6309.26,-36.44,1.87,-67.57,102.14
2016-01-05,CHEMICALS,769.3274,0.043587,17650.52,108,-8502.62,-15578.66,2620.91,21460.37,-123.96,6.36,-229.83,347.43
2016-01-05,DEFENCE,54.9609,0.003114,17650.52,4,-607.43,-1112.94,187.24,1533.13,-8.86,0.45,-16.42,24.82
2016-01-05,DIVERSIFIED,18.4527,0.001045,17650.52,6,-203.94,-373.66,62.86,514.74,-2.97,0.15,-5.51,8.33
2016-01-05,ENERGY,896.0825,0.050768,17650.52,17,-9903.53,-18145.41,3052.73,24996.21,-144.38,7.41,-267.7,404.67
2016-01-05,EXCHANGE,0.0,0.0,17650.521811394996,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-05,FINANCIAL_SERVICES,460.0785,0.026066,17650.52,75,-5084.8,-9316.46,1567.37,12833.88,-74.13,3.81,-137.45,207.77
2016-01-05,FMCG,888.5675,0.050342,17650.52,83,-9820.47,-17993.24,3027.13,24786.58,-143.17,7.35,-265.45,401.28
2016-01-05,HEALTHCARE,213.0328,0.012069,17650.52,16,-2354.44,-4313.85,725.75,5942.55,-34.33,1.76,-63.64,96.21
2016-01-05,HOSPITALITY,223.1306,0.012642,17650.52,22,-2466.05,-4518.33,760.15,6224.23,-35.95,1.85,-66.66,100.77
2016-01-05,INFRASTRUCTURE,521.891,0.029568,17650.52,34,-5767.95,-10568.14,1777.95,14558.14,-84.09,4.32,-155.91,235.69
2016-01-05,INSURANCE,0.0,0.0,17650.521811394996,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-05,IT,978.3523,0.055429,17650.52,38,-10812.77,-19811.35,3333.01,27291.12,-157.64,8.09,-292.28,441.83
2016-01-05,LOGISTICS,173.2515,0.009816,17650.52,11,-1914.78,-3508.29,590.23,4832.85,-27.92,1.43,-51.76,78.24
2016-01-05,MEDIA,183.18,0.010378,17650.52,31,-2024.51,-3709.34,624.05,5109.8,-29.52,1.52,-54.72,82.72
2016-01-05,METAL,1103.1666,0.062501,17650.52,55,-12192.22,-22338.81,3758.22,30772.81,-177.75,9.13,-329.57,498.19
2016-01-05,OTHER,5059.7726,0.286664,17650.52,584,-55920.73,-102458.94,17237.4,141142.27,-815.27,41.85,-1511.58,2285.0
2016-01-05,PHARMA,1380.0808,0.078189,17650.52,50,-15252.69,-27946.24,4701.6,38497.33,-222.37,11.42,-412.29,623.25
2016-01-05,POWER,350.0565,0.019833,17650.52,18,-3868.83,-7088.54,1192.56,9764.82,-56.4,2.9,-104.58,158.09
2016-01-05,REALTY,393.5752,0.022298,17650.52,44,-4349.8,-7969.79,1340.81,10978.77,-63.42,3.26,-117.58,177.74
2016-01-05,RETAIL,64.7387,0.003668,17650.52,8,-715.49,-1310.94,220.55,1805.88,-10.43,0.54,-19.34,29.24
2016-01-05,TELECOM,177.4297,0.010052,17650.52,7,-1960.96,-3592.9,604.46,4949.4,-28.59,1.47,-53.01,80.13
2016-01-05,TEXTILES,186.0203,0.010539,17650.52,65,-2055.9,-3766.86,633.73,5189.03,-29.97,1.54,-55.57,84.01
2016-01-06,AGRICULTURE,117.3848,0.005934,19782.64,9,-1218.31,-2102.18,337.65,2982.85,-60.8,18.64,-19.15,61.31
2016-01-06,AMC,0.0,0.0,19782.64421846,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-06,AUTO,984.3292,0.049757,19782.64,60,-10216.15,-17627.84,2831.33,25012.65,-509.81,156.29,-160.62,514.14
2016-01-06,AVIATION,166.6556,0.008424,19782.64,2,-1729.68,-2984.55,479.37,4234.86,-86.32,26.46,-27.19,87.05
2016-01-06,BANKING,1611.2612,0.081448,19782.64,26,-16722.95,-28855.23,4634.65,40943.53,-834.52,255.83,-262.91,841.6
2016-01-06,CAPITAL_GOODS,416.0492,0.021031,19782.64,84,-4318.09,-7450.81,1196.73,10572.17,-215.48,66.06,-67.89,217.31
2016-01-06,CEMENT,283.4438,0.014328,19782.64,17,-2941.81,-5076.05,815.3,7202.55,-146.8,45.0,-46.25,148.05
2016-01-06,CHEMICALS,1014.6804,0.051291,19782.64,108,-10531.16,-18171.38,2918.64,25783.9,-525.53,161.11,-165.57,529.99
2016-01-06,DEFENCE,50.4791,0.002552,19782.64,4,-523.91,-904.0,145.2,1282.72,-26.14,8.01,-8.24,26.37
2016-01-06,DIVERSIFIED,18.9433,0.000958,19782.64,6,-196.61,-339.25,54.49,481.37,-9.81,3.01,-3.09,9.89
2016-01-06,ENERGY,1321.7178,0.066812,19782.64,17,-13717.84,-23669.95,3801.8,33585.98,-684.56,209.86,-215.67,690.37
2016-01-06,EXCHANGE,0.0,0.0,19782.64421846,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-06,FINANCIAL_SERVICES,384.7104,0.019447,19782.64,75,-3992.83,-6889.58,1106.58,9775.82,-199.25,61.08,-62.77,200.94
2016-01-06,FMCG,1151.4328,0.058204,19782.64,84,-11950.48,-20620.41,3311.99,29258.9,-596.36,182.82,-187.88,601.42
2016-01-06,HEALTHCARE,1654.998,0.083659,19782.64,17,-17176.88,-29638.49,4760.45,42054.92,-857.17,262.77,-270.05,864.45
2016-01-06,HOSPITALITY,168.8074,0.008533,19782.64,22,-1752.02,-3023.08,485.56,4289.54,-87.43,26.8,-27.54,88.17
2016-01-06,INFRASTRUCTURE,569.2432,0.028775,19782.64,34,-5908.06,-10194.28,1637.38,14464.96,-294.83,90.38,-92.89,297.33
2016-01-06,INSURANCE,0.0,0.0,19782.64421846,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-06,IT,1120.9845,0.056665,19782.64,38,-11634.47,-20075.12,3224.41,28485.18,-580.59,177.98,-182.91,585.52
2016-01-06,LOGISTICS,148.8615,0.007525,19782.64,11,-1545.0,-2665.88,428.19,3782.7,-77.1,23.64,-24.29,77.75
2016-01-06,MEDIA,154.2937,0.007799,19782.64,31,-1601.38,-2763.16,443.81,3920.74,-79.91,24.5,-25.18,80.59
2016-01-06,METAL,654.9664,0.033108,19782.64,55,-6797.76,-11729.45,1883.95,16643.26,-339.23,103.99,-106.87,342.11
2016-01-06,OTHER,5175.1473,0.2616,19782.64,581,-53711.79,-92679.0,14885.85,131504.94,-2680.36,821.69,-844.45,2703.12
2016-01-06,PHARMA,1410.6292,0.071306,19782.64,50,-14640.63,-25262.22,4057.55,35845.3,-730.61,223.97,-230.18,736.81
2016-01-06,POWER,471.9463,0.023857,19782.64,18,-4898.23,-8451.84,1357.51,11992.56,-244.43,74.93,-77.01,246.51
2016-01-06,REALTY,245.4848,0.012409,19782.64,44,-2547.84,-4396.26,706.12,6237.98,-127.14,38.98,-40.06,128.22
2016-01-06,RETAIL,46.0537,0.002328,19782.64,8,-477.98,-824.75,132.47,1170.26,-23.85,7.31,-7.51,24.06
2016-01-06,TELECOM,168.9538,0.008541,19782.64,7,-1753.54,-3025.71,485.98,4293.26,-87.51,26.83,-27.57,88.25
2016-01-06,TEXTILES,271.1868,0.013708,19782.64,64,-2814.59,-4856.54,780.04,6891.09,-140.46,43.06,-44.25,141.65
2016-01-07,AGRICULTURE,50.3943,0.002726,18483.63,9,-639.92,-959.16,152.12,1446.95,-80.13,6.75,-3.02,76.39
2016-01-07,AMC,0.0,0.0,18483.632199697004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-07,AUTO,1157.6296,0.06263,18483.63,60,-14699.88,-22033.23,3494.5,33238.61,-1840.7,155.13,-69.33,1754.89
2016-01-07,AVIATION,341.9807,0.018502,18483.63,2,-4342.56,-6508.94,1032.33,9819.17,-543.77,45.83,-20.48,518.42
2016-01-07,BANKING,2275.0508,0.123085,18483.63,26,-28889.19,-43301.17,6867.63,65322.73,-3617.46,304.88,-136.25,3448.83
2016-01-07,CAPITAL_GOODS,361.1615,0.01954,18483.63,85,-4586.12,-6874.01,1090.23,10369.9,-574.27,48.4,-21.63,547.5
2016-01-07,CEMENT,304.6604,0.016483,18483.63,17,-3868.66,-5798.62,919.67,8747.61,-484.43,40.83,-18.25,461.85
2016-01-07,CHEMICALS,714.9897,0.038682,18483.63,108,-9079.13,-13608.44,2158.32,20529.25,-1136.87,95.82,-42.82,1083.88
2016-01-07,DEFENCE,66.9684,0.003623,18483.63,4,-850.38,-1274.61,202.16,1922.84,-106.48,8.97,-4.01,101.52
2016-01-07,DIVERSIFIED,6.6498,0.00036,18483.63,6,-84.44,-126.57,20.07,190.93,-10.57,0.89,-0.4,10.08
2016-01-07,ENERGY,1080.2299,0.058443,18483.63,17,-13717.04,-20560.08,3260.86,31016.26,-1717.63,144.76,-64.7,1637.56
2016-01-07,EXCHANGE,0.0,0.0,18483.632199697004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-07,FINANCIAL_SERVICES,405.8287,0.021956,18483.63,75,-5153.32,-7724.16,1225.06,11652.42,-645.29,54.39,-24.31,615.21
2016-01-07,FMCG,1044.5027,0.05651,18483.63,83,-13263.37,-19880.08,3153.01,29990.44,-1660.82,139.97,-62.56,1583.4
2016-01-07,HEALTHCARE,498.7463,0.026983,18483.63,17,-6333.21,-9492.67,1505.55,14320.33,-793.03,66.84,-29.87,756.07
2016-01-07,HOSPITALITY,202.3213,0.010946,18483.63,22,-2569.13,-3850.79,610.74,5809.18,-321.7,27.11,-12.12,306.71
2016-01-07,INFRASTRUCTURE,676.5281,0.036601,18483.63,34,-8590.73,-12876.4,2042.22,19424.91,-1075.72,90.66,-40.52,1025.57
2016-01-07,INSURANCE,0.0,0.0,18483.632199697004,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-07,IT,1182.4448,0.063973,18483.63,38,-15014.99,-22505.54,3569.41,33951.12,-1880.15,158.46,-70.82,1792.51
2016-01-07,LOGISTICS,186.1121,0.010069,18483.63,11,-2363.3,-3542.28,561.81,5343.77,-295.93,24.94,-11.15,282.13
2016-01-07,MEDIA,165.4646,0.008952,18483.63,31,-2101.11,-3149.3,499.48,4750.93,-263.1,22.17,-9.91,250.83
2016-01-07,METAL,694.0617,0.03755,18483.63,55,-8813.38,-13210.12,2095.14,19928.35,-1103.6,93.01,-41.57,1052.15
2016-01-07,OTHER,4561.6465,0.246794,18483.63,585,-57924.98,-86822.07,13770.11,130976.94,-7253.27,611.31,-273.2,6915.16
2016-01-07,PHARMA,1290.1661,0.0698,18483.63,50,-16382.87,-24555.8,3894.59,37044.08,-2051.44,172.9,-77.27,1955.81
2016-01-07,POWER,420.2409,0.022736,18483.63,18,-5336.33,-7998.47,1268.57,12066.23,-668.21,56.32,-25.17,637.06
2016-01-07,REALTY,378.8067,0.020494,18483.63,44,-4810.19,-7209.85,1143.49,10876.54,-602.32,50.76,-22.69,574.25
2016-01-07,RETAIL,52.1216,0.00282,18483.63,8,-661.85,-992.03,157.34,1496.55,-82.88,6.98,-3.12,79.01
2016-01-07,TELECOM,164.4685,0.008898,18483.63,7,-2088.46,-3130.34,496.48,4722.33,-261.51,22.04,-9.85,249.32
2016-01-07,TEXTILES,200.4565,0.010845,18483.63,64,-2545.45,-3815.3,605.11,5755.64,-318.74,26.86,-12.01,303.88
2016-01-08,AGRICULTURE,39.1873,0.002463,15912.63,9,-615.16,-870.64,133.83,1351.96,-37.15,-4.28,-3.57,45.0
2016-01-08,AMC,0.0,0.0,15912.629402235,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-08,AUTO,945.6426,0.059427,15912.63,60,-14844.61,-21009.65,3229.57,32624.69,-896.46,-103.17,-86.23,1085.85
2016-01-08,AVIATION,242.104,0.015215,15912.63,2,-3800.53,-5378.9,826.84,8352.59,-229.51,-26.41,-22.08,278.0
2016-01-08,BANKING,1664.3606,0.104594,15912.63,26,-26126.98,-36977.63,5684.14,57420.47,-1577.8,-181.57,-151.77,1911.14
2016-01-08,CAPITAL_GOODS,370.0098,0.023253,15912.63,84,-5808.38,-8220.63,1263.66,12765.35,-350.77,-40.37,-33.74,424.87
2016-01-08,CEMENT,197.9511,0.01244,15912.63,17,-3107.42,-4397.94,676.05,6829.32,-187.66,-21.6,-18.05,227.3
2016-01-08,CHEMICALS,523.4862,0.032898,15912.63,108,-8217.64,-11630.46,1787.82,18060.28,-496.26,-57.11,-47.73,601.1
2016-01-08,DEFENCE,35.049,0.002203,15912.63,4,-550.2,-778.7,119.7,1209.19,-33.23,-3.82,-3.2,40.25
2016-01-08,DIVERSIFIED,7.9375,0.000499,15912.63,6,-124.6,-176.35,27.11,273.84,-7.52,-0.87,-0.72,9.11
2016-01-08,ENERGY,906.4079,0.056962,15912.63,17,-14228.71,-20137.96,3095.58,31271.09,-859.26,-98.89,-82.65,1040.8
2016-01-08,EXCHANGE,0.0,0.0,15912.629402235,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-08,FINANCIAL_SERVICES,370.1601,0.023262,15912.63,72,-5810.74,-8223.97,1264.18,12770.53,-350.91,-40.38,-33.75,425.04
2016-01-08,FMCG,1117.3012,0.070215,15912.63,83,-17539.29,-24823.44,3815.82,38546.91,-1059.19,-121.89,-101.88,1282.96
2016-01-08,HEALTHCARE,266.8089,0.016767,15912.63,17,-4188.34,-5927.78,911.21,9204.91,-252.93,-29.11,-24.33,306.37
2016-01-08,HOSPITALITY,289.0839,0.018167,15912.63,22,-4538.01,-6422.67,987.28,9973.4,-274.05,-31.54,-26.36,331.95
2016-01-08,INFRASTRUCTURE,649.0971,0.040791,15912.63,34,-10189.47,-14421.2,2216.8,22393.86,-615.34,-70.81,-59.19,745.34
2016-01-08,INSURANCE,0.0,0.0,15912.629402235,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-08,IT,866.1052,0.054429,15912.63,38,-13596.04,-19242.54,2957.93,29880.64,-821.06,-94.49,-78.98,994.52
2016-01-08,LOGISTICS,216.4332,0.013601,15912.63,11,-3397.55,-4808.57,739.17,7466.95,-205.18,-23.61,-19.74,248.52
2016-01-08,MEDIA,320.4422,0.020138,15912.63,31,-5030.27,-7119.37,1094.38,11055.26,-303.78,-34.96,-29.22,367.95
2016-01-08,METAL,623.8158,0.039203,15912.63,55,-9792.6,-13859.52,2130.46,21521.66,-591.37,-68.06,-56.88,716.31
2016-01-08,OTHER,4004.0844,0.251629,15912.63,583,-62855.75,-88960.03,13674.8,138140.98,-3795.83,-436.83,-365.11,4597.77
2016-01-08,PHARMA,1241.3084,0.078008,15912.63,50,-19485.95,-27578.55,4239.33,42825.16,-1176.75,-135.42,-113.19,1425.36
2016-01-08,POWER,349.2304,0.021947,15912.63,18,-5482.19,-7758.96,1192.7,12048.46,-331.07,-38.1,-31.84,401.01
2016-01-08,REALTY,337.3871,0.021202,15912.63,44,-5296.27,-7495.84,1152.25,11639.86,-319.84,-36.81,-30.76,387.41
2016-01-08,RETAIL,39.0362,0.002453,15912.63,8,-612.79,-867.28,133.32,1346.75,-37.01,-4.26,-3.56,44.82
2016-01-08,TELECOM,122.9109,0.007724,15912.63,7,-1929.44,-2730.75,419.77,4240.43,-116.52,-13.41,-11.21,141.13
2016-01-08,TEXTILES,167.2882,0.010513,15912.63,64,-2626.08,-3716.7,571.32,5771.45,-158.59,-18.25,-15.25,192.09
2016-01-11,AGRICULTURE,31.5463,0.001923,16405.27,9,-514.5,-679.01,113.4,1080.1,-34.16,0.82,8.9,24.43
2016-01-11,AMC,0.0,0.0,16405.274240855,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-11,AUTO,881.6548,0.053742,16405.27,60,-14379.09,-18976.84,3169.34,30186.59,-954.57,22.95,248.72,682.9
2016-01-11,AVIATION,182.1501,0.011103,16405.27,2,-2970.72,-3920.62,654.79,6236.56,-197.21,4.74,51.39,141.09
2016-01-11,BANKING,1947.7744,0.118729,16405.27,26,-31766.65,-41924.12,7001.78,66688.99,-2108.86,50.7,549.48,1508.68
2016-01-11,CAPITAL_GOODS,350.2261,0.021348,16405.27,85,-5711.91,-7538.31,1258.98,11991.24,-379.19,9.12,98.8,271.27
2016-01-11,CEMENT,208.2641,0.012695,16405.27,17,-3396.62,-4482.7,748.66,7130.66,-225.49,5.42,58.75,161.31
2016-01-11,CHEMICALS,450.0281,0.027432,16405.27,108,-7339.6,-9686.46,1617.74,15408.31,-487.25,11.71,126.95,348.58
2016-01-11,DEFENCE,50.4117,0.003073,16405.27,4,-822.17,-1085.07,181.22,1726.02,-54.58,1.31,14.22,39.05
2016-01-11,DIVERSIFIED,6.8168,0.000416,16405.27,6,-111.18,-146.73,24.5,233.4,-7.38,0.18,1.92,5.28
2016-01-11,ENERGY,1185.4684,0.072261,16405.27,17,-19334.05,-25516.16,4261.47,40588.73,-1283.51,30.86,334.43,918.23
2016-01-11,EXCHANGE,0.0,0.0,16405.274240855,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-11,FINANCIAL_SERVICES,391.0275,0.023835,16405.27,74,-6377.35,-8416.52,1405.65,13388.22,-423.37,10.18,110.31,302.88
2016-01-11,FMCG,982.8946,0.059913,16405.27,83,-16030.23,-21155.94,3533.27,33652.9,-1064.18,25.58,277.28,761.32
2016-01-11,HEALTHCARE,220.5422,0.013443,16405.27,17,-3596.87,-4746.98,792.8,7551.05,-238.78,5.74,62.22,170.82
2016-01-11,HOSPITALITY,222.5465,0.013566,16405.27,22,-3629.56,-4790.12,800.0,7619.67,-240.95,5.79,62.78,172.38
2016-01-11,INFRASTRUCTURE,821.1624,0.050055,16405.27,34,-13392.51,-17674.79,2951.88,28115.42,-889.07,21.37,231.65,636.05
2016-01-11,INSURANCE,0.0,0.0,16405.274240855,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-11,IT,1103.5042,0.067265,16405.27,38,-17997.28,-23751.95,3966.83,37782.4,-1194.76,28.72,311.3,854.74
2016-01-11,LOGISTICS,158.0391,0.009633,16405.27,11,-2577.49,-3401.65,568.11,5411.03,-171.11,4.11,44.58,122.41
2016-01-11,MEDIA,259.6415,0.015827,16405.27,31,-4234.55,-5588.55,933.35,8889.75,-281.11,6.76,73.25,201.11
2016-01-11,METAL,706.885,0.043089,16405.27,55,-11528.73,-15215.07,2541.08,24202.73,-765.34,18.4,199.42,547.53
2016-01-11,OTHER,4078.3337,0.248599,16405.27,585,-66514.39,-87782.52,14660.62,139636.28,-4415.61,106.15,1150.52,3158.95
2016-01-11,PHARMA,1164.5316,0.070985,16405.27,50,-18992.59,-25065.51,4186.21,39871.89,-1260.84,30.31,328.52,902.01
2016-01-11,POWER,413.8824,0.025229,16405.27,18,-6750.09,-8908.45,1487.81,14170.74,-448.11,10.77,116.76,320.58
2016-01-11,REALTY,219.6743,0.01339,16405.27,44,-3582.71,-4728.29,789.68,7521.33,-237.84,5.72,61.97,170.15
2016-01-11,RETAIL,30.0444,0.001831,16405.27,8,-490.0,-646.68,108.0,1028.68,-32.53,0.78,8.48,23.27
2016-01-11,TELECOM,191.3564,0.011664,16405.27,7,-3120.87,-4118.78,687.88,6551.77,-207.18,4.98,53.98,148.22
2016-01-11,TEXTILES,146.8675,0.008952,16405.27,63,-2395.29,-3161.19,527.95,5028.53,-159.01,3.82,41.43,113.76
2016-01-12,AGRICULTURE,31.1818,0.001948,16009.96,9,-547.07,-685.39,112.96,1119.5,-25.97,2.34,-1.9,25.52
2016-01-12,AMC,0.0,0.0,16009.962075879,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-12,AUTO,704.2117,0.043986,16009.96,60,-12355.14,-15478.84,2551.14,25282.84,-586.42,52.96,-42.84,576.3
2016-01-12,AVIATION,183.7684,0.011478,16009.96,2,-3224.15,-4039.3,665.73,6597.71,-153.03,13.82,-11.18,150.39
2016-01-12,BANKING,2439.6392,0.152383,16009.96,26,-42802.59,-53624.19,8838.04,87588.74,-2031.56,183.47,-148.42,1996.52
2016-01-12,CAPITAL_GOODS,288.4091,0.018014,16009.96,85,-5060.03,-6339.34,1044.81,10354.56,-240.17,21.69,-17.55,236.02
2016-01-12,CEMENT,200.545,0.012526,16009.96,17,-3518.49,-4408.05,726.51,7200.03,-167.0,15.08,-12.2,164.12
2016-01-12,CHEMICALS,625.2333,0.039053,16009.96,108,-10969.49,-13742.86,2265.02,22447.34,-520.65,47.02,-38.04,511.67
2016-01-12,DEFENCE,81.0946,0.005065,16009.96,4,-1422.78,-1782.49,293.78,2911.49,-67.53,6.1,-4.93,66.37
2016-01-12,DIVERSIFIED,4.6906,0.000293,16009.96,6,-82.29,-103.1,16.99,168.4,-3.91,0.35,-0.29,3.84
2016-01-12,ENERGY,996.9228,0.062269,16009.96,17,-17490.65,-21912.74,3611.53,35791.86,-830.17,74.97,-60.65,815.85
2016-01-12,EXCHANGE,0.0,0.0,16009.962075879,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-12,FINANCIAL_SERVICES,361.6592,0.02259,16009.96,73,-6345.18,-7949.41,1310.18,12984.41,-301.17,27.2,-22.0,295.97
2016-01-12,FMCG,906.6052,0.056628,16009.96,83,-15906.06,-19927.52,3284.34,32549.24,-754.96,68.18,-55.16,741.93
2016-01-12,HEALTHCARE,170.2447,0.010634,16009.96,17,-2986.88,-3742.04,616.74,6112.18,-141.77,12.8,-10.36,139.32
2016-01-12,HOSPITALITY,123.0353,0.007685,16009.96,22,-2158.61,-2704.36,445.72,4417.25,-102.46,9.25,-7.49,100.69
2016-01-12,INFRASTRUCTURE,579.7789,0.036214,16009.96,34,-10172.01,-12743.76,2100.35,20815.42,-482.8,43.6,-35.27,474.47
2016-01-12,INSURANCE,0.0,0.0,16009.962075879,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-01-12,IT,1187.7673,0.074189,16009.96,38,-20838.95,-26107.57,4302.9,42643.62,-989.09,89.32,-72.26,972.03
2016-01-12,LOGISTICS,191.9769,0.011991,16009.96,11,-3368.16,-4219.72,695.47,6892.42,-159.87,14.44,-11.68,157.11
2016-01-12,MEDIA,162.2795,0.010136,16009.96,31,-2847.13,-3566.96,587.89,5826.21,-135.14,12.2,-9.87,132.8
