date,sector,nse_index,FII_flow_score,DII_flow_score,PRO_flow_score,CLIENT_flow_score,Smart_Money_Score,Retail_Score,fpi_score,price_momentum_score,combined_score,rotation_signal,capital_flow_alignment,flow_rank
2016-01-06,AMC,NIFTY CAPITAL MARKETS,,,,,,,0.0,4.12,,NEUTRAL,UNKNOWN,
2016-01-06,AUTO,NIFTY AUTO,,,,,,,-28.479,3.61,,PRICE_LED,UNKNOWN,
2016-01-06,AVIATION,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-06,BANKING,NIFTY BANK,,,,,,,0.0,3.6,,NEUTRAL,UNKNOWN,
2016-01-06,CAPITAL_GOODS,NIFTY CONSUMER DURABLES,,,,,,,2.244,-4.25,,NEUTRAL,UNKNOWN,
2016-01-06,CEMENT,NIFTY CEMENT,,,,,,,-45.045,-2.58,,DISTRIBUTION,UNKNOWN,
2016-01-06,CHEMICALS,NIFTY CHEMICALS,,,,,,,-14.487,-0.92,,NEUTRAL,UNKNOWN,
2016-01-06,DEFENCE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-06,DIVERSIFIED,NIFTY PSE,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-06,ENERGY,NIFTY ENERGY,,,,,,,-42.108000000000004,2.69,,PRICE_LED,UNKNOWN,
2016-01-06,EXCHANGE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-06,FINANCIAL_SERVICES,NIFTY FINANCIAL SERVICES,,,,,,,14.949,4.86,,NEUTRAL,UNKNOWN,
2016-01-06,FMCG,NIFTY FMCG,,,,,,,-55.175999999999995,-4.08,,DISTRIBUTION,UNKNOWN,
2016-01-06,HEALTHCARE,NIFTY HEALTHCARE INDEX,,,,,,,-3.531,7.36,,NEUTRAL,UNKNOWN,
2016-01-06,HOSPITALITY,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-06,INFRASTRUCTURE,NIFTY INFRASTRUCTURE,,,,,,,39.864,-1.39,,EARLY_ROTATION,UNKNOWN,
2016-01-06,INSURANCE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-06,IT,NIFTY IT,,,,,,,-49.104,6.72,,PRICE_LED,UNKNOWN,
2016-01-06,LOGISTICS,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-06,MEDIA,NIFTY MEDIA,,,,,,,-32.538,-1.31,,DISTRIBUTION,UNKNOWN,
2016-01-06,METAL,NIFTY METAL,,,,,,,-5.313,14.22,,NEUTRAL,UNKNOWN,
2016-01-06,OTHER,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-06,PHARMA,NIFTY PHARMA,,,,,,,0.0,5.62,,NEUTRAL,UNKNOWN,
2016-01-06,POWER,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-06,REALTY,NIFTY REALTY,,,,,,,1.023,0.0,,NEUTRAL,UNKNOWN,
2016-01-06,RETAIL,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-06,TELECOM,,,,,,,,5.247,0.0,,NEUTRAL,UNKNOWN,
2016-01-06,TEXTILES,,,,,,,,9.372,0.0,,NEUTRAL,UNKNOWN,
2016-01-07,AGRICULTURE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-07,AMC,NIFTY CAPITAL MARKETS,,,,,,,0.0,4.12,,NEUTRAL,UNKNOWN,
2016-01-07,AUTO,NIFTY AUTO,,,,,,,-28.479,3.61,,PRICE_LED,UNKNOWN,
2016-01-07,AVIATION,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-07,BANKING,NIFTY BANK,,,,,,,0.0,3.6,,NEUTRAL,UNKNOWN,
2016-01-07,CAPITAL_GOODS,NIFTY CONSUMER DURABLES,,,,,,,2.244,-4.25,,NEUTRAL,UNKNOWN,
2016-01-07,CEMENT,NIFTY CEMENT,,,,,,,-45.045,-2.58,,DISTRIBUTION,UNKNOWN,
2016-01-07,CHEMICALS,NIFTY CHEMICALS,,,,,,,-14.487,-0.92,,NEUTRAL,UNKNOWN,
2016-01-07,DEFENCE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-07,DIVERSIFIED,NIFTY PSE,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-07,ENERGY,NIFTY ENERGY,,,,,,,-42.108000000000004,2.69,,PRICE_LED,UNKNOWN,
2016-01-07,EXCHANGE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-07,FINANCIAL_SERVICES,NIFTY FINANCIAL SERVICES,,,,,,,14.949,4.86,,NEUTRAL,UNKNOWN,
2016-01-07,FMCG,NIFTY FMCG,,,,,,,-55.175999999999995,-4.08,,DISTRIBUTION,UNKNOWN,
2016-01-07,HEALTHCARE,NIFTY HEALTHCARE INDEX,,,,,,,-3.531,7.36,,NEUTRAL,UNKNOWN,
2016-01-07,HOSPITALITY,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-07,INFRASTRUCTURE,NIFTY INFRASTRUCTURE,,,,,,,39.864,-1.39,,EARLY_ROTATION,UNKNOWN,
2016-01-07,INSURANCE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-07,IT,NIFTY IT,,,,,,,-49.104,6.72,,PRICE_LED,UNKNOWN,
2016-01-07,LOGISTICS,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-07,MEDIA,NIFTY MEDIA,,,,,,,-32.538,-1.31,,DISTRIBUTION,UNKNOWN,
2016-01-07,METAL,NIFTY METAL,,,,,,,-5.313,14.22,,NEUTRAL,UNKNOWN,
2016-01-07,OTHER,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-07,PHARMA,NIFTY PHARMA,,,,,,,0.0,5.62,,NEUTRAL,UNKNOWN,
2016-01-07,POWER,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-07,REALTY,NIFTY REALTY,,,,,,,1.023,0.0,,NEUTRAL,UNKNOWN,
2016-01-07,RETAIL,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-07,TELECOM,,,,,,,,5.247,0.0,,NEUTRAL,UNKNOWN,
2016-01-07,TEXTILES,,,,,,,,9.372,0.0,,NEUTRAL,UNKNOWN,
2016-01-08,AGRICULTURE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-08,AMC,NIFTY CAPITAL MARKETS,,,,,,,0.0,4.12,,NEUTRAL,UNKNOWN,
2016-01-08,AUTO,NIFTY AUTO,,,,,,,-28.479,3.61,,PRICE_LED,UNKNOWN,
2016-01-08,AVIATION,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-08,BANKING,NIFTY BANK,,,,,,,0.0,3.6,,NEUTRAL,UNKNOWN,
2016-01-08,CAPITAL_GOODS,NIFTY CONSUMER DURABLES,,,,,,,2.244,-4.25,,NEUTRAL,UNKNOWN,
2016-01-08,CEMENT,NIFTY CEMENT,,,,,,,-45.045,-2.58,,DISTRIBUTION,UNKNOWN,
2016-01-08,CHEMICALS,NIFTY CHEMICALS,,,,,,,-14.487,-0.92,,NEUTRAL,UNKNOWN,
2016-01-08,DEFENCE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-08,DIVERSIFIED,NIFTY PSE,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-08,ENERGY,NIFTY ENERGY,,,,,,,-42.108000000000004,2.69,,PRICE_LED,UNKNOWN,
2016-01-08,EXCHANGE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-08,FINANCIAL_SERVICES,NIFTY FINANCIAL SERVICES,,,,,,,14.949,4.86,,NEUTRAL,UNKNOWN,
2016-01-08,FMCG,NIFTY FMCG,,,,,,,-55.175999999999995,-4.08,,DISTRIBUTION,UNKNOWN,
2016-01-08,HEALTHCARE,NIFTY HEALTHCARE INDEX,,,,,,,-3.531,7.36,,NEUTRAL,UNKNOWN,
2016-01-08,HOSPITALITY,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-08,INFRASTRUCTURE,NIFTY INFRASTRUCTURE,,,,,,,39.864,-1.39,,EARLY_ROTATION,UNKNOWN,
2016-01-08,INSURANCE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-08,IT,NIFTY IT,,,,,,,-49.104,6.72,,PRICE_LED,UNKNOWN,
2016-01-08,LOGISTICS,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-08,MEDIA,NIFTY MEDIA,,,,,,,-32.538,-1.31,,DISTRIBUTION,UNKNOWN,
2016-01-08,METAL,NIFTY METAL,,,,,,,-5.313,14.22,,NEUTRAL,UNKNOWN,
2016-01-08,OTHER,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-08,PHARMA,NIFTY PHARMA,,,,,,,0.0,5.62,,NEUTRAL,UNKNOWN,
2016-01-08,POWER,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-08,REALTY,NIFTY REALTY,,,,,,,1.023,0.0,,NEUTRAL,UNKNOWN,
2016-01-08,RETAIL,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-08,TELECOM,,,,,,,,5.247,0.0,,NEUTRAL,UNKNOWN,
2016-01-08,TEXTILES,,,,,,,,9.372,0.0,,NEUTRAL,UNKNOWN,
2016-01-11,AGRICULTURE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-11,AMC,NIFTY CAPITAL MARKETS,,,,,,,0.0,4.12,,NEUTRAL,UNKNOWN,
2016-01-11,AUTO,NIFTY AUTO,,,,,,,-28.479,3.61,,PRICE_LED,UNKNOWN,
2016-01-11,AVIATION,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-11,BANKING,NIFTY BANK,,,,,,,0.0,3.6,,NEUTRAL,UNKNOWN,
2016-01-11,CAPITAL_GOODS,NIFTY CONSUMER DURABLES,,,,,,,2.244,-4.25,,NEUTRAL,UNKNOWN,
2016-01-11,CEMENT,NIFTY CEMENT,,,,,,,-45.045,-2.58,,DISTRIBUTION,UNKNOWN,
2016-01-11,CHEMICALS,NIFTY CHEMICALS,,,,,,,-14.487,-0.92,,NEUTRAL,UNKNOWN,
2016-01-11,DEFENCE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-11,DIVERSIFIED,NIFTY PSE,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-11,ENERGY,NIFTY ENERGY,,,,,,,-42.108000000000004,2.69,,PRICE_LED,UNKNOWN,
2016-01-11,EXCHANGE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-11,FINANCIAL_SERVICES,NIFTY FINANCIAL SERVICES,,,,,,,14.949,4.86,,NEUTRAL,UNKNOWN,
2016-01-11,FMCG,NIFTY FMCG,,,,,,,-55.175999999999995,-4.08,,DISTRIBUTION,UNKNOWN,
2016-01-11,HEALTHCARE,NIFTY HEALTHCARE INDEX,,,,,,,-3.531,7.36,,NEUTRAL,UNKNOWN,
2016-01-11,HOSPITALITY,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-11,INFRASTRUCTURE,NIFTY INFRASTRUCTURE,,,,,,,39.864,-1.39,,EARLY_ROTATION,UNKNOWN,
2016-01-11,INSURANCE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-11,IT,NIFTY IT,,,,,,,-49.104,6.72,,PRICE_LED,UNKNOWN,
2016-01-11,LOGISTICS,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-11,MEDIA,NIFTY MEDIA,,,,,,,-32.538,-1.31,,DISTRIBUTION,UNKNOWN,
2016-01-11,METAL,NIFTY METAL,,,,,,,-5.313,14.22,,NEUTRAL,UNKNOWN,
2016-01-11,OTHER,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-11,PHARMA,NIFTY PHARMA,,,,,,,0.0,5.62,,NEUTRAL,UNKNOWN,
2016-01-11,POWER,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-11,REALTY,NIFTY REALTY,,,,,,,1.023,0.0,,NEUTRAL,UNKNOWN,
2016-01-11,RETAIL,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-11,TELECOM,,,,,,,,5.247,0.0,,NEUTRAL,UNKNOWN,
2016-01-11,TEXTILES,,,,,,,,9.372,0.0,,NEUTRAL,UNKNOWN,
2016-01-12,AGRICULTURE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-12,AMC,NIFTY CAPITAL MARKETS,,,,,,,0.0,4.12,,NEUTRAL,UNKNOWN,
2016-01-12,AUTO,NIFTY AUTO,,,,,,,-28.479,3.61,,PRICE_LED,UNKNOWN,
2016-01-12,AVIATION,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-12,BANKING,NIFTY BANK,,,,,,,0.0,3.6,,NEUTRAL,UNKNOWN,
2016-01-12,CAPITAL_GOODS,NIFTY CONSUMER DURABLES,,,,,,,2.244,-4.25,,NEUTRAL,UNKNOWN,
2016-01-12,CEMENT,NIFTY CEMENT,,,,,,,-45.045,-2.58,,DISTRIBUTION,UNKNOWN,
2016-01-12,CHEMICALS,NIFTY CHEMICALS,,,,,,,-14.487,-0.92,,NEUTRAL,UNKNOWN,
2016-01-12,DEFENCE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-12,DIVERSIFIED,NIFTY PSE,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-12,ENERGY,NIFTY ENERGY,,,,,,,-42.108000000000004,2.69,,PRICE_LED,UNKNOWN,
2016-01-12,EXCHANGE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-12,FINANCIAL_SERVICES,NIFTY FINANCIAL SERVICES,,,,,,,14.949,4.86,,NEUTRAL,UNKNOWN,
2016-01-12,FMCG,NIFTY FMCG,,,,,,,-55.175999999999995,-4.08,,DISTRIBUTION,UNKNOWN,
2016-01-12,HEALTHCARE,NIFTY HEALTHCARE INDEX,,,,,,,-3.531,7.36,,NEUTRAL,UNKNOWN,
2016-01-12,HOSPITALITY,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-12,INFRASTRUCTURE,NIFTY INFRASTRUCTURE,,,,,,,39.864,-1.39,,EARLY_ROTATION,UNKNOWN,
2016-01-12,INSURANCE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-12,IT,NIFTY IT,,,,,,,-49.104,6.72,,PRICE_LED,UNKNOWN,
2016-01-12,LOGISTICS,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-12,MEDIA,NIFTY MEDIA,,,,,,,-32.538,-1.31,,DISTRIBUTION,UNKNOWN,
2016-01-12,METAL,NIFTY METAL,,,,,,,-5.313,14.22,,NEUTRAL,UNKNOWN,
2016-01-12,OTHER,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-12,PHARMA,NIFTY PHARMA,,,,,,,0.0,5.62,,NEUTRAL,UNKNOWN,
2016-01-12,POWER,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-12,REALTY,NIFTY REALTY,,,,,,,1.023,0.0,,NEUTRAL,UNKNOWN,
2016-01-12,RETAIL,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-12,TELECOM,,,,,,,,5.247,0.0,,NEUTRAL,UNKNOWN,
2016-01-12,TEXTILES,,,,,,,,9.372,0.0,,NEUTRAL,UNKNOWN,
2016-01-13,AGRICULTURE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-13,AMC,NIFTY CAPITAL MARKETS,,,,,,,0.0,4.12,,NEUTRAL,UNKNOWN,
2016-01-13,AUTO,NIFTY AUTO,,,,,,,-28.479,3.61,,PRICE_LED,UNKNOWN,
2016-01-13,AVIATION,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-13,BANKING,NIFTY BANK,,,,,,,0.0,3.6,,NEUTRAL,UNKNOWN,
2016-01-13,CAPITAL_GOODS,NIFTY CONSUMER DURABLES,,,,,,,2.244,-4.25,,NEUTRAL,UNKNOWN,
2016-01-13,CEMENT,NIFTY CEMENT,,,,,,,-45.045,-2.58,,DISTRIBUTION,UNKNOWN,
2016-01-13,CHEMICALS,NIFTY CHEMICALS,,,,,,,-14.487,-0.92,,NEUTRAL,UNKNOWN,
2016-01-13,DEFENCE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-13,DIVERSIFIED,NIFTY PSE,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-13,ENERGY,NIFTY ENERGY,,,,,,,-42.108000000000004,2.69,,PRICE_LED,UNKNOWN,
2016-01-13,EXCHANGE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-13,FINANCIAL_SERVICES,NIFTY FINANCIAL SERVICES,,,,,,,14.949,4.86,,NEUTRAL,UNKNOWN,
2016-01-13,FMCG,NIFTY FMCG,,,,,,,-55.175999999999995,-4.08,,DISTRIBUTION,UNKNOWN,
2016-01-13,HEALTHCARE,NIFTY HEALTHCARE INDEX,,,,,,,-3.531,7.36,,NEUTRAL,UNKNOWN,
2016-01-13,HOSPITALITY,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-13,INFRASTRUCTURE,NIFTY INFRASTRUCTURE,,,,,,,39.864,-1.39,,EARLY_ROTATION,UNKNOWN,
2016-01-13,INSURANCE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-13,IT,NIFTY IT,,,,,,,-49.104,6.72,,PRICE_LED,UNKNOWN,
2016-01-13,LOGISTICS,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-13,MEDIA,NIFTY MEDIA,,,,,,,-32.538,-1.31,,DISTRIBUTION,UNKNOWN,
2016-01-13,METAL,NIFTY METAL,,,,,,,-5.313,14.22,,NEUTRAL,UNKNOWN,
2016-01-13,OTHER,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-13,PHARMA,NIFTY PHARMA,,,,,,,0.0,5.62,,NEUTRAL,UNKNOWN,
2016-01-13,POWER,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-13,REALTY,NIFTY REALTY,,,,,,,1.023,0.0,,NEUTRAL,UNKNOWN,
2016-01-13,RETAIL,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-13,TELECOM,,,,,,,,5.247,0.0,,NEUTRAL,UNKNOWN,
2016-01-13,TEXTILES,,,,,,,,9.372,0.0,,NEUTRAL,UNKNOWN,
2016-01-14,AGRICULTURE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-14,AMC,NIFTY CAPITAL MARKETS,,,,,,,0.0,4.12,,NEUTRAL,UNKNOWN,
2016-01-14,AUTO,NIFTY AUTO,,,,,,,-28.479,3.61,,PRICE_LED,UNKNOWN,
2016-01-14,AVIATION,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-14,BANKING,NIFTY BANK,,,,,,,0.0,3.6,,NEUTRAL,UNKNOWN,
2016-01-14,CAPITAL_GOODS,NIFTY CONSUMER DURABLES,,,,,,,2.244,-4.25,,NEUTRAL,UNKNOWN,
2016-01-14,CEMENT,NIFTY CEMENT,,,,,,,-45.045,-2.58,,DISTRIBUTION,UNKNOWN,
2016-01-14,CHEMICALS,NIFTY CHEMICALS,,,,,,,-14.487,-0.92,,NEUTRAL,UNKNOWN,
2016-01-14,DEFENCE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-14,DIVERSIFIED,NIFTY PSE,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-14,ENERGY,NIFTY ENERGY,,,,,,,-42.108000000000004,2.69,,PRICE_LED,UNKNOWN,
2016-01-14,EXCHANGE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-14,FINANCIAL_SERVICES,NIFTY FINANCIAL SERVICES,,,,,,,14.949,4.86,,NEUTRAL,UNKNOWN,
2016-01-14,FMCG,NIFTY FMCG,,,,,,,-55.175999999999995,-4.08,,DISTRIBUTION,UNKNOWN,
2016-01-14,HEALTHCARE,NIFTY HEALTHCARE INDEX,,,,,,,-3.531,7.36,,NEUTRAL,UNKNOWN,
2016-01-14,HOSPITALITY,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-14,INFRASTRUCTURE,NIFTY INFRASTRUCTURE,,,,,,,39.864,-1.39,,EARLY_ROTATION,UNKNOWN,
2016-01-14,INSURANCE,,,,,,,,0.0,0.0,,NEUTRAL,UNKNOWN,
2016-01-14,IT,NIFTY IT,,,,,,,-49.104,6.72,,PRICE_LED,UNKNOWN,
