symbol,close_now,ret_30d,ret_60d,ret_90d,ret_365d,vol_ratio,sector,sector_rel_30d,ret_30d_pct,ret_90d_pct,ret_365d_pct,vol_ratio_pct,sector_rel_pct,price_score,as_of_date
AARVI,135.92,7.16,3.44,4.7,23.83,2.485,OTHER,9.46,86.8276154171961,53.91111111111111,86.59188034188034,93.9778779188857,84.286319356205,78.53,2026-06-10
AAVAS,1299.6,-7.5,4.49,7.25,-28.7,1.526,FINANCIAL_SERVICES,-2.05,30.83439220669208,60.44444444444444,24.252136752136753,87.30028676771815,35.895806861499366,40.5,2026-06-10
ABB,6801.0,6.47,-0.85,8.3,12.52,1.055,CAPITAL_GOODS,9.9,86.0864040660737,62.71111111111111,80.76923076923077,76.19827939369111,85.04870817450232,78.53,2026-06-10
ABBOTINDIA,26455.0,-4.82,2.62,-2.74,-16.19,1.063,PHARMA,-4.44,42.35493434985176,27.400000000000002,41.960470085470085,76.4850471118394,24.735281660313426,37.6,2026-06-10
ABCAPITAL,342.7,-2.9,0.23,5.84,33.75,0.494,FINANCIAL_SERVICES,2.55,51.715374841168995,56.93333333333334,90.11752136752136,36.78820155673904,64.76069462092335,61.91,2026-06-10
ABCOTS,199.78,-11.39,-50.77,-50.3,,3.862,TEXTILES,-8.28,15.438373570520966,0.6666666666666667,,97.132322818517,11.795849216433714,22.2,2026-06-10
ABDL,571.7,-2.85,12.23,20.75,33.9,0.6,FMCG,3.05,52.09656925031766,82.44444444444444,90.22435897435898,48.23842687423187,67.64083015671326,69.45,2026-06-10
ABFRL,58.76,-9.59,-2.6,-4.83,-21.05,0.48,RETAIL,-6.92,20.669207962727658,21.2,35.14957264957265,35.37484637443671,15.438373570520966,23.65,2026-06-10
ABGSEC,113.82,1.64,0.83,1.39,3.59,2.756,OTHER,3.93,76.6836086404066,42.977777777777774,72.43589743589743,94.71528062269562,71.79161372299873,67.58,2026-06-10
ABINFRA,9.8,-32.04,-39.51,-44.35,,0.46,INFRASTRUCTURE,-25.74,0.3811944091486658,0.7555555555555555,,33.224088488324455,0.46590427784836935,12.05,2026-06-10
ABLBL,97.37,-9.56,-3.75,-5.24,,0.325,RETAIL,-6.89,20.71156289707751,20.266666666666666,,17.96394920114707,15.586615840745447,25.55,2026-06-10
ABMINTLLTD,42.31,,,,-14.21,1.461,TEXTILES,,,,45.032051282051285,86.48095043015158,,50.83,2026-06-10
ABMKNO,219.55,-3.06,,,,1.387,IT,1.52,50.508259212198226,,,84.8013109381401,60.56755612028801,53.5,2026-06-10
ABREL,1194.3,-13.33,-12.25,0.96,-51.16,0.664,REALTY,-7.62,10.419313850063533,40.84444444444444,5.0747863247863245,53.78943056124539,13.490046590427784,19.59,2026-06-10
ABSL10BANK,162.5,0.63,-2.7,-3.04,,0.058,OTHER,2.92,72.63871240999576,26.022222222222226,,1.0651372388365423,67.17492587886488,52.06,2026-06-10
ABSLAMC,1110.3,4.81,11.27,9.93,48.08,1.894,RETAIL,7.48,83.07920372723422,66.24444444444444,93.75,91.08971732896353,80.94027954256671,81.08,2026-06-10
ABSLBANETF,56.24,1.02,-1.66,-1.33,-0.72,1.404,OTHER,3.32,74.48115205421432,32.86666666666667,65.5181623931624,85.1495288816059,68.84794578568403,61.97,2026-06-10
ABSLLIQUID,1000.0,0.0,0.0,0.0,-0.0,1.555,OTHER,2.3,69.69504447268106,37.111111111111114,66.55982905982906,87.7304383449406,63.89241846675138,60.95,2026-06-10
ABSLMSCIN,28.37,-2.37,-1.08,-0.6,,0.122,OTHER,-0.08,57.560355781448536,35.044444444444444,,3.031544448996313,48.53875476493011,46.34,2026-06-10
ABSLNN50ET,72.8,-1.42,2.87,3.75,4.73,1.167,OTHER,0.88,64.01948326980093,50.3111111111111,74.30555555555556,79.68045882834903,57.2850487081745,62.42,2026-06-10
ABSLPSE,10.27,-6.04,-2.28,-2.0,2.19,1.575,OTHER,-3.74,36.78526048284625,30.444444444444446,69.84508547008546,88.03768947152805,27.488352393053788,42.98,2026-06-10
ACC,1316.2,-3.07,-7.61,-9.63,-28.49,1.318,CEMENT,2.98,50.40237187632359,10.755555555555556,24.732905982905983,83.16263826300695,67.38670055061414,39.54,2026-06-10
ACCELYA,1120.1,-3.39,-1.73,-8.69,-20.68,0.856,IT,1.19,48.53875476493011,12.6,35.57692307692308,67.12412945514133,59.04277848369335,39.47,2026-06-10
ACCURACY,5.23,,-2.24,30.75,-36.99,0.523,LOGISTICS,,,89.95555555555555,14.983974358974358,39.69684555510037,,52.47,2026-06-10
ACE,877.8,-4.76,-3.47,2.86,-26.76,1.447,AUTO,0.05,42.86319356204998,47.55555555555556,27.190170940170937,86.15321589512494,50.82592121982211,44.26,2026-06-10
ACEINTEG,19.55,-4.03,11.02,17.56,-27.51,0.331,DEFENCE,0.0,46.03981363828886,78.08888888888889,26.175213675213676,18.72183531339615,50.02117746717493,49.31,2026-06-10
ACI,536.95,-13.92,-12.79,-0.05,-13.37,0.745,CHEMICALS,-9.8,9.275730622617536,36.577777777777776,46.71474358974359,60.2621876280213,8.703939008894537,26.05,2026-06-10
ACL,52.91,-5.25,-7.76,0.65,-22.83,1.634,CEMENT,0.8,40.49131723845828,39.355555555555554,32.63888888888889,88.69315854158131,56.60736975857687,43.46,2026-06-10
ACMESOLAR,336.9,16.07,25.4,46.33,32.77,0.576,POWER,22.18,94.15501905972046,95.37777777777777,89.87713675213675,45.61655059401885,95.04447268106735,91.31,2026-06-10
ACSTECH,37.91,2.49,,,,2.666,CEMENT,8.54,78.67429055484963,,,94.46947972142564,82.9733163913596,67.21,2026-06-10
ACUTAAS,3207.0,14.12,35.76,46.24,189.54,0.857,PHARMA,14.5,93.05379076662432,95.28888888888889,99.78632478632478,67.26751331421549,90.4277848369335,93.28,2026-06-10
ADANIENSOL,1535.6,14.56,32.62,54.8,81.42,0.545,POWER,20.68,93.35027530707328,97.0,97.32905982905983,42.093404342482586,94.66327827191868,92.69,2026-06-10
ADANIENT,2931.1,17.23,40.46,48.43,19.19,0.483,INFRASTRUCTURE,23.52,94.70563320626853,95.97777777777777,84.13461538461539,35.64113068414584,95.55273189326556,90.08,2026-06-10
ADANIGREEN,1483.0,6.87,36.64,74.54,53.06,0.65,POWER,12.98,86.61584074544685,98.62222222222222,94.65811965811966,51.90495698484228,88.98771706903854,89.85,2026-06-10
ADANIPORTS,1821.2,3.05,23.45,29.09,32.68,1.229,LOGISTICS,7.44,79.9449385853452,88.71111111111111,89.79700854700855,81.15526423596886,80.79203727234223,84.29,2026-06-10
ADANIPOWER,220.58,-0.65,25.46,58.86,-59.95,0.48,POWER,5.46,67.21728081321474,97.64444444444445,3.311965811965812,35.37484637443671,76.28123676408302,61.81,2026-06-10
ADFFOODS,280.2,2.84,45.88,49.49,-2.68,0.292,FMCG,8.74,79.28843710292249,96.04444444444444,62.71367521367522,14.60467021712413,83.26980093180856,77.53,2026-06-10
ADL,72.29,-2.9,3.15,-0.96,,0.808,REALTY,2.82,51.715374841168995,34.08888888888889,,64.46128635804997,66.6878441338416,49.85,2026-06-10
ADOR,1116.9,6.06,25.05,11.71,11.84,0.364,CAPITAL_GOODS,9.49,85.64167725540025,69.86666666666666,80.23504273504274,21.876280213027446,84.3710292249047,77.24,2026-06-10
ADROITINFO,9.27,-7.58,-6.08,-4.14,-16.11,0.112,CAPITAL_GOODS,-4.15,30.432020330368488,22.933333333333334,42.254273504273506,2.7038099139696845,26.090639559508684,28.88,2026-06-10
ADSL,117.07,-12.25,2.1,11.4,-35.13,0.436,IT,-7.67,12.600592969080898,69.22222222222221,16.746794871794872,30.2744776730848,13.278271918678525,28.57,2026-06-10
ADVAIT,2245.8,10.79,20.29,39.14,,0.673,CAPITAL_GOODS,14.22,90.30072003388395,93.15555555555555,,54.54731667349447,90.1736552308344,81.15,2026-06-10
ADVANCE,99.1,-11.22,-7.74,-5.64,,2.099,CHEMICALS,-7.1,15.819567979669632,19.155555555555555,,92.42113887750921,14.824227022448117,27.17,2026-06-10
ADVANIHOTR,52.03,-3.09,-2.33,-0.54,-16.2,1.662,HOSPITALITY,1.37,50.254129606099106,35.266666666666666,41.85363247863248,88.97992625972961,59.741634900465904,48.19,2026-06-10
ADVENTHTL,124.73,-25.88,-19.58,-29.99,,1.001,HOSPITALITY,-21.42,0.8047437526471835,1.0666666666666667,,74.33428922572716,0.8894536213468869,14.4,2026-06-10
ADVENZYMES,371.3,-4.89,24.76,25.91,10.13,0.639,PHARMA,-4.51,41.78314273612876,86.84444444444445,78.73931623931624,51.188037689471535,24.375264718339686,58.3,2026-06-10
AEGISLOG,801.0,16.63,26.65,29.92,3.42,4.812,ENERGY,16.74,94.45150360016942,89.33333333333333,72.11538461538461,98.07455960671857,92.12198221092758,88.54,2026-06-10
AEGISVOPAK,197.85,-6.84,4.14,2.37,-19.79,3.414,ENERGY,-6.73,33.24862346463363,46.2,36.69871794871795,96.51782056534208,16.052520118593815,37.76,2026-06-10
AEPL,16.38,,-16.68,,,0.337,CAPITAL_GOODS,,,,,19.192953707496926,,48.46,2026-06-10
AEQUS,175.42,-7.37,21.84,39.13,,1.967,DEFENCE,-3.34,31.215586615840746,93.11111111111111,,91.60180253994264,29.11901736552308,53.15,2026-06-10
AEROENTER,105.25,0.65,24.31,44.81,,3.149,METAL,5.78,72.72342227869547,94.84444444444445,,95.94428512904547,77.21304531977975,75.54,2026-06-10
AEROFLEX,414.1,3.89,43.29,76.84,136.83,0.508,METAL,9.02,81.8297331639136,98.84444444444445,99.57264957264957,38.18107333060221,83.86277001270648,87.75,2026-06-10
AERONEU,85.96,-0.49,5.99,28.13,,0.702,CHEMICALS,3.63,67.72554002541295,87.93333333333334,,57.046292503072515,70.77509529860228,69.16,2026-06-10
AETHER,1124.6,-6.34,-5.51,10.74,46.32,0.63,CHEMICALS,-2.22,35.49343498517577,68.13333333333334,93.10897435897436,50.36870135190495,34.83693350275307,55.82,2026-06-10
AFCONS,330.05,1.04,1.59,17.75,-24.95,9.967,INFRASTRUCTURE,7.34,74.58703939008895,78.22222222222223,29.51388888888889,99.54936501433839,80.6861499364676,68.64,2026-06-10
AFFLE,1462.1,-10.71,4.32,3.59,-23.18,0.489,IT,-6.13,17.32316814908937,50.06666666666667,32.077991452991455,36.17369930356411,18.04320203303685,29.51,2026-06-10
AFSL,201.03,-0.56,-0.03,-1.8,-14.17,0.106,FINANCIAL_SERVICES,4.89,67.429055484964,30.933333333333334,45.13888888888889,2.4580090126997134,74.69292672596357,51.69,2026-06-10
AGARIND,462.4,4.81,14.98,4.73,-52.79,0.286,CHEMICALS,8.93,83.07920372723422,54.17777777777778,4.700854700854701,14.154035231462517,83.65099534095722,56.82,2026-06-10
AGARWALEYE,449.0,-3.18,3.02,0.94,12.55,1.183,HEALTHCARE,-0.27,49.38585345192715,40.75555555555555,80.82264957264957,80.09012699713233,46.16687844133842,54.57,2026-06-10
AGI,615.2,-2.22,12.32,15.41,-23.87,0.611,CHEMICALS,1.9,58.78864887759424,75.62222222222222,31.11645299145299,48.99631298648095,62.00762388818297,57.46,2026-06-10
AGIIL,370.3,-2.63,2.28,19.05,-57.66,1.426,REALTY,3.08,54.02371876323592,80.31111111111112,3.7393162393162394,85.76403113478082,67.74671749258788,54.18,2026-06-10
AGRITECH,123.26,10.89,0.82,,-20.52,1.387,AGRICULTURE,16.95,90.47013977128336,,35.8440170940171,84.8013109381401,92.24904701397712,69.41,2026-06-10
AGROPHOS,30.22,-5.59,-10.06,-11.09,-16.2,0.383,CHEMICALS,-1.47,38.73358746293943,9.066666666666666,41.85363247863248,23.986071282261367,38.16179584921643,31.12,2026-06-10
AHCL,14.42,2.12,-88.9,-88.64,,3.223,PHARMA,2.5,77.93307920372723,0.2222222222222222,,96.1081523965588,64.71833968657349,51.85,2026-06-10
AHLADA,39.85,-9.2,-11.13,-5.41,-44.81,0.868,REALTY,-3.48,21.918678526048286,19.866666666666667,8.44017094017094,67.73863170831626,28.547225751800088,22.0,2026-06-10
AHLEAST,154.08,-3.03,-3.69,-3.89,4.68,0.277,HOSPITALITY,1.43,50.72003388394748,23.733333333333334,74.14529914529915,13.293732077017617,60.080474375264714,48.19,2026-06-10
AHLUCONT,788.25,-4.26,0.7,2.13,-13.91,1.815,INFRASTRUCTURE,2.04,44.72681067344346,45.4,45.77991452991453,90.39328144203196,62.664125370605674,50.08,2026-06-10
AIAENG,4439.0,13.66,17.64,18.59,31.16,0.934,CAPITAL_GOODS,17.09,92.46082168572639,79.48888888888888,89.20940170940172,70.60630888979927,92.3972892842016,87.47,2026-06-10
AIIL,465.15,-7.48,5.44,2.65,-81.69,0.334,CAPITAL_GOODS,-4.05,30.876747141041932,47.02222222222222,1.3354700854700854,18.988119623105284,26.47183396865735,27.75,2026-06-10
AIRAN,16.39,-4.21,-6.5,2.95,-44.61,0.546,IT,0.37,45.12918254976705,47.93333333333333,8.707264957264957,42.27775501843507,53.176620076238876,39.61,2026-06-10
AIROLAM,87.48,2.86,5.25,1.51,-16.77,3.472,REALTY,8.57,79.41550190597204,43.4,41.23931623931624,96.72265464973371,83.142736128759,64.2,2026-06-10
AJANTPHARM,3074.9,0.35,9.58,0.88,19.12,1.26,PHARMA,0.73,71.13511224057602,40.55555555555556,84.08119658119658,81.81073330602212,56.16264294790343,64.37,2026-06-10
AJAXENGG,563.5,5.41,19.78,17.29,-6.48,0.256,AUTO,10.22,84.62515883100382,77.95555555555555,55.92948717948718,10.835723064317902,85.53578991952563,73.67,2026-06-10
AJMERA,114.78,-8.13,-5.28,-8.53,-88.21,0.228,REALTY,-2.42,27.276577721304534,13.0,0.8012820512820512,8.562064727570668,33.98983481575604,18.48,2026-06-10
AJOONI,3.95,-8.56,-8.35,-11.24,-29.46,0.641,AGRICULTURE,-2.5,24.862346463362982,8.88888888888889,23.477564102564102,51.39287177386317,33.672172808132146,23.24,2026-06-10
AKASH,26.95,0.94,-3.68,9.73,-6.46,0.727,INFRASTRUCTURE,7.24,74.09995764506564,65.46666666666667,55.98290598290598,59.05366653011062,80.64379500211774,68.55,2026-06-10
AKCAPIT,1712.5,10.0,,,,0.446,FINANCIAL_SERVICES,15.45,89.70775095298602,,,31.298648095043013,91.27488352393054,69.15,2026-06-10
AKG,10.68,-6.56,-4.64,-2.55,-21.82,1.533,OTHER,-4.26,34.45573909360441,28.644444444444446,33.97435897435898,87.42318721835314,25.68826768318509,34.24,2026-06-10
AKI,4.81,-6.6,-10.76,-4.75,,0.787,TEXTILES,-3.48,34.07454468445574,21.4,,63.08889799262597,28.547225751800088,34.71,2026-06-10
AKSHAR,0.45,-11.76,-2.17,12.5,,1.375,TEXTILES,-8.64,14.167725540025414,71.37777777777778,,84.49405981155265,11.033460398136382,38.68,2026-06-10
AKSHARCHEM,210.46,0.26,13.52,23.03,-14.24,0.25,CHEMICALS,4.38,70.73274036425244,84.35555555555555,44.97863247863248,10.24170421958214,73.12579415501907,66.32,2026-06-10
AKUMS,592.1,9.9,14.76,16.73,6.9,4.2,PHARMA,10.28,89.66539601863617,77.57777777777778,76.20192307692307,97.33715690290865,85.7687420584498,83.75,2026-06-10
ALANKIT,8.15,-12.18,-9.44,3.82,-45.45,0.852,FINANCIAL_SERVICES,-6.73,12.897077509529861,50.644444444444446,7.799145299145299,66.81687832855387,16.052520118593815,24.48,2026-06-10
ALBERTDAVD,700.4,-11.58,-4.32,1.39,-17.14,0.229,PHARMA,-11.2,14.845404489623041,42.977777777777774,40.83867521367522,8.664481769766489,6.565014824227022,25.53,2026-06-10
ALEMBICLTD,86.16,-6.97,0.08,1.62,-24.77,0.834,REALTY,-1.25,32.86742905548496,44.022222222222226,29.914529914529915,65.62884063908234,39.15713680643795,37.65,2026-06-10
ALGOQUANT,53.09,-9.73,-3.26,-5.8,,1.222,FINANCIAL_SERVICES,-4.28,20.012706480304956,18.666666666666668,,80.92994674313806,25.54002541296061,29.55,2026-06-10
ALICON,644.55,-14.19,-0.33,-7.85,-25.33,0.305,AUTO,-9.38,8.57687420584498,14.444444444444443,28.952991452991455,16.161409258500615,9.423972892842016,14.63,2026-06-10
ALIVUS,1031.4,-8.4,-1.42,8.6,2.65,1.23,PHARMA,-8.02,25.667090216010163,63.4,70.51282051282051,81.1962310528472,12.452350698856417,44.86,2026-06-10
ALKEM,5299.5,-5.36,-2.58,-4.42,10.29,0.655,PHARMA,-4.98,39.898348157560356,22.0,78.89957264957265,52.62187628021303,22.80813214739517,41.3,2026-06-10
ALKYLAMINE,1796.9,9.18,28.77,35.98,-7.17,0.283,CHEMICALS,13.3,89.1994917407878,92.26666666666667,55.07478632478633,13.908234330192546,89.30537907666243,79.39,2026-06-10
ALLCARGO,8.87,-8.93,2.42,12.99,-74.5,0.508,LOGISTICS,-4.54,22.80813214739517,72.04444444444445,1.9764957264957264,38.18107333060221,24.227022448115203,31.93,2026-06-10
ALLDIGI,826.6,0.16,0.01,3.63,-9.0,0.659,IT,4.74,70.41507835662854,50.15555555555555,52.16346153846154,53.31831216714461,74.37526471833968,61.44,2026-06-10
ALLTIME,223.42,-15.11,2.08,4.69,,0.427,FMCG,-9.21,6.77678949597628,53.82222222222223,,29.065956575174106,9.741634900465904,28.74,2026-06-10
ALMONDZ,13.58,-18.88,-3.0,-4.5,-32.24,1.146,FINANCIAL_SERVICES,-13.43,3.1977975434138077,21.73333333333333,20.272435897435898,79.31175747644407,4.277848369335027,15.21,2026-06-10
ALOKINDS,11.94,-15.08,-14.1,-9.95,-38.89,0.72,TEXTILES,-11.96,6.861499364675986,10.4,12.5,58.234330192544036,5.8026260059296915,11.28,2026-06-10
ALPA,68.0,-4.4,-1.51,10.21,-31.02,0.359,PHARMA,-4.02,44.30326132994494,66.91111111111111,21.794871794871796,21.528062269561655,26.641253706056755,41.67,2026-06-10
ALPHA,49.07,-2.15,3.04,6.14,-2.17,0.726,OTHER,0.15,59.614570097416355,58.08888888888889,63.51495726495726,58.8897992625973,51.6306649724693,58.78,2026-06-10
ALPHAETF,25.1,-2.07,1.09,4.5,0.6,0.846,OTHER,0.23,60.29224904701398,53.422222222222224,67.62820512820514,66.48914379352723,52.39305379076662,59.17,2026-06-10
ALPHAGEO,195.71,-14.31,-12.85,-1.81,-27.96,0.79,ENERGY,-14.2,8.365099534095723,30.844444444444445,25.50747863247863,63.35518230233511,3.5578144853875475,19.44,2026-06-10
ALPL30IETF,26.28,-2.52,-0.42,-1.17,-4.09,0.636,OTHER,-0.23,55.76027107157984,33.577777777777776,60.256410256410255,50.901269971323224,46.82337992376112,49.53,2026-06-10
AMAGI,414.35,0.41,16.95,7.85,,1.123,IT,4.99,71.70690385429903,62.044444444444444,,78.67677181482998,74.92587886488776,65.78,2026-06-10
AMANTA,140.92,2.98,25.62,41.41,,5.052,PHARMA,3.36,79.79669631512071,93.86666666666666,,98.23842687423188,69.20796272765777,76.69,2026-06-10
AMBALALSA,33.05,3.51,,,,0.27,PHARMA,3.89,81.3426514188903,,,12.474395739451044,71.6010165184244,62.33,2026-06-10
AMBER,7625.0,-10.71,5.24,4.34,13.92,0.515,CAPITAL_GOODS,-7.28,17.32316814908937,52.644444444444446,81.62393162393163,39.04137648504712,14.485387547649301,39.67,2026-06-10
AMBICAAGAR,24.5,3.51,2.38,2.77,-13.4,0.566,FMCG,9.41,81.3426514188903,47.422222222222224,46.58119658119658,44.28512904547316,84.15925455315544,64.48,2026-06-10
AMBIKCO,1571.4,0.31,11.21,14.63,1.61,0.499,TEXTILES,3.42,70.98686997035153,74.4,69.12393162393163,37.115936091765676,69.69504447268106,69.58,2026-06-10
AMBUJACEM,409.8,-6.05,-7.95,-10.48,-24.81,0.62,CEMENT,0.0,36.6581956797967,9.733333333333333,29.754273504273502,49.69274887341253,50.02117746717493,31.2,2026-06-10
AMDIND,46.28,-4.1,4.8,19.9,-6.64,0.425,CHEMICALS,0.02,45.67979669631512,81.37777777777778,55.662393162393165,28.984022941417454,50.465904277848374,56.48,2026-06-10
AMIRCHAND,119.7,-10.22,-5.07,,,0.247,AGRICULTURE,-4.16,18.61499364675985,,,9.975419909873002,26.005929690808976,33.41,2026-06-10
AMJLAND,36.06,-10.81,-15.85,-7.56,-44.37,0.897,CHEMICALS,-6.69,16.96315120711563,15.066666666666666,8.867521367521368,68.8652191724703,16.17958492164337,17.35,2026-06-10
AMNPLST,192.26,10.71,20.34,28.21,-19.68,0.158,CHEMICALS,14.83,90.19483269800932,88.08888888888889,36.83226495726496,4.547316673494469,90.63955950868277,74.78,2026-06-10
AMRUTANJAN,569.0,4.24,6.07,2.14,-20.8,1.238,PHARMA,4.62,82.31681490893689,45.46666666666667,35.363247863247864,81.42154854567801,73.86700550614147,62.4,2026-06-10
ANANDRATHI,1737.5,-51.47,-51.45,-44.4,-16.42,0.45,FINANCIAL_SERVICES,-46.02,0.08470986869970351,0.7111111111111111,41.66666666666667,31.76976648914379,0.08470986869970351,10.14,2026-06-10
ANANTRAJ,519.35,-3.57,6.4,9.9,-1.53,0.539,REALTY,2.14,47.64930114358323,66.04444444444444,64.20940170940172,41.15116755428103,63.08767471410419,57.55,2026-06-10
ANDHRAPAP,61.57,-8.39,-2.69,-2.61,-21.11,0.814,CHEMICALS,-4.27,25.794155019059723,28.333333333333332,34.98931623931624,64.72757066775911,25.603557814485388,30.19,2026-06-10
ANDHRSUGAR,81.86,-17.73,1.79,10.94,7.58,1.81,CHEMICALS,-13.61,4.362558238034731,68.5111111111111,76.86965811965813,90.29086439983614,4.150783566285472,39.17,2026-06-10
ANGELONE,329.85,3.99,17.39,50.94,-88.49,0.523,FINANCIAL_SERVICES,9.44,81.87208809826345,96.31111111111112,0.7478632478632479,39.69684555510037,84.2016094875053,67.5,2026-06-10
ANMOL,11.05,-8.45,-1.87,-0.72,-38.47,0.407,FINANCIAL_SERVICES,-3.0,25.39178314273613,34.599999999999994,13.301282051282051,26.56698074559607,30.98263447691656,26.17,2026-06-10
ANTELOPUS,818.8,19.52,36.0,43.85,,0.831,ENERGY,19.63,95.59508682761542,94.62222222222222,,65.50594018844735,94.40914866581956,84.55,2026-06-10
ANTGRAPHIC,0.8,-3.61,-6.98,0.0,-41.18,0.279,CHEMICALS,0.51,47.37399407030919,37.111111111111114,11.164529914529915,13.49856616140926,54.02371876323592,36.87,2026-06-10
ANTHEM,766.05,-2.31,2.91,18.08,,0.239,PHARMA,-1.93,58.280389665396015,78.57777777777778,,9.401884473576404,36.29817873782296,55.96,2026-06-10
ANUHPHR,75.87,-8.24,-4.87,-3.04,-63.71,1.121,PHARMA,-7.86,26.725963574756463,26.022222222222226,2.8311965811965814,78.57435477263417,12.642947903430748,22.25,2026-06-10
ANUP,1816.2,-12.16,-5.0,18.92,-31.34,0.75,CAPITAL_GOODS,-8.73,12.960609911054638,80.13333333333334,21.50106837606838,60.61040557148709,10.800508259212197,33.52,2026-06-10
ANURAS,1272.3,-6.52,-1.08,-2.06,12.91,0.765,CHEMICALS,-2.4,34.561626429479034,30.177777777777777,80.98290598290599,61.900860303154445,34.13807708598052,44.05,2026-06-10
AONEGOLD,13.71,-1.51,-1.79,-8.29,,1.125,OTHER,0.78,63.55357899195256,13.644444444444446,,78.73822204014748,56.45912748835239,48.06,2026-06-10
AONELIQUID,1063.14,0.4,0.78,1.23,4.96,0.333,OTHER,2.7,71.47395171537484,42.22222222222222,74.86645299145299,18.885702580909463,65.90427784836933,61.37,2026-06-10
AONENIFTY,9.56,-2.35,-3.14,-2.35,-5.44,0.53,OTHER,-0.06,57.7721304531978,29.37777777777778,57.986111111111114,40.167963949201145,48.94112664125371,48.51,2026-06-10
AONESILVER,8.84,-7.92,-2.43,-12.3,,1.881,OTHER,-5.62,28.46251588310038,7.466666666666668,,90.96681687832854,20.160948750529435,29.4,2026-06-10
AONETMMQ50,9.98,-2.35,0.6,6.4,,0.364,OTHER,-0.06,57.7721304531978,58.8,,21.876280213027446,48.94112664125371,53.36,2026-06-10
