symbol,sector,label,bull_run_score,consensus_score,consensus_label,signals_used,concall_norm,insider_norm,news_norm,deal_norm,concall_score,insider_score,insider_conviction,sentiment_7d,sentiment_label,news_count_7d,inst_net_value_cr,as_of_date
AMBER,CAPITAL_GOODS,WATCHLIST,36.38,63.07,BUY,CONCALL||DEALS,88.8888888888889,,,47.27979274611399,1.6,,,,,,0.0,2026-07-03
DENTA,IT,EMERGING,47.05,63.07,BUY,CONCALL||DEALS,88.8888888888889,,,47.27979274611399,1.6,,,,,,0.0,2026-07-03
HCLTECH,IT,NEUTRAL,27.94,62.5,BUY,INSIDER|NEWS,,100.0,50.0,,,20.0,STRONG_BUY,0.0,NEUTRAL,2.0,,2026-07-03
VEDL,METAL,NEUTRAL,23.98,61.4,BUY,CONCALL|NEWS|DEALS,55.55555555555556,,100.0,47.27979274611399,0.4,,,1.0,BULLISH,3.0,0.0,2026-07-03
ANANTRAJ,REALTY,WATCHLIST,41.03,60.0,BUY,NEWS,,,100.0,,,,,1.0,BULLISH,1.0,,2026-07-03
COFORGE,IT,WATCHLIST,40.48,60.0,BUY,NEWS,,,100.0,,,,,1.0,BULLISH,1.0,,2026-07-03
MARICO,FMCG,WATCHLIST,38.75,60.0,BUY,NEWS,,,100.0,,,,,1.0,BULLISH,1.0,,2026-07-03
VOLTAS,FMCG,WATCHLIST,33.73,60.0,BUY,NEWS,,,100.0,,,,,1.0,BULLISH,1.0,,2026-07-03
CONCOR,LOGISTICS,WATCHLIST,35.18,60.0,BUY,NEWS,,,100.0,,,,,1.0,BULLISH,1.0,,2026-07-03
INDHOTEL,HOSPITALITY,WATCHLIST,41.62,60.0,BUY,NEWS,,,100.0,,,,,1.0,BULLISH,1.0,,2026-07-03
CIPLA,PHARMA,WATCHLIST,38.92,60.0,BUY,NEWS,,,100.0,,,,,1.0,BULLISH,1.0,,2026-07-03
APOLLOTYRE,AUTO,WATCHLIST,39.2,60.0,BUY,NEWS,,,100.0,,,,,1.0,BULLISH,1.0,,2026-07-03
TATATECH,FMCG,WATCHLIST,34.24,60.0,BUY,NEWS,,,100.0,,,,,1.0,BULLISH,1.0,,2026-07-03
LENSKART,RETAIL,EMERGING,47.22,59.95,BUY,DEALS,,,,99.74093264248705,,,,,,,3510.6655,2026-07-03
LODHA,REALTY,EMERGING,52.59,59.9,BUY,DEALS,,,,99.48186528497409,,,,,,,2758.4978,2026-07-03
GMRAIRPORT,INFRASTRUCTURE,EMERGING,57.8,59.84,BUY,DEALS,,,,99.22279792746113,,,,,,,1774.2103,2026-07-03
ADANIENSOL,POWER,EMERGING,53.65,59.74,BUY,DEALS,,,,98.70466321243524,,,,,,,957.925,2026-07-03
CORONA,PHARMA,EMERGING,53.56,59.69,BUY,DEALS,,,,98.44559585492227,,,,,,,474.04190000000006,2026-07-03
MCX,FINANCIAL_SERVICES,WATCHLIST,39.73,59.64,BUY,DEALS,,,,98.18652849740933,,,,,,,425.01,2026-07-03
AJANTPHARM,PHARMA,EMERGING,55.05,59.59,BUY,DEALS,,,,97.92746113989638,,,,,,,400.0,2026-07-03
ANTHEM,PHARMA,EMERGING,47.45,59.53,BUY,DEALS,,,,97.66839378238342,,,,,,,316.35,2026-07-03
IFCI,FINANCIAL_SERVICES,EMERGING,45.64,59.46,BUY,NEWS|DEALS,,,100.0,47.27979274611399,,,,1.0,BULLISH,1.0,0.0,2026-07-03
CRAFTSMAN,AUTO,EMERGING,55.56,59.43,BUY,DEALS,,,,97.15025906735751,,,,,,,210.6226,2026-07-03
BANSALWIRE,METAL,EMERGING,54.93,59.33,BUY,DEALS,,,,96.6321243523316,,,,,,,189.404,2026-07-03
EMCURE,PHARMA,EMERGING,53.69,59.27,BUY,DEALS,,,,96.37305699481865,,,,,,,172.5009,2026-07-03
DOMS,FMCG,EMERGING,45.66,59.22,BUY,DEALS,,,,96.11398963730569,,,,,,,156.5161,2026-07-03
GODIGIT,FINANCIAL_SERVICES,EMERGING,49.25,59.12,BUY,DEALS,,,,95.59585492227978,,,,,,,100.005,2026-07-03
CERA,REALTY,EMERGING,53.26,59.07,BUY,DEALS,,,,95.33678756476684,,,,,,,64.9259,2026-07-03
SAPPHIRE,HOSPITALITY,WATCHLIST,44.43,58.91,BUY,DEALS,,,,94.55958549222798,,,,,,,44.3091,2026-07-03
IKS,IT,EMERGING,51.49,58.86,BUY,DEALS,,,,94.30051813471503,,,,,,,33.098,2026-07-03
RAMCOSYS,IT,EMERGING,57.93,58.76,BUY,DEALS,,,,93.78238341968913,,,,,,,14.7353,2026-07-03
MOTILALOFS,FINANCIAL_SERVICES,EMERGING,52.36,58.7,BUY,DEALS,,,,93.52331606217616,,,,,,,0.0001000000000139,2026-07-03
BHARATFORG,AUTO,EMERGING,46.03,58.06,BUY,CONCALL|NEWS,44.44444444444445,,100.0,,0.0,,,1.0,BULLISH,1.0,,2026-07-03
ALKEM,PHARMA,EMERGING,48.15,57.85,NEUTRAL,CONCALL||DEALS,44.44444444444445,,,98.96373056994818,0.0,,,,,,1109.7017999999998,2026-07-03
AXISBANK,BANKING,WATCHLIST,36.86,57.51,NEUTRAL,CONCALL|NEWS|DEALS,44.44444444444445,,100.0,47.27979274611399,0.0,,,1.0,BULLISH,1.0,0.0,2026-07-03
TCS,IT,NEUTRAL,26.25,57.51,NEUTRAL,CONCALL|NEWS|DEALS,44.44444444444445,,100.0,47.27979274611399,0.0,,,1.0,BULLISH,3.0,0.0,2026-07-03
CGCL,FINANCIAL_SERVICES,EMERGING,56.85,57.43,NEUTRAL,CONCALL||DEALS,44.44444444444445,,,96.89119170984456,0.0,,,,,,192.5,2026-07-03
EBGNG,IT,EMERGING,57.92,57.23,NEUTRAL,CONCALL||DEALS,44.44444444444445,,,95.85492227979275,0.0,,,,,,150.001,2026-07-03
POCL,METAL,EMERGING,54.81,57.07,NEUTRAL,CONCALL||DEALS,44.44444444444445,,,95.07772020725389,0.0,,,,,,59.944,2026-07-03
CMRGREEN,OTHER,EMERGING,49.82,57.02,NEUTRAL,CONCALL||DEALS,44.44444444444445,,,94.81865284974094,0.0,,,,,,49.8143,2026-07-03
GOKEX,TEXTILES,EMERGING,59.23,56.86,NEUTRAL,CONCALL||DEALS,44.44444444444445,,,94.04145077720207,0.0,,,,,,32.5916,2026-07-03
RKFORGE,AUTO,WATCHLIST,35.29,53.89,NEUTRAL,CONCALL,61.111111111111114,,,,0.6,,,,,,,2026-07-03
INFY,IT,WATCHLIST,30.89,52.31,NEUTRAL,NEWS|DEALS,,,64.28571428571428,47.27979274611399,,,,0.2857142857142857,BULLISH,7.0,0.0,2026-07-03
FRACTAL,IT,WATCHLIST,30.82,51.94,NEUTRAL,CONCALL,55.55555555555556,,,,0.4,,,,,,,2026-07-03
IDEA,TELECOM,WATCHLIST,44.79,51.94,NEUTRAL,CONCALL,55.55555555555556,,,,0.4,,,,,,,2026-07-03
ADANIPOWER,POWER,WATCHLIST,32.56,51.94,NEUTRAL,CONCALL,55.55555555555556,,,,0.4,,,,,,,2026-07-03
NAUKRI,RETAIL,WATCHLIST,32.85,51.94,NEUTRAL,CONCALL,55.55555555555556,,,,0.4,,,,,,,2026-07-03
DMART,RETAIL,WATCHLIST,42.16,50.65,NEUTRAL,INSIDER,,52.61625000000001,,,,1.0465,BUY,,,,,2026-07-03
TVSMOTOR,AUTO,WATCHLIST,37.37,50.0,NEUTRAL,NEWS,,,50.0,,,,,0.0,NEUTRAL,1.0,,2026-07-03
MRF,AUTO,WATCHLIST,35.27,50.0,NEUTRAL,NEWS,,,50.0,,,,,0.0,NEUTRAL,1.0,,2026-07-03
INDIGO,AVIATION,EMERGING,49.26,50.0,NEUTRAL,NEWS,,,50.0,,,,,0.0,NEUTRAL,1.0,,2026-07-03
NTPC,POWER,WATCHLIST,31.72,50.0,NEUTRAL,NEWS,,,50.0,,,,,0.0,NEUTRAL,1.0,,2026-07-03
WIPRO,IT,WATCHLIST,30.18,50.0,NEUTRAL,NEWS,,,50.0,,,,,0.0,NEUTRAL,1.0,,2026-07-03
BAJAJFINSV,FINANCIAL_SERVICES,WATCHLIST,33.05,49.97,NEUTRAL,INSIDER,,49.86149999999995,,,,-0.0554000000000201,MILD_SELL,,,,,2026-07-03
SOUTHWEST,ENERGY,NEUTRAL,26.78,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
JNKINDIA,CAPITAL_GOODS,EMERGING,46.63,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
MOREPENLAB,PHARMA,EMERGING,46.47,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
MEGASTAR,FMCG,EMERGING,47.37,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
QUESS,OTHER,EMERGING,47.39,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
SHAH,METAL,NEUTRAL,23.71,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
GALAPREC,CAPITAL_GOODS,EMERGING,47.3,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
PAISALO,FINANCIAL_SERVICES,EMERGING,47.04,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
NRBBEARING,AUTO,EMERGING,50.7,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
JAGSNPHARM,PHARMA,EMERGING,49.99,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
MARSONS,CAPITAL_GOODS,NEUTRAL,27.1,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
SPAL,TEXTILES,EMERGING,51.5,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
BLUSPRING,POWER,EMERGING,49.46,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
RML,AUTO,EMERGING,49.52,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
SAKSOFT,IT,EMERGING,45.24,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
SKMEGGPROD,FMCG,EMERGING,45.4,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
KITEX,TEXTILES,WATCHLIST,32.71,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
GOODLUCK,METAL,EMERGING,46.04,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
TARSONS,HEALTHCARE,EMERGING,45.86,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
NIITLTD,HEALTHCARE,EMERGING,45.84,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
MAHSEAMLES,METAL,WATCHLIST,32.51,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
MANCREDIT,FINANCIAL_SERVICES,EMERGING,46.06,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
TRUALT,AGRICULTURE,WATCHLIST,32.46,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
POWERGRID,POWER,WATCHLIST,32.38,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
CAPITALSFB,BANKING,WATCHLIST,33.39,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
ANMOL,FINANCIAL_SERVICES,WATCHLIST,33.58,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
KSCL,AGRICULTURE,WATCHLIST,33.23,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
GOKUL,FMCG,WATCHLIST,33.08,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
PONNIERODE,FMCG,WATCHLIST,34.43,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
RBA,HOSPITALITY,EMERGING,45.86,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
VGL,TEXTILES,WATCHLIST,34.36,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
INDOBORAX,CHEMICALS,WATCHLIST,44.92,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
HINDWAREAP,REALTY,WATCHLIST,44.82,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
HONASA,FMCG,EMERGING,46.36,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
SUPREME,FINANCIAL_SERVICES,WATCHLIST,32.31,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
QUADFUTURE,CAPITAL_GOODS,EMERGING,46.24,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
EPACKPEB,CAPITAL_GOODS,EMERGING,46.09,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
AURIGROW,CAPITAL_GOODS,WATCHLIST,31.0,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
MICEL,CAPITAL_GOODS,WATCHLIST,32.24,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
TCIEXP,LOGISTICS,WATCHLIST,32.26,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
PROZONER,REALTY,WATCHLIST,32.29,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
AQYLON,MEDIA,WATCHLIST,32.93,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
HDFCBANK,BANKING,WATCHLIST,32.9,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
RPTECH,IT,EMERGING,48.98,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
ORIENTHOT,HOSPITALITY,EMERGING,47.22,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
PANACEABIO,PHARMA,EMERGING,49.54,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
JISLDVREQS,CAPITAL_GOODS,WATCHLIST,34.71,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
BHARTIARTL,TELECOM,WATCHLIST,34.78,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
EXXARO,CAPITAL_GOODS,WATCHLIST,34.82,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
EPACK,FMCG,WATCHLIST,34.92,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
PIXTRANS,CHEMICALS,EMERGING,45.43,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
UNICHEMLAB,PHARMA,EMERGING,45.58,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
EXICOM,CAPITAL_GOODS,EMERGING,45.68,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
TEJASNET,TELECOM,EMERGING,45.68,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
IGARASHI,AUTO,EMERGING,45.7,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
SBC,TEXTILES,EMERGING,45.71,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
FAIRCHEMOR,CHEMICALS,EMERGING,45.71,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
NELCO,IT,WATCHLIST,44.74,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
AERONEU,CHEMICALS,WATCHLIST,44.76,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
PNBGILTS,FINANCIAL_SERVICES,WATCHLIST,44.06,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
APOLLO,DEFENCE,EMERGING,45.04,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
RICOAUTO,AUTO,WATCHLIST,44.11,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
DELTACORP,HOSPITALITY,WATCHLIST,30.08,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
PROTEAN,IT,WATCHLIST,30.46,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
RHETAN,METAL,WATCHLIST,30.01,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
JSLL,PHARMA,NEUTRAL,29.9,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
NEWGEN,IT,WATCHLIST,35.41,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
GNA,AUTO,WATCHLIST,43.55,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
BORANA,TEXTILES,WATCHLIST,35.62,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
SONATSOFTW,IT,WATCHLIST,35.42,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
RELAXO,FMCG,WATCHLIST,44.64,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
MANGLMCEM,CEMENT,WATCHLIST,43.1,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
AGIIL,REALTY,WATCHLIST,35.39,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
SJS,AUTO,EMERGING,45.08,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
VIPULLTD,REALTY,EMERGING,45.01,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
ACSTECH,CEMENT,WATCHLIST,44.16,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
20MICRONS,METAL,WATCHLIST,44.22,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
STUDDS,AUTO,WATCHLIST,34.44,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
DJML,LOGISTICS,WATCHLIST,42.88,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
PPAP,AUTO,WATCHLIST,42.96,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
SOMICONVEY,CAPITAL_GOODS,WATCHLIST,36.18,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
RMDRIP,CAPITAL_GOODS,WATCHLIST,42.7,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
SIMPLEXINF,INFRASTRUCTURE,WATCHLIST,42.58,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
ROTO,CAPITAL_GOODS,WATCHLIST,42.57,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
RITCO,LOGISTICS,WATCHLIST,35.92,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
GENESYS,IT,WATCHLIST,42.83,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
ATALREAL,REALTY,WATCHLIST,35.68,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
BIOFILCHEM,PHARMA,WATCHLIST,36.77,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
FINOPB,BANKING,WATCHLIST,36.68,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
URAVIDEF,AUTO,WATCHLIST,36.68,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
VINCOFE,FMCG,WATCHLIST,36.59,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
TFCILTD,FINANCIAL_SERVICES,WATCHLIST,36.59,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
SUNPHARMA,PHARMA,WATCHLIST,36.42,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
FEDDERSHOL,FINANCIAL_SERVICES,WATCHLIST,42.73,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
EIMCOELECO,CAPITAL_GOODS,WATCHLIST,37.16,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
ASIANPAINT,CHEMICALS,WATCHLIST,37.1,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
HLEGLAS,CAPITAL_GOODS,WATCHLIST,42.34,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
UDS,OTHER,WATCHLIST,42.43,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
TARIL,CAPITAL_GOODS,WATCHLIST,42.2,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
MEESHO,RETAIL,WATCHLIST,42.14,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
INDOCO,PHARMA,WATCHLIST,42.02,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
SHAILY,CAPITAL_GOODS,WATCHLIST,43.06,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
PGEL,CAPITAL_GOODS,WATCHLIST,37.01,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
COMSYN,AUTO,WATCHLIST,37.96,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
NOCIL,CHEMICALS,WATCHLIST,37.69,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
PANAMAPET,ENERGY,WATCHLIST,44.49,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
VIPIND,REALTY,WATCHLIST,35.24,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
HINDUNILVR,FMCG,WATCHLIST,30.79,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
ADANIGREEN,POWER,WATCHLIST,44.42,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
SOTL,ENERGY,WATCHLIST,44.24,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
ADSL,IT,WATCHLIST,38.78,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
CDSL,REALTY,WATCHLIST,38.82,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
KSR,OTHER,WATCHLIST,38.83,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
AARTECH,CAPITAL_GOODS,WATCHLIST,38.85,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
HEXAGON,OTHER,WATCHLIST,38.89,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
ASHOKA,INFRASTRUCTURE,WATCHLIST,38.77,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
SAMPANN,CHEMICALS,WATCHLIST,38.62,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
RMC,OTHER,WATCHLIST,38.66,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
KAYNES,CAPITAL_GOODS,NEUTRAL,28.78,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
LXCHEM,CHEMICALS,WATCHLIST,39.5,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
UMESLTD,OTHER,WATCHLIST,39.3,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
ICICIBANK,BANKING,WATCHLIST,39.69,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
EFCIL,REALTY,NEUTRAL,29.62,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
SINTERCOM,AUTO,NEUTRAL,29.6,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
SHRADHA,REALTY,NEUTRAL,29.22,49.46,NEUTRAL,DEALS,,,,47.27979274611399,,,,,,,0.0,2026-07-03
