symbol,close,atr_14,mp_pp,mp_r1,mp_r2,mp_r3,mp_s1,mp_s2,mp_s3,wp_pp,wp_r1,wp_r2,wp_s1,wp_s2,fib_786,fib_618,fib_500,fib_382,fib_236,swing_high_1,swing_high_2,swing_low_1,swing_low_2,vol_poc,prev_week_h,prev_week_l,prev_month_h,prev_month_l,round_res,round_sup,stop_1atr,stop_2atr,target_1atr,target_2atr,conf_res_1,conf_res_1_score,conf_res_1_tags,conf_res_2,conf_res_2_score,conf_res_2_tags,conf_sup_1,conf_sup_1_score,conf_sup_1_tags,conf_sup_2,conf_sup_2_score,conf_sup_2_tags,entry_zone_low,entry_zone_high,stop_loss,as_of_date
5PAISA,355.95,11.91,325.38,356.77,385.83,417.22,296.32,264.93,235.87,346.45,366.9,380.2,333.15,312.7,285.2,316.36,338.25,360.14,387.22,397.0,396.5,245.5,287.65,369.45,359.75,326.0,354.45,294.0,375.0,350.0,344.04,332.14,367.86,379.76,358.89,6,M-R1|Prev-Wk Hi|Fib 38.2%,368.17,5,W-R1|Vol POC,348.23,3,W-Pivot|Round,338.25,2,Fib 50%,350.0,359.52,343.01,2026-06-30
63MOONS,654.75,21.35,655.53,714.42,817.88,876.77,552.07,493.18,389.72,672.68,691.82,714.13,650.37,631.23,608.88,720.27,798.5,876.73,973.53,1130.0,1029.9,467.0,541.0,654.43,695.0,653.55,759.0,596.65,700.0,650.0,633.4,612.05,676.1,697.45,694.5,7,200 DMA|W-R1|Prev-Wk Hi|Round,716.27,7,W-R2|M-R1|Fib 61.8%,650.18,3,Round|W-S1,631.23,1,W-S2,644.08,661.15,640.43,2026-06-30
8KMILES,44.95,4.82,60.97,72.33,82.57,93.93,50.73,39.37,29.13,37.2,40.7,42.45,35.45,31.95,110.48,170.76,213.1,255.44,307.82,392.5,206.0,33.7,49.05,105.09,38.95,33.7,71.2,49.6,45.0,40.0,40.13,35.31,49.77,54.59,49.33,3,Swing Lo|Prev-Mo Lo,50.73,3,M-S1,39.16,3,Prev-Wk Hi|M-S2,40.7,2,W-R1,42.54,46.4,38.57,2020-09-23
A2ZINFRA,13.43,0.61,14.71,15.52,16.51,17.32,13.72,12.91,11.92,14.08,14.42,15.01,13.49,13.15,14.46,15.52,16.25,16.99,17.91,26.52,20.61,6.25,7.35,14.28,14.68,13.75,15.7,13.9,15.0,10.0,12.82,12.22,14.04,14.64,14.21,6,W-Pivot|20 DMA|Vol POC,13.79,5,M-S1|Prev-Wk Lo|Prev-Mo Lo,13.13,3,52W Low|W-S2,12.91,2,M-S2,13.13,13.61,12.93,2026-06-30
A2ZMES,17.7,0.96,21.67,24.28,29.52,32.13,16.43,13.82,8.58,17.37,18.43,19.02,16.78,15.72,13.65,18.48,21.88,25.27,29.46,36.25,29.5,7.5,7.6,16.11,17.95,16.3,26.9,19.05,20.0,15.0,16.74,15.78,18.66,19.62,18.45,5,W-R1|Fib 61.8%,19.04,2,W-R2|Prev-Mo Lo,16.28,7,Vol POC|Prev-Wk Lo|M-S1,17.37,2,W-Pivot,17.22,17.99,16.04,2014-12-30
AAATECH,97.76,3.06,96.03,101.81,109.53,115.31,88.31,82.53,74.81,95.65,97.29,99.42,93.52,91.88,88.93,98.99,106.06,113.12,121.87,136.0,128.5,66.0,71.0,120.2,97.78,94.01,103.75,90.25,100.0,90.0,94.7,91.64,100.82,103.88,99.47,5,Fib 61.8%|W-R2|Round,101.81,3,M-R1,96.29,8,W-Pivot|M-Pivot|50 DMA|W-R1,94.21,4,W-S1|Prev-Wk Lo|20 DMA,96.23,98.68,94.85,2026-06-30
AADHARHFC,515.6,18.05,483.8,516.4,555.6,588.2,444.6,412.0,372.8,516.5,544.0,569.5,491.0,463.5,455.33,475.09,488.97,502.86,520.03,547.8,542.0,430.15,433.25,474.61,542.0,489.0,523.0,451.2,550.0,500.0,497.55,479.5,533.65,551.7,545.6,10,Swing Hi|Prev-Wk Hi|W-R1|Swing Hi|52W High|Round,521.51,2,Fib 23.6%|Prev-Mo Hi,486.87,13,M-Pivot|200 DMA|20 DMA|50 DMA|Fib 50%|Prev-Wk Lo|W-S1,474.85,6,Vol POC|Fib 61.8%,506.58,521.01,479.57,2026-06-30
AAKASH,8.61,0.94,10.57,13.75,16.57,19.75,7.75,4.57,1.75,8.95,9.24,9.63,8.56,8.27,8.53,9.57,10.3,11.04,11.94,13.79,13.4,7.06,7.21,11.03,9.35,8.67,13.4,7.4,10.0,5.0,7.67,6.74,9.55,10.48,9.33,4,W-R1|Prev-Wk Hi|20 DMA,9.6,4,Fib 61.8%|W-R2,8.56,4,Fib 78.6%|W-S1|50 DMA,7.75,3,M-S1,8.14,8.89,8.43,2026-06-30
AANJANEYA,32.75,2.7,40.03,48.92,60.13,69.02,28.82,19.93,8.72,36.32,38.08,40.27,34.13,32.37,207.24,345.48,442.57,539.67,659.81,854.0,811.5,31.15,33.5,77.16,38.5,34.55,51.25,31.15,35.0,30.0,30.05,27.36,35.45,38.14,34.34,3,W-S1|Prev-Wk Lo,33.5,2,Swing Lo,31.15,5,Swing Lo|52W Low|Prev-Mo Lo,28.82,3,M-S1,31.4,33.56,30.68,2013-08-30
AAREYDRUGS,90.51,5.22,58.69,67.06,83.38,91.75,42.37,34.0,17.68,87.04,92.73,97.14,82.63,76.94,60.09,67.76,73.16,78.55,85.22,86.37,74.6,29.95,31.35,68.35,91.44,81.34,75.0,50.31,100.0,90.0,85.29,80.07,95.73,100.95,91.97,4,Prev-Wk Hi|M-R3|W-R1,96.57,3,52W High|W-R2,86.21,5,Fib 23.6%|Swing Hi|W-Pivot,83.0,4,W-S1|M-R2,87.9,92.08,84.92,2026-04-29
AARNAV,25.18,0.93,23.67,25.8,27.13,29.26,22.34,20.21,18.88,24.51,25.13,25.76,23.88,23.26,23.02,24.61,25.73,26.84,28.22,30.45,28.3,21.0,21.54,23.09,25.15,23.9,25.0,21.54,30.0,25.0,24.25,23.33,26.11,27.03,25.76,6,Fib 50%|W-R2|M-R1,26.98,4,Fib 38.2%|M-R2,24.79,8,W-Pivot|Fib 61.8%|20 DMA|Prev-Mo Hi|Round,23.84,7,M-Pivot|W-S1|50 DMA|Prev-Wk Lo,24.72,25.46,24.42,2026-06-30
AARON,117.32,4.62,126.8,135.26,149.45,157.91,112.61,104.15,89.96,119.71,123.05,127.93,114.83,111.49,139.16,164.56,182.4,200.24,222.32,258.0,239.0,106.8,112.0,140.61,124.6,116.38,141.0,118.35,125.0,100.0,112.7,108.09,121.94,126.55,127.15,5,50 DMA|M-Pivot|W-R2,119.0,4,Prev-Mo Lo|20 DMA|W-Pivot,112.03,6,W-S2|Swing Lo|M-S1,106.8,4,Swing Lo|52W Low,115.01,118.71,110.35,2026-06-30
AARTECH,47.66,3.14,41.77,49.88,57.72,65.83,33.93,25.82,17.98,51.95,54.84,57.4,49.39,46.5,42.65,49.83,54.88,59.92,66.16,72.1,66.49,33.51,33.65,49.86,54.5,49.05,49.6,33.65,50.0,45.0,44.52,41.38,50.8,53.94,49.66,14,Prev-Wk Lo|W-S1|Prev-Mo Hi|Fib 61.8%|Vol POC|M-R1|Round,54.74,5,Prev-Wk Hi|W-R1|Fib 50%,45.37,3,Round|50 DMA|20 DMA,41.77,3,M-Pivot,46.09,48.6,44.69,2026-06-30
AARTIDRUGS,377.9,10.46,381.23,406.37,432.33,457.47,355.27,330.13,304.17,375.48,382.42,392.13,365.77,358.83,371.4,412.58,441.5,470.42,506.21,564.05,534.55,318.95,343.5,375.04,385.2,368.55,407.2,356.1,400.0,375.0,367.44,356.97,388.36,398.83,404.14,8,Round|200 DMA|M-R1|Prev-Mo Hi,382.95,6,M-Pivot|W-R1|Prev-Wk Hi,372.09,11,W-S1|Prev-Wk Lo|Fib 78.6%|20 DMA|Round|Vol POC|W-Pivot,356.73,5,M-S1|Prev-Mo Lo|W-S2,372.67,381.04,366.51,2026-06-30
AARTIIND,458.3,17.22,479.57,518.53,562.07,601.03,436.03,397.07,353.53,474.02,486.53,507.02,453.53,441.02,377.65,408.74,430.58,452.41,479.43,523.1,504.9,338.05,345.05,431.06,494.5,461.5,523.1,440.6,475.0,450.0,441.08,423.85,475.52,492.75,476.62,8,W-Pivot|Round|50 DMA|Fib 23.6%|M-Pivot,462.74,2,Prev-Wk Lo|20 DMA,432.56,8,Fib 50%|Vol POC|M-S1,451.98,5,Round|Fib 38.2%|W-S1,449.69,463.47,426.07,2026-06-30
AARTIPHARM,680.05,25.36,691.08,756.17,879.08,944.17,568.17,503.08,380.17,702.72,731.58,772.47,661.83,632.97,667.6,732.45,778.0,823.55,879.9,971.0,946.1,585.0,604.15,783.76,743.6,673.85,814.0,626.0,700.0,650.0,654.69,629.34,705.41,730.76,731.57,8,200 DMA|W-R1|Fib 61.8%,695.96,7,50 DMA|M-Pivot|Round|W-Pivot,667.76,4,W-S1|Fib 78.6%|Prev-Wk Lo,651.74,2,Round|20 DMA,667.37,687.66,657.74,2026-06-30
AARTISURF,379.05,14.0,411.38,442.67,496.28,527.57,357.77,326.48,272.87,378.92,393.73,413.72,358.93,344.12,358.93,392.63,416.3,439.97,469.26,653.1,516.6,316.0,335.55,446.22,398.9,364.1,465.0,380.1,400.0,375.0,365.05,351.06,393.05,407.04,412.61,9,200 DMA|M-Pivot|W-R2|Fib 50%,392.75,6,50 DMA|Fib 61.8%|W-R1,358.54,6,M-S1|Fib 78.6%|W-S1,374.9,2,20 DMA|Round,372.05,383.25,353.16,2026-06-30
AARVEEDEN,38.05,2.31,36.58,45.63,50.81,59.86,31.4,22.35,17.17,34.24,37.05,39.3,31.99,29.18,25.02,28.8,31.45,34.11,37.39,42.7,33.0,20.2,21.65,30.59,36.5,31.44,41.75,27.52,40.0,35.0,35.74,33.44,40.36,42.66,42.7,4,Swing Hi|52W High,39.3,1,W-R2,36.71,6,Prev-Wk Hi|M-Pivot|W-R1,34.17,4,Fib 38.2%|W-Pivot,36.9,38.74,36.16,2024-08-02
AARVI,145.43,8.99,131.43,143.56,157.12,169.25,117.87,105.74,92.18,144.21,152.89,162.67,134.43,125.75,109.34,119.04,125.84,132.65,141.08,154.7,152.0,96.99,115.99,131.61,154.0,135.54,145.0,119.31,150.0,125.0,136.44,127.44,154.42,163.42,151.63,5,Round|Swing Hi|W-R1,154.47,5,Prev-Wk Hi|Swing Hi|52W High,132.07,9,M-Pivot|Vol POC|50 DMA|Fib 38.2%,144.26,6,M-R1|W-Pivot|Prev-Mo Hi,140.93,148.13,130.09,2026-06-30
AAVAS,1520.8,57.74,1385.8,1452.2,1561.3,1627.7,1276.7,1210.3,1101.2,1445.77,1545.13,1600.37,1390.53,1291.17,1271.96,1438.05,1554.7,1671.35,1815.69,1771.9,1749.8,1060.4,1065.0,1445.91,1501.0,1346.4,1494.9,1319.4,1600.0,1500.0,1463.06,1405.31,1578.54,1636.29,1553.71,6,W-R1|Fib 50%|M-R2,1600.18,2,Round|W-R2,1441.71,14,200 DMA|Fib 61.8%|W-Pivot|Vol POC|M-R1,1389.49,7,M-Pivot|50 DMA|W-S1|20 DMA,1491.93,1538.12,1420.08,2026-06-30
ABAN,44.96,2.59,46.98,52.17,57.32,62.51,41.83,36.64,31.49,48.5,50.65,54.29,44.86,42.71,44.64,46.87,48.44,50.0,51.94,93.35,91.5,36.5,41.55,58.7,52.14,46.35,52.14,41.8,45.0,40.0,42.37,39.79,47.55,50.13,46.73,7,Prev-Wk Lo|Fib 61.8%|M-Pivot,52.1,6,Fib 23.6%|Prev-Mo Hi|Prev-Wk Hi|M-R1,41.74,8,Swing Lo|52W Low|Prev-Mo Lo|M-S1,44.75,3,Fib 78.6%|W-S1,43.67,45.74,41.11,2025-09-04
ABANLLOYD,1136.2,27.32,1134.77,1187.93,1251.17,1304.33,1071.53,1018.37,955.13,1123.7,1151.2,1183.7,1091.2,1063.7,542.72,685.77,786.25,886.73,1011.05,1212.0,1187.0,360.5,375.0,1110.47,1156.2,1096.2,1198.0,1081.6,1200.0,1100.0,1108.88,1081.56,1163.52,1190.84,1191.33,8,W-R2|Swing Hi|M-R1|Prev-Mo Hi|Round,1212.0,4,Swing Hi|52W High,1099.47,7,W-S1|Prev-Wk Lo|Round|Vol POC,1072.28,5,W-S2|M-S1|Prev-Mo Lo,1122.54,1144.4,1082.98,2005-01-14
ABANLOYD,1198.45,60.14,946.43,1039.87,1093.23,1186.67,893.07,799.63,746.27,1114.0,1277.9,1373.9,1018.0,854.1,664.57,832.24,950.0,1067.76,1213.47,1449.0,1445.0,451.0,470.1,856.92,1210.0,950.1,999.8,853.0,1200.0,1100.0,1138.31,1078.17,1258.59,1318.73,1447.67,6,Swing Hi|Swing Hi|52W High,1211.74,2,Prev-Wk Hi|Fib 23.6%,1096.62,3,M-R2|Round,1114.0,2,W-Pivot,1168.38,1216.49,1080.17,2006-08-17
ABB,7031.0,179.96,6937.83,7704.17,8155.33,8921.67,6486.67,5720.33,5269.17,7072.83,7210.67,7428.33,6855.17,6717.33,5319.09,5854.17,6230.0,6605.83,7070.84,7822.5,7389.0,4637.5,4896.0,5998.21,7290.5,6935.0,7389.0,6171.5,7500.0,7000.0,6851.04,6671.07,7210.96,7390.93,7426.58,5,Swing Hi|Prev-Mo Hi|W-R2|Round,7063.98,4,20 DMA|Fib 23.6%|W-Pivot,6944.98,8,W-S1|Prev-Wk Lo|M-Pivot|50 DMA|Round,6486.67,3,M-S1,6941.02,7084.99,6840.81,2026-06-30
ABBALPO,75.9,3.23,53.97,61.73,67.12,74.88,48.58,40.82,35.43,61.35,66.65,71.15,56.85,51.55,41.01,48.83,54.32,59.82,66.61,72.0,70.35,31.05,34.0,50.63,65.85,56.05,59.35,46.2,80.0,70.0,72.67,69.44,79.13,82.36,77.6,2,52W High,80.0,1,Round,66.56,6,Prev-Wk Hi|Fib 23.6%|W-R1|M-R2,70.5,4,Round|Swing Hi|W-R2,74.29,76.87,69.44,2003-05-16
ABBOTINDIA,25440.0,521.07,26770.0,28365.0,29875.0,31470.0,25260.0,23665.0,22155.0,25803.33,26271.67,26958.33,25116.67,24648.33,27324.24,29031.12,30230.0,31428.88,32912.24,35310.0,34060.0,25150.0,25175.0,25436.42,26490.0,25335.0,28280.0,25175.0,25500.0,25000.0,24918.93,24397.86,25961.07,26482.14,26477.42,7,W-R1|50 DMA|Prev-Wk Hi|M-Pivot,25756.86,4,Round|W-Pivot|20 DMA,25112.22,15,W-S2|Round|W-S1|Swing Lo|52W Low|Swing Lo|Prev-Mo Lo|M-S1|Prev-Wk Lo,23665.0,2,M-S2,25179.46,25596.32,24735.54,2026-06-30
ABBOTTLAB,102.65,7.48,123.17,139.13,149.62,165.58,112.68,96.72,86.23,115.72,119.33,123.72,111.33,107.72,129.37,150.34,165.07,179.81,198.04,227.5,215.0,107.2,123.65,119.19,120.1,112.1,133.65,107.2,125.0,100.0,95.17,87.69,110.13,117.61,112.04,6,W-S1|Prev-Wk Lo|M-S1,119.54,6,Vol POC|W-R1|Prev-Wk Hi,96.72,2,M-S2,100.0,1,Round,98.91,104.89,95.27,2003-03-21
ABCAPITAL,391.95,11.61,359.57,379.68,396.07,416.18,343.18,323.07,306.68,388.4,401.75,412.7,377.45,364.1,276.46,302.73,321.18,339.62,362.45,375.95,369.8,243.0,272.7,345.55,399.35,375.05,375.95,339.45,400.0,375.0,380.34,368.72,403.56,415.18,399.3,8,M-R2|52W High|Prev-Wk Hi|Round|W-R1,414.44,2,W-R2|M-R3,376.51,10,Round|Prev-Wk Lo|Swing Hi|Prev-Mo Hi|W-S1|M-R1,361.2,6,50 DMA|M-Pivot|Fib 23.6%|W-S2,386.14,395.43,370.86,2026-06-30
ABCIL,225.25,7.76,232.25,242.2,249.9,259.85,224.55,214.6,206.9,229.87,235.53,245.67,219.73,214.07,213.63,223.54,230.5,237.46,246.08,260.0,250.7,202.0,203.0,238.2,240.0,224.2,239.95,222.3,250.0,225.0,217.49,209.74,233.01,240.76,238.23,9,W-R1|Fib 38.2%|Vol POC|Prev-Mo Hi|Prev-Wk Hi,230.87,7,W-Pivot|Fib 50%|M-Pivot,222.86,10,W-S1|Prev-Mo Lo|Fib 61.8%|Prev-Wk Lo|M-S1,202.0,6,52W Low|Swing Lo|Swing Lo,221.37,227.58,219.52,2016-01-13
ABCOTS,221.08,13.18,219.12,232.13,248.02,261.03,203.23,190.22,174.33,233.49,243.73,262.23,214.99,204.75,263.24,314.7,350.85,386.99,431.71,474.9,467.95,197.69,206.1,235.77,252.0,223.26,235.0,206.1,225.0,200.0,207.9,194.72,234.26,247.44,234.05,10,M-R1|W-Pivot|50 DMA|Prev-Mo Hi|Vol POC,224.13,2,Prev-Wk Lo|Round,205.05,7,M-S1|W-S2|Swing Lo|Prev-Mo Lo,198.46,5,Swing Lo|52W Low|Round,214.49,225.03,201.97,2026-06-30
ABDL,667.9,24.16,554.48,603.82,649.33,698.67,508.97,459.63,414.12,624.82,639.48,656.67,607.63,592.97,449.45,502.32,539.45,576.58,622.53,696.8,679.8,382.1,429.5,405.36,642.0,610.15,600.0,505.15,700.0,650.0,643.74,619.59,692.06,716.21,698.07,6,Swing Hi|52W High|M-R3|Round,679.8,2,Swing Hi,645.2,6,W-R1|Prev-Wk Hi|M-R2|Round,623.67,3,Fib 23.6%|W-Pivot,655.82,675.15,635.52,2026-06-30
ABFRL,58.06,1.77,64.74,68.96,73.31,77.53,60.39,56.17,51.82,60.44,61.88,63.64,58.68,57.24,62.38,69.34,74.23,79.12,85.17,94.95,93.48,53.51,58.1,67.28,62.2,59.0,69.09,60.52,60.0,50.0,56.29,54.53,59.83,61.59,60.32,8,Round|20 DMA|M-S1|W-Pivot|Prev-Mo Lo,62.3,5,W-R1|Prev-Wk Hi|Fib 78.6%|50 DMA,53.51,4,Swing Lo|52W Low,56.17,2,M-S2,57.18,58.59,54.53,2026-06-30
ABGHEAVY,14.9,0.62,15.77,16.53,17.57,18.33,14.73,13.97,12.93,13.15,13.15,13.15,13.15,13.15,14.46,16.98,18.75,20.52,22.71,26.25,22.9,11.25,12.1,16.34,13.15,13.15,16.8,15.0,15.0,10.0,14.28,13.66,15.52,16.14,16.44,6,Vol POC|M-R1,16.89,4,Prev-Mo Hi|Fib 61.8%,13.15,10,W-Pivot|W-R1|W-R2|W-S1|W-S2|Prev-Wk Hi|Prev-Wk Lo,14.73,3,M-S1,14.59,15.09,13.66,2001-07-16
ABGSEC,113.5,1.34,111.73,113.53,115.01,116.81,110.25,108.45,106.97,113.53,114.22,115.35,112.4,111.71,109.46,110.61,111.41,112.22,113.22,113.87,113.31,108.0,108.18,111.22,114.66,112.84,113.21,109.93,125.0,100.0,112.16,110.83,114.84,116.17,114.66,10,Swing Hi|W-R1|Prev-Wk Hi|52W High|M-R2|W-R2,116.81,1,M-R3,111.79,28,Prev-Mo Lo|M-S1|Fib 61.8%|Vol POC|200 DMA|Fib 50%|W-S2|M-Pivot|50 DMA|Fib 38.2%|W-S1|20 DMA|Prev-Wk Lo|Prev-Mo Hi|Fib 23.6%,108.18,10,M-S3|Swing Lo|52W Low|Swing Lo|M-S2|Fib 78.6%,112.83,113.9,110.83,2026-06-30
ABGSHIP,31.0,1.44,30.93,33.37,36.58,39.02,27.72,25.28,22.07,32.12,34.08,35.87,30.33,28.37,33.92,42.62,48.72,54.83,62.39,74.6,60.2,22.85,23.6,38.56,33.9,30.15,34.15,28.5,35.0,30.0,29.56,28.13,32.44,33.87,34.01,5,Prev-Wk Hi|Fib 78.6%|W-R1|Prev-Mo Hi,33.37,3,M-R1,30.16,4,Round|Prev-Wk Lo|W-S1,30.93,3,M-Pivot,30.28,31.43,29.71,2017-01-23
ABHISHEK,4.5,0.32,5.45,5.9,6.55,7.0,4.8,4.35,3.7,5.4,5.8,6.35,4.85,4.45,5.48,6.26,6.8,7.34,8.01,9.1,9.05,5.75,5.9,6.55,5.95,5.0,6.1,5.0,5.0,0.0,4.18,3.86,4.82,5.14,5.44,6,W-Pivot|M-Pivot|Fib 78.6%,4.82,5,M-S1|W-S1,4.35,2,M-S2,4.45,1,W-S2,4.34,4.6,4.28,2013-06-04
ABINFRA,11.59,1.12,12.67,14.57,18.21,20.11,9.03,7.13,3.49,11.67,13.22,14.71,10.18,8.63,11.97,14.45,16.19,17.93,20.08,23.56,22.1,7.71,8.82,10.82,13.16,10.12,16.31,10.77,15.0,10.0,10.47,9.36,12.71,13.82,12.68,4,M-Pivot|50 DMA,13.19,3,Prev-Wk Hi|W-R1,10.79,4,Prev-Mo Lo|Vol POC,10.1,4,Round|Prev-Wk Lo|W-S1,11.03,11.93,10.63,2026-06-30
ABIRLANUVO,1887.05,48.79,1795.87,1957.33,2055.47,2216.93,1697.73,1536.27,1438.13,1831.1,1922.1,1985.0,1768.2,1677.2,1231.95,1382.61,1488.42,1594.24,1725.17,1744.85,1742.65,1125.0,1160.05,1526.96,1894.0,1740.1,1894.0,1634.4,1900.0,1800.0,1838.26,1789.48,1935.84,1984.62,1902.53,5,Prev-Mo Hi|Prev-Wk Hi|Round|W-R1,1947.07,5,52W High|M-R1,1738.19,6,Fib 23.6%|Prev-Wk Lo|Swing Hi|Swing Hi,1797.93,4,M-Pivot|Round,1862.66,1901.69,1789.48,2017-07-04
