date,FII_flow_score,DII_flow_score,PRO_flow_score,CLIENT_flow_score,FPI_flow_score,MF_flow_score,INSURANCE_flow_score,RETAIL_flow_score,FII_conviction,DII_conviction,PRO_conviction,CLIENT_conviction,Smart_Money_Score,Retail_Score,FII_DII_Divergence,Smart_Retail_Divergence,Market_Opportunity,Cash_Institutional_Score,Ensemble_Score,Market_Regime
2016-02-29,,,,,,,,,50.0,45.0,35.0,40.0,,,,,,,,NEUTRAL
2016-03-01,,,,,,,,,50.0,45.0,40.0,35.0,,,,,,,,NEUTRAL
2016-03-02,,,,,,,,,55.0,45.0,40.0,30.0,,,,,,,,NEUTRAL
2016-03-03,,,,,,,,,60.0,45.0,35.0,25.0,,,,,,,,NEUTRAL
2016-03-04,,,,,,,,,60.0,45.0,35.0,25.0,,,,,,,,NEUTRAL
2016-03-08,,,,,,,,,65.0,50.0,30.0,25.0,,,,,,,,NEUTRAL
2016-03-09,,,,,,,,,60.0,50.0,35.0,30.0,,,,,,,,NEUTRAL
2016-03-10,,,,,,,,,60.0,55.0,35.0,30.0,,,,,,,,NEUTRAL
2016-03-11,,,,,,,,,65.0,55.0,35.0,25.0,,,,,,,,NEUTRAL
2016-03-14,,,,,,,,,65.0,55.0,35.0,25.0,,,,,,,,NEUTRAL
2016-03-15,,,,,,,,,60.0,50.0,40.0,25.0,,,,,,,,NEUTRAL
2016-03-16,,,,,,,,,55.0,50.0,45.0,30.0,,,,,,,,NEUTRAL
2016-03-17,,,,,,,,,60.0,55.0,40.0,30.0,,,,,,,,NEUTRAL
2016-03-18,,,,,,,,,60.0,55.0,40.0,30.0,,,,,,,,NEUTRAL
2016-03-21,,,,,,,,,65.0,60.0,35.0,25.0,,,,,,,,NEUTRAL
2016-03-22,,,,,,,,,65.0,65.0,35.0,25.0,,,,,,,,NEUTRAL
2016-03-23,,,,,,,,,60.0,65.0,35.0,30.0,,,,,,,,NEUTRAL
2016-03-28,,,,,,,,,60.0,70.0,30.0,35.0,,,,,,,,NEUTRAL
2016-03-29,,,,,,,,,60.0,70.0,30.0,35.0,,,,,,,,NEUTRAL
2016-03-30,,,,,,,,,55.0,75.0,35.0,35.0,,,,,,,,NEUTRAL
2016-03-31,,,,,,,,,50.0,80.0,35.0,40.0,,,,,,,,NEUTRAL
2016-04-01,,,,,,,,,45.0,75.0,30.0,45.0,,,,,,,,NEUTRAL
2016-04-04,,,,,,,,,40.0,70.0,35.0,50.0,,,,,,,,NEUTRAL
2016-04-05,,,,,,,,,35.0,65.0,35.0,55.0,,,,,,,,NEUTRAL
2016-04-06,,,,,,,,,30.0,65.0,35.0,60.0,,,,,,,,NEUTRAL
2016-04-07,,,,,,,,,25.0,65.0,40.0,65.0,,,,,,,,NEUTRAL
2016-04-08,,,,,,,,,25.0,65.0,40.0,65.0,,,,,,,,NEUTRAL
2016-04-11,,,,,,,,,25.0,60.0,45.0,65.0,,,,,,,,NEUTRAL
2016-04-12,,,,,,,,,20.0,55.0,50.0,70.0,,,,,,,,NEUTRAL
2016-04-13,,,,,,,,,20.0,50.0,55.0,70.0,,,,,,,,NEUTRAL
2016-04-18,,,,,,,,,25.0,50.0,50.0,70.0,,,,,,,,NEUTRAL
2016-04-20,,,,,,,,,30.0,45.0,45.0,65.0,,,,,,,,NEUTRAL
2016-04-21,,,,,,,,,30.0,45.0,50.0,65.0,,,,,,,,NEUTRAL
2016-04-22,,,,,,,,,30.0,40.0,50.0,65.0,,,,,,,,NEUTRAL
2016-04-25,,,,,,,,,25.0,35.0,55.0,70.0,,,,,,,,NEUTRAL
2016-04-26,,,,,,,,,25.0,30.0,55.0,70.0,,,,,,,,NEUTRAL
2016-04-27,,,,,,,,,30.0,30.0,55.0,65.0,,,,,,,,NEUTRAL
2016-04-28,,,,,,,,,35.0,30.0,55.0,65.0,,,,,,,,NEUTRAL
2016-04-29,,,,,,,,,35.0,30.0,50.0,65.0,,,,,,,,NEUTRAL
2016-05-02,,,,,,,,,35.0,30.0,50.0,70.0,,,,,,,,NEUTRAL
2016-05-03,,,,,,,,,35.0,30.0,55.0,70.0,,,,,,,,NEUTRAL
2016-05-04,,,,,,,,,35.0,35.0,60.0,70.0,,,,,,,,NEUTRAL
2016-05-05,,,,,,,,,35.0,40.0,60.0,70.0,,,,,,,,NEUTRAL
2016-05-06,,,,,,,,,35.0,40.0,65.0,70.0,,,,,,,,NEUTRAL
2016-05-09,,,,,,,,,35.0,35.0,70.0,65.0,,,,,,,,NEUTRAL
2016-05-10,,,,,,,,,35.0,30.0,70.0,65.0,,,,,,,,NEUTRAL
2016-05-11,,,,,,,,,40.0,30.0,65.0,60.0,,,,,,,,NEUTRAL
2016-05-12,,,,,,,,,45.0,30.0,60.0,55.0,,,,,,,,NEUTRAL
2016-05-13,,,,,,,,,45.0,35.0,60.0,55.0,,,,,,,,NEUTRAL
2016-05-16,,,,,,,,,40.0,35.0,60.0,60.0,,,,,,,,NEUTRAL
2016-05-17,,,,,,,,,40.0,35.0,60.0,60.0,,,,,,,,NEUTRAL
2016-05-18,,,,,,,,,35.0,35.0,65.0,65.0,,,,,,,,NEUTRAL
2016-05-19,,,,,,,,,35.0,30.0,65.0,65.0,,,,,,,,NEUTRAL
2016-05-20,,,,,,,,,35.0,30.0,65.0,70.0,,,,,,,,NEUTRAL
2016-05-23,,,,,,,,,40.0,30.0,60.0,65.0,,,,,,,,NEUTRAL
2016-05-24,,,,,,,,,45.0,30.0,60.0,60.0,,,,,,,,NEUTRAL
2016-05-25,,,,,,,,,45.0,30.0,60.0,60.0,,,,,,,,NEUTRAL
2016-05-26,,,,,,,,,45.0,25.0,60.0,55.0,,,,,,,,NEUTRAL
2016-05-27,,,,,,,,,50.0,25.0,60.0,50.0,,,,,,,,NEUTRAL
2016-05-30,,,,,,,,,55.0,20.0,55.0,50.0,,,,,,,,NEUTRAL
2016-05-31,,,,,,,,,60.0,15.0,50.0,50.0,,,,,,,,NEUTRAL
2016-06-01,,,,,,,,,65.0,15.0,45.0,45.0,,,,,,,,NEUTRAL
2016-06-02,,,,,,,,,65.0,10.0,45.0,45.0,,,,,,,,NEUTRAL
2016-06-03,,,,,,,,,70.0,10.0,40.0,45.0,,,,,,,,NEUTRAL
2016-06-06,,,,,,,,,70.0,10.0,40.0,50.0,,,,,,,,NEUTRAL
2016-06-07,,,,,,,,,70.0,15.0,40.0,45.0,,,,,,,,NEUTRAL
2016-06-08,,,,,,,,,65.0,20.0,45.0,45.0,,,,,,,,NEUTRAL
2016-06-09,,,,,,,,,65.0,25.0,50.0,45.0,,,,,,,,NEUTRAL
2016-06-10,,,,,,,,,65.0,20.0,50.0,40.0,,,,,,,,NEUTRAL
2016-06-13,,,,,,,,,65.0,25.0,50.0,40.0,,,,,,,,NEUTRAL
2016-06-14,,,,,,,,,60.0,30.0,55.0,45.0,,,,,,,,NEUTRAL
2016-06-15,,,,,,,,,60.0,35.0,55.0,45.0,,,,,,,,NEUTRAL
2016-06-16,,,,,,,,,55.0,40.0,50.0,50.0,,,,,,,,NEUTRAL
2016-06-17,,,,,,,,,50.0,45.0,55.0,50.0,,,,,,,,NEUTRAL
2016-06-20,,,,,,,,,45.0,50.0,60.0,55.0,,,,,,,,NEUTRAL
2016-06-21,,,,,,,,,40.0,55.0,55.0,60.0,,,,,,,,NEUTRAL
2016-06-22,,,,,,,,,40.0,60.0,60.0,60.0,,,,,,,,NEUTRAL
2016-06-23,,,,,,,,,40.0,65.0,65.0,60.0,,,,,,,,NEUTRAL
2016-06-24,,,,,,,,,35.0,70.0,70.0,65.0,,,,,,,,NEUTRAL
2016-06-27,,,,,,,,,35.0,75.0,70.0,60.0,,,,,,,,NEUTRAL
2016-06-28,,,,,,,,,30.0,80.0,70.0,55.0,,,,,,,,NEUTRAL
2016-06-29,,,,,,,,,30.0,80.0,70.0,55.0,,,,,,,,NEUTRAL
2016-06-30,,,,,,,,,35.0,85.0,65.0,50.0,,,,,,,,NEUTRAL
2016-07-01,,,,,,,,,35.0,85.0,65.0,50.0,,,,,,,,NEUTRAL
2016-07-04,,,,,,,,,40.0,85.0,60.0,45.0,,,,,,,,NEUTRAL
2016-07-05,,,,,,,,,40.0,80.0,55.0,50.0,,,,,,,,NEUTRAL
2016-07-07,,,,,,,,,40.0,75.0,55.0,55.0,,,,,,,,NEUTRAL
2016-07-08,-26.0,86.93,0.67,-3.76,,,,,40.0,75.0,50.0,55.0,-12.66,-3.76,-112.93,-8.9,0.0,,15.4,ACCUMULATION
2016-07-11,-22.6,85.88,-5.49,-6.69,,,,,45.0,80.0,50.0,55.0,-14.05,-6.69,-108.48,-7.36,0.0,,14.44,NEUTRAL
2016-07-12,-7.82,76.95,-23.14,-16.81,,,,,50.0,75.0,45.0,50.0,-15.48,-16.81,-84.77,1.33,0.0,,11.5,NEUTRAL
2016-07-13,5.52,72.97,-42.75,-26.45,,,,,55.0,70.0,40.0,45.0,-18.62,-26.45,-67.45,7.83,0.0,,8.93,NEUTRAL
2016-07-14,9.51,67.06,-41.5,-29.38,,,,,55.0,65.0,40.0,40.0,-16.0,-29.38,-57.55,13.38,0.0,,8.76,NEUTRAL
2016-07-15,11.26,62.5,-33.51,-31.91,,,,,55.0,60.0,45.0,40.0,-11.12,-31.91,-51.24,20.79,0.0,,10.07,NEUTRAL
2016-07-18,16.02,60.29,-39.48,-35.19,,,,,60.0,60.0,40.0,35.0,-11.73,-35.19,-44.27,23.46,0.0,,9.21,NEUTRAL
2016-07-19,22.31,53.12,-49.24,-36.86,,,,,65.0,55.0,40.0,30.0,-13.47,-36.86,-30.81,23.39,0.0,,6.54,NEUTRAL
2016-07-20,19.86,47.23,-36.94,-34.68,,,,,65.0,50.0,45.0,30.0,-8.54,-34.68,-27.37,26.14,0.0,,7.54,NEUTRAL
2016-07-21,20.81,41.68,-48.17,-30.19,,,,,65.0,45.0,40.0,35.0,-13.68,-30.19,-20.87,16.51,0.0,,3.58,NEUTRAL
2016-07-22,16.56,37.3,-47.66,-23.26,,,,,60.0,40.0,40.0,35.0,-15.55,-23.26,-20.74,7.71,0.0,,1.55,NEUTRAL
2016-07-25,19.93,32.79,-54.49,-23.22,,,,,60.0,40.0,40.0,35.0,-17.28,-23.22,-12.86,5.94,0.0,,-0.44,NEUTRAL
2016-07-26,17.21,22.48,-52.32,-15.84,,,,,55.0,40.0,40.0,40.0,-17.56,-15.84,-5.27,-1.72,0.0,,-3.16,NEUTRAL
2016-07-27,18.36,10.54,-34.52,-16.8,,,,,55.0,35.0,45.0,40.0,-8.08,-16.8,7.82,8.72,0.0,,-1.41,NEUTRAL
2016-07-28,9.43,6.11,-12.45,-10.44,,,,,50.0,35.0,50.0,40.0,-1.51,-10.44,3.32,8.93,0.0,,0.77,NEUTRAL
2016-07-29,-6.66,-26.31,16.33,15.19,,,,,45.0,30.0,55.0,45.0,4.83,15.19,19.65,-10.36,0.0,,-4.16,NEUTRAL
2016-08-01,-9.23,-21.64,17.99,15.65,,,,,40.0,30.0,55.0,45.0,4.38,15.65,12.41,-11.27,0.0,,-3.22,NEUTRAL
2016-08-02,-15.8,-19.72,25.49,20.44,,,,,35.0,30.0,60.0,50.0,4.84,20.44,3.92,-15.6,0.0,,-2.51,NEUTRAL
2016-08-03,-20.78,-20.77,37.15,23.48,,,,,35.0,30.0,65.0,50.0,8.18,23.48,-0.01,-15.3,0.0,,-1.1,NEUTRAL
2016-08-04,-15.06,-19.81,30.26,18.2,,,,,40.0,30.0,60.0,45.0,7.6,18.2,4.75,-10.6,0.0,,-1.15,NEUTRAL
2016-08-05,-12.87,-23.3,32.25,16.59,,,,,40.0,25.0,65.0,45.0,9.69,16.59,10.43,-6.9,0.0,,-0.98,NEUTRAL
2016-08-08,-16.11,-27.34,34.63,21.57,,,,,35.0,20.0,65.0,50.0,9.26,21.57,11.23,-12.31,0.0,,-2.2,NEUTRAL
2016-08-09,-25.25,-25.56,41.33,29.6,,,,,30.0,20.0,70.0,55.0,8.04,29.6,0.31,-21.56,0.0,,-2.37,NEUTRAL
2016-08-10,-31.63,-23.63,46.36,34.75,,,,,25.0,25.0,70.0,60.0,7.36,34.75,-8.0,-27.39,0.0,,-2.23,NEUTRAL
2016-08-11,-35.37,-20.28,49.32,36.73,,,,,25.0,30.0,70.0,65.0,6.98,36.73,-15.09,-29.75,0.0,,-1.58,NEUTRAL
2016-08-12,-32.67,-18.04,45.96,33.43,,,,,30.0,35.0,65.0,60.0,6.64,33.43,-14.63,-26.79,0.0,,-1.19,NEUTRAL
2016-08-16,-32.86,-20.29,53.81,32.3,,,,,30.0,30.0,70.0,60.0,10.48,32.3,-12.57,-21.82,0.0,,0.17,NEUTRAL
2016-08-17,-33.31,-18.6,47.03,33.97,,,,,30.0,35.0,65.0,65.0,6.86,33.97,-14.71,-27.11,0.0,,-1.22,NEUTRAL
2016-08-18,-28.53,-18.36,42.81,29.39,,,,,35.0,35.0,65.0,60.0,7.14,29.39,-10.17,-22.25,0.0,,-1.02,NEUTRAL
2016-08-19,-28.09,-19.46,49.13,27.44,,,,,35.0,35.0,65.0,55.0,10.52,27.44,-8.63,-16.92,0.0,,0.39,NEUTRAL
2016-08-22,-31.04,-18.55,51.79,29.65,,,,,35.0,35.0,65.0,60.0,10.38,29.65,-12.49,-19.27,0.0,,0.55,NEUTRAL
2016-08-23,-31.91,-21.13,50.6,32.1,,,,,35.0,30.0,65.0,60.0,9.35,32.1,-10.78,-22.75,0.0,,-0.61,NEUTRAL
2016-08-24,-30.54,-24.81,48.48,32.66,,,,,40.0,25.0,65.0,60.0,8.97,32.66,-5.73,-23.69,0.0,,-1.72,NEUTRAL
2016-08-25,-23.24,-17.32,33.2,25.24,,,,,45.0,30.0,60.0,60.0,4.98,25.24,-5.92,-20.26,0.0,,-1.84,NEUTRAL
2016-08-26,-19.03,-31.33,14.83,31.94,,,,,50.0,25.0,55.0,65.0,-2.1,31.94,12.3,-34.04,0.0,,-8.88,NEUTRAL
2016-08-29,-13.75,-27.71,5.46,26.88,,,,,55.0,25.0,50.0,65.0,-4.14,26.88,13.96,-31.02,0.0,,-9.0,NEUTRAL
2016-08-30,-5.04,-27.67,3.97,17.05,,,,,60.0,25.0,50.0,60.0,-0.53,17.05,22.63,-17.58,0.0,,-7.18,NEUTRAL
2016-08-31,12.37,-33.24,-7.28,2.43,,,,,65.0,25.0,45.0,55.0,2.54,2.43,45.61,0.11,0.0,,-7.04,NEUTRAL
2016-09-01,18.29,-28.89,-14.57,-4.31,,,,,65.0,25.0,45.0,55.0,1.86,-4.31,47.18,6.17,0.08,,-6.29,NEUTRAL
2016-09-02,15.54,-26.6,-7.09,-4.3,,,,,60.0,30.0,50.0,55.0,4.22,-4.3,42.14,8.52,0.18,,-4.54,NEUTRAL
2016-09-06,19.87,-23.35,-10.34,-9.9,,,,,60.0,30.0,45.0,55.0,4.77,-9.9,43.22,14.67,0.47,,-3.45,NEUTRAL
2016-09-07,16.25,-19.53,-10.25,-7.36,,,,,60.0,35.0,45.0,55.0,3.0,-7.36,35.78,10.36,0.22,,-3.38,NEUTRAL
2016-09-08,16.67,-15.97,-12.02,-8.95,,,,,60.0,40.0,45.0,55.0,2.33,-8.95,32.64,11.28,0.21,,-2.83,NEUTRAL
2016-09-09,10.56,-14.77,4.3,-7.12,,,,,60.0,40.0,50.0,55.0,7.43,-7.12,25.33,14.55,0.53,,0.02,NEUTRAL
2016-09-12,8.55,-16.31,1.82,-3.31,,,,,60.0,40.0,50.0,55.0,5.18,-3.31,24.86,8.49,0.17,,-1.49,NEUTRAL
2016-09-14,-0.02,-15.48,12.86,3.16,,,,,55.0,40.0,55.0,60.0,6.42,3.16,15.46,3.26,0.0,,-0.66,NEUTRAL
2016-09-15,-6.5,-7.02,7.05,8.74,,,,,50.0,45.0,50.0,65.0,0.27,8.74,0.52,-8.47,0.0,,-1.62,NEUTRAL
2016-09-16,-7.44,-7.13,12.78,8.19,,,,,45.0,45.0,55.0,60.0,2.67,8.19,-0.31,-5.52,0.0,,-0.45,NEUTRAL
2016-09-19,-9.87,-4.71,11.93,10.23,,,,,40.0,50.0,55.0,65.0,1.03,10.23,-5.16,-9.2,0.0,,-0.66,NEUTRAL
2016-09-20,-16.31,-5.44,22.72,14.95,,,,,35.0,50.0,60.0,70.0,3.2,14.95,-10.87,-11.75,0.0,,0.24,NEUTRAL
2016-09-21,-13.06,-4.68,15.59,12.89,,,,,35.0,55.0,55.0,70.0,1.26,12.89,-8.38,-11.63,0.0,,-0.54,NEUTRAL
2016-09-22,-10.22,1.2,17.35,6.37,,,,,35.0,60.0,55.0,65.0,3.57,6.37,-11.42,-2.8,0.0,,2.08,NEUTRAL
2016-09-23,-11.35,4.04,18.12,6.19,,,,,30.0,60.0,55.0,65.0,3.39,6.19,-15.39,-2.8,0.0,,2.7,NEUTRAL
2016-09-26,-27.56,-6.49,33.65,25.44,,,,,25.0,55.0,60.0,70.0,3.04,25.44,-21.07,-22.4,0.0,,-0.1,NEUTRAL
2016-09-27,-33.08,3.7,40.04,25.51,,,,,20.0,60.0,60.0,70.0,3.48,25.51,-36.78,-22.03,0.0,,2.66,NEUTRAL
2016-09-28,-36.31,1.67,47.61,27.98,,,,,15.0,60.0,60.0,70.0,5.65,27.98,-37.98,-22.33,0.0,,3.24,NEUTRAL
2016-09-29,-33.45,17.86,52.0,16.03,,,,,15.0,65.0,65.0,70.0,9.27,16.03,-51.31,-6.76,0.0,,9.1,NEUTRAL
2016-09-30,-51.55,21.21,64.41,32.38,,,,,10.0,65.0,70.0,75.0,6.43,32.38,-72.76,-25.95,0.0,,8.52,NEUTRAL
2016-10-03,-48.34,17.25,52.27,34.15,,,,,15.0,65.0,65.0,75.0,1.96,34.15,-65.59,-32.19,0.0,,5.29,NEUTRAL
2016-10-04,-46.16,13.5,47.42,34.8,,,,,20.0,60.0,60.0,80.0,0.63,34.8,-59.66,-34.17,0.0,,3.69,NEUTRAL
2016-10-05,-53.59,13.36,41.09,45.88,,,,,15.0,60.0,60.0,85.0,-6.25,45.88,-66.95,-52.13,0.0,,0.21,NEUTRAL
2016-10-06,-48.8,13.41,37.29,41.39,,,,,15.0,60.0,55.0,80.0,-5.75,41.39,-62.21,-47.14,0.0,,0.48,NEUTRAL
2016-10-07,-48.29,5.14,42.79,42.82,,,,,15.0,55.0,55.0,80.0,-2.75,42.82,-53.43,-45.57,0.0,,-0.09,NEUTRAL
2016-10-10,-41.43,0.69,31.39,40.02,,,,,15.0,50.0,55.0,80.0,-5.02,40.02,-42.12,-45.04,0.0,,-2.34,NEUTRAL
2016-10-13,-46.25,0.77,34.54,44.87,,,,,15.0,50.0,55.0,80.0,-5.86,44.87,-47.02,-50.73,0.0,,-2.74,NEUTRAL
2016-10-14,-36.89,-2.84,24.64,38.19,,,,,20.0,45.0,50.0,75.0,-6.12,38.19,-34.05,-44.31,0.0,,-3.77,NEUTRAL
2016-10-17,-31.95,-8.01,27.21,33.67,,,,,20.0,45.0,55.0,70.0,-2.37,33.67,-23.94,-36.04,0.0,,-3.19,NEUTRAL
2016-10-18,-28.76,-9.55,29.96,29.65,,,,,25.0,40.0,55.0,70.0,0.6,29.65,-19.21,-29.05,0.0,,-2.09,NEUTRAL
2016-10-19,-26.38,-14.39,23.55,30.79,,,,,30.0,35.0,50.0,70.0,-1.41,30.79,-11.99,-32.2,0.0,,-4.3,NEUTRAL
2016-10-20,-20.76,-10.94,16.5,24.68,,,,,35.0,40.0,50.0,65.0,-2.13,24.68,-9.82,-26.81,0.0,,-3.8,NEUTRAL
2016-10-21,-21.34,-13.68,20.03,25.46,,,,,35.0,35.0,55.0,65.0,-0.65,25.46,-7.66,-26.11,0.0,,-3.74,NEUTRAL
2016-10-24,-19.45,-22.48,9.68,30.08,,,,,35.0,30.0,50.0,70.0,-4.88,30.08,3.03,-34.96,0.0,,-8.06,NEUTRAL
2016-10-25,-21.64,-26.09,16.74,32.09,,,,,35.0,30.0,55.0,70.0,-2.45,32.09,4.45,-34.54,0.0,,-7.75,NEUTRAL
2016-10-26,-15.48,-24.47,5.84,27.27,,,,,35.0,30.0,50.0,70.0,-4.82,27.27,8.99,-32.09,0.0,,-8.53,NEUTRAL
2016-10-27,-13.76,-22.71,11.08,22.87,,,,,40.0,30.0,55.0,65.0,-1.34,22.87,8.95,-24.21,0.0,,-6.35,NEUTRAL
2016-10-28,-15.34,-33.52,8.82,30.06,,,,,40.0,30.0,55.0,65.0,-3.26,30.06,18.18,-33.32,0.0,,-10.01,NEUTRAL
2016-11-01,-25.39,-48.28,1.38,50.51,,,,,35.0,25.0,50.0,70.0,-12.0,50.51,22.89,-62.51,0.0,,-18.07,DISTRIBUTION
2016-11-02,-25.15,-42.36,1.81,47.44,,,,,35.0,30.0,50.0,70.0,-11.67,47.44,17.21,-59.11,0.0,,-16.42,DISTRIBUTION
2016-11-03,-31.06,-32.94,21.1,44.57,,,,,30.0,35.0,55.0,70.0,-4.98,44.57,1.88,-49.55,0.0,,-10.72,NEUTRAL
2016-11-04,-40.05,-28.55,39.92,47.66,,,,,25.0,40.0,60.0,70.0,-0.06,47.66,-11.5,-47.72,0.0,,-7.17,NEUTRAL
2016-11-07,-35.45,-27.93,46.66,39.89,,,,,30.0,45.0,60.0,65.0,5.6,39.89,-7.52,-34.29,0.0,,-4.18,NEUTRAL
2016-11-08,-34.06,-27.41,46.14,38.11,,,,,35.0,45.0,60.0,65.0,6.04,38.11,-6.65,-32.07,0.0,,-3.83,NEUTRAL
2016-11-09,-20.93,-20.15,38.48,21.78,,,,,40.0,50.0,60.0,60.0,8.77,21.78,-0.78,-13.01,0.0,,-0.65,NEUTRAL
2016-11-10,-16.09,-18.96,41.32,14.68,,,,,45.0,50.0,60.0,55.0,12.62,14.68,2.87,-2.06,0.0,,1.57,NEUTRAL
2016-11-11,-16.41,-22.31,36.46,17.91,,,,,45.0,45.0,60.0,55.0,10.02,17.91,5.9,-7.89,0.0,,-0.57,NEUTRAL
2016-11-15,-29.63,-13.78,48.49,26.24,,,,,40.0,50.0,65.0,60.0,9.43,26.24,-15.85,-16.81,0.0,,1.27,NEUTRAL
2016-11-16,-24.16,-5.64,36.76,19.84,,,,,45.0,50.0,60.0,60.0,6.3,19.84,-18.52,-13.54,0.0,,1.74,NEUTRAL
2016-11-17,-24.55,-10.75,31.0,24.2,,,,,45.0,50.0,55.0,65.0,3.22,24.2,-13.8,-20.98,0.0,,-1.08,NEUTRAL
2016-11-18,-23.4,-11.32,37.9,20.98,,,,,45.0,50.0,60.0,60.0,7.25,20.98,-12.08,-13.73,0.0,,0.8,NEUTRAL
2016-11-21,-14.29,-13.17,14.62,18.03,,,,,45.0,45.0,55.0,60.0,0.17,18.03,-1.12,-17.86,0.0,,-3.21,NEUTRAL
2016-11-22,-4.43,-11.87,11.23,6.86,,,,,50.0,45.0,50.0,55.0,3.4,6.86,7.44,-3.46,0.0,,-1.27,NEUTRAL
2016-11-23,4.03,-7.9,-0.12,-1.38,,,,,55.0,45.0,50.0,50.0,1.96,-1.38,11.93,3.34,0.03,,-1.0,NEUTRAL
2016-11-24,-1.44,-2.4,32.73,-7.2,,,,,55.0,50.0,50.0,45.0,15.64,-7.2,0.96,22.84,1.13,,7.22,NEUTRAL
2016-11-25,10.87,1.5,18.23,-18.99,,,,,60.0,55.0,50.0,40.0,14.55,-18.99,9.37,33.54,2.76,,7.65,NEUTRAL
2016-11-28,14.64,-9.29,7.85,-15.73,,,,,60.0,50.0,45.0,45.0,11.24,-15.73,23.93,26.97,1.77,,3.3,NEUTRAL
2016-11-29,25.42,3.15,-6.59,-29.32,,,,,65.0,50.0,45.0,40.0,9.42,-29.32,22.27,38.74,2.76,,5.5,NEUTRAL
2016-11-30,30.64,-3.31,-1.69,-34.22,,,,,70.0,50.0,45.0,35.0,14.48,-34.22,33.95,48.7,4.96,,6.41,NEUTRAL
