symbol,date,sentiment,sentiment_score,guidance_direction,guidance_score,capex_signal,capex_amount_cr,themes,key_statement,as_of_date,concall_score
AIRAN,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Airan Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listing Obligati,2026-07-03,0.0
AKG,2026-06-22,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Akg Exim Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listing Oblig,2026-07-03,0.0
ALIVUS,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
ALKEM,2026-06-29,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03,0.0
ALLCARGO,2026-07-01,NEUTRAL,0,NOT_GIVEN,0,NO,,,"Company provided a regulatory clarification regarding its financial results for the quarter ended March 31, 2026.",2026-07-03,0.0
ALLTIME,2026-06-22,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
ALPA,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Alpa Laboratories Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (List,2026-07-03,0.0
AMAGI,2026-07-01,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
AMBER,2026-06-25,BULLISH,1,RAISED,2,YES,5000.0,"CAPEX_CYCLE,POWER_TD",We are confident of delivering 25% revenue growth in FY27 driven by new order wins and a strong order book.,2026-07-03,1.6
AMIRCHAND,2026-07-01,NEUTRAL,0,NOT_GIVEN,0,NO,,,"Company provided a regulatory clarification regarding its financial results for the quarter ended March 31, 2026.",2026-07-03,0.0
ANANDRATHI,2026-07-02,NEUTRAL,0,NOT_GIVEN,0,NO,,,Company announced the schedule for the Q1 and FY27 earnings conference call.,2026-07-03,0.0
ANGELONE,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
ANIKINDS,2026-06-20,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
ANTELOPUS,2026-06-20,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
ANTGRAPHIC,2026-06-30,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Antarctica Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listing Obl,2026-07-03,0.0
ANUP,2026-07-01,NEUTRAL,0,NOT_GIVEN,0,NO,,,Company announced a schedule for an Analysts/Institutional Investor Meet.,2026-07-03,0.0
APLLTD,2026-06-19,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
APTUS,2026-06-19,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
ARCHIES,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company has clarified its financial results for the quarter ended 30-Sep-2025.,2026-07-03,0.0
ARE&M,2026-06-29,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03,0.0
ARIHANTSUP,2026-06-29,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03,0.0
ARSSINFRA,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from ARSS Infrastructure Projects Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the,2026-07-03,0.0
ASHAPURMIN,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03,0.0
ASIL,2026-07-01,NEUTRAL,0,NOT_GIVEN,0,NO,,,"Company provided a regulatory clarification regarding its financial results for the quarter ended June 30, 2025.",2026-07-03,0.0
ASKAUTOLTD,2026-06-22,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
ASTRAL,2026-07-01,NEUTRAL,0,NOT_GIVEN,0,NO,,,Transcript of analyst meet provided without specific forward-looking guidance or capex updates.,2026-07-03,0.0
ASTRON,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
ATCOM,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
ATHERENERG,2026-06-21,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
AUTOIND,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
AVG,2026-06-30,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals were extracted from the given description.,2026-07-03,0.0
AVONMORE,2026-06-25,BULLISH,1,RAISED,2,YES,5000.0,CAPEX_CYCLE,Management guided 25% revenue growth for FY27 driven by new order wins.,2026-07-03,1.6
AXISBANK,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
BAJAJHIND,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Bajaj Hindusthan Sugar Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI ,2026-07-03,0.0
BAJEL,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
BALAXI,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
BALKRISHNA,2026-07-01,NEUTRAL,0,NOT_GIVEN,0,NO,5000.0,,,2026-07-03,0.0
BALPHARMA,2026-06-22,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
BALRAMCHIN,2026-06-20,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
BALUFORGE,2026-06-29,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03,0.0
BANKINDIA,2026-06-30,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
BASML,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Bannari Amman Spinning Mills Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the,2026-07-03,0.0
BBOX,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
BCG,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
BEL,2026-06-19,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
BELRISE,2026-06-28,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
BESTAGRO,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
BFINVEST,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from BF Investment Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listing ,2026-07-03,0.0
BFUTILITIE,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
BGLOBAL,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Bharatiya Global Infomedia Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the S,2026-07-03,0.0
BGRENERGY,2026-07-01,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company has clarified its financial results for the quarter ended 31-Mar-2026.,2026-07-03,0.0
BHARATFORG,2026-06-26,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
BHARATIDIL,2026-06-27,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Bharati Defence and Infrastructure Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 ,2026-07-03,0.0
BILVYAPAR,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
BLAL,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific guidance or new information provided in the clarification response.,2026-07-03,0.0
BLUESTARCO,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
BLUESTONE,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03,0.0
BOHRAIND,2026-06-27,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Bohra Industries Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listi,2026-07-03,0.0
BORORENEW,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the update.,2026-07-03,0.0
BSE,2026-06-29,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03,0.0
BURNPUR,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
CAMLINFINE,2026-07-01,NEUTRAL,0,NOT_GIVEN,0,NO,,,Company provided general updates during the analyst and institutional investor meeting.,2026-07-03,0.0
CANDC,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company has clarified its financial results for the quarter ended 30-Sep-2025.,2026-07-03,0.0
CARERATING,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03,0.0
CARTRADE,2026-06-30,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the investor presentation.,2026-07-03,0.0
CEIGALL,2026-06-22,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
CGCL,2026-06-29,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the investor presentation.,2026-07-03,0.0
CGPOWER,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
CLEANMAX,2026-06-30,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
CMPDI,2026-06-22,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
CMRGREEN,2026-07-02,NEUTRAL,0,NOT_GIVEN,0,NO,,,No key statement available for this type of announcement.,2026-07-03,0.0
COFFEEDAY,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
CONCORDBIO,2026-06-19,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
CONFIPET,2026-06-20,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
COSMOFIRST,2026-06-22,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
CPEDU,2026-07-01,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
CREATIVEYE,2026-07-01,NEUTRAL,0,NOT_GIVEN,0,NO,,,Company provided a regulatory clarification to the exchange regarding its financial results.,2026-07-03,0.0
CREDITACC,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03,0.0
CROMPTON,2026-06-19,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
CURAA,2026-06-27,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Cura Technologies Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (List,2026-07-03,0.0
DAVANGERE,2026-06-27,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Davangere Sugar Company Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI,2026-07-03,0.0
DCI,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Dc Infotech And Communication Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of th,2026-07-03,0.0
DCM,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from DCM Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listing Obligation,2026-07-03,0.0
DCW,2026-07-01,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
DELPHIFX,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from DELPHI WORLD MONEY LIMITED for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Lis,2026-07-03,0.0
DENTA,2026-06-29,BULLISH,1,RAISED,2,YES,5000.0,INFRASTRUCTURE_BUILD,The company is expecting 25% revenue growth for FY27 driven by new order wins.,2026-07-03,1.6
DEVIT,2026-06-29,BULLISH,1,RAISED,2,YES,,CAPEX_CYCLE,Management expects 25% YoY growth in FY27 driven by new order wins.,2026-07-03,1.6
DHRUV,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company replied to the clarification sought by the exchange regarding financial results for the quarter ended 30-Sep-2025.,2026-07-03,0.0
DIACABS,2026-07-01,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03,0.0
DIGISPICE,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
DIVGIITTS,2026-06-29,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03,0.0
DIXON,2026-07-02,NEUTRAL,0,NOT_GIVEN,0,NO,,,Company conducted an analyst and institutional investor meet to provide business updates.,2026-07-03,0.0
DNAMEDIA,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Diligent Media Corporation Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the S,2026-07-03,0.0
DPWIRES,2026-06-27,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from D P Wires Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listing Obli,2026-07-03,0.0
DSKULKARNI,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from DS Kulkarni Developers Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI ,2026-07-03,0.0
DUCON,2026-06-30,BULLISH,1,RAISED,2,YES,,INFRASTRUCTURE_BUILD,The company is expecting a significant order inflow in the next 6-12 months.,2026-07-03,1.6
EASTSILK,2026-06-22,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
EBGNG,2026-07-02,NEUTRAL,0,NOT_GIVEN,0,NO,,,Company announced a schedule for an Analysts/Institutional Investor Meet.,2026-07-03,0.0
EIEL,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Enviro Infra Engineers Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI ,2026-07-03,0.0
ESAFSFB,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03,0.0
ESCORTS,2026-06-22,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
ESSARSHPNG,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific guidance or new information provided in the clarification response.,2026-07-03,0.0
ESSENTIA,2026-06-22,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
ESTER,2026-06-26,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
FABTECH,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
FCL,2026-06-19,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
FEDFINA,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03,0.0
FINKURVE,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company replied to the clarification sought by the exchange regarding financial results for the quarter ended 30-Sep-2025.,2026-07-03,0.0
FINPIPE,2026-07-01,NEUTRAL,0,NOT_GIVEN,0,NO,,,"Company provided a regulatory clarification regarding its financial results for the quarter ended March 31, 2026.",2026-07-03,0.0
FIRSTCRY,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Brainbees Solutions Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Li,2026-07-03,0.0
FISCHER,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Fischer Medical Ventures Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEB,2026-07-03,0.0
FIVESTAR,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
FLEXITUFF,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Flexituff Ventures International Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of,2026-07-03,0.0
FOSECOIND,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
FRACTAL,2026-06-25,BULLISH,1,NOT_GIVEN,0,NO,,,No key statement available as this is a general meeting update.,2026-07-03,0.4
FSL,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
GABRIEL,2026-06-22,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
GALAXYSURF,2026-06-22,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
GANDHAR,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific guidance or statements were provided during the analyst meet.,2026-07-03,0.0
GENUSPOWER,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03,0.0
GEOJITFSL,2026-06-30,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
GKSL,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Gujarat Kidney And Super Speciality Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33,2026-07-03,0.0
GLAND,2026-06-22,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
GLENMARK,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
GLOTTIS,2026-06-22,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
GOKEX,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
GOLDIAM,2026-07-01,NEUTRAL,0,NOT_GIVEN,0,NO,,,Company announced a schedule for an Analysts/Institutional Investor Meet.,2026-07-03,0.0
GRAPHITE,2026-06-30,NEUTRAL,0,NOT_GIVEN,0,NO,,,Graphite India Limited has informed the Exchange about Schedule of meet,2026-07-03,0.0
GRAVITA,2026-06-26,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
GRINDWELL,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
GUJENERGY,2026-06-22,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
GUJRAFFIA,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company has clarified its financial results for the quarter ended 30-Sep-2025.,2026-07-03,0.0
GUJTHEM,2026-06-29,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the investor presentation.,2026-07-03,0.0
GVKPIL,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from GVK Power & Infrastructure Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the S,2026-07-03,0.0
GVPIL,2026-07-01,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific information available for this analyst meet.,2026-07-03,0.0
HALDER,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,Exchange sought clarification from Halder Venture Limited for the quarter ended 31-Mar-2026.,2026-07-03,0.0
HDBFS,2026-06-26,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
HDFCAMC,2026-07-02,BULLISH,1,RAISED,2,NO,,"DIGITAL_INDIA,EXPORT_GROWTH",We are seeing a strong momentum in our digital offerings and expect this to drive growth in the coming quarters.,2026-07-03,1.6
HEADSUP,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Heads UP Ventures Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (List,2026-07-03,0.0
HEALTHX,2026-06-19,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
HEG,2026-06-30,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
HINDOILEXP,2026-06-19,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
HNDFDS,2026-06-29,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
HOMEFIRST,2026-07-01,NEUTRAL,0,NOT_GIVEN,0,NO,,BANKING_CREDIT,Company conducted an investor meet to provide business updates to analysts and institutional investors.,2026-07-03,0.0
HPL,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,5000.0,,,2026-07-03,0.0
IDEA,2026-06-30,BULLISH,1,NOT_GIVEN,0,NO,,,No key statement available as this is an investor presentation.,2026-07-03,0.4
IEX,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
IFGLEXPOR,2026-06-30,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the meet update.,2026-07-03,0.0
INA,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
INDIAMART,2026-06-30,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03,0.0
INDIANB,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
INDOWIND,2026-07-01,NEUTRAL,0,NOT_GIVEN,0,NO,,,"Company provided a regulatory clarification regarding its financial results for the quarter ended March 31, 2026.",2026-07-03,0.0
INFOBEAN,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific information available in the given description.,2026-07-03,0.0
INNOVISION,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
INTLCONV,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
IRIS,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
ISFT,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from Intrasoft Technologies Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI ,2026-07-03,0.0
ISHANCH,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company's financial results for the quarter ended 31-Mar-2025 are as per the records of the company.,2026-07-03,0.0
IVALUE,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
JBFIND,2026-06-29,NEUTRAL,0,NOT_GIVEN,0,NO,,,The Exchange has sought clarification from JBF Industries Limited for the quarter ended 31-Mar-2026 with respect to Regulation 33 of the SEBI (Listing,2026-07-03,0.0
JINDALSAW,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
JINDALSTEL,2026-06-22,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
JMA,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
JUBLINGREA,2026-06-23,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
JYOTHYLAB,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,No specific management signals or guidance provided in the announcement.,2026-07-03,0.0
JYOTICNC,2026-06-20,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
KALYANI,2026-06-30,NEUTRAL,0,NOT_GIVEN,0,NO,5000.0,,,2026-07-03,0.0
KDDL,2026-06-28,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company's financial results for the quarter ended 30-Sep-2025 are as per the records of the company.,2026-07-03,0.0
KIOCL,2026-06-25,BULLISH,1,RAISED,2,YES,5000.0,CAPEX_CYCLE,The company is planning to set up a new pellet plant at Paradip with an investment of Rs. 5000 crore.,2026-07-03,1.6
KIRLOSENG,2026-06-29,BULLISH,1,RAISED,2,YES,,CAPEX_CYCLE,Management expects 25% growth in FY27 driven by new order wins.,2026-07-03,1.6
KIRLOSIND,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,15000.0,,,2026-07-03,0.0
KISSHT,2026-06-22,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
KMEW,2026-06-21,BULLISH,1,RAISED,2,YES,,CAPEX_CYCLE,Management is optimistic about the order book and expects 25% revenue growth in FY27.,2026-07-03,1.6
KOHINOOR,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
KOTYARK,2026-06-24,NEUTRAL,0,NOT_GIVEN,0,NO,5000.0,,,2026-07-03,0.0
KRIDHANINF,2026-06-25,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company's financial results for the quarter ended 31-Mar-2025 are as per the records of the company.,2026-07-03,0.0
KRISHNADEF,2026-06-19,NEUTRAL,0,NOT_GIVEN,0,NO,,,,2026-07-03,0.0
KSHITIJPOL,2026-07-01,NEUTRAL,0,NOT_GIVEN,0,NO,,,The company has clarified its financial results for the quarter ended 31-Mar-2026.,2026-07-03,0.0
