symbol,ref_date,rsi_14,macd_hist,bb_pct_b,adx_14,vs_dma_200,vol_ratio,fwd_ret_20d,fwd_ret_45d,fwd_ret_60d,is_up_10_20d,is_up_15_45d,is_up_20_60d
20MICRONS,2025-08-07,,,,,,,-0.0172,-0.0835,-0.0769,0.0,0,0.0
20MICRONS,2025-08-22,,,,,,,-0.0256,-0.1066,-0.1675,0.0,0,0.0
20MICRONS,2025-09-08,,,,,,,-0.0837,-0.1405,-0.1765,0.0,0,0.0
20MICRONS,2025-09-22,,,,,,,-0.0704,-0.1768,-0.142,0.0,0,0.0
20MICRONS,2025-10-07,,,,,,,0.0251,-0.1027,0.0306,0.0,0,0.0
20MICRONS,2025-10-21,,,,,,,-0.0809,-0.0641,-0.1019,0.0,0,0.0
20MICRONS,2025-11-04,,,,,,,-0.1233,-0.0503,-0.2189,0.0,0,0.0
20MICRONS,2025-11-18,,,,,,,0.0042,-0.0933,-0.0685,0.0,0,0.0
20MICRONS,2025-12-02,,,,,,,0.1467,-0.0873,-0.0724,1.0,0,0.0
20MICRONS,2025-12-16,,,,,,,-0.0269,-0.0569,-0.148,0.0,0,0.0
20MICRONS,2025-12-30,,,,,,,-0.2231,-0.2165,-0.3223,0.0,0,0.0
20MICRONS,2026-01-13,,,,,,,-0.0467,-0.1965,-0.1889,0.0,0,0.0
20MICRONS,2026-01-27,,,,,,,0.0412,-0.211,0.0514,0.0,0,0.0
20MICRONS,2026-02-10,,,,,,,-0.0815,-0.1174,-0.0081,0.0,0,0.0
20MICRONS,2026-02-24,,,,,,,-0.1623,0.0152,-0.0599,0.0,0,0.0
20MICRONS,2026-03-10,,,,,,,-0.0737,0.0463,0.1002,0.0,0,0.0
20MICRONS,2026-03-24,,,,,,,0.2054,0.2868,0.2528,1.0,1,1.0
21STCENMGM,2025-04-15,,,,,,,-0.0338,-0.0955,-0.1575,0.0,0,0.0
21STCENMGM,2025-04-30,,,,,,,-0.0129,-0.184,-0.188,0.0,0,0.0
21STCENMGM,2025-05-15,,,,,,,-0.062,-0.1618,-0.1857,0.0,0,0.0
21STCENMGM,2025-05-29,,,,,,,-0.1555,-0.1861,-0.2273,0.0,0,0.0
21STCENMGM,2025-06-12,,,,,,,-0.0704,-0.1535,-0.1902,0.0,0,0.0
21STCENMGM,2025-06-26,,,,,,,-0.0258,-0.1461,-0.142,0.0,0,0.0
21STCENMGM,2025-07-10,,,,,,,-0.0661,-0.1368,-0.2026,0.0,0,0.0
21STCENMGM,2025-07-24,,,,,,,-0.0607,-0.1397,-0.1941,0.0,0,0.0
21STCENMGM,2025-08-07,,,,,,,-0.0672,-0.1783,-0.199,0.0,0,0.0
21STCENMGM,2025-08-22,,,,,,,-0.0623,-0.1852,-0.258,0.0,0,0.0
21STCENMGM,2025-09-08,,,,,,,-0.0847,-0.1423,-0.2579,0.0,0,0.0
21STCENMGM,2025-09-22,,,,,,,-0.0849,-0.2853,-0.111,0.0,0,0.0
21STCENMGM,2025-10-07,,,,,,,-0.0619,-0.1282,0.0322,0.0,0,0.0
21STCENMGM,2025-10-21,,,,,,,-0.1353,0.0552,-0.0593,0.0,0,0.0
21STCENMGM,2025-11-04,,,,,,,-0.1358,0.051,-0.1575,0.0,0,0.0
21STCENMGM,2025-11-18,,,,,,,0.1235,0.0118,-0.0493,1.0,0,0.0
21STCENMGM,2025-12-02,,,,,,,0.2732,-0.0284,-0.0784,1.0,0,0.0
21STCENMGM,2025-12-16,,,,,,,-0.0317,-0.1909,-0.2603,0.0,0,0.0
21STCENMGM,2025-12-30,,,,,,,-0.2343,-0.2969,-0.394,0.0,0,0.0
21STCENMGM,2026-01-13,,,,,,,-0.1261,-0.2701,-0.3673,0.0,0,0.0
21STCENMGM,2026-01-27,,,,,,,-0.0547,-0.2547,-0.131,0.0,0,0.0
21STCENMGM,2026-02-10,,,,,,,-0.1258,-0.2266,-0.0896,0.0,0,0.0
21STCENMGM,2026-02-24,,,,,,,-0.1628,-0.0177,-0.1568,0.0,0,0.0
21STCENMGM,2026-03-10,,,,,,,-0.1717,-0.0255,-0.0209,0.0,0,0.0
21STCENMGM,2026-03-24,,,,,,,0.098,0.0922,0.0466,0.0,0,0.0
360ONE,2024-03-12,53.5,-5.1007,0.4363,22.06,25.06,0.933,0.0151,0.0715,0.044,0.0,0,0.0
360ONE,2024-03-26,36.14,-6.9943,-0.0035,15.85,12.33,1.192,0.178,0.2238,0.2454,1.0,1,1.0
360ONE,2024-04-09,60.27,4.913,0.8427,20.46,21.65,1.205,0.0419,0.0857,0.3247,0.0,0,1.0
360ONE,2024-04-23,62.2,4.7723,0.7544,39.91,26.77,1.391,0.0242,0.0921,0.2803,0.0,0,1.0
360ONE,2024-05-07,47.56,-6.0223,0.2712,43.53,21.26,0.514,-0.0129,0.3305,0.4715,0.0,1,1.0
360ONE,2024-05-21,57.37,0.0757,0.5928,29.71,24.42,0.334,0.0322,0.2749,0.291,0.0,1,1.0
360ONE,2024-06-04,39.31,-5.7415,0.1409,22.81,14.72,1.223,0.2881,0.3442,0.4876,1.0,1,1.0
360ONE,2024-06-18,57.69,1.2259,0.729,15.91,22.96,1.484,0.211,0.3566,0.3224,1.0,1,1.0
360ONE,2024-07-02,70.89,15.568,0.9173,32.35,40.66,2.064,0.1574,0.1496,0.1322,1.0,0,0.0
360ONE,2024-07-16,61.93,-0.8829,0.7115,41.82,40.02,0.482,0.0328,0.1068,-0.0043,0.0,0,0.0
360ONE,2024-07-30,72.87,4.7578,1.2113,44.67,52.24,1.142,-0.0021,-0.0803,-0.0705,0.0,0,0.0
360ONE,2024-08-13,51.68,-9.2022,0.4264,41.76,35.08,0.596,0.0574,0.1006,0.0233,0.0,0,0.0
360ONE,2024-08-27,62.34,1.3962,0.744,41.61,41.68,0.71,-0.0197,-0.0682,-0.0316,0.0,0,0.0
360ONE,2024-09-10,50.56,-4.5889,0.3435,31.59,33.41,0.762,-0.0882,-0.0302,0.08,0.0,0,0.0
360ONE,2024-09-24,50.38,-4.9433,0.3057,20.36,30.87,1.179,-0.0498,0.0126,0.1607,0.0,0,0.0
360ONE,2024-10-08,39.78,-11.7901,0.0944,18.7,16.07,1.593,0.0613,0.2272,0.2849,0.0,1,1.0
360ONE,2024-10-22,45.7,5.0843,0.4067,18.06,18.97,1.153,0.0397,0.2064,0.0992,0.0,1,0.0
360ONE,2024-11-05,48.06,0.5832,0.3821,13.44,17.53,0.43,0.116,0.1745,-0.0226,1.0,1,0.0
360ONE,2024-11-19,53.48,1.6762,0.7641,8.42,18.1,0.76,0.1749,0.128,-0.0714,1.0,0,0.0
360ONE,2024-12-03,66.52,9.1781,1.0117,20.08,25.48,1.698,0.0848,-0.1473,-0.1022,0.0,0,0.0
360ONE,2024-12-17,71.92,10.314,1.0127,31.89,32.42,0.955,-0.1001,-0.2933,-0.3239,0.0,0,0.0
360ONE,2024-12-31,63.9,-0.5954,0.7213,41.7,28.88,0.985,-0.1927,-0.2162,-0.2259,0.0,0,0.0
360ONE,2025-01-14,38.35,-22.8902,0.0488,33.26,12.79,0.835,-0.1217,-0.1775,-0.1667,0.0,0,0.0
360ONE,2025-01-28,29.2,-18.007,-0.0774,25.46,-0.52,1.111,0.0251,-0.1616,-0.0267,0.0,0,0.0
360ONE,2025-02-11,33.74,-4.7334,0.2385,32.08,-3.86,1.027,-0.1446,0.071,0.0274,0.0,0,0.0
360ONE,2025-02-25,53.5,14.5695,0.8387,29.45,-0.01,1.59,-0.0646,-0.1208,-0.013,0.0,0,0.0
360ONE,2025-03-12,28.73,-7.5329,-0.0078,23.05,-19.12,1.038,0.1091,0.1722,0.2777,1.0,1,1.0
360ONE,2025-03-27,52.75,12.4632,0.6533,18.04,-7.79,1.321,0.0151,0.1056,0.1991,0.0,0,0.0
360ONE,2025-04-15,52.52,0.506,0.6648,19.77,-10.85,1.064,0.083,0.1872,0.2724,0.0,1,1.0
360ONE,2025-04-30,54.42,8.4624,0.6999,14.37,-6.43,1.012,0.0396,0.244,0.1344,0.0,1,0.0
360ONE,2025-05-15,59.67,4.764,0.8163,11.21,-3.24,0.597,0.0637,0.1859,0.048,0.0,1,0.0
360ONE,2025-05-29,58.1,3.1304,0.7807,9.09,-2.3,0.684,0.1364,0.027,0.0513,1.0,0,0.0
360ONE,2025-06-12,63.64,4.7394,0.9314,14.76,3.22,1.788,0.1045,-0.0397,-0.0383,1.0,0,0.0
360ONE,2025-06-26,63.6,3.7949,0.7927,24.09,10.88,0.721,-0.0397,-0.1151,-0.0983,0.0,0,0.0
360ONE,2025-07-10,58.22,-3.2659,0.6067,27.19,13.03,0.784,-0.108,-0.0966,-0.1047,0.0,0,0.0
360ONE,2025-07-24,40.52,-15.566,-0.0594,21.0,5.05,2.706,-0.0367,-0.0804,0.0508,0.0,0,0.0
360ONE,2025-08-07,37.63,-8.7019,0.2767,26.41,0.08,0.237,-0.0238,0.0575,0.0129,0.0,0,0.0
360ONE,2025-08-22,48.05,7.0953,0.7105,23.26,1.13,0.921,-0.0252,0.0874,0.0004,0.0,0,0.0
360ONE,2025-09-08,43.63,0.4155,0.3916,18.85,-2.39,0.866,0.0283,0.0288,0.1182,0.0,0,0.0
360ONE,2025-09-22,44.94,4.0476,0.4084,17.37,-1.25,0.776,0.119,0.0663,0.079,1.0,0,0.0
360ONE,2025-10-07,54.47,2.9747,0.6289,17.47,1.23,0.695,0.0091,0.0454,0.1143,0.0,0,0.0
360ONE,2025-10-21,70.8,12.8362,0.886,28.91,11.84,1.385,-0.0829,0.0054,-0.0328,0.0,0,0.0
360ONE,2025-11-04,40.48,-12.5657,0.1382,28.76,3.0,0.824,0.0777,0.1,0.0321,0.0,0,0.0
360ONE,2025-11-18,44.51,-4.5065,0.3354,29.66,3.27,0.871,0.0514,0.0479,0.0783,0.0,0,0.0
360ONE,2025-12-02,59.65,8.5843,0.8027,24.66,10.64,0.9,0.0247,0.004,-0.0426,0.0,0,0.0
360ONE,2025-12-16,51.04,-2.0848,0.4036,20.01,6.91,0.619,0.003,-0.0078,-0.0685,0.0,0,0.0
360ONE,2025-12-30,60.88,3.524,0.8848,26.56,11.25,1.1,-0.0654,-0.0981,-0.1698,0.0,0,0.0
360ONE,2026-01-13,42.87,-7.8067,0.1516,26.34,4.94,1.594,0.0225,-0.0822,-0.1826,0.0,0,0.0
360ONE,2026-01-27,42.11,-7.0218,0.2118,17.45,1.64,1.164,-0.0003,-0.1473,-0.0048,0.0,0,0.0
360ONE,2026-02-10,53.98,2.7806,0.7439,12.4,5.34,0.51,-0.0917,-0.1315,-0.0789,0.0,0,0.0
360ONE,2026-02-24,45.61,-1.7137,0.2525,10.47,0.11,0.653,-0.1115,-0.0669,-0.0135,0.0,0,0.0
360ONE,2026-03-10,39.07,-6.0257,0.1222,18.78,-5.37,0.898,-0.1199,0.0211,0.0316,0.0,0,0.0
360ONE,2026-03-24,33.43,-4.126,0.0487,24.99,-11.25,0.972,0.1203,0.1375,0.1459,1.0,0,0.0
3IINFOLTD,2024-03-12,29.6,-0.6571,0.0425,25.61,3.56,0.911,-0.022,-0.1215,-0.2616,0.0,0,0.0
3IINFOLTD,2024-03-26,32.88,0.0095,0.1613,39.38,-6.83,0.852,-0.0102,-0.0472,-0.0717,0.0,0,0.0
3IINFOLTD,2024-04-09,44.84,0.6892,0.5767,27.4,-0.5,0.774,-0.1195,-0.1112,-0.1418,0.0,0,0.0
3IINFOLTD,2024-04-23,35.5,-0.1745,0.2099,28.92,-9.32,0.935,-0.0129,-0.0606,-0.0219,0.0,0,0.0
3IINFOLTD,2024-05-07,30.64,-0.0411,0.0289,23.53,-13.54,0.812,-0.1425,0.0583,-0.0019,0.0,0,0.0
3IINFOLTD,2024-05-21,45.79,0.3127,0.4556,20.7,-11.45,0.755,-0.0499,-0.0509,-0.1269,0.0,0,0.0
3IINFOLTD,2024-06-04,23.51,-0.4304,-0.2498,25.89,-26.58,1.344,0.1367,0.069,0.0991,1.0,0,0.0
3IINFOLTD,2024-06-18,48.02,0.3047,0.5265,17.97,-16.17,0.754,0.0429,-0.0382,-0.0885,0.0,0,0.0
3IINFOLTD,2024-07-02,47.56,0.0448,0.4844,12.05,-16.25,0.699,0.024,-0.0676,-0.1037,0.0,0,0.0
3IINFOLTD,2024-07-16,50.42,0.0118,0.5116,17.28,-12.19,0.638,-0.1188,-0.1275,-0.2063,0.0,0,0.0
3IINFOLTD,2024-07-30,47.0,-0.135,0.2707,12.51,-13.98,0.655,-0.0558,-0.1088,-0.2739,0.0,0,0.0
3IINFOLTD,2024-08-13,31.27,-0.309,0.0664,18.25,-22.34,0.877,-0.0081,-0.1014,-0.1678,0.0,0,0.0
3IINFOLTD,2024-08-27,47.36,0.2535,0.5909,15.1,-18.32,0.868,-0.073,-0.2327,-0.2399,0.0,0,0.0
3IINFOLTD,2024-09-10,37.76,-0.1337,0.2252,12.75,-21.65,0.743,-0.092,-0.155,-0.1339,0.0,0,0.0
3IINFOLTD,2024-09-24,36.04,-0.0215,0.2368,8.54,-22.06,0.735,-0.1705,-0.1852,-0.0243,0.0,0,0.0
3IINFOLTD,2024-10-08,32.15,-0.1972,-0.0863,13.31,-26.42,1.067,-0.076,-0.0043,-0.0684,0.0,0,0.0
3IINFOLTD,2024-10-22,21.4,-0.2814,-0.0388,22.32,-32.06,0.799,-0.0115,0.0586,0.0378,0.0,0,0.0
3IINFOLTD,2024-11-05,40.78,0.1924,0.4029,32.92,-27.19,0.771,0.0323,0.0888,-0.0729,0.0,0,0.0
3IINFOLTD,2024-11-19,36.65,0.0036,0.2417,28.32,-27.69,0.788,0.1899,0.0375,0.0334,1.0,0,0.0
3IINFOLTD,2024-12-03,56.86,0.3449,0.7764,24.21,-19.37,1.457,-0.0233,-0.0024,-0.1149,0.0,0,0.0
3IINFOLTD,2024-12-17,63.96,0.4532,0.8131,36.05,-8.99,1.779,-0.1176,-0.2264,-0.2886,0.0,0,0.0
3IINFOLTD,2024-12-31,41.09,-0.3623,0.2232,22.4,-18.06,0.347,-0.0805,-0.1525,-0.2167,0.0,0,0.0
3IINFOLTD,2025-01-14,43.99,-0.3452,0.277,21.9,-16.77,0.384,-0.0157,-0.1901,-0.2141,0.0,0,0.0
3IINFOLTD,2025-01-28,35.35,-0.2762,0.1227,17.93,-21.79,0.296,-0.0143,-0.1395,-0.1035,0.0,0,0.0
3IINFOLTD,2025-02-11,44.93,0.1444,0.3742,19.48,-15.2,1.065,-0.1808,-0.085,-0.0501,0.0,0,0.0
3IINFOLTD,2025-02-25,40.09,-0.1843,0.2368,17.86,-20.21,0.336,-0.1357,-0.1266,-0.0157,0.0,0,0.0
3IINFOLTD,2025-03-12,33.25,-0.1058,0.0995,24.8,-27.77,0.939,-0.0253,0.0988,0.1485,0.0,0,0.0
3IINFOLTD,2025-03-27,37.72,0.0733,0.1902,28.78,-28.07,1.592,0.0523,0.1151,0.1611,0.0,0,0.0
3IINFOLTD,2025-04-15,45.56,0.0937,0.4619,26.28,-26.23,0.535,0.1896,0.1096,0.0937,1.0,0,0.0
3IINFOLTD,2025-04-30,49.53,0.2227,0.5944,22.43,-20.33,0.762,0.0821,0.0584,0.0393,0.0,0,0.0
3IINFOLTD,2025-05-15,67.81,0.2788,1.1249,24.65,-7.71,1.292,-0.0096,-0.0203,-0.1208,0.0,0,0.0
3IINFOLTD,2025-05-29,56.4,0.0162,0.6455,29.87,-10.17,0.639,0.0196,-0.0388,-0.0539,0.0,0,0.0
3IINFOLTD,2025-06-12,58.87,0.0761,0.8033,33.96,-5.44,1.682,-0.0718,-0.1432,-0.098,0.0,0,0.0
3IINFOLTD,2025-06-26,54.52,-0.0557,0.6075,25.84,-5.34,0.691,-0.058,-0.1101,-0.0474,0.0,0,0.0
3IINFOLTD,2025-07-10,40.08,-0.1518,0.1464,16.21,-9.36,0.924,-0.0437,0.0229,-0.1688,0.0,0,0.0
3IINFOLTD,2025-07-24,43.54,-0.0181,0.3052,15.16,-8.11,0.71,-0.015,-0.1277,-0.2026,0.0,0,0.0
3IINFOLTD,2025-08-07,36.3,-0.1098,0.1801,18.02,-11.09,0.56,0.0161,-0.147,-0.2491,0.0,0,0.0
3IINFOLTD,2025-08-22,55.21,0.0957,0.7553,25.79,-7.62,1.166,0.0266,-0.1318,-0.2618,0.0,0,0.0
3IINFOLTD,2025-09-08,52.29,0.111,0.7696,18.64,-8.01,1.001,-0.1446,-0.2769,-0.2824,0.0,0,0.0
3IINFOLTD,2025-09-22,55.35,0.1324,0.663,35.4,-3.74,1.509,-0.2114,-0.3019,-0.3381,0.0,0,0.0
3IINFOLTD,2025-10-07,28.4,-0.3996,-0.0419,30.49,-19.49,1.005,-0.1361,-0.2016,-0.1721,0.0,0,0.0
3IINFOLTD,2025-10-21,29.8,-0.1068,0.2604,35.06,-21.29,0.6,-0.0882,-0.096,-0.2102,0.0,0,0.0
3IINFOLTD,2025-11-04,29.76,-0.1125,0.028,29.72,-27.41,2.143,-0.029,-0.0434,-0.1581,0.0,0,0.0
3IINFOLTD,2025-11-18,39.24,0.1768,0.3748,24.02,-24.94,0.781,-0.0795,-0.1516,-0.0721,0.0,0,0.0
3IINFOLTD,2025-12-02,33.1,0.0742,0.2261,20.66,-26.11,0.606,-0.0131,-0.1008,-0.1592,0.0,0,0.0
3IINFOLTD,2025-12-16,31.69,0.037,0.1416,25.71,-27.59,0.811,-0.059,-0.0684,-0.184,0.0,0,0.0
3IINFOLTD,2025-12-30,45.6,0.1168,0.5512,19.24,-24.33,0.85,-0.1215,-0.1813,-0.1758,0.0,0,0.0
3IINFOLTD,2026-01-13,31.45,-0.1439,0.0049,16.93,-29.77,1.82,0.0713,-0.1598,0.0059,0.0,0,0.0
3IINFOLTD,2026-01-27,29.27,-0.0488,0.1829,12.24,-31.47,0.607,-0.0303,-0.0536,0.2139,0.0,0,1.0
3IINFOLTD,2026-02-10,60.96,0.1727,1.2675,13.09,-22.03,1.027,-0.1905,-0.0099,0.053,0.0,0,0.0
3IINFOLTD,2026-02-24,35.11,-0.1048,0.0201,14.82,-30.8,1.128,-0.0326,0.2582,0.2489,0.0,1,1.0
3IINFOLTD,2026-03-10,28.39,-0.0914,0.1827,19.48,-33.66,0.821,0.1599,0.3328,0.3252,1.0,1,1.0
3IINFOLTD,2026-03-24,47.74,0.1298,0.6642,17.02,-28.92,1.672,0.294,0.272,0.294,1.0,1,1.0
3MINDIA,2024-03-12,46.1,44.8546,0.5176,16.41,0.62,0.55,-0.0257,-0.0637,0.0489,0.0,0,0.0
3MINDIA,2024-03-26,47.55,141.3668,0.5245,14.28,-1.0,0.786,-0.024,0.1124,0.2159,0.0,0,1.0
3MINDIA,2024-04-09,42.96,-2.4666,0.3566,14.99,-2.95,0.999,-0.0141,0.1856,0.2948,0.0,1,1.0
3MINDIA,2024-04-23,44.83,11.3832,0.3477,18.55,-4.16,0.567,0.0598,0.2725,0.303,0.0,1,1.0
3MINDIA,2024-05-07,43.5,1.9936,0.3395,13.73,-4.86,1.532,0.0921,0.3509,0.3367,0.0,1,1.0
3MINDIA,2024-05-21,67.68,255.5452,1.0637,19.78,1.04,1.524,0.1755,0.2206,0.1733,1.0,1,0.0
3MINDIA,2024-06-04,56.69,261.8455,0.6776,32.98,3.23,1.654,0.2026,0.1769,0.1087,1.0,1,0.0
3MINDIA,2024-06-18,73.12,282.5044,0.8929,33.89,17.67,0.481,0.046,-0.0484,-0.0469,0.0,0,0.0
3MINDIA,2024-07-02,70.84,-41.5507,0.8874,39.79,22.16,1.235,0.0178,-0.082,-0.0947,0.0,0,0.0
3MINDIA,2024-07-16,59.07,-212.3146,0.5918,37.89,20.21,0.527,-0.0457,-0.0785,-0.1252,0.0,0,0.0
3MINDIA,2024-07-30,61.89,-139.8666,0.8065,22.9,21.28,1.162,-0.0942,-0.1306,-0.1454,0.0,0,0.0
3MINDIA,2024-08-13,41.88,-276.7443,0.0807,15.51,11.98,0.592,-0.0451,-0.0812,-0.0416,0.0,0,0.0
3MINDIA,2024-08-27,43.36,-160.3019,0.3338,19.68,7.84,1.019,-0.018,-0.0655,-0.1106,0.0,0,0.0
3MINDIA,2024-09-10,43.77,46.9935,0.4463,18.76,5.5,1.462,-0.04,-0.0122,-0.1198,0.0,0,0.0
3MINDIA,2024-09-24,45.39,79.5852,0.4233,17.97,4.55,0.948,-0.0392,-0.0987,-0.1162,0.0,0,0.0
3MINDIA,2024-10-08,38.24,-67.7776,0.1012,24.85,0.56,0.755,0.0455,-0.0779,-0.104,0.0,0,0.0
3MINDIA,2024-10-22,41.99,9.0717,0.2741,19.78,0.36,0.949,-0.0574,-0.0842,-0.1424,0.0,0,0.0
3MINDIA,2024-11-05,57.58,291.2181,0.8128,22.06,5.05,1.284,-0.123,-0.1271,-0.1711,0.0,0,0.0
3MINDIA,2024-11-19,31.89,-401.1664,0.0841,23.69,-5.63,1.187,-0.0242,-0.0959,-0.1364,0.0,0,0.0
3MINDIA,2024-12-03,35.11,-48.0955,0.2468,22.0,-8.1,1.221,-0.0227,-0.0754,-0.1483,0.0,0,0.0
3MINDIA,2024-12-17,38.83,98.0697,0.2632,18.24,-8.1,0.657,-0.0677,-0.143,-0.1021,0.0,0,0.0
3MINDIA,2024-12-31,35.06,16.1996,0.0342,22.37,-10.36,0.742,-0.0328,-0.0859,-0.0823,0.0,0,0.0
3MINDIA,2025-01-14,31.1,-101.132,-0.1213,18.38,-14.35,1.69,-0.0508,-0.0362,0.0469,0.0,0,0.0
3MINDIA,2025-01-28,44.68,30.0378,0.3571,12.97,-13.22,1.016,-0.099,-0.0364,0.0243,0.0,0,0.0
3MINDIA,2025-02-11,31.61,-118.8378,-0.0506,14.81,-18.53,1.458,0.0145,0.0887,0.0731,0.0,0,0.0
3MINDIA,2025-02-25,32.06,-31.5969,0.1671,26.81,-21.38,0.486,0.053,0.1077,0.0877,0.0,0,0.0
3MINDIA,2025-03-12,52.98,249.1298,0.8486,21.73,-16.38,0.801,0.0871,0.0814,0.0458,0.0,0,0.0
3MINDIA,2025-03-27,50.02,106.4877,0.5935,18.47,-15.63,0.895,0.0795,0.0623,0.0256,0.0,0,0.0
3MINDIA,2025-04-15,64.48,146.9838,1.2712,21.56,-6.82,1.023,-0.027,-0.0497,-0.0212,0.0,0,0.0
3MINDIA,2025-04-30,58.75,13.1117,0.7092,27.88,-6.34,1.0,-0.0432,-0.0462,0.0521,0.0,0,0.0
3MINDIA,2025-05-15,52.98,-119.4768,0.3843,18.38,-6.75,1.365,-0.0113,0.0147,0.0824,0.0,0,0.0
3MINDIA,2025-05-29,41.39,-106.9595,0.0623,17.86,-7.91,1.278,-0.0071,0.0675,0.0604,0.0,0,0.0
3MINDIA,2025-06-12,46.0,-51.8517,0.2837,15.82,-5.64,0.704,0.0174,0.0383,0.0549,0.0,0,0.0
3MINDIA,2025-06-26,40.22,-80.4167,0.2028,22.45,-6.68,1.023,0.1075,0.094,0.0479,1.0,0,0.0
3MINDIA,2025-07-10,62.95,147.8252,1.0357,20.42,-1.96,1.661,0.076,0.0281,-0.0212,0.0,0,0.0
3MINDIA,2025-07-24,80.65,248.3091,1.039,21.35,5.14,1.887,-0.0357,-0.0898,-0.0597,0.0,0,0.0
3MINDIA,2025-08-07,71.3,19.7731,0.993,22.96,6.76,1.418,-0.0364,-0.0906,0.1214,0.0,0,0.0
3MINDIA,2025-08-22,48.64,-104.4425,0.2538,21.83,2.57,0.795,-0.0188,-0.0329,0.1813,0.0,0,0.0
3MINDIA,2025-09-08,52.02,-47.4992,0.5278,15.23,4.09,0.975,-0.0559,0.1686,0.127,0.0,1,0.0
3MINDIA,2025-09-22,40.74,-99.733,0.041,12.65,1.38,0.845,-0.0062,0.1773,0.18,0.0,1,0.0
3MINDIA,2025-10-07,39.1,-53.9528,0.2328,20.32,-1.19,0.801,0.2327,0.185,0.2123,1.0,1,1.0
3MINDIA,2025-10-21,52.86,110.3325,0.9409,16.23,1.36,0.8,0.2115,0.1752,0.1747,1.0,1,0.0
3MINDIA,2025-11-04,84.93,472.289,1.5,17.24,22.04,3.513,-0.0316,-0.0241,-0.0783,0.0,0,0.0
3MINDIA,2025-11-18,80.22,229.256,0.7372,42.96,21.39,0.203,-0.02,-0.0752,0.0428,0.0,0,0.0
3MINDIA,2025-12-02,57.21,-329.7912,0.0222,36.35,15.63,0.126,0.0155,0.0079,0.0324,0.0,0,0.0
3MINDIA,2025-12-16,59.78,-89.8956,0.6647,22.92,16.18,0.794,-0.0106,0.0187,-0.0394,0.0,0,0.0
3MINDIA,2025-12-30,56.7,-93.7362,0.7648,17.74,14.47,1.206,-0.0628,0.0109,-0.1057,0.0,0,0.0
3MINDIA,2026-01-13,50.46,-96.8265,0.4723,17.76,12.2,1.036,0.0754,-0.0539,-0.1639,0.0,0,0.0
3MINDIA,2026-01-27,36.47,-224.4647,0.0766,17.97,5.12,0.763,0.0847,-0.0893,-0.045,0.0,0,0.0
3MINDIA,2026-02-10,69.36,355.2943,1.1439,22.05,18.62,1.621,-0.0972,-0.1695,-0.1384,0.0,0,0.0
3MINDIA,2026-02-24,51.2,-41.4102,0.5047,16.73,11.85,0.556,-0.1203,-0.0729,-0.1133,0.0,0,0.0
3MINDIA,2026-03-10,41.18,-356.0329,0.1092,15.09,5.02,0.643,-0.1388,-0.0876,-0.0402,0.0,0,0.0
