symbol,price,so9_degree,so9_nearest,so9_r1,so9_s1,all_resistance,all_support,computed_date
ADSL,125.74,353.41,East,125.74,114.78,125.74|137.2|149.17|161.63|174.59,114.78|104.31|94.35|84.89|75.92,2026-07-15
ADVAIT,2184.3,267.57,South,2231.29,2137.81,2231.29|2278.77|2326.76|2375.25|2424.23,2137.81|2091.83|2046.34|2001.35|1956.87,2026-07-15
ADVANCE,113.67,254.09,South,113.67,103.26,113.67|124.58|135.99|147.9|160.32,103.26|93.35|83.94|75.02|66.61,2026-07-15
ADVANIHOTR,52.86,3.69,East,60.38,45.84,60.38|68.4|76.92|85.94|95.46,45.84|39.32|33.3|27.78|22.76,2026-07-15
ADVENTHTL,151.47,190.32,West,164.03,139.41,164.03|177.08|190.64|204.7|219.26,139.41|127.86|116.8|106.24|96.18,2026-07-15
ADVENZYMES,331.45,172.04,West,349.91,313.49,349.91|368.86|388.32|408.27|428.73,313.49|296.04|279.08|262.63|246.67,2026-07-15
AEGISLOG,1293.6,129.0,Northwest,1329.82,1293.6,1329.82|1366.53|1403.75|1441.47|1479.68,1293.6|1257.88|1222.67|1187.95|1153.73,2026-07-15
AEGISVOPAK,303.3,29.79,Northeast,303.3,286.13,303.3|320.97|339.13|357.8|376.96,286.13|269.47|253.3|237.64|222.47,2026-07-15
AEPL,16.78,152.34,Northwest,21.13,16.78,21.13|25.97|31.32|37.17|43.51,16.78|15.24|12.93|11.58|9.59,2026-07-15
AEQUS,244.69,70.66,North,244.69,229.3,244.69|260.58|276.98|293.87|311.26,229.3|214.4|200.01|186.12|172.73,2026-07-15
AEROENTER,120.97,314.75,Southeast,120.97,110.22,120.97|132.22|143.97|156.22|168.96,110.22|99.97|90.22|80.98|72.23,2026-07-15
AEROFLEX,421.5,230.48,Southwest,442.28,421.5,442.28|463.56|485.34|507.62|530.4,421.5|401.22|381.44|362.16|343.38,2026-07-15
AERONEU,88.34,26.81,Northeast,97.99,88.34,97.99|108.14|118.79|129.94|141.58,88.34|79.19|70.54|62.39|54.74,2026-07-15
AETHER,1452.8,155.81,Northwest,1491.17,1452.8,1491.17|1530.03|1569.4|1609.26|1649.63,1452.8|1414.93|1377.57|1340.7|1304.34,2026-07-15
AFCONS,299.0,7.49,East,316.54,281.96,316.54|334.58|353.12|372.17|391.71,281.96|265.42|249.38|233.83|218.79,2026-07-15
AFFLE,1539.3,357.1,East,1539.3,1500.32,1539.3|1578.78|1618.77|1659.25|1700.24,1500.32|1461.83|1423.85|1386.36|1349.38,2026-07-15
AFSL,202.28,175.05,West,216.75,188.31,216.75|231.73|247.2|263.17|279.64,188.31|174.83|161.86|149.39|137.42,2026-07-15
AGARIND,527.5,309.13,Southeast,550.72,504.78,550.72|574.43|598.65|623.37|648.59,504.78|482.57|460.85|439.63|418.91,2026-07-15
AGARWALEYE,497.85,191.26,West,520.41,497.85,520.41|543.48|567.04|591.1|615.66,497.85|475.79|454.22|433.16|412.6,2026-07-15
AGI,698.1,210.88,Southwest,724.77,671.93,724.77|751.94|779.61|807.79|836.46,671.93|646.26|621.09|596.41|572.24,2026-07-15
AGIIL,349.2,258.64,South,368.14,330.76,368.14|387.57|407.51|427.95|448.88,330.76|312.83|295.39|278.45|262.02,2026-07-15
AGROPHOS,30.28,45.49,Northeast,30.28,25.03,30.28|36.03|42.29|49.04|56.29,25.03|20.27|16.02|15.98|12.27,2026-07-15
AHCL,15.39,121.14,Northwest,19.56,12.79,19.56|24.24|29.41|35.08|41.26,12.79|11.72|9.47|8.54|6.64,2026-07-15
AHLADA,38.56,172.74,West,45.02,32.6,45.02|51.98|59.44|67.4|75.86,32.6|27.14|22.18|17.72|13.76,2026-07-15
AHLEAST,142.32,122.36,Northwest,154.5,130.64,154.5|167.18|180.36|194.04|208.22,130.64|119.46|108.78|98.6|88.92,2026-07-15
AHLUCONT,861.6,18.54,East,891.2,832.5,891.2|921.31|951.91|983.01|1014.62,832.5|803.89|775.79|748.19|721.08,2026-07-15
AIAENG,4732.0,277.12,South,4801.04,4663.46,4801.04|4870.58|4940.62|5011.16|5082.2,4663.46|4595.42|4527.88|4460.84|4394.3,2026-07-15
AIIL,520.0,279.63,South,543.05,497.45,543.05|566.61|590.66|615.21|640.27,497.45|475.39|453.84|432.79|412.23,2026-07-15
AIRAN,15.72,128.67,Northwest,19.93,12.5,19.93|24.65|29.86|35.58|41.79,12.5|12.01|9.21|8.79|6.43,2026-07-15
AIROLAM,87.03,14.22,East,96.61,77.95,96.61|106.69|117.27|128.35|139.92,77.95|69.37|61.29|53.71|46.64,2026-07-15
AJANTPHARM,3421.4,223.69,Southwest,3480.14,3363.16,3480.14|3539.39|3599.13|3659.37|3720.11,3363.16|3305.41|3248.17|3191.43|3135.19,2026-07-15
AJAXENGG,599.7,222.98,Southwest,624.44,575.46,624.44|649.68|675.42|701.66|728.39,575.46|551.72|528.48|505.74|483.51,2026-07-15
AJMERA,136.74,79.85,North,148.68,136.74,148.68|161.13|174.07|187.51|201.46,136.74|125.3|114.35|103.91|93.97,2026-07-15
AJOONI,3.67,119.83,Northwest,3.67,2.51,3.67|5.84|8.5|11.67|15.33,2.51|2.0|1.18|0.84|0.34,2026-07-15
AKASH,27.2,353.77,East,32.67,22.23,32.67|38.63|45.1|52.06|59.53,22.23|18.36|17.77|14.32|13.8,2026-07-15
AKCAPIT,1763.3,133.5,Northwest,1805.54,1721.56,1805.54|1848.28|1891.52|1935.27|1979.51,1721.56|1680.32|1639.58|1599.33|1559.59,2026-07-15
AKG,10.83,7.36,East,14.37,10.83,14.37|18.41|22.95|27.99|33.53,10.83|10.3|7.79|7.34|5.25,2026-07-15
AKI,4.68,164.4,West,7.09,4.68,7.09|10.01|13.42|17.33|21.75,4.68|3.37|2.77|1.79|1.35,2026-07-15
AKSHAR,0.43,253.03,South,1.34,0.12,1.34|2.74|4.65|7.05|9.96,0.12|0.02,2026-07-15
AKUMS,683.85,162.09,West,710.25,657.95,710.25|737.15|764.55|792.45|820.85,657.95|632.55|607.65|583.25|559.35,2026-07-15
ALANKIT,8.07,286.34,South,11.16,7.07,11.16|14.75|18.84|23.43|28.52,7.07|5.48|4.66|3.39|2.75,2026-07-15
ALBERTDAVD,702.3,225.17,Southwest,729.05,676.05,729.05|756.3|784.05|812.3|841.05,676.05|650.3|625.05|600.3|576.05,2026-07-15
ALEMBICLTD,89.84,41.11,Northeast,99.57,89.84,99.57|109.8|120.53|131.75|143.48,89.84|80.61|71.88|63.65|55.93,2026-07-15
ALGOQUANT,61.32,104.53,North,69.4,53.74,69.4|77.98|87.06|96.64|106.72,53.74|46.66|40.08|34.0|28.42,2026-07-15
ALICON,637.65,0.31,East,637.65,612.65,637.65|663.15|689.15|715.66|742.66,612.65|588.15|564.14|540.64|517.64,2026-07-15
ALIVUS,1160.0,145.58,Northwest,1160.0,1126.19,1160.0|1194.31|1229.12|1264.43|1300.24,1126.19|1092.88|1060.07|1027.76|995.96,2026-07-15
ALKEM,5567.0,245.22,Southwest,5641.86,5567.0,5641.86|5717.22|5793.09|5869.45|5946.31,5567.0|5492.64|5418.78|5345.41|5272.55,2026-07-15
ALKYLAMINE,1903.5,68.24,North,1947.38,1903.5,1947.38|1991.76|2036.64|2082.02|2127.9,1903.5|1860.12|1817.24|1774.86|1732.98,2026-07-15
ALLCARGO,8.15,288.87,South,11.25,7.0,11.25|14.86|18.96|23.57|28.67,7.0|5.55|4.6|3.44|2.71,2026-07-15
ALLDIGI,832.85,289.65,South,861.96,804.24,861.96|891.57|921.68|952.29|983.4,804.24|776.13|748.52|721.41|694.8,2026-07-15
ALLTIME,235.25,15.82,East,250.84,235.25,250.84|266.93|283.51|300.6|318.19,235.25|220.16|205.57|191.49|177.9,2026-07-15
ALMONDZ,13.02,64.5,Northeast,16.88,13.02,16.88|21.24|26.09|31.45|37.31,13.02|11.5|9.66|8.36|6.8,2026-07-15
ALOKINDS,12.79,58.74,Northeast,16.62,11.72,16.62|20.94|25.77|31.1|36.92,11.72|9.46|8.55|6.64|5.87,2026-07-15
ALPA,68.91,189.22,West,77.46,60.86,77.46|86.51|96.06|106.11|116.67,60.86|53.31|46.26|39.71|33.65,2026-07-15
ALPHAGEO,199.92,160.08,West,214.31,186.03,214.31|229.2|244.59|260.48|276.87,186.03|172.64|159.75|147.36|135.47,2026-07-15
AMAGI,583.2,161.92,West,583.2,559.3,583.2|607.6|632.5|657.9|683.8,559.3|535.9|513.0|490.6|468.7,2026-07-15
AMBALALSA,31.38,63.32,Northeast,37.23,31.38,37.23|43.58|50.44|57.79|65.64,31.38|26.03|21.18|16.82|15.2,2026-07-15
AMBER,7771.0,162.59,West,7859.4,7771.0,7859.4|7948.31|8037.71|8127.61|8218.02,7771.0|7683.1|7595.69|7508.79|7422.39,2026-07-15
AMBICAAGAR,24.66,308.86,Southeast,24.66,20.56,24.66|29.88|35.59|41.81|48.52,20.56|19.94|16.27|15.73|12.49,2026-07-15
AMBIKCO,1735.2,73.03,North,1777.11,1693.79,1777.11|1819.51|1862.42|1905.82|1949.73,1693.79|1652.89|1612.48|1572.58|1533.17,2026-07-15
AMBUJACEM,432.15,276.88,South,453.19,411.61,453.19|474.73|496.76|519.3|542.34,411.61|391.57|372.04|353.0|334.46,2026-07-15
AMDIND,45.89,274.36,South,52.91,39.37,52.91|60.44|68.46|76.99|86.01,39.37|33.34|27.82|22.79|18.27,2026-07-15
AMIRCHAND,179.8,28.61,Northeast,193.46,166.64,193.46|207.62|222.28|237.44|253.09,166.64|153.98|141.82|130.16|119.01,2026-07-15
AMJLAND,38.18,167.22,West,44.61,32.25,44.61|51.54|58.97|66.9|75.32,32.25|26.82|21.89|17.46|13.54,2026-07-15
AMNPLST,206.84,203.75,Southwest,221.47,206.84,221.47|236.6|252.24|268.37|285.0,206.84|192.71|179.08|165.94|153.31,2026-07-15
AMRUTANJAN,540.45,359.56,East,563.95,517.45,563.95|587.95|612.44|637.44|662.94,517.45|494.95|472.96|451.46|430.46,2026-07-15
ANANDRATHI,2117.7,138.33,Northwest,2163.97,2071.93,2163.97|2210.74|2258.01|2305.77|2354.04,2071.93|2026.66|1981.89|1937.63|1893.86,2026-07-15
ANANTRAJ,589.15,184.03,West,613.67,589.15,613.67|638.69|664.22|690.24|716.76,589.15|565.13|541.61|518.58|496.06,2026-07-15
ANDHRAPAP,61.76,109.58,North,69.87,54.15,69.87|78.48|87.59|97.2|107.3,54.15|47.04|40.43|34.32|28.72,2026-07-15
ANDHRSUGAR,85.95,3.77,East,95.47,76.93,95.47|105.49|116.01|127.03|138.55,76.93|68.41|60.39|52.87|45.85,2026-07-15
ANGELONE,340.25,215.26,Southwest,358.95,340.25,358.95|378.14|397.84|418.03|438.73,340.25|322.05|304.36|287.16|270.47,2026-07-15
ANMOL,10.93,10.09,East,10.93,10.2,10.93|14.49|18.54|23.1|28.15,10.2|7.87|7.26|5.32|4.81,2026-07-15
ANTELOPUS,847.6,335.44,Southeast,876.96,847.6,876.96|906.83|937.19|968.05|999.42,847.6|818.74|790.37|762.51|735.15,2026-07-15
ANTGRAPHIC,0.78,293.97,Southeast,1.91,0.38,1.91|3.55|5.68|8.31|11.45,0.38|0.15|0.01,2026-07-15
ANTHEM,747.65,16.77,East,747.65,720.56,747.65|775.24|803.34|831.93|861.02,720.56|693.96|667.87|642.28|617.18,2026-07-15
ANUHPHR,78.77,292.54,South,78.77,70.14,78.77|87.9|97.52|107.65|118.27,70.14|62.02|54.39|47.27|40.64,2026-07-15
ANUP,2178.9,257.16,South,2178.9,2132.47,2178.9|2225.83|2273.26|2321.19|2369.61,2132.47|2086.54|2041.11|1996.19|1951.76,2026-07-15
ANURAS,1269.7,68.91,North,1305.58,1234.32,1305.58|1341.97|1378.85|1416.23|1454.11,1234.32|1199.43|1165.05|1131.17|1097.79,2026-07-15
APARINDS,13847.0,76.19,North,13847.0,13729.58,13847.0|13964.92|14083.35|14202.27|14321.69,13729.58|13612.65|13496.23|13380.31|13264.88,2026-07-15
APCL,105.0,179.45,West,115.5,105.0,115.5|126.49|137.99|149.99|162.48,105.0|95.0|85.51|76.51|68.01,2026-07-15
APCOTEXIND,519.35,277.07,South,519.35,496.81,519.35|542.39|565.93|589.97|614.51,496.81|474.77|453.23|432.19|411.65,2026-07-15
APEX,413.25,194.14,West,413.25,393.17,413.25|433.83|454.91|476.49|498.56,393.17|373.59|354.51|335.94|317.86,2026-07-15
APLAPOLLO,1828.7,272.39,South,1828.7,1786.19,1828.7|1871.71|1915.23|1959.24|2003.75,1786.19|1744.17|1702.66|1661.65|1621.13,2026-07-15
APLLTD,831.05,284.03,South,860.13,802.47,860.13|889.71|919.78|950.36|981.44,802.47|774.39|746.82|719.74|693.16,2026-07-15
APOLLO,402.85,147.8,Northwest,423.17,383.03,423.17|443.99|465.31|487.13|509.46,383.03|363.71|344.89|326.57|308.74,2026-07-15
APOLLOHOSP,8782.5,83.7,North,8876.46,8782.5,8876.46|8970.93|9065.89|9161.36|9257.32,8782.5|8689.04|8596.07|8503.61|8411.64,2026-07-15
APOLLOPIPE,511.35,245.35,Southwest,534.21,488.99,534.21|557.58|581.44|605.8|630.67,488.99|467.12|445.76|424.9|404.53,2026-07-15
APOLLOTYRE,440.6,313.29,Southeast,461.84,419.86,461.84|483.58|505.82|528.56|551.8,419.86|399.62|379.88|360.64|341.9,2026-07-15
APOLSINHOT,1219.7,301.36,Southeast,1254.87,1185.03,1254.87|1290.55|1326.72|1363.4|1400.57,1185.03|1150.85|1117.18|1084.0|1051.33,2026-07-15
APTUS,289.5,317.65,Southeast,306.76,272.74,306.76|324.53|342.79|361.56|380.82,272.74|256.47|240.71|225.44|210.68,2026-07-15
AQYLON,39.35,184.13,West,45.87,33.33,45.87|52.9|60.42|68.44|76.96,33.33|27.8|22.78|18.26|14.24,2026-07-15
ARCHIDPLY,80.2,306.98,Southeast,89.41,71.49,89.41|99.11|109.32|120.02|131.23,71.49|63.29|55.58|48.38|41.67,2026-07-15
ARCHIES,14.41,98.29,North,14.41,13.72,14.41|18.46|23.0|28.05|33.59,13.72|10.86|10.27|7.82|7.31,2026-07-15
ARE&M,909.05,162.08,West,909.05,879.15,909.05|939.45|970.35|1001.75|1033.65,879.15|849.75|820.85|792.45|764.55,2026-07-15
ARENTERP,36.9,148.42,Northwest,43.22,31.08,43.22|50.05|57.37|65.2|73.52,31.08|25.75|20.93|16.6|12.78,2026-07-15
ARFIN,87.15,15.37,East,96.74,78.06,96.74|106.82|117.41|128.49|140.08,78.06|69.48|61.39|53.81|46.72,2026-07-15
ARIES,346.35,244.89,Southwest,365.21,346.35,365.21|384.57|404.43|424.79|445.65,346.35|327.99|310.13|292.77|275.91,2026-07-15
ARIHANT,816.65,238.88,Southwest,845.48,788.32,845.48|874.8|904.63|934.96|965.79,788.32|760.5|733.17|706.34|680.01,2026-07-15
ARIHANTCAP,73.95,242.9,Southwest,82.8,65.6,82.8|92.15|102.0|112.35|123.2,65.6|57.75|50.4|43.55|37.2,2026-07-15
ARIHANTSUP,262.9,173.55,West,262.9,246.94,262.9|279.36|296.33|313.79|331.76,246.94|231.47|216.51|202.04|188.08,2026-07-15
ARIS,109.17,215.72,Southwest,109.17,98.97,109.17|119.87|131.07|142.77|154.96,98.97|89.27|80.07|71.38|63.18,2026-07-15
ARKADE,140.85,111.24,North,152.97,140.85,152.97|165.59|178.7|192.32|206.44,140.85|129.23|118.11|107.5|97.38,2026-07-15
ARMANFIN,1965.8,195.72,West,1965.8,1921.71,1965.8|2010.39|2055.47|2101.06|2147.15,1921.71|1878.13|1835.04|1792.45|1750.36,2026-07-15
AROGRANITE,25.7,327.51,Southeast,31.02,20.88,31.02|36.84|43.16|49.98|57.3,20.88|19.63|16.56|15.45|12.74,2026-07-15
ARSSBL,580.85,153.15,Northwest,605.2,557.0,605.2|630.05|655.4|681.25|707.6,557.0|533.65|510.8|488.45|466.6,2026-07-15
ARTEMISMED,277.4,252.96,South,294.31,260.99,294.31|311.71|329.62|348.02|366.93,260.99|245.09|229.68|214.78|200.37,2026-07-15
ARTNIRMAN,41.54,215.13,Southwest,41.54,35.34,41.54|48.24|55.43|63.13|71.32,35.34|29.65|24.45|19.76|15.56,2026-07-15
ARVEE,158.0,237.56,Southwest,170.82,145.68,170.82|184.14|197.96|212.28|227.1,145.68|133.86|122.54|111.72|101.4,2026-07-15
ARVIND,544.35,14.64,East,567.93,521.27,567.93|592.01|616.59|641.68|667.26,521.27|498.69|476.61|455.02|433.94,2026-07-15
ARVINDFASN,474.85,97.39,North,496.89,453.31,496.89|519.43|542.47|566.01|590.06,453.31|432.27|411.73|391.69|372.14,2026-07-15
ARVSMART,615.1,279.22,South,615.1,590.55,615.1|640.15|665.7|691.75|718.3,590.55|566.5|542.95|519.9|497.34,2026-07-15
ASAHIINDIA,924.0,206.53,Southwest,954.65,893.85,954.65|985.79|1017.44|1049.59|1082.24,893.85|864.21|835.06|806.41|778.26,2026-07-15
ASAHISONG,283.95,288.15,South,301.05,267.35,301.05|318.65|336.75|355.35|374.45,267.35|251.25|235.65|220.55|205.95,2026-07-15
ASAL,523.75,294.41,Southeast,546.89,501.11,546.89|570.52|594.66|619.29|644.43,501.11|478.98|457.34|436.21|415.57,2026-07-15
ASALCBR,829.25,278.41,South,858.3,800.7,858.3|887.84|917.89|948.44|979.48,800.7|772.66|745.11|718.06|691.52,2026-07-15
ASHAPURMIN,703.5,229.24,Southwest,703.5,677.23,703.5|730.27|757.55|785.32|813.59,677.23|651.45|626.18|601.41|577.13,2026-07-15
ASHIANA,376.0,25.33,Northeast,376.0,356.86,376.0|395.64|415.78|436.42|457.56,356.86|338.22|320.08|302.44|285.3,2026-07-15
ASHIKA,399.35,132.07,Northwest,419.58,379.62,419.58|440.32|461.55|483.28|505.52,379.62|360.38|341.65|323.42|305.68,2026-07-15
ASHIMASYN,14.85,108.64,North,18.95,14.85,18.95|23.56|28.66|34.26|40.37,14.85|13.3|11.25|9.9|8.14,2026-07-15
ASHOKA,132.16,44.3,Northeast,143.91,120.91,143.91|156.15|168.9|182.14|195.89,120.91|110.17|99.92|90.18|80.93,2026-07-15
ASHOKAMET,14.81,107.71,North,18.91,14.81,18.91|23.51|28.61|34.2|40.3,14.81|13.33|11.21|9.93|8.11,2026-07-15
ASHOKLEY,159.22,246.28,Southwest,172.09,146.85,172.09|185.46|199.32|213.69|228.56,146.85|134.98|123.62|112.75|102.38,2026-07-15
ASIANENE,339.8,213.06,Southwest,358.48,321.62,358.48|377.67|397.35|417.53|438.22,321.62|303.93|286.75|270.07|253.88,2026-07-15
ASIANHOTNR,316.55,97.53,North,334.59,316.55,334.59|353.13|372.18|391.72|411.76,316.55|299.01|281.97|265.42|249.38,2026-07-15
ASIANPAINT,2652.1,44.74,Northeast,2703.85,2600.85,2703.85|2756.1|2808.85|2862.09|2915.84,2600.85|2550.1|2499.85|2450.11|2400.86,2026-07-15
ASIANTILES,48.43,307.65,Southeast,48.43,41.72,48.43|55.64|63.35|71.56|80.27,41.72|35.51|29.8|24.59|19.88,2026-07-15
ASKAUTOLTD,470.35,78.76,North,492.29,470.35,492.29|514.73|537.66|561.1|585.04,470.35|448.91|427.97|407.54|387.6,2026-07-15
ASPINWALL,251.1,107.3,North,267.2,235.5,267.2|283.79|300.89|318.48|336.58,235.5|220.41|205.81|191.72|178.12,2026-07-15
ASTAR,600.0,224.08,Southwest,624.74,575.76,624.74|649.99|675.73|701.98|728.72,575.76|552.01|528.77|506.02|483.78,2026-07-15
ASTEC,686.65,171.72,West,713.1,686.65,713.1|740.06|767.51|795.47|823.92,686.65|660.7|635.24|610.29|585.83,2026-07-15
ASTERDM,814.9,233.36,Southwest,843.7,786.6,843.7|872.99|902.79|933.09|963.88,786.6|758.81|731.51|704.71|678.42,2026-07-15
ASTRAL,1330.9,221.67,Southwest,1367.63,1330.9,1367.63|1404.86|1442.59|1480.83|1519.56,1330.9|1294.67|1258.94|1223.71|1188.97,2026-07-15
