symbol,latest_date,dominant_type,score_30d,count_30d,count_90d,high_signal_30d
IDFCFIRSTB,2026-08-13,PRESS_RELEASE,1067,18,30,6
NIITMTS,2026-08-15,ANALYST_MEET,1065,18,37,8
KFINTECH,2026-08-14,PRESS_RELEASE,1065,17,48,7
MFSL,2026-08-15,PRESS_RELEASE,1065,18,30,5
BRIGADE,2026-08-14,PRESS_RELEASE,1065,20,44,4
HOMEFIRST,2026-08-13,ANALYST_MEET,1062,14,47,10
KIRLPNU,2026-08-07,PRESS_RELEASE,1060,19,41,5
SKYGOLD,2026-08-17,ANALYST_MEET,1060,14,44,10
MPHASIS,2026-08-14,PRESS_RELEASE,1055,18,38,6
MASTEK,2026-08-17,PRESS_RELEASE,1055,17,30,7
GREENPLY,2026-08-06,PRESS_RELEASE,1055,17,29,6
ZAGGLE,2026-08-15,PRESS_RELEASE,1054,16,32,7
SAREGAMA,2026-08-14,PRESS_RELEASE,1050,15,31,8
ANUP,2026-08-13,PRESS_RELEASE,1047,17,37,6
MOL,2026-08-15,PRESS_RELEASE,1046,16,26,8
ARVINDFASN,2026-08-14,PRESS_RELEASE,1045,18,29,5
TTKPRESTIG,2026-08-14,ANALYST_MEET,1045,21,49,7
CANHLIFE,2026-08-13,ANALYST_MEET,1045,16,24,8
GRINFRA,2026-08-13,PRESS_RELEASE,1045,17,34,6
KPIL,2026-08-14,ANALYST_MEET,1044,19,45,9
MONTECARLO,2026-08-10,ANALYST_MEET,1042,15,22,9
ALIVUS,2026-08-13,ANALYST_MEET,1040,17,23,8
MAXHEALTH,2026-08-17,PRESS_RELEASE,1035,20,57,5
UJJIVANSFB,2026-08-17,ANALYST_MEET,1035,15,39,9
INDIAGLYCO,2026-08-14,PRESS_RELEASE,1035,18,28,4
JSWDULUX,2026-08-14,MANAGEMENT_CHANGE,1035,20,40,5
ACMESOLAR,2026-08-13,PRESS_RELEASE,1029,16,41,8
EICHERMOT,2026-08-14,PRESS_RELEASE,1027,16,46,7
NUVAMA,2026-08-06,ANALYST_MEET,1027,16,35,7
UGROCAP,2026-08-17,ANALYST_MEET,1027,14,28,9
APOLLOTYRE,2026-08-14,PRESS_RELEASE,1025,17,39,6
PARKHOSPS,2026-08-08,ANALYST_MEET,1022,15,28,10
RUBICON,2026-08-15,PRESS_RELEASE,1020,18,33,4
LUPIN,2026-08-17,ANALYST_MEET,1020,15,43,8
DEEDEV,2026-08-12,PRESS_RELEASE,1020,15,52,7
ICEMAKE,2026-08-14,PRESS_RELEASE,1020,21,31,5
REDINGTON,2026-08-14,ANALYST_MEET,1020,15,30,9
PDSL,2026-08-14,ANALYST_MEET,1020,17,37,8
EMKAY,2026-08-12,PRESS_RELEASE,1019,20,39,3
TEXRAIL,2026-08-14,ANALYST_MEET,1018,15,52,10
GRWRHITECH,2026-08-14,PRESS_RELEASE,1015,16,31,6
BAJAJ-AUTO,2026-08-05,ANALYST_MEET,1015,15,47,9
TEMBO,2026-08-14,PRESS_RELEASE,1015,19,43,3
PERSISTENT,2026-08-17,ANALYST_MEET,1015,16,77,8
JUBLINGREA,2026-08-04,PRESS_RELEASE,1015,16,34,6
SKIPPER,2026-08-17,PRESS_RELEASE,1010,17,45,6
ZEEL,2026-08-17,PRESS_RELEASE,1010,17,37,4
KEI,2026-08-14,ANALYST_MEET,1007,15,28,8
TATACAP,2026-08-12,ANALYST_MEET,1005,17,43,7
SURAJEST,2026-08-17,FUNDRAISE,1005,15,30,9
TATAPOWER,2026-08-11,PRESS_RELEASE,1000,15,40,8
UNIPARTS,2026-08-17,ANALYST_MEET,1000,14,36,10
AADHARHFC,2026-08-14,ANALYST_MEET,1000,16,34,7
VOGL,2026-08-17,ANALYST_MEET,1000,18,29,8
ASTRAMICRO,2026-08-17,ANALYST_MEET,997,16,34,8
SKFINDUS,2026-08-14,MANAGEMENT_CHANGE,995,17,22,5
FINKURVE,2026-08-14,PRESS_RELEASE,995,17,47,5
LTFOODS,2026-08-16,ANALYST_MEET,995,14,28,9
MEDIASSIST,2026-08-14,PRESS_RELEASE,995,17,24,6
BLUSPRING,2026-08-12,PRESS_RELEASE,992,16,29,5
RVNL,2026-08-14,PRESS_RELEASE,992,17,38,5
CAMPUS,2026-08-17,PRESS_RELEASE,990,16,38,6
SMLMAH,2026-08-08,PRESS_RELEASE,990,18,43,6
PGIL,2026-08-13,PRESS_RELEASE,990,19,35,5
DEEPAKFERT,2026-08-11,ANALYST_MEET,990,15,40,7
BLUESTONE,2026-08-17,PRESS_RELEASE,987,17,33,6
GRASIM,2026-08-17,PRESS_RELEASE,987,16,50,7
GPIL,2026-08-13,PRESS_RELEASE,985,17,43,7
ORIENTELEC,2026-08-14,PRESS_RELEASE,985,16,28,6
NETWEB,2026-08-17,ANALYST_MEET,985,16,24,7
POLYMED,2026-08-17,PRESS_RELEASE,985,18,47,5
RSWM,2026-08-14,PRESS_RELEASE,985,16,24,5
BRITANNIA,2026-08-14,ANALYST_MEET,985,16,32,7
CHAMBLFERT,2026-08-12,PRESS_RELEASE,985,16,72,6
SIGNATURE,2026-08-13,PRESS_RELEASE,985,16,26,5
GHCL,2026-08-07,ANALYST_MEET,982,13,57,9
NATIONALUM,2026-08-14,PRESS_RELEASE,980,17,26,6
ESAFSFB,2026-08-14,PRESS_RELEASE,980,16,33,6
FABTECH,2026-08-03,PRESS_RELEASE,980,17,39,7
SIS,2026-08-15,PRESS_RELEASE,980,15,36,8
ADSL,2026-08-13,PRESS_RELEASE,980,16,40,6
GANDHAR,2026-08-17,PRESS_RELEASE,980,19,46,7
METROBRAND,2026-08-13,ANALYST_MEET,980,14,43,9
HUDCO,2026-08-12,PRESS_RELEASE,980,17,28,6
STERTOOLS,2026-08-14,PRESS_RELEASE,980,17,25,5
NRBBEARING,2026-08-13,ANALYST_MEET,977,16,31,7
TIMETECHNO,2026-08-13,ANALYST_MEET,977,14,34,9
AEROFLEX,2026-08-10,ANALYST_MEET,975,15,33,9
CRISIL,2026-08-12,PRESS_RELEASE,975,15,24,7
HGINFRA,2026-08-17,PRESS_RELEASE,970,16,46,6
CRAFTSMAN,2026-08-10,ANALYST_MEET,970,16,56,8
ONGC,2026-08-17,PRESS_RELEASE,970,16,43,6
GLAXO,2026-08-14,ANALYST_MEET,970,16,28,6
TIPSMUSIC,2026-08-12,PRESS_RELEASE,970,14,26,8
SAMHI,2026-08-13,PRESS_RELEASE,967,16,28,5
IMFA,2026-08-12,ANALYST_MEET,965,17,34,6
ADANIENT,2026-08-13,ACQUISITION,965,14,43,9
GREENLAM,2026-08-17,ANALYST_MEET,965,14,35,9
MANINFRA,2026-08-17,PRESS_RELEASE,961,18,35,4
PIIND,2026-08-14,ANALYST_MEET,960,15,40,8
TATVA,2026-08-11,ANALYST_MEET,960,12,25,10
PNGJL,2026-08-15,PRESS_RELEASE,960,15,21,5
AMBER,2026-08-17,MANAGEMENT_CHANGE,960,16,43,7
IIFLCAPS,2026-08-17,PRESS_RELEASE,960,17,30,6
REDTAPE,2026-08-14,PRESS_RELEASE,960,15,37,6
CREATIVEYE,2026-08-14,MANAGEMENT_CHANGE,960,18,31,2
KTKBANK,2026-08-17,PRESS_RELEASE,960,15,44,5
ELECTCAST,2026-08-14,ANALYST_MEET,960,16,28,6
SOMANYCERA,2026-08-17,ANALYST_MEET,960,15,42,8
ENTERO,2026-08-17,PRESS_RELEASE,960,15,46,6
JGCHEM,2026-08-13,ANALYST_MEET,956,13,19,10
IMAGICAA,2026-08-17,PRESS_RELEASE,955,16,20,6
J&KBANK,2026-08-11,ANALYST_MEET,955,14,31,8
INDGN,2026-08-17,ANALYST_MEET,955,15,31,8
AARON,2026-08-17,PRESS_RELEASE,955,16,22,6
V2RETAIL,2026-08-17,MANAGEMENT_CHANGE,955,16,33,5
MANKIND,2026-08-17,PRESS_RELEASE,955,16,37,7
KIMS,2026-08-08,PRESS_RELEASE,955,16,37,6
TDPOWERSYS,2026-08-17,ANALYST_MEET,952,16,29,8
PARADEEP,2026-08-17,PRESS_RELEASE,952,16,34,7
PARAGMILK,2026-08-13,ANALYST_MEET,952,14,20,8
WAAREERTL,2026-08-17,ANALYST_MEET,951,13,22,9
LANDMARK,2026-08-13,ANALYST_MEET,950,15,39,7
MEESHO,2026-08-12,PRESS_RELEASE,950,17,34,5
ABFRL,2026-08-14,PRESS_RELEASE,950,16,32,5
POCL,2026-08-11,ANALYST_MEET,950,14,51,9
GODREJPROP,2026-08-13,ANALYST_MEET,947,15,32,8
NUCLEUS,2026-08-17,PRESS_RELEASE,945,16,38,5
YATHARTH,2026-08-13,ANALYST_MEET,945,14,29,9
NHPC,2026-08-14,PRESS_RELEASE,945,18,39,1
M&MFIN,2026-08-12,ANALYST_MEET,944,15,41,7
ARTEMISMED,2026-08-10,ANALYST_MEET,942,16,35,7
CUB,2026-08-14,ANALYST_MEET,940,13,29,9
BANSWRAS,2026-08-07,ANALYST_MEET,940,16,30,6
GEOJITFSL,2026-08-01,PRESS_RELEASE,940,16,27,5
RATEGAIN,2026-08-11,ANALYST_MEET,940,14,38,7
BLUESTARCO,2026-08-14,ANALYST_MEET,940,16,28,8
AARTIIND,2026-08-07,PRESS_RELEASE,935,14,25,6
TOTAL,2026-08-15,MANAGEMENT_CHANGE,935,17,29,3
INOXGREEN,2026-08-14,REGULATORY,935,17,26,7
DIAMONDYD,2026-08-11,PRESS_RELEASE,935,16,20,3
DDEVPLSTIK,2026-08-14,ANALYST_MEET,935,14,31,7
KAYNES,2026-08-12,ANALYST_MEET,935,14,23,8
MAHLOG,2026-08-01,PRESS_RELEASE,935,17,31,5
GODIGIT,2026-08-14,PRESS_RELEASE,935,14,24,7
GALLANTT,2026-08-05,ANALYST_MEET,935,14,28,6
SHANTIGOLD,2026-08-15,PRESS_RELEASE,935,15,34,7
CYIENT,2026-08-10,PRESS_RELEASE,930,15,52,5
DIGISPICE,2026-08-14,ANALYST_MEET,930,14,26,7
SAIL,2026-08-11,ANALYST_MEET,930,15,18,7
GULPOLY,2026-08-17,PRESS_RELEASE,927,15,34,5
CLEAN,2026-08-17,PRESS_RELEASE,925,16,36,5
METROPOLIS,2026-08-10,PRESS_RELEASE,925,14,21,7
JNKINDIA,2026-08-14,ANALYST_MEET,925,14,29,8
GCSL,2026-08-14,ANALYST_MEET,925,14,24,8
5PAISA,2026-08-08,PRESS_RELEASE,925,19,36,6
DIACABS,2026-08-14,PRESS_RELEASE,924,15,49,6
EPIGRAL,2026-08-07,ANALYST_MEET,918,12,22,10
AJMERA,2026-08-07,ANALYST_MEET,917,13,32,7
JWL,2026-08-17,PRESS_RELEASE,916,15,34,6
APLLTD,2026-08-11,PRESS_RELEASE,915,15,47,6
CANBK,2026-08-11,PRESS_RELEASE,915,15,40,5
CIPLA,2026-08-11,PRESS_RELEASE,915,14,39,6
STUDDS,2026-08-14,PRESS_RELEASE,915,15,35,6
TMB,2026-08-06,ANALYST_MEET,915,12,38,9
SGMART,2026-07-28,MANAGEMENT_CHANGE,912,14,24,6
VISL,2026-08-14,OTHER,912,19,30,7
CONCOR,2026-08-14,PRESS_RELEASE,910,16,36,4
NITINSPIN,2026-08-13,ANALYST_MEET,910,13,17,7
THERMAX,2026-08-06,ANALYST_MEET,910,13,27,9
SAATVIKGL,2026-08-17,ORDER_WIN,908,14,24,8
SUNPHARMA,2026-08-17,PRESS_RELEASE,907,15,40,4
GVT&D,2026-08-14,PRESS_RELEASE,907,15,25,5
ADANIENSOL,2026-08-14,PRESS_RELEASE,907,15,36,5
SUNDARMFIN,2026-08-17,PRESS_RELEASE,905,17,56,3
RBA,2026-08-06,ANALYST_MEET,905,14,38,7
VBL,2026-08-17,ANALYST_MEET,905,14,25,6
AHCL,2026-08-17,REGULATORY,905,18,35,7
DCMSHRIRAM,2026-08-14,ANALYST_MEET,905,14,34,6
SJS,2026-08-11,PRESS_RELEASE,905,14,31,6
LLOYDSENGG,2026-08-17,PRESS_RELEASE,905,20,37,2
JAYBARMARU,2026-08-07,PRESS_RELEASE,905,17,33,3
HCG,2026-08-10,ANALYST_MEET,902,14,30,7
SWIGGY,2026-08-06,PRESS_RELEASE,900,15,26,6
SYRMA,2026-08-14,PRESS_RELEASE,900,15,26,6
ADVENZYMES,2026-08-13,PRESS_RELEASE,900,14,28,8
IKIO,2026-08-14,ANALYST_MEET,900,15,34,6
BHARATFORG,2026-08-13,ANALYST_MEET,900,15,35,8
CYIENTDLM,2026-08-17,ANALYST_MEET,895,13,24,8
INFY,2026-08-17,PRESS_RELEASE,895,16,52,1
IRMENERGY,2026-08-13,ANALYST_MEET,895,16,20,5
INDUSTOWER,2026-08-10,PRESS_RELEASE,895,15,28,6
CENTURYPLY,2026-08-14,ANALYST_MEET,895,13,35,8
SURAKSHA,2026-08-17,ANALYST_MEET,895,13,26,8
BLISSGVS,2026-08-14,PRESS_RELEASE,890,15,46,3
VIJAYA,2026-08-10,ANALYST_MEET,890,13,30,8
NAVA,2026-08-15,PRESS_RELEASE,890,17,25,3
SMCGLOBAL,2026-07-31,ANALYST_MEET,890,13,25,7
MCLOUD,2026-08-15,PRESS_RELEASE,890,17,52,1
ORIENTBELL,2026-08-14,ANALYST_MEET,890,14,30,7
RMC,2026-08-15,ORDER_WIN,889,13,32,8
NAVINFLUOR,2026-08-17,ANALYST_MEET,887,14,34,7
FLAIR,2026-08-12,PRESS_RELEASE,885,15,30,5
CCAVENUE,2026-08-17,ANALYST_MEET,885,15,27,8
LASERPOWER,2026-08-14,ANALYST_MEET,885,12,15,8
GKENERGY,2026-08-13,PRESS_RELEASE,885,15,22,6
NIITLTD,2026-08-13,ANALYST_MEET,885,15,34,6
GULFPETRO,2026-08-17,MANAGEMENT_CHANGE,882,17,37,2
CMLL,2026-08-14,PRESS_RELEASE,882,14,14,5
SONATSOFTW,2026-08-17,ANALYST_MEET,880,14,29,8
VENTIVE,2026-08-12,ANALYST_MEET,880,16,27,7
PPLPHARMA,2026-08-10,ANALYST_MEET,880,13,25,7
TEAMLEASE,2026-08-13,ANALYST_MEET,880,13,35,8
SMARTWORKS,2026-08-14,ANALYST_MEET,879,13,38,8
ABREL,2026-08-14,PRESS_RELEASE,877,15,34,5
WEBELSOLAR,2026-08-12,ANALYST_MEET,875,14,22,6
FORTIS,2026-08-11,ANALYST_MEET,875,14,41,6
VAIBHAVGBL,2026-08-11,ANALYST_MEET,875,13,41,9
HGS,2026-08-14,PRESS_RELEASE,875,14,35,5
DIGITIDE,2026-08-08,PRESS_RELEASE,875,14,33,5
