event_date,symbol,company,purpose_raw,purpose_type,bm_desc,sector
2023-01-03,UCOBANK,UCO Bank,Fund Raising,OTHER,"Board of directors of the Bank will consider the proposal for raising of Tier I capital in the form of Additional Tier I Bonds in one or more tranches aggregating to Rs.1000 crore from market at its meeting scheduled to be held on 03.01.2023. Above information is given pursuant 50(1) of SEBI LODR Regulations, 2015.",BANKING
2023-01-04,BFINVEST,BF Investment Limited,Voluntary Delisting,OTHER,To consider voluntary delisting,FINANCIAL_SERVICES
2023-01-04,FIBERWEB,Fiberweb (India) Limited,Other business matters,OTHER,To consider other business matters1. Resignation of Mr Pratik Kalsariya of M/s K. Pratik & Associates as a Secretarial Auditor of the Company.2. Appointment of Mr Ritesh Sharma of M/s R & J Co as a Secretarial Auditor of the Company to conduct the Secretarial Audit for the Financial Year 2022-2023.3. Resignation of Mr Atul Dedhia of M/s Atul Dedhia & Associates as an Internal Auditor of the Company.4. Appointment of Mr Vandit Shah of M/s Vandit Shah & Co as an Internal Auditor of the Company to conduct the Internal Audit for the Financial Year 2022-2023,TEXTILES
2023-01-04,IRB,IRB Infrastructure Developers Limited,Stock Split,SPLIT,To consider stock split of equity shares,INFRASTRUCTURE
2023-01-04,KIMS,Krishna Institute of Medical Sciences Limited,Fund Raising,OTHER,Board Meeting Intimation for Considering And Approving Raising Of Funds,HEALTHCARE
2023-01-04,RHIM,RHI MAGNESITA INDIA LIMITED,Other business matters,OTHER,To consider other business matters,CAPITAL_GOODS
2023-01-04,RMDRIP,R M Drip and Sprinklers Systems Limited,Other business matters,OTHER,To consider other business matters,CAPITAL_GOODS
2023-01-04,SPCENET,Spacenet Enterprises India Limited,Fund Raising/Other business matters,OTHER,To consider Fund Raising and other business matters,TELECOM
2023-01-04,TANTIACONS,Tantia Constructions Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended Jun 30, 2022",OTHER
2023-01-05,HPIL,Hindprakash Industries Limited,Other business matters,OTHER,To consider other business matters,CHEMICALS
2023-01-05,RELIABLE,Reliable Data Services Limited,Other business matters,OTHER,To consider other business matters Migration of the Equity Shares of the Company from Emerge Platform of National Stock Exchange of India Limited ( NSE Emerge ) to the Main Board of National Stock Exchange of India Limited and/or simultaneously to the Main Board of BSE Limited,FINANCIAL_SERVICES
2023-01-05,VISHWARAJ,Vishwaraj Sugar Industries Limited,Other business matters,OTHER,"Pursuant to SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, please take notice that a Meeting of the Board of Directors of the Company will be held on Thursday, the 5th day of January, 2023, inter alia, to consider in principle, the issue of equity shares of face value of Rs. 2/- each on a rights basis (Rights Issue) to the shareholders of the Company.Further, pursuant to the provisions of SEBI (Prohibition of Insider Trading) Regulations, 2015 the Trading Window for dealing in the securities of the Company shall remain closed for the Directors, Designated Employees and Connected Persons from the date of this letter up to the expiry of 48 hours after the declaration/publication of the financial results for the quarter ending December 31, 2022.The date of Board Meeting of the Company for consideration and declaration of the Unaudited Financial Results for the December 2022 quarter will be intimated in due course.",FMCG
2023-01-05,VLSFINANCE,VLS Finance Limited,Buyback,BUYBACK,To consider buyback for equity shares in the Board meeting to be held on 05-01-2023.,FINANCIAL_SERVICES
2023-01-05,VLSFINANCE,VLS Finance Limited,Other business matters,OTHER,To consider other business matters,FINANCIAL_SERVICES
2023-01-06,INDOWIND,Indowind Energy Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",OTHER
2023-01-06,INOXGREEN,Inox Green Energy Services Limited,Other business matters,OTHER,To consider other business matters,POWER
2023-01-06,KHAITANLTD,Khaitan (India) Limited,Other business matters,OTHER,"1) To consider and revise the remuneration payable to Mr. Sunay Krishna Khaitan, WholetimeDirector of the Company within the limit approved by the shareholders in the Annual General Meeting dated 30-09-2020.2) To consider any other matter with permission of Chair.",OTHER
2023-01-06,OISL,OCL Iron and Steel Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2020",OTHER
2023-01-06,PRECWIRE,Precision Wires India Limited,Fund Raising,OTHER,To consider Fund Raising through Preferential Allotment,METAL
2023-01-06,RPPINFRA,R.P.P. Infra Projects Limited,Fund Raising,OTHER,"To consider Fund Raising through issue of one or more instruments, including equity shares, convertible securities and/ or warrants or through preferential issue and/ or private placement subject to shareholders approval and such other approvals and consents, as may be required",FINANCIAL_SERVICES
2023-01-06,SATIN,Satin Creditcare Network Limited,Fund Raising,OTHER,Intimation of meeting of Working Committee of Board of Directors for Raising Of Funds Through Private Placement Of Non-Convertible Debentures.,FINANCIAL_SERVICES
2023-01-07,RKEC,RKEC Projects Limited,Financial Results/Other business matters,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022 and other business matters",INFRASTRUCTURE
2023-01-09,JBFIND,JBF Industries Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the Unaudited financial results for the period ended September 30, 2022",OTHER
2023-01-09,SHAH,Shah Metacorp Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended September 30, 2022",METAL
2023-01-09,SHRENIK,Shrenik Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",OTHER
2023-01-09,TCS,Tata Consultancy Services Limited,Financial Results/Dividend,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022 and dividend",IT
2023-01-09,TIJARIA,Tijaria Polypipes Limited,Board meeting Rescheduled,OTHER,"Tijaria Polypipes Limited has informed the Exchange that the meeting of the Board of Directors of the Company scheduled to be held on January 09, 2023 To consider and approve the financial results for the period ended December 31, 2022 has been postponed",CAPITAL_GOODS
2023-01-09,TIJARIA,Tijaria Polypipes Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",CAPITAL_GOODS
2023-01-10,LANDSMILL,Landsmill Green Limited,Financial Results/Other business matters,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022 and other business matters",OTHER
2023-01-10,MAGNUM,Magnum Ventures Limited,Fund Raising,OTHER,To consider Fund Raising,CHEMICALS
2023-01-10,SHRADHA,Shradha Realty Limited,Financial Results/Dividend/Other business matters,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022, dividend and other business matters",REALTY
2023-01-10,SIGACHI,Sigachi Industries Limited,Fund Raising,OTHER,To consider Fund Raising by way of issue of equity or convertible warrants on preferential basis to the promoters and non-promoters,OTHER
2023-01-10,TPHQ,Teamo Productions HQ Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",INFRASTRUCTURE
2023-01-11,5PAISA,5Paisa Capital Limited,Financial Results/Other business matters,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022 and other business matters",FINANCIAL_SERVICES
2023-01-11,JASH,Jash Engineering Limited,Other business matters,OTHER,To consider other business matters,CAPITAL_GOODS
2023-01-11,SANGINITA,Sanginita Chemicals Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",OTHER
2023-01-11,VCL,Vaxtex Cotfab Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",TEXTILES
2023-01-11,ZOTA,Zota Health Care LImited,Other business matters,OTHER,To consider other business matters,PHARMA
2023-01-12,ANANDRATHI,Anand Rathi Wealth Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",FINANCIAL_SERVICES
2023-01-12,AURIGROW,Auri Grow India Limited,Financial Results,FINANCIAL_RESULTS,"GODHA : 19-Jan-2023 :  The Company has informed the Exchange that a Board meeting to be held on January 12, 2023 has been re-scheduled. Further, the Company has informed the Exchange that the meeting of the Board of Directors of the Company will be held on January 19, 2023,  To consider and approve the financial results for the period ended December 31, 2022",CAPITAL_GOODS
2023-01-12,CYIENT,Cyient Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",IT
2023-01-12,DEN,Den Networks Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",MEDIA
2023-01-12,DRCSYSTEMS,DRC Systems India Limited,Financial Results/Other business matters,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022 and other business matters",IT
2023-01-12,EMAMIREAL,Emami Realty Limited,Other business matters,OTHER,"To consider other business mattersPursuant to Regulation 29 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, this is to inform that a meeting of Board of Directors of the Company is scheduled to be held on Thursday, 12th January, 2023, inter-alia, to consider and evaluate a proposal for issuance of debenture securities convertible into equity shares on preferential / private placement basis, subject to regulatory and other statutory approvals as may be required, including approval of the shareholders of the Company.Further, in terms of our letter dated 31st December, 2022, the Trading Window of the Company for dealing in the securities of the Company is closed since 1st January, 2023 till the end of 48 hours after the declaration of Unaudited Financial Results of the Company for the 3rd quarter ended 31st December, 2022.",OTHER
2023-01-12,GMBREW,GM Breweries Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",FMCG
2023-01-12,GTPL,GTPL Hathway Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",MEDIA
2023-01-12,INFY,Infosys Limited,Financial results,FINANCIAL_RESULTS,"Infosys Limited  has informed the Exchange about Board Meeting to be held on 11-Jan-2023 and 12-Jan-2023 to consider Financial Results for the quarter ended December 31, 2022.",IT
2023-01-12,JAYSREETEA,Jayshree Tea & Industries Limited,Other business matters,OTHER,"We are pleased to inform you that a Meeting of the Board of Directors of our Company is scheduled to be held on Thursday, the 12th January, 2023 at 3:00 P.M. at  Industry House , 10, Camac Street, Kolkata 700 017 inter alia to consider and approve:-1. Scheme of Arrangement, for demerger of Sholayar/Kallyar estates to a 100% subsidiary Bidhannagar Tea Co. Private Ltd, 2. Sale of a tea estate of the Company and to enter into definitive Memorandum of Understanding for the same, and3. Any other business matter",FMCG
2023-01-12,JYOTISTRUC,Jyoti Structures Limited,Fund Raising/Other business matters,OTHER,To consider Fund Raising and other business matters,CAPITAL_GOODS
2023-01-12,PLASTIBLEN,Plastiblends India Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",CHEMICALS
2023-01-12,TOUCHWOOD,Touchwood Entertainment Limited,Fund Raising,OTHER,To consider Fund Raising,MEDIA
2023-01-13,ANUP,The Anup Engineering Limited,Financial Results,FINANCIAL_RESULTS,To consider and approve the Unaudited Standalone and Consolidated Financial Results of the Company for the quarter ended on 31st December 2022.,CAPITAL_GOODS
2023-01-13,BIRLAMONEY,Aditya Birla Money Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",FINANCIAL_SERVICES
2023-01-13,CHOICEIN,Choice International Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",INFRASTRUCTURE
2023-01-13,GANESHHOU,GANESH HOUSING LIMITED,Financial Results,FINANCIAL_RESULTS,"Pursuant to Regulation 29(1) of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we hereby inform you that a Meeting of the Board of Directors of the Company will be held on Friday, January 13, 2023, inter alia, to approve and take on record the Standalone and Consolidated Unaudited Financial Results of the Company under Indian Accounting Standards (IND AS) for the quarter and nine months ended December 31, 2022.",REALTY
2023-01-13,GBGLOBAL,GB Global Limited,Other business matters,OTHER,To consider other business matters,OTHER
2023-01-13,GENCON,Generic Engineering Construction and Projects Limited,Fund Raising,OTHER,To consider Fund Raising,REALTY
2023-01-13,GOYALALUM,Goyal Aluminiums Limited,Stock Split/Other business matters,SPLIT,To consider stock split of equity shares and other business matters,METAL
2023-01-13,HERITGFOOD,Heritage Foods Limited,Fund Raising,OTHER,To consider and fix The Record Date Of The Rights Issue And Date Of Issue Opening And Closing.,FMCG
2023-01-13,JUSTDIAL,Just Dial Limited,Financial Results/Other business matters,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022 and other business matters",RETAIL
2023-01-13,LTF,L&T Finance Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",FINANCIAL_SERVICES
2023-01-13,MITTAL,Mittal Life Style Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the standalone financial results for the quarter ended on December 31, 2022",TEXTILES
2023-01-13,SVLL,Shree Vasu Logistics Limited,Other business matters,OTHER,To consider other business matters,LOGISTICS
2023-01-13,VIVIMEDLAB,Vivimed Labs Limited,Other business matters,OTHER,Notice of Board Meeting for AGM FY2021 related matters,OTHER
2023-01-13,WIPRO,Wipro Limited,Financial Results/Dividend,FINANCIAL_RESULTS,"To consider and approve, inter alia:a) the condensed audited standalone and consolidated financial results of the Company under lndAS for the quarter ending December 31, 2022.b) the condensed audited consolidated financial results of the Company under IFRS for the quarter ending December 31, 2022.c) declaration of interim dividend, if any, for the financial year 2022-23.",IT
2023-01-13,ZENITHEXPO,Zenith Exports Limited,Other business matters,OTHER,"To considSub: Intimation of Board Meeting pursuant to Regulation 29 of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015          In terms of Regulation 29 of the SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015, we would like to inform you that the meeting of the Board of Directors of the Company is scheduled to be held on Friday, the 13th day of January, 2023 to consider, approve and take on record the following:a. To appoint New Company Secretary & Compliance Officerb. To fix date, time of Extra Ordinary General Meeting.er other business matters",TEXTILES
2023-01-14,DMART,Avenue Supermarts Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",RETAIL
2023-01-14,HDFCBANK,HDFC Bank Limited,Other business matters,OTHER,"HDFC Bank Limited  has informed the Exchange about Board Meeting to be held on 14-Jan-2023 to consider the unaudited standalone andconsolidated financial results for the third quarter and nine months ending December 31, 2022",BANKING
2023-01-14,INFOMEDIA,Infomedia Press Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",MEDIA
2023-01-15,KSOLVES,Ksolves India Limited,Financial results,FINANCIAL_RESULTS,Ksolves India Limited  has informed the Exchange about Board Meeting to be held on 15-Jan-2023 to consider financial statements for the period ended December 2022,IT
2023-01-16,ABMINTLLTD,ABM International Limited,Other business matters,OTHER,To consider other business matters,TEXTILES
2023-01-16,ABREL,Aditya Birla Real Estate Limited,Fund Raising,OTHER,To consider Fund Raising,REALTY
2023-01-16,ANGELONE,Angel One Limited,Financial Results/Dividend,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022 and 3rd interim dividend for the financial year 2022-23",FINANCIAL_SERVICES
2023-01-16,BANARBEADS,Banaras Beads Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",FMCG
2023-01-16,FEDERALBNK,The Federal Bank  Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",BANKING
2023-01-16,GLFL,Gujarat Lease Financing Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",OTHER
2023-01-16,GLOBE,GLOBE ENTERPRISES (INDIA) LIMITED,Fund Raising/Other business matters,OTHER,To consider Fund Raising and other business matters,TEXTILES
2023-01-16,JSWISPL,JSW Ispat Special Products Limited,Financial Results/Other business matters,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022 and other business matters",OTHER
2023-01-16,KESORAMIND,Kesoram Industries Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",OTHER
2023-01-16,MAHABANK,Bank of Maharashtra,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",BANKING
2023-01-16,PODDARMENT,Poddar Pigments Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",CHEMICALS
2023-01-16,SVPGLOB,SVP GLOBAL TEXTILES LIMITED,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period quarter and nine month ended December 31, 2022",OTHER
2023-01-16,TINPLATE,The Tinplate Company of India Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",OTHER
2023-01-16,VARDHACRLC,Vardhman Acrylics Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the Un-audited financial results for the period ended December 31, 2022.",TEXTILES
2023-01-16,VINNY,Vinny Overseas Limited,Stock Split/Other business matters,SPLIT,To consider stock split of equity shares and other business matters,TEXTILES
2023-01-16,VINNY,Vinny Overseas Limited,Bonus/Other business matters,BONUS,To consider bonus and other business matters,TEXTILES
2023-01-17,BANKINDIA,Bank of India,Financial Results,FINANCIAL_RESULTS,"To consider and approve the unaudited (reviewed) financial results for the quarter ended December 31, 2022",BANKING
2023-01-17,BLBLIMITED,BLB Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",FINANCIAL_SERVICES
2023-01-17,DCAL,Dishman Carbogen Amcis Limited,Fund Raising,OTHER,To consider Fund Raising,PHARMA
2023-01-17,DELTACORP,Delta Corp Limited,Financial Results,FINANCIAL_RESULTS,"To consider, approve and take on record, inter-alia, the Un-audited Financial Results (Standalone and Consolidated) of the Company for the quarter and nine months ended 31st December, 2022.",HOSPITALITY
2023-01-17,ERIS,Eris Lifesciences Limited,Financial Results,FINANCIAL_RESULTS,"Board Meeting Intimation for Consideration and Approval of the financial results for the period ended December 31, 2022",PHARMA
2023-01-17,HATHWAY,Hathway Cable & Datacom Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",MEDIA
2023-01-17,ICICIGI,ICICI Lombard General Insurance Company Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",FINANCIAL_SERVICES
2023-01-17,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",FINANCIAL_SERVICES
2023-01-17,INTERISE,Interise Trust,Other business matters,OTHER,To consider other business matters,OTHER
2023-01-17,MASTEK,Mastek Limited,Financial Results/Dividend,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022 and dividend",IT
2023-01-17,METROBRAND,Metro Brands Limited,Financial Results/Dividend,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022 and dividend",FMCG
2023-01-17,NATIONALUM,National Aluminium Company Limited,Dividend/Other business matters,DIVIDEND,To consider dividend and other business matters,METAL
2023-01-17,NETWORK18,Network18 Media & Investments Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",FINANCIAL_SERVICES
2023-01-17,NEWGEN,Newgen Software Technologies Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",IT
2023-01-17,OISL,OCL Iron and Steel Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended March 31, 2021",OTHER
2023-01-17,SHALBY,Shalby Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the Unaudited Standalone and Consolidated Financial Results for quarter ended December 31, 2022.",HEALTHCARE
2023-01-17,SHREEPUSHK,Shree Pushkar Chemicals & Fertilisers Limited,Financial Results/Other business matters,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022 and other business matters",CHEMICALS
2023-01-17,TATAINVEST,Tata Investment Corporation Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",FINANCIAL_SERVICES
2023-01-17,TATAMETALI,Tata Metaliks Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",OTHER
2023-01-17,TV18BRDCST,TV18 Broadcast Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",OTHER
2023-01-18,ALOKINDS,Alok Industries Limited,Financial Results,FINANCIAL_RESULTS,"Alok Industries Limited has informed the Exchange about Board Meeting to be held on 18-Jan-2023 to consider and approve the Standalone and Consolidated Unaudited Financial Results of the Company for the quarter/nine months ended 31st December, 2022",TEXTILES
2023-01-18,AURUM,Aurum PropTech Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",IT
2023-01-18,CCL,CCL Products (India) Limited,Financial Results/Dividend,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022 and dividend",FMCG
2023-01-18,CENTRALBK,Central Bank of India,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",BANKING
2023-01-18,GLOBAL,Global Education Limited,Financial Results/Other business matters,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022 and other business matters",HEALTHCARE
2023-01-18,GOACARBON,Goa Carbon Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",METAL
2023-01-18,GTECJAINX,G-TEC JAINX EDUCATION LIMITED,Other business matters,OTHER,Other business matters,IT
2023-01-18,INDUSINDBK,IndusInd Bank Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",BANKING
2023-01-18,KDDL,KDDL Limited,Buyback,BUYBACK,To consider buyback for equity shares,FMCG
2023-01-18,MUTHOOTCAP,Muthoot Capital Services Limited,Other business matters,OTHER,"Notice of Meeting of Debenture Issue and Allotment Committee of the Board of the Directors pursuant to Regulation 29 and 50 (1) (a) of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015.",FINANCIAL_SERVICES
2023-01-18,OFSS,Oracle Financial Services Software Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",FINANCIAL_SERVICES
2023-01-18,PERSISTENT,Persistent Systems Limited,Financial Results/Dividend/Other business matters,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022, dividend and other business matters",IT
2023-01-18,PSPPROJECT,PSP Projects Limited,Financial Results/Other business matters,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022 and other business matters",INFRASTRUCTURE
2023-01-18,RALLIS,Rallis India Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",CHEMICALS
2023-01-18,SEJALLTD,Sejal Glass Limited,Fund Raising,OTHER,To consider Fund Raising,OTHER
2023-01-18,SHEMAROO,Shemaroo Entertainment Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",MEDIA
2023-01-18,STYLAMIND,Stylam Industries Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",REALTY
2023-01-18,SURYAROSNI,Surya Roshni Limited,Financial Results/Dividend,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022 and dividend",METAL
2023-01-18,VINYLINDIA,Vinyl Chemicals (India) Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",CHEMICALS
2023-01-18,WELINV,Welspun Investments and Commercials Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",OTHER
2023-01-18,WENDT,Wendt (India) Limited,Financial Results/Dividend,FINANCIAL_RESULTS,"The meeting of the Board of Directors of the Company is scheduled on 18th January 2023 inter alia, to consider and approve the unaudited financial results for the period ended December 31, 2022 and interim dividend.",CAPITAL_GOODS
2023-01-19,360ONE,360 ONE WAM LIMITED,Dividend,DIVIDEND,To consider dividend,FINANCIAL_SERVICES
2023-01-19,360ONE,360 ONE WAM LIMITED,Stock Split,SPLIT,To consider stock split of equity shares,FINANCIAL_SERVICES
2023-01-19,360ONE,360 ONE WAM LIMITED,Bonus,BONUS,To consider bonus,FINANCIAL_SERVICES
2023-01-19,360ONE,360 ONE WAM LIMITED,Financial Results,FINANCIAL_RESULTS,"To consider and approve the financial results for the period ended December 31, 2022",FINANCIAL_SERVICES
2023-01-19,ANANTRAJ,Anant Raj Limited,Financial Results,FINANCIAL_RESULTS,"To consider and approve the unaudited financial results (Standalone & Consolidated) for the quarter and nine months ended December 31, 2022",REALTY
