symbol,theme,is_primary,base_purity,boost_applied,refined_purity,reasons,as_of_date
COALINDIA,POWER_TD,False,0.58,0.18,0.76,index:NIFTY ENERGY,2026-07-03
COFORGE,AI_ENABLERS,False,0.73,0.18,0.91,index:NIFTY IT,2026-07-03
COFORGE,CYBERSECURITY,False,0.63,0.18,0.81,index:NIFTY IT,2026-07-03
COFORGE,FINTECH_INFRASTR,False,0.63,0.18,0.81,index:NIFTY IT,2026-07-03
COHANCE,INDIA_PLUS_ONE,False,0.68,0.18,0.86,index:NIFTY MNC,2026-07-03
COLPAL,PREMIUMISATION,False,0.73,0.18,0.91,index:NIFTY FMCG,2026-07-03
CONCOR,PORTS_SHIPPING,False,0.73,0.18,0.91,index:NIFTY PSE,2026-07-03
CROMPTON,PREMIUMISATION,False,0.73,0.18,0.91,index:NIFTY CONSUMER DURABLES,2026-07-03
CROMPTON,QUICK_COMMERCE,False,0.58,0.18,0.76,index:NIFTY CONSUMER DURABLES,2026-07-03
CUMMINSIND,INDIA_PLUS_ONE,False,0.68,0.18,0.86,index:NIFTY MNC,2026-07-03
DABUR,PREMIUMISATION,False,0.73,0.18,0.91,index:NIFTY FMCG,2026-07-03
DBCORP,MEDIA_ENTERTAIN,False,0.98,0.18,1.0,index:NIFTY MEDIA,2026-07-03
DIVISLAB,HEALTHTECH,False,0.53,0.18,0.71,index:NIFTY HEALTHCARE INDEX,2026-07-03
DLF,SMART_CITIES,False,0.58,0.18,0.76,index:NIFTY REALTY,2026-07-03
DRREDDY,HEALTHTECH,False,0.53,0.18,0.71,index:NIFTY HEALTHCARE INDEX,2026-07-03
EMAMILTD,PREMIUMISATION,False,0.73,0.18,0.91,index:NIFTY FMCG,2026-07-03
ENRIN,POWER_TD,False,0.68,0.18,0.86,index:NIFTY ENERGY,2026-07-03
ENRIN,INDIA_PLUS_ONE,False,0.68,0.18,0.86,index:NIFTY MNC,2026-07-03
FORTIS,HEALTHTECH,False,0.78,0.18,0.96,index:NIFTY HEALTHCARE INDEX,2026-07-03
GAIL,COMMODITY_SUPER,False,0.68,0.18,0.86,index:NIFTY OIL & GAS,2026-07-03
GAIL,POWER_TD,False,0.58,0.18,0.76,index:NIFTY ENERGY,2026-07-03
GLAND,INDIA_PLUS_ONE,False,0.68,0.18,0.86,index:NIFTY MNC,2026-07-03
GLENMARK,HEALTHTECH,False,0.53,0.18,0.71,index:NIFTY HEALTHCARE INDEX,2026-07-03
GODREJCP,PREMIUMISATION,False,0.73,0.18,0.91,index:NIFTY FMCG,2026-07-03
GODREJPROP,SMART_CITIES,False,0.58,0.18,0.76,index:NIFTY REALTY,2026-07-03
GVT&D,POWER_TD,False,0.68,0.18,0.86,index:NIFTY ENERGY,2026-07-03
HATHWAY,MEDIA_ENTERTAIN,False,0.98,0.18,1.0,index:NIFTY MEDIA,2026-07-03
HCLTECH,AI_ENABLERS,False,0.73,0.18,0.91,index:NIFTY IT,2026-07-03
HCLTECH,CYBERSECURITY,False,0.63,0.18,0.81,index:NIFTY IT,2026-07-03
HCLTECH,FINTECH_INFRASTR,False,0.63,0.18,0.81,index:NIFTY IT,2026-07-03
HDFCLIFE,BANKING_CREDIT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
HDFCLIFE,WEALTH_MGMT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
HINDALCO,COMMODITY_SUPER,False,0.88,0.18,1.0,index:NIFTY METAL,2026-07-03
HINDCOPPER,COMMODITY_SUPER,False,0.88,0.18,1.0,index:NIFTY METAL,2026-07-03
HINDPETRO,SPECIALTY_CHEM,False,0.78,0.18,0.96,index:NIFTY COMMODITIES,2026-07-03
HINDPETRO,COMMODITY_SUPER,False,0.68,0.18,0.86,index:NIFTY OIL & GAS,2026-07-03
HINDPETRO,GREEN_HYDROGEN,False,0.53,0.18,0.71,index:NIFTY ENERGY,2026-07-03
HINDUNILVR,PREMIUMISATION,False,0.73,0.18,0.91,index:NIFTY FMCG,2026-07-03
HINDZINC,COMMODITY_SUPER,False,0.88,0.18,1.0,index:NIFTY METAL,2026-07-03
ICICIGI,BANKING_CREDIT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
ICICIGI,WEALTH_MGMT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
IGL,COMMODITY_SUPER,False,0.68,0.18,0.86,index:NIFTY OIL & GAS,2026-07-03
IGL,POWER_TD,False,0.58,0.18,0.76,index:NIFTY ENERGY,2026-07-03
INFY,AI_ENABLERS,False,0.73,0.18,0.91,index:NIFTY IT,2026-07-03
INFY,CYBERSECURITY,False,0.63,0.18,0.81,index:NIFTY IT,2026-07-03
INFY,FINTECH_INFRASTR,False,0.63,0.18,0.81,index:NIFTY IT,2026-07-03
INOXWIND,POWER_TD,False,0.68,0.18,0.86,index:NIFTY ENERGY,2026-07-03
IOC,COMMODITY_SUPER,False,0.68,0.18,0.86,index:NIFTY OIL & GAS,2026-07-03
IOC,GREEN_HYDROGEN,False,0.53,0.18,0.71,index:NIFTY ENERGY,2026-07-03
IPCALAB,HEALTHTECH,False,0.53,0.18,0.71,index:NIFTY HEALTHCARE INDEX,2026-07-03
ITC,PREMIUMISATION,False,0.73,0.18,0.91,index:NIFTY FMCG,2026-07-03
JINDALSTEL,COMMODITY_SUPER,False,0.88,0.18,1.0,index:NIFTY METAL,2026-07-03
JIOFIN,BANKING_CREDIT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
JIOFIN,WEALTH_MGMT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
JIOFIN,INSURANCE_GROWTH,False,0.68,0.18,0.86,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
JPPOWER,POWER_TD,False,0.83,0.18,1.0,index:NIFTY ENERGY,2026-07-03
JSL,COMMODITY_SUPER,False,0.88,0.18,1.0,index:NIFTY METAL,2026-07-03
JSWENERGY,POWER_TD,False,0.83,0.18,1.0,index:NIFTY ENERGY,2026-07-03
JSWSTEEL,COMMODITY_SUPER,False,0.88,0.18,1.0,index:NIFTY METAL,2026-07-03
KALYANKJIL,QUICK_COMMERCE,False,0.58,0.18,0.76,index:NIFTY CONSUMER DURABLES,2026-07-03
KMEW,CAPEX_CYCLE,False,0.7,0.1,0.8,concall:BULLISH,2026-07-03
LAURUSLABS,HEALTHTECH,False,0.53,0.18,0.71,index:NIFTY HEALTHCARE INDEX,2026-07-03
LGEINDIA,PREMIUMISATION,False,0.73,0.18,0.91,index:NIFTY CONSUMER DURABLES,2026-07-03
LGEINDIA,QUICK_COMMERCE,False,0.58,0.18,0.76,index:NIFTY CONSUMER DURABLES,2026-07-03
LICHSGFIN,BANKING_CREDIT,False,0.98,0.18,1.0,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
LICHSGFIN,WEALTH_MGMT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
LICHSGFIN,INSURANCE_GROWTH,False,0.68,0.18,0.86,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
LINDEINDIA,INDIA_PLUS_ONE,False,0.88,0.18,1.0,index:NIFTY MNC,2026-07-03
LINDEINDIA,EXPORT_GROWTH,False,0.78,0.18,0.96,index:NIFTY MNC,2026-07-03
LLOYDSME,COMMODITY_SUPER,False,0.88,0.18,1.0,index:NIFTY METAL,2026-07-03
LODHA,SMART_CITIES,False,0.58,0.18,0.76,index:NIFTY REALTY,2026-07-03
LTM,AI_ENABLERS,False,0.73,0.18,0.91,index:NIFTY IT,2026-07-03
LTM,CYBERSECURITY,False,0.63,0.18,0.81,index:NIFTY IT,2026-07-03
LTM,FINTECH_INFRASTR,False,0.63,0.18,0.81,index:NIFTY IT,2026-07-03
LUPIN,HEALTHTECH,False,0.53,0.18,0.71,index:NIFTY HEALTHCARE INDEX,2026-07-03
MANKIND,HEALTHTECH,False,0.53,0.18,0.71,index:NIFTY HEALTHCARE INDEX,2026-07-03
MARICO,PREMIUMISATION,False,0.73,0.18,0.91,index:NIFTY FMCG,2026-07-03
MAXHEALTH,HEALTHTECH,False,0.78,0.18,0.96,index:NIFTY HEALTHCARE INDEX,2026-07-03
MFSL,BANKING_CREDIT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
MFSL,WEALTH_MGMT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
MGL,COMMODITY_SUPER,False,0.68,0.18,0.86,index:NIFTY OIL & GAS,2026-07-03
MGL,POWER_TD,False,0.58,0.18,0.76,index:NIFTY ENERGY,2026-07-03
MPHASIS,AI_ENABLERS,False,0.73,0.18,0.91,index:NIFTY IT,2026-07-03
MPHASIS,CYBERSECURITY,False,0.63,0.18,0.81,index:NIFTY IT,2026-07-03
MPHASIS,FINTECH_INFRASTR,False,0.63,0.18,0.81,index:NIFTY IT,2026-07-03
MUTHOOTFIN,BANKING_CREDIT,False,0.98,0.18,1.0,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
MUTHOOTFIN,WEALTH_MGMT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
MUTHOOTFIN,INSURANCE_GROWTH,False,0.68,0.18,0.86,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
NATIONALUM,COMMODITY_SUPER,False,0.88,0.18,1.0,index:NIFTY METAL,2026-07-03
NAVA,POWER_TD,False,0.83,0.18,1.0,index:NIFTY ENERGY,2026-07-03
NBCC,PORTS_SHIPPING,False,0.58,0.18,0.76,index:NIFTY CPSE,2026-07-03
NESTLEIND,PREMIUMISATION,False,0.73,0.18,0.91,index:NIFTY FMCG,2026-07-03
NHPC,POWER_TD,False,0.83,0.18,1.0,index:NIFTY ENERGY,2026-07-03
NLCINDIA,POWER_TD,False,0.83,0.18,1.0,index:NIFTY ENERGY,2026-07-03
NMDC,COMMODITY_SUPER,False,0.88,0.18,1.0,index:NIFTY METAL,2026-07-03
NTPC,POWER_TD,False,0.83,0.18,1.0,index:NIFTY ENERGY,2026-07-03
NTPCGREEN,POWER_TD,False,0.83,0.18,1.0,index:NIFTY ENERGY,2026-07-03
OBEROIRLTY,SMART_CITIES,False,0.58,0.18,0.76,index:NIFTY REALTY,2026-07-03
OIL,COMMODITY_SUPER,False,0.68,0.18,0.86,index:NIFTY OIL & GAS,2026-07-03
OIL,POWER_TD,False,0.58,0.18,0.76,index:NIFTY ENERGY,2026-07-03
ONGC,COMMODITY_SUPER,False,0.68,0.18,0.86,index:NIFTY OIL & GAS,2026-07-03
ONGC,POWER_TD,False,0.58,0.18,0.76,index:NIFTY ENERGY,2026-07-03
PATANJALI,PREMIUMISATION,False,0.73,0.18,0.91,index:NIFTY FMCG,2026-07-03
PATELENG,CAPEX_CYCLE,False,0.7,0.1,0.8,concall:BULLISH,2026-07-03
PERSISTENT,AI_ENABLERS,False,0.73,0.18,0.91,index:NIFTY IT,2026-07-03
PERSISTENT,CYBERSECURITY,False,0.63,0.18,0.81,index:NIFTY IT,2026-07-03
PERSISTENT,FINTECH_INFRASTR,False,0.63,0.18,0.81,index:NIFTY IT,2026-07-03
PETRONET,COMMODITY_SUPER,False,0.68,0.18,0.86,index:NIFTY OIL & GAS,2026-07-03
PETRONET,POWER_TD,False,0.58,0.18,0.76,index:NIFTY ENERGY,2026-07-03
PFC,BANKING_CREDIT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
PFC,WEALTH_MGMT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
PFC,INSURANCE_GROWTH,False,0.68,0.18,0.86,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
PHOENIXLTD,SMART_CITIES,False,0.58,0.18,0.76,index:NIFTY REALTY,2026-07-03
PIDILITIND,COMMODITY_SUPER,False,0.68,0.18,0.86,index:NIFTY COMMODITIES,2026-07-03
PIIND,SPECIALTY_CHEM,False,0.78,0.18,0.96,index:NIFTY COMMODITIES,2026-07-03
PIIND,COMMODITY_SUPER,False,0.68,0.18,0.86,index:NIFTY COMMODITIES,2026-07-03
POWERGRID,POWER_TD,False,0.93,0.18,1.0,index:NIFTY ENERGY,2026-07-03
POWERINDIA,POWER_TD,False,0.68,0.18,0.86,index:NIFTY ENERGY,2026-07-03
POWERINDIA,INDIA_PLUS_ONE,False,0.68,0.18,0.86,index:NIFTY MNC,2026-07-03
PPLPHARMA,HEALTHTECH,False,0.53,0.18,0.71,index:NIFTY HEALTHCARE INDEX,2026-07-03
PRESTIGE,SMART_CITIES,False,0.58,0.18,0.76,index:NIFTY REALTY,2026-07-03
RADICO,PREMIUMISATION,False,0.73,0.18,0.91,index:NIFTY FMCG,2026-07-03
RECLTD,BANKING_CREDIT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
RECLTD,WEALTH_MGMT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
RECLTD,INSURANCE_GROWTH,False,0.68,0.18,0.86,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
RELIANCE,COMMODITY_SUPER,False,0.68,0.18,0.86,index:NIFTY OIL & GAS,2026-07-03
RELIANCE,POWER_TD,False,0.58,0.18,0.76,index:NIFTY ENERGY,2026-07-03
RPOWER,POWER_TD,False,0.83,0.18,1.0,index:NIFTY ENERGY,2026-07-03
RVNL,PORTS_SHIPPING,False,0.58,0.18,0.76,index:NIFTY PSE,2026-07-03
SAIL,COMMODITY_SUPER,False,0.88,0.18,1.0,index:NIFTY METAL,2026-07-03
SAREGAMA,MEDIA_ENTERTAIN,False,0.98,0.18,1.0,index:NIFTY MEDIA,2026-07-03
SBICARD,BANKING_CREDIT,False,0.98,0.18,1.0,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
SBICARD,WEALTH_MGMT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
SBICARD,INSURANCE_GROWTH,False,0.68,0.18,0.86,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
SBILIFE,BANKING_CREDIT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
SBILIFE,WEALTH_MGMT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
SHRIRAMFIN,BANKING_CREDIT,False,0.98,0.18,1.0,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
SHRIRAMFIN,WEALTH_MGMT,False,0.73,0.18,0.91,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
SHRIRAMFIN,INSURANCE_GROWTH,False,0.68,0.18,0.86,index:NIFTY FINANCIAL SERVICES 25/50,2026-07-03
SIEMENS,POWER_TD,False,0.68,0.18,0.86,index:NIFTY ENERGY,2026-07-03
SIEMENS,INDIA_PLUS_ONE,False,0.68,0.18,0.86,index:NIFTY MNC,2026-07-03
SJVN,POWER_TD,False,0.83,0.18,1.0,index:NIFTY ENERGY,2026-07-03
SOBHA,SMART_CITIES,False,0.58,0.18,0.76,index:NIFTY REALTY,2026-07-03
SRF,SPECIALTY_CHEM,False,0.78,0.18,0.96,index:NIFTY COMMODITIES,2026-07-03
SRF,COMMODITY_SUPER,False,0.68,0.18,0.86,index:NIFTY COMMODITIES,2026-07-03
SUNPHARMA,HEALTHTECH,False,0.53,0.18,0.71,index:NIFTY HEALTHCARE INDEX,2026-07-03
SUNTV,MEDIA_ENTERTAIN,False,0.98,0.18,1.0,index:NIFTY MEDIA,2026-07-03
SUZLON,POWER_TD,False,0.68,0.18,0.86,index:NIFTY ENERGY,2026-07-03
TATACONSUM,PREMIUMISATION,False,0.73,0.18,0.91,index:NIFTY FMCG,2026-07-03
TATAPOWER,POWER_TD,False,0.83,0.18,1.0,index:NIFTY ENERGY,2026-07-03
TATASTEEL,COMMODITY_SUPER,False,0.88,0.18,1.0,index:NIFTY METAL,2026-07-03
TCS,AI_ENABLERS,False,0.73,0.18,0.91,index:NIFTY IT,2026-07-03
TCS,CYBERSECURITY,False,0.63,0.18,0.81,index:NIFTY IT,2026-07-03
TCS,FINTECH_INFRASTR,False,0.63,0.18,0.81,index:NIFTY IT,2026-07-03
TECHM,AI_ENABLERS,False,0.73,0.18,0.91,index:NIFTY IT,2026-07-03
TECHM,CYBERSECURITY,False,0.63,0.18,0.81,index:NIFTY IT,2026-07-03
TECHM,FINTECH_INFRASTR,False,0.63,0.18,0.81,index:NIFTY IT,2026-07-03
THERMAX,POWER_TD,False,0.68,0.18,0.86,index:NIFTY ENERGY,2026-07-03
TIMKEN,INDIA_PLUS_ONE,False,0.68,0.18,0.86,index:NIFTY MNC,2026-07-03
TIPSMUSIC,MEDIA_ENTERTAIN,False,0.98,0.18,1.0,index:NIFTY MEDIA,2026-07-03
TITAN,QUICK_COMMERCE,False,0.58,0.18,0.76,index:NIFTY CONSUMER DURABLES,2026-07-03
TORNTPHARM,HEALTHTECH,False,0.53,0.18,0.71,index:NIFTY HEALTHCARE INDEX,2026-07-03
TORNTPOWER,POWER_TD,False,0.83,0.18,1.0,index:NIFTY ENERGY,2026-07-03
UBL,PREMIUMISATION,False,0.73,0.18,0.91,index:NIFTY FMCG,2026-07-03
UNITDSPR,PREMIUMISATION,False,0.73,0.18,0.91,index:NIFTY FMCG,2026-07-03
UPL,SPECIALTY_CHEM,False,0.78,0.18,0.96,index:NIFTY COMMODITIES,2026-07-03
UPL,COMMODITY_SUPER,False,0.68,0.18,0.86,index:NIFTY COMMODITIES,2026-07-03
VBL,PREMIUMISATION,False,0.73,0.18,0.91,index:NIFTY FMCG,2026-07-03
VEDL,COMMODITY_SUPER,False,0.88,0.18,1.0,index:NIFTY METAL,2026-07-03
VOLTAS,PREMIUMISATION,False,0.73,0.18,0.91,index:NIFTY CONSUMER DURABLES,2026-07-03
VOLTAS,QUICK_COMMERCE,False,0.58,0.18,0.76,index:NIFTY CONSUMER DURABLES,2026-07-03
WELCORP,COMMODITY_SUPER,False,0.88,0.18,1.0,index:NIFTY METAL,2026-07-03
WHIRLPOOL,PREMIUMISATION,False,0.73,0.18,0.91,index:NIFTY CONSUMER DURABLES,2026-07-03
WHIRLPOOL,QUICK_COMMERCE,False,0.58,0.18,0.76,index:NIFTY CONSUMER DURABLES,2026-07-03
WIPRO,AI_ENABLERS,False,0.73,0.18,0.91,index:NIFTY IT,2026-07-03
WIPRO,CYBERSECURITY,False,0.63,0.18,0.81,index:NIFTY IT,2026-07-03
WIPRO,FINTECH_INFRASTR,False,0.63,0.18,0.81,index:NIFTY IT,2026-07-03
ZEEL,MEDIA_ENTERTAIN,False,0.98,0.18,1.0,index:NIFTY MEDIA,2026-07-03
ZYDUSLIFE,HEALTHTECH,False,0.53,0.18,0.71,index:NIFTY HEALTHCARE INDEX,2026-07-03
