symbol,date,announcement_type,governance_risk,governance_score,dividend_signal,capex_confirm,management_change,sentiment,sentiment_score,key_decision,processed_at,as_of_date
STOVEKRAFT,2026-07-02,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,POSITIVE,1,"Appointment of Mr. Chandru Kalro as Non-Executive Director effective July 02, 2026.",2026-07-03 05:15,2026-07-03
IKS,2026-07-02,FUNDRAISE,LOW,70,NONE,NO,NO,NEUTRAL,0,Company informed the exchange regarding options to purchase securities.,2026-07-03 05:15,2026-07-03
EKC,2026-07-02,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,POSITIVE,1,"Appointment of Mr. Narender Prasad Gupta as CEO effective July 01, 2026.",2026-07-03 05:15,2026-07-03
INDUSFILA,2026-07-02,BOARD_OUTCOME,LOW,70,NONE,NO,NO,NEUTRAL,0,"Board meeting held on July 02, 2026; no specific outcomes disclosed in the text.",2026-07-03 05:15,2026-07-03
GANECOS,2026-07-02,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEGATIVE,-1,Resignation of a Director/KMP/SMP from the company.,2026-07-03 05:16,2026-07-03
ADANIENT,2026-07-02,FUNDRAISE,LOW,70,NONE,NO,NO,POSITIVE,1,Company is raising capital through a Qualified Institutional Placement (QIP) of equity shares.,2026-07-03 05:16,2026-07-03
UGROCAP,2026-07-02,FUNDRAISE,LOW,70,NONE,NO,NO,NEUTRAL,0,Company completed the allotment of listed commercial papers for fundraising.,2026-07-03 05:16,2026-07-03
PRIMO,2026-07-02,BOARD_OUTCOME,LOW,70,NONE,NO,NO,NEUTRAL,0,"Board meeting held on July 02, 2026; no specific outcomes disclosed in the text.",2026-07-03 05:16,2026-07-03
TVSHLTD,2026-07-02,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,The company has informed the exchange regarding an acquisition.,2026-07-03 05:16,2026-07-03
LENSKART,2026-07-02,ACQUISITION,LOW,70,NONE,YES,NO,POSITIVE,1,Board approved the incorporation of a Joint Venture with Mingfeng Glassesworld Limited in India.,2026-07-03 05:17,2026-07-03
UNIONBANK,2026-07-02,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,The company informed the exchange regarding a change in its senior management.,2026-07-03 05:17,2026-07-03
DREAMFOLKS,2026-07-02,BOARD_OUTCOME,LOW,70,NONE,NO,NO,NEUTRAL,0,"Board meeting held on July 02, 2026; no specific outcomes disclosed in the text.",2026-07-03 05:17,2026-07-03
BIKAJI,2026-07-02,ACQUISITION,LOW,70,NONE,NO,NO,POSITIVE,1,Completed acquisition of 74% equity share capital in Jai Barbareek Dev Snacks Private Limited.,2026-07-03 05:17,2026-07-03
CMPDI,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Change in Management,2026-07-03 05:21,2026-07-03
KRYSTAL,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Krystal Integrated Services Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:20,2026-07-03
XLENERGY,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Disclosure under SEBI Takeover Regulations submitted by Karishma Jain.,2026-07-03 05:20,2026-07-03
CHEMPLASTS,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Sanmar Holdings Ltd has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:20,2026-07-03
IREDA,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,IREDA Board entrusted Dr Bijay Kumar Mohanty with additional charge of Chairman & Managing Director.,2026-07-03 05:20,2026-07-03
EMKAY,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Emkay Global Financial Services Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:20,2026-07-03
DMCC,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Disclosure of acquisition under SEBI Takeover Regulations submitted to the exchange.,2026-07-03 05:20,2026-07-03
CRAMC,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,ORIX Corporation Europe N.V. has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:20,2026-07-03
THELEELA,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,The company has made an acquisition under SEBI Takeover Regulations.,2026-07-03 05:20,2026-07-03
ROTO,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Anurag Gupta has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:20,2026-07-03
PNGJL,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,PNGJL has submitted disclosure under SEBI Takeover Regulations.,2026-07-03 05:20,2026-07-03
RUPA,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Disclosure of acquisition under SEBI Takeover Regulations.,2026-07-03 05:21,2026-07-03
CHOLAFIN,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Cholamandalam Financial Holdings Limited has submitted disclosure under SEBI Takeover Regulations.,2026-07-03 05:20,2026-07-03
ONGC,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Director (Production) has superannuated.,2026-07-03 05:21,2026-07-03
KARURVYSYA,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Director resignation announced.,2026-07-03 05:21,2026-07-03
TIINDIA,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Ambadi Investments Limited has submitted disclosure under SEBI Takeover Regulations.,2026-07-03 05:21,2026-07-03
DJML,2026-07-01,BOARD_OUTCOME,LOW,70,NONE,NO,NO,NEUTRAL,0,"Board approved the conversion of 2,61,503 warrants.",2026-07-03 05:21,2026-07-03
GAIL,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,"Mr R K Jain ceased as Chief Financial Officer w.e.f. July 01, 2026.",2026-07-03 05:21,2026-07-03
FACT,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,"Director (Marketing) Mr Anupam Misra ceased to be associated with the company w.e.f. July 01, 2026.",2026-07-03 05:21,2026-07-03
BEL,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Change in Director(s) of the company.,2026-07-03 05:21,2026-07-03
HINDCOPPER,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Change in Director(s) of Hindustan Copper Limited.,2026-07-03 05:21,2026-07-03
ICICIAMC,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Change in Director(s) of ICICI Prudential Asset Management Company Limited.,2026-07-03 05:21,2026-07-03
IRCON,2026-07-01,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,"Shri Saleem Ahmad assumed the additional charge of Chairman & Managing Director (CMD) of IRCON w.e.f. July 01, 2026.",2026-07-03 05:21,2026-07-03
ASKAUTOLTD,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,"Mr. Rajender Dharna, President - Operations, has retired from the company.",2026-07-03 05:21,2026-07-03
GREENPOWER,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Orient Green Power Company Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:20,2026-07-03
MARICO,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Change in Director(s) of the company.,2026-07-03 05:20,2026-07-03
POWERGRID,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,"Cessation of Mr Ravisankar Ganesan as Director (Finance) and CFO of the company w.e.f. July 01, 2026.",2026-07-03 05:19,2026-07-03
HATHWAY,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,"Reliance Industrial Investments And Holdings Limited has acquired shares of Hathway, as per SEBI Takeover Regulations di",2026-07-03 05:20,2026-07-03
GTPL,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Jio Content Distribution Holdings Private Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:19,2026-07-03
JINDALSTEL,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Opelina Sustainable Services Private Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:09,2026-07-03
KSR,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEGATIVE,-1,Resignation of a Director/KMP/SMP from the company.,2026-07-03 05:17,2026-07-03
AHLWEST,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Disclosure of share acquisition by Chaman Lal Brijrani Charitale Trust under SEBI regulations.,2026-07-03 05:18,2026-07-03
WHIRLPOOL,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Change in Management,2026-07-03 05:18,2026-07-03
KAVDEFENCE,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Disclosure under SEBI Takeover Regulations submitted by Uma Reddy C.,2026-07-03 05:18,2026-07-03
SHANTIGEAR,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Tube Investments of India Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:18,2026-07-03
EMMVEE,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Emmvee Photovoltaic Power Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:18,2026-07-03
GILLETTE,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Change in Management of the Company.,2026-07-03 05:19,2026-07-03
AAREYDRUGS,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,AAREYDRUGS has submitted disclosure under SEBI Takeover Regulations.,2026-07-03 05:19,2026-07-03
AEGISVOPAK,2026-07-01,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,"Addition in role and responsibilities of Mr. Sukumar Nandi, SMP of the Company.",2026-07-03 05:19,2026-07-03
BAJAJHFL,2026-07-01,FUNDRAISE,LOW,70,NONE,NO,NO,NEUTRAL,0,Bajaj Housing Finance Limited has issued securities.,2026-07-03 05:19,2026-07-03
DHANUKA,2026-07-01,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,Board approved Q2 results and declared interim dividend of Rs 5 per share.,2026-07-03 05:20,2026-07-03
MRPL,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,"Shri. Pankaj Kumar ceased as Non-Executive Nominee Director w.e.f. July 01, 2026.",2026-07-03 05:19,2026-07-03
PGHH,2026-07-01,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,Change in Senior Management Personnel,2026-07-03 05:19,2026-07-03
PKTEA,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Lakshmi Niwas Bangur has submitted disclosure under SEBI Takeover Regulations.,2026-07-03 05:19,2026-07-03
RAILTEL,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Appointment and cessation of SMP,2026-07-03 05:19,2026-07-03
CGPOWER,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Tube Investments of India Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:19,2026-07-03
AMIRCHAND,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Amir Chand Jagdish Kumar (Exports) Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:19,2026-07-03
AARTIDRUGS,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,AARTIDRUGS has submitted disclosure under SEBI Takeover Regulations.,2026-07-03 05:19,2026-07-03
HEADSUP,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Disclosure of acquisition under SEBI Takeover Regulations submitted by Manish B. Mandhana.,2026-07-03 05:19,2026-07-03
BPCL,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,BPCL has submitted disclosure under SEBI Takeover Regulations.,2026-07-03 05:19,2026-07-03
ASHIMASYN,2026-07-01,BOARD_OUTCOME,LOW,70,MAINTAIN,NO,NO,NEUTRAL,0,Board approved Q2 results and declared interim dividend of Rs 5 per share.,2026-07-03 05:20,2026-07-03
MOIL,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Change in Management,2026-07-03 05:21,2026-07-03
ENGINERSIN,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Board approved retirement of a director.,2026-07-03 05:21,2026-07-03
NIITLTD,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,"Scheme of Amalgamation becoming effective from July 1, 2026.",2026-07-03 05:21,2026-07-03
VAML,2026-07-01,MANAGEMENT_CHANGE,HIGH,20,NONE,NO,YES,NEGATIVE,-1,The company has informed the exchange regarding a change in its statutory auditors.,2026-07-03 05:28,2026-07-03
TEAMLEASE,2026-07-01,BUYBACK,LOW,70,NONE,NO,NO,NEUTRAL,0,TeamLease has announced a buyback of its equity shares through a tender offer.,2026-07-03 05:29,2026-07-03
MSUMI,2026-07-01,MANAGEMENT_CHANGE,HIGH,20,NONE,NO,YES,NEUTRAL,0,Change in Auditors of the company.,2026-07-03 05:29,2026-07-03
BHARTIARTL,2026-07-01,CAPEX_EXPANSION,LOW,70,NONE,YES,NO,NEUTRAL,0,Commencement of commercial operations.,2026-07-03 05:29,2026-07-03
ZODIAC,2026-07-01,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,"Appointment of Ms. Apexa Prajapati as SMP effective July 01, 2026.",2026-07-03 05:29,2026-07-03
ADVENTHTL,2026-07-01,ACQUISITION,MEDIUM,50,NONE,NO,NO,NEUTRAL,0,Company announced an acquisition under SEBI Regulation 30.,2026-07-03 05:28,2026-07-03
INNOVISION,2026-07-01,BOARD_OUTCOME,LOW,70,NONE,NO,NO,NEUTRAL,0,"Board approved the financial results for the period ended March 31, 2026.",2026-07-03 05:28,2026-07-03
CROMPTON,2026-07-01,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,"Appointment of Mr. Sachin Phartiyal as a director effective July 02, 2026.",2026-07-03 05:28,2026-07-03
NETWEB,2026-07-01,BOARD_OUTCOME,LOW,70,NONE,NO,NO,NEUTRAL,0,"Board meeting held on July 01, 2026; no specific outcomes disclosed in the text.",2026-07-03 05:28,2026-07-03
ACMESOLAR,2026-07-01,CAPEX_EXPANSION,LOW,70,NONE,YES,NO,NEUTRAL,0,Acme Solar Holdings Limited has commenced commercial production/operations of its Battery Energy Storage System (BESS) p,2026-07-03 05:22,2026-07-03
IOB,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,The company informed the exchange regarding a change in its senior management.,2026-07-03 05:27,2026-07-03
VISL,2026-07-01,MANAGEMENT_CHANGE,HIGH,20,NONE,NO,YES,NEGATIVE,-1,The company has informed the exchange regarding a change in its statutory auditors.,2026-07-03 05:27,2026-07-03
SHIVAMAUTO,2026-07-01,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,The company has announced a change in the Company Secretary and Compliance Officer.,2026-07-03 05:27,2026-07-03
ZEEL,2026-07-01,BOARD_OUTCOME,LOW,70,NONE,NO,NO,NEUTRAL,0,"Board meeting held on July 01, 2026; no specific outcomes disclosed in the text.",2026-07-03 05:27,2026-07-03
JSWSTEEL,2026-07-01,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,POSITIVE,1,Appointment of Mr. Dev Bajpai as an Additional Non-Executive Independent Director.,2026-07-03 05:27,2026-07-03
VIKASECO,2026-07-01,BOARD_OUTCOME,LOW,70,NONE,NO,NO,NEUTRAL,0,"Board approved the financial results for the period ended June 30, 2026.",2026-07-03 05:26,2026-07-03
FINOPB,2026-07-01,FUNDRAISE,LOW,70,NONE,NO,NO,POSITIVE,1,Board approved the grant of stock options under the ESOP policies of 2020 and 2023.,2026-07-03 05:26,2026-07-03
EDELWEISS,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Rashesh Chandrakant Shah has submitted disclosure under SEBI Takeover Regulations.,2026-07-03 05:29,2026-07-03
VSSL,2026-07-01,FUNDRAISE,LOW,70,NONE,NO,NO,NEUTRAL,0,"Allotted 15,500 securities under ESOP/ESPS.",2026-07-03 05:29,2026-07-03
UFBL,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,UFBL has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:29,2026-07-03
TICL,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Director resignation at Twamev Construction and Infrastructure Limited.,2026-07-03 05:29,2026-07-03
BOROLTD,2026-07-01,CAPEX_EXPANSION,LOW,70,NONE,YES,NO,NEUTRAL,0,Commencement of commercial production/operations.,2026-07-03 05:30,2026-07-03
JINDALPHOT,2026-07-01,BOARD_OUTCOME,LOW,70,INCREASE,NO,NO,POSITIVE,1,Board declared interim dividend of Rs 5 per share.,2026-07-03 05:30,2026-07-03
GROBTEA,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,The Grob Tea Company Limited has informed the Exchange about Acquisition.,2026-07-03 05:30,2026-07-03
HBLENGINE,2026-07-01,BOARD_OUTCOME,LOW,70,MAINTAIN,NO,NO,NEUTRAL,0,Board approved Q2 results and declared interim dividend of Rs 5 per share.,2026-07-03 05:30,2026-07-03
CENTRALBK,2026-07-01,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,"Appointment of Mr Raj Kishor Singh as General Manager w.e.f. July 01, 2026.",2026-07-03 05:30,2026-07-03
STUDDS,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Change in Management,2026-07-03 05:30,2026-07-03
ADANIENSOL,2026-07-01,BOARD_OUTCOME,LOW,70,INCREASE,NO,NO,POSITIVE,1,Board declared interim dividend of Rs 5 per share.,2026-07-03 05:30,2026-07-03
OSWALGREEN,2026-07-01,BOARD_OUTCOME,LOW,70,INCREASE,NO,NO,POSITIVE,1,Board declared interim dividend of Rs 5 per share.,2026-07-03 05:30,2026-07-03
JUSTDIAL,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Anita Mani has submitted disclosure under SEBI Takeover Regulations.,2026-07-03 05:29,2026-07-03
MAXIND,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,"Mr. Rohit Kapoor resigned as Non-Executive Independent Director of Max India Limited w.e.f. July 01, 2026.",2026-07-03 05:29,2026-07-03
KUNDANMM,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEGATIVE,-1,Director resignation announced.,2026-07-03 05:29,2026-07-03
ITI,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,"Appointment of Shri Rajesh Rai as Executive Director w.e.f. July 01, 2026.",2026-07-03 05:29,2026-07-03
GENUSPOWER,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Kailash Chandra Agarwal has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:29,2026-07-03
RELIANCE,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Reliance Welfare Association submitted disclosure under SEBI Takeover Regulations.,2026-07-03 05:29,2026-07-03
JIOFIN,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Reliance Welfare Association submitted disclosure under SEBI Takeover Regulations.,2026-07-03 05:29,2026-07-03
TECHM,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,POSITIVE,1,Company announced the acquisition of an entity.,2026-07-03 05:26,2026-07-03
DBOL,2026-07-01,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,"Resignation of Mr. Santosh Mani as VP - Operations effective June 30, 2026.",2026-07-03 05:26,2026-07-03
ATHERENERG,2026-07-01,FUNDRAISE,LOW,70,NONE,NO,NO,POSITIVE,1,"Allotment of 189,032 equity shares to eligible ESOP holders.",2026-07-03 05:26,2026-07-03
BOSCH-HCIL,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,JCHAC India Holdco Ltd has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:23,2026-07-03
AHCL,2026-07-01,BOARD_OUTCOME,LOW,70,INCREASE,NO,NO,POSITIVE,1,Board declared interim dividend of Rs 5 per share.,2026-07-03 05:23,2026-07-03
DEVYANI,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Devyani International Limited has submitted disclosure under SEBI Takeover Regulations.,2026-07-03 05:22,2026-07-03
PNB,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,"Mr Bibhu Prasad Mahapatra ceased as Executive Director w.e.f. July 01, 2026.",2026-07-03 05:22,2026-07-03
WAAREERTL,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Waaree Energies Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:22,2026-07-03
INFOMEDIA,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,"Reliance Industrial Investments and Holdings Limited has acquired shares of Infomedia, as per SEBI Takeover Regulations ",2026-07-03 05:22,2026-07-03
STLTECH,2026-07-01,FUNDRAISE,LOW,70,NONE,NO,NO,NEUTRAL,0,"Board approved allotment of 25,728,500 securities under Qualified Institution Placement.",2026-07-03 05:22,2026-07-03
JBCHEPHARM,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Torrent Pharmaceuticals Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:22,2026-07-03
DPABHUSHAN,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Disclosure under SEBI Takeover Regulations submitted by Renu Kataria.,2026-07-03 05:22,2026-07-03
NETWORK18,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Reliance Industrial Investments and Holdings Limited has acquired shares of Network18.,2026-07-03 05:22,2026-07-03
DEN,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,NEUTRAL,0,Jio Futuristic Digital Holdings Private Limited has submitted a disclosure under SEBI Takeover Regulations.,2026-07-03 05:22,2026-07-03
KAJARIACER,2026-07-01,BUYBACK,LOW,70,NONE,NO,NO,NEUTRAL,0,Kajaria Ceramics Limited has approved a buyback of its equity shares.,2026-07-03 05:22,2026-07-03
BAJAJCON,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEGATIVE,-1,Director resignation at Bajaj Consumer Care Limited.,2026-07-03 05:22,2026-07-03
BHARATCOAL,2026-07-01,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,Change in Management,2026-07-03 05:22,2026-07-03
BRITANNIA,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Board approved the change in management based on Nomination and Remuneration Committee's recommendation.,2026-07-03 05:22,2026-07-03
ROLLT,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Director resignation announced.,2026-07-03 05:22,2026-07-03
CARERATING,2026-07-01,MANAGEMENT_CHANGE,LOW,70,NONE,NO,YES,NEUTRAL,0,"Appointment of Mr Sanjay Agarwal as Chief Risk Officer w.e.f. August 01, 2026.",2026-07-03 05:23,2026-07-03
HAL,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,Change in Management,2026-07-03 05:23,2026-07-03
NTPCGREEN,2026-07-01,MANAGEMENT_CHANGE,MEDIUM,50,NONE,NO,YES,NEUTRAL,0,The company informed the exchange regarding a change in its management.,2026-07-03 05:25,2026-07-03
SALSTEEL,2026-07-01,BOARD_OUTCOME,LOW,70,INCREASE,NO,NO,POSITIVE,1,Board approved Q2 results and declared interim dividend of Rs 5 per share.,2026-07-03 05:23,2026-07-03
ENDURANCE,2026-07-01,ACQUISITION,LOW,70,NONE,NO,NO,POSITIVE,1,Endurance Overseas SpA acquired an additional stake in Stoeferle GmbH and Stoeferle Automotive GmbH.,2026-07-03 05:25,2026-07-03
