symbol,rsi_14,rsi_zone_enc,macd_hist,macd_signal_enc,bb_pct_b,bb_squeeze,adx_14,adx_trending,as_of_date
AVROIND,45.73,1,-0.0007,1,0.358,19.25,18.8,0,2026-06-30
AVTNPL,52.66,1,-0.2496,1,0.4977,7.19,38.3,1,2026-06-30
AWFIS,44.77,1,1.0312,2,0.4796,9.18,14.14,0,2026-06-30
AWHCL,50.92,1,2.7224,1,0.6618,12.46,23.44,0,2026-06-30
AWL,41.13,1,-0.5868,1,0.2328,8.53,22.46,0,2026-06-30
AXISBANK,55.2,1,0.7604,1,0.5959,13.51,24.32,0,2026-06-30
AXISBNKETF,63.25,1,1.3246,1,0.7201,11.46,20.07,0,2026-06-30
AXISBPSETF,60.46,1,-0.0004,0,0.6986,0.79,25.68,1,2026-06-30
AXISCADES,37.71,1,-20.8475,0,0.1689,20.88,16.66,0,2026-06-30
AXISCETF,56.54,1,0.2003,1,0.6876,7.21,24.06,0,2026-06-30
AXISGOLD,35.74,1,-0.7708,1,0.1356,13.78,23.29,0,2026-06-30
AXISHCETF,72.17,0,0.5582,2,1.0233,6.96,15.86,0,2026-06-30
AXISILVER,36.69,1,-2.3302,1,0.1988,22.45,22.97,0,2026-06-30
AXISNIFTY,53.43,1,0.3848,1,0.6533,5.98,14.35,0,2026-06-30
AXISTECETF,33.81,1,-1.7238,0,0.0399,14.46,20.4,0,2026-06-30
AXISVALUE,40.27,1,-0.0892,0,0.0988,4.62,28.13,1,2026-06-30
AXITA,34.67,1,-0.0014,0,0.1182,5.32,26.39,1,2026-06-30
AXSENSEX,56.33,1,0.1482,1,0.6856,7.24,21.63,0,2026-06-30
AYE,63.44,1,1.168,1,0.8624,26.39,41.9,1,2026-06-30
AYMSYNTEX,64.01,1,0.8494,2,1.301,8.63,23.9,0,2026-06-30
AZAD,48.36,1,-16.7686,1,0.3046,12.79,16.48,0,2026-06-30
BAFNAPH,68.67,1,4.594,1,0.9303,49.49,34.71,1,2026-06-30
BAGFILMS,30.65,1,-0.0519,0,-0.0304,14.41,23.71,0,2026-06-30
BAIDFIN,43.68,1,0.0246,2,0.3647,7.36,25.43,1,2026-06-30
BAJAJ-AUTO,38.19,1,-53.0779,1,0.0719,7.99,19.6,0,2026-06-30
BAJAJCON,57.97,1,-3.6678,1,0.6519,14.4,37.41,1,2026-06-30
BAJAJELEC,42.69,1,2.4104,1,0.5702,10.41,17.64,0,2026-06-30
BAJAJFINSV,55.0,1,6.0431,2,0.7529,9.95,22.42,0,2026-06-30
BAJAJHCARE,68.48,1,5.6539,2,1.1338,23.21,23.01,0,2026-06-30
BAJAJHFL,56.81,1,0.2474,1,0.7449,9.55,31.3,1,2026-06-30
BAJAJHIND,35.75,1,-0.1894,0,-0.0615,12.45,16.36,0,2026-06-30
BAJAJHLDNG,55.45,1,24.4794,1,0.7065,10.82,18.83,0,2026-06-30
BAJAJINDEF,47.95,1,2.8062,1,0.7003,12.59,17.37,0,2026-06-30
BAJAJST,53.34,1,6.4419,1,0.7785,20.41,45.52,1,2026-06-30
BAJEL,48.04,1,-1.6634,0,0.1416,8.49,30.7,1,2026-06-30
BAJFINANCE,69.28,1,7.9543,2,0.9029,19.61,26.98,1,2026-06-30
BALAJEE,42.27,1,0.076,1,0.4164,5.41,38.79,1,2026-06-30
BALAJITELE,47.5,1,0.5864,2,0.6656,7.71,15.98,0,2026-06-30
BALAMINES,53.67,1,-41.8446,1,0.3188,14.31,32.54,1,2026-06-30
BALAXI,75.31,0,0.6399,1,0.8665,65.76,36.26,1,2026-06-30
BALKRISHNA,55.13,1,0.038,2,0.7883,9.29,22.85,0,2026-06-30
BALKRISIND,49.34,1,3.3178,1,0.5318,14.15,12.63,0,2026-06-30
BALMLAWRIE,52.57,1,0.5621,2,0.6939,9.41,11.44,0,2026-06-30
BALPHARMA,38.37,1,-1.2041,0,-0.111,12.03,19.34,0,2026-06-30
BALRAMCHIN,57.47,1,-0.9182,1,0.8872,6.91,23.31,0,2026-06-30
BALUFORGE,50.88,1,2.7102,2,0.6661,12.1,13.17,0,2026-06-30
BANARBEADS,40.6,1,0.3693,1,0.3597,9.16,16.73,0,2026-06-30
BANARISUG,31.27,1,-20.0025,1,0.0768,8.62,45.11,1,2026-06-30
BANCOINDIA,56.24,1,-2.9691,1,0.6006,8.18,16.32,0,2026-06-30
BANDHANBNK,50.11,1,-1.3032,0,0.3821,10.06,17.01,0,2026-06-30
BANG,37.74,1,-0.2974,1,0.2129,43.27,25.08,1,2026-06-30
BANK10ADD,63.1,1,0.0555,1,0.7529,11.91,42.28,1,2026-06-30
BANKA,77.42,0,3.0577,1,0.8922,85.03,43.17,1,2026-06-30
BANKADD,62.67,1,0.1202,1,0.706,11.42,31.14,1,2026-06-30
BANKBARODA,48.49,1,-0.4082,0,0.4413,9.86,12.56,0,2026-06-30
BANKBEES,62.85,1,1.2317,1,0.7101,11.34,16.42,0,2026-06-30
BANKBETA,61.77,1,0.1207,1,0.7062,11.45,27.17,1,2026-06-30
BANKBETF,62.0,1,0.121,1,0.7093,11.37,24.87,0,2026-06-30
BANKETF,61.92,1,1.2179,1,0.7121,11.28,29.17,1,2026-06-30
BANKETFADD,58.25,1,-0.1009,1,0.6269,2.16,19.27,0,2026-06-30
BANKIETF,63.05,1,0.1198,1,0.7173,11.27,21.41,0,2026-06-30
BANKINDIA,42.94,1,-0.4201,0,0.2277,8.41,11.62,0,2026-06-30
BANKNIFTY1,54.46,1,0.4562,1,0.7247,11.22,24.99,0,2026-06-30
BANKPSU,50.65,1,-0.0164,0,0.5077,9.73,14.93,0,2026-06-30
BANSALWIRE,67.36,1,3.3026,2,1.1578,15.37,19.03,0,2026-06-30
BANSWRAS,56.33,1,-0.0633,0,0.7021,15.92,27.02,1,2026-06-30
BARBEQUE,29.31,2,0.2228,2,0.2332,17.41,40.33,1,2026-06-30
BASF,54.19,1,32.9381,1,0.7253,16.68,23.65,0,2026-06-30
BASML,63.38,1,0.2833,2,0.9972,19.32,41.18,1,2026-06-30
BATAINDIA,45.9,1,0.5798,1,0.4477,20.38,29.27,1,2026-06-30
BATLIBOI,53.15,1,0.7537,1,0.6519,24.67,30.48,1,2026-06-30
BAYERCROP,38.18,1,-5.5864,1,0.1939,8.66,32.22,1,2026-06-30
BBETF0432,85.73,0,1.9691,2,0.9176,3.86,35.34,1,2026-06-30
BBL,56.91,1,2.7498,2,0.8629,7.35,12.32,0,2026-06-30
BBNPNBETF,62.64,1,0.1353,1,0.725,11.58,25.24,1,2026-06-30
BBNPPGOLD,31.46,1,-0.9435,1,0.11,13.41,27.75,1,2026-06-30
BBOX,47.28,1,-20.4677,1,0.0985,15.02,35.5,1,2026-06-30
BBTC,50.37,1,1.6022,1,0.551,7.51,22.11,0,2026-06-30
